precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD-PUSL-voturi","ALIANȚA MIȘCAREA, NOI PLOIEȘTENII - REPER-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10 (FOSTA GRRĂDINIŢĂ DE COPII NR. 10)",130,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:02:05",1002,996,1,3,2,378,373,0,3,2,365,13,1100,722,59,46,59,1,18,97,59,26
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10 (FOSTA GRRĂDINIŢĂ DE COPII NR. 10)",128,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:55:43",1210,1202,1,6,1,464,457,0,6,1,438,25,1300,836,84,56,57,4,29,113,60,35
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10 (FOSTA GRRĂDINIŢĂ DE COPII NR. 10)",129,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:21",862,853,1,8,0,322,314,0,8,0,305,17,898,576,41,39,51,5,16,79,56,18
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NR.2",267,"ORAŞ SLĂNIC",131577,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:23:51",927,911,1,10,5,589,574,0,10,5,566,23,1051,462,123,62,60,6,36,171,11,97
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR.2 VÎLCĂNEŞTI",622,VÂLCĂNEŞTI,136198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:57",703,699,1,1,2,411,408,0,1,2,396,15,800,389,209,36,42,2,5,94,3,5
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NR.3",476,MĂNECIU,134096,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:49:53",1318,1308,0,8,2,787,777,0,8,2,753,34,1400,613,438,84,35,1,29,151,10,5
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 39 (FOSTA GRĂDINIŢĂ NR. 39)",99,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:25",838,831,2,5,0,365,360,0,5,0,349,16,900,535,54,47,76,10,20,63,58,21
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 39 (FOSTA GRĂDINIŢĂ NR. 39)",100,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:48",790,782,0,8,0,328,320,0,8,0,317,11,900,572,27,35,38,12,25,82,64,34
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 39 (FOSTA GRĂDINIŢĂ NR. 39)",101,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:39:14",1278,1273,0,4,1,507,502,0,4,1,375,37,1400,877,58,50,40,15,35,93,54,30
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL NR.3(SALA DE CLASA SI DE JOC)",179,"MUNICIPIUL CÂMPINA",131256,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:41:57",1603,1593,3,7,0,673,665,1,7,0,636,35,1825,1154,187,83,61,6,55,208,23,13
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4",281,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:21",960,954,0,5,1,544,538,0,5,1,508,36,1002,458,51,88,23,5,15,261,1,64
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 (FOSTA GRADINITA DE COPII NR. 4)",46,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:49:33",784,758,0,10,16,398,372,0,10,16,370,8,800,422,81,47,65,5,18,76,42,36
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 50 (FOSTA GRĂDINIŢĂ NR. 50)",89,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:29",1103,1092,0,11,0,464,453,0,11,0,450,14,1200,736,58,44,79,9,18,103,80,59
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 50 (FOSTA GRĂDINIŢĂ NR. 50)",88,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:42",1029,1024,0,5,0,471,466,0,5,0,433,38,1100,629,78,57,58,7,22,101,72,38
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL ODAILE",529,"PUCHENII MARI",134942,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:10:42",1297,1284,0,3,10,745,732,0,3,10,694,51,1400,655,353,67,76,1,36,110,7,44
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL OGRETIN",394,DRAJNA,132896,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:48:25",1046,1040,1,5,0,624,619,0,5,0,586,38,1100,476,374,88,18,2,18,75,2,9
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL PĂCUREŢI",491,PĂCUREŢI,134336,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:49:53",1021,934,0,60,27,735,657,0,60,18,694,41,1001,248,271,165,5,0,24,229,0,0
31,PRAHOVA,"GRADINITA CU PROGRAM NORMALPIETROSANI",531,"PUCHENII MARI",134942,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:45:34",924,913,1,7,3,478,468,0,7,3,455,23,1000,522,155,61,118,2,20,73,8,18
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL PLOIEȘTIORI, SAT PLOIEȘTIORI, NR. 537",335,BLEJOI,130678,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:53",1190,1173,4,13,0,673,660,0,13,0,656,17,1300,627,115,98,72,7,40,241,30,53
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL PODUL LUNG",231,"ORAŞ COMARNIC",131336,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:26:12",455,450,0,5,0,237,232,0,5,0,224,13,500,263,120,35,6,0,3,59,1,0
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL PODU VADULUI",216,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:51:52",1284,1270,0,11,3,618,604,0,11,3,583,35,1400,782,271,82,64,2,18,126,9,11
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL POIANA",233,"ORAŞ COMARNIC",131336,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:50",830,821,0,8,1,474,465,0,8,1,458,16,900,426,265,55,18,0,21,96,1,2
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL POSADA",234,"ORAŞ COMARNIC",131336,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:05",1077,1071,0,6,0,556,550,0,6,0,535,21,1200,644,315,80,22,0,17,95,2,4
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL POTIGRAFU, COMUNA GORGOTA",435,GORGOTA,133508,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:57",1034,1030,0,4,0,558,554,0,4,0,524,34,1050,492,306,45,42,3,23,73,16,16
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL-SALA MARE PARTER,COM.BERCENI,SAT MOARA NOUA,STR.SCOLII,NR.106 C",330,BERCENI,130614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:35",938,934,0,4,0,516,512,0,4,0,478,38,1000,484,249,49,47,2,31,87,7,6
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL-SALA MICA PARTER,COM.BERCENI,SAT BERCENI,STR.GRADINITEI NR. 358 A",326,BERCENI,130614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:35:47",730,727,0,3,0,411,408,0,3,0,398,13,800,389,223,44,37,1,9,72,6,6
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL,SALA MICA PARTER,COM.BERCENI,SAT CATUNU.STR.DEMOCRATIEI,NR.148 A",328,BERCENI,130614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:13:36",528,522,1,5,0,308,303,0,5,0,292,16,600,292,137,32,20,1,17,73,7,5
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL SAT GORGOTA, COMUNA GORGOTA",432,GORGOTA,133508,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:42",1146,1140,0,6,0,616,610,0,6,0,575,41,1200,584,354,59,39,5,21,63,13,21
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL STREJNICU",578,"TÂRGŞORU VECHI",130892,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:02:33",1449,1436,0,11,2,748,735,0,11,2,715,33,1600,852,197,77,78,9,37,274,16,27
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL SURANI",557,SURANI,135404,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:54",1441,1408,2,5,26,874,841,2,5,26,840,34,1566,692,556,86,23,3,28,131,7,6
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL TINOSU, LOCALITATEA TINOSU",592,TINOSU,135850,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:05",894,889,1,3,1,454,450,0,3,1,432,22,1000,546,205,74,15,3,17,89,4,25
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL ȚÎNȚĂRENI, SAT ȚÎNȚĂRENI, NR. 232 E",337,BLEJOI,130678,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:39:08",1459,1451,2,5,1,723,717,0,5,1,701,22,1565,842,123,95,82,5,34,267,35,60
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL TÎRGȘORU NOU, NR. 175",302,"ARICEŞTII RAHTIVANI",132075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:06",914,908,0,6,0,552,546,0,6,0,525,27,1030,478,141,58,25,9,22,249,9,12
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL TÎRGŞORU VECHI",583,"TÂRGŞORU VECHI",130892,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:53:05",998,985,1,9,3,558,546,0,9,3,529,25,1100,546,75,59,200,9,31,131,7,17
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL TUFENI",185,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:00:47",1195,1189,1,4,1,622,617,0,4,1,596,26,1430,808,100,93,45,8,39,292,10,9
