precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CUPŞA OVIDIU-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONSTANTINESCU HORIA-MIRON-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIŢAC VERGIL-PARTIDUL NAȚIONAL LIBERAL-voturi","CRUCERU VICTOR-PARTIDUL ROMÂNIA MARE-voturi","BÎLBĂ ADRIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","ESERGHEP GIHAN-ERDAL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MITULESCU MARIUS-AURELIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","POPESCU CEZARA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ION STELIAN-CRISTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BERECHET VALENTIN-voturi","OVANESIAN FELICIA-NADINA-voturi","PRISĂCARU SORIN-voturi","POPESCU GEORGE-ANDREI-voturi","VOINEAGU EUGEN-voturi"
14,CONSTANŢA,"ATELIER ŞCOALĂ",202,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:44:43",688,680,1,7,0,316,309,0,7,0,307,9,700,384,28,62,93,6,15,4,11,6,51,5,21,0,2,3
14,CONSTANŢA,"BAROUL CONSTANȚA",14,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:28:03",608,600,0,8,0,256,248,0,8,0,248,8,700,444,22,40,83,2,7,3,7,7,48,3,17,0,7,2
14,CONSTANŢA,"BAROUL CONSTANȚA",15,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:50:53",786,779,0,7,0,323,316,0,7,0,316,7,800,477,30,59,99,2,7,5,9,6,67,7,22,1,1,1
14,CONSTANŢA,"CAMPUS SOCIAL ”HENRI COANDĂ”",210,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 22:17:13",1676,1667,0,9,0,634,625,0,9,0,574,60,1800,1166,102,276,58,9,6,13,55,5,29,5,3,5,4,4
14,CONSTANŢA,"CENTRUL DE PERFECȚIONARE AL MARINEI CIVILE",110,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:13:17",1448,1436,4,8,0,609,601,0,8,0,599,10,1600,991,55,110,174,2,20,13,19,7,152,10,28,5,4,0
14,CONSTANŢA,"CENTRUL DE PERFECȚIONARE AL MARINEI CIVILE",108,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:32:51",1957,1950,0,6,1,831,824,0,6,1,800,31,2000,1169,103,137,245,13,14,5,29,15,143,16,48,8,11,13
14,CONSTANŢA,"CENTRUL DE PERFECȚIONARE AL MARINEI CIVILE",109,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:44:00",1686,1682,1,3,0,709,706,0,3,0,700,9,1900,1191,86,143,195,4,12,6,15,13,176,10,21,3,12,4
14,CONSTANŢA,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ",180,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:52:04",1018,1008,1,9,0,497,488,0,9,0,464,33,1100,603,46,97,168,2,10,0,6,4,89,6,23,2,7,4
14,CONSTANŢA,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ",178,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:12",1134,1126,3,5,0,508,503,0,5,0,498,10,1200,692,44,90,172,4,16,5,4,3,106,8,33,7,6,0
14,CONSTANŢA,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ",179,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:45:00",942,921,7,14,0,470,456,0,14,0,453,17,1000,530,42,63,159,1,7,2,5,2,120,9,30,3,7,3
14,CONSTANŢA,"CENTRUL ȘCOLAR ”ALBATROS”",120,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:29",712,705,0,7,0,300,293,0,7,0,289,10,804,504,32,62,96,3,7,6,3,1,43,12,9,3,7,5
14,CONSTANŢA,"CENTRUL ȘCOLAR ”ALBATROS”",118,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:06",868,858,1,9,0,381,372,0,9,0,363,15,900,522,48,83,99,4,11,5,10,4,65,4,24,2,2,2
14,CONSTANŢA,"CENTRUL ȘCOLAR ”ALBATROS”",119,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:17:54",978,968,2,7,1,431,423,0,7,1,420,11,1100,669,50,96,109,2,16,5,13,6,81,12,17,4,4,5
14,CONSTANŢA,"CENTRUL ȘCOLAR ”ALBATROS”",117,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:50:31",1510,1498,1,10,1,611,600,0,10,1,609,2,1600,989,63,119,178,3,25,11,16,8,119,15,30,4,7,11
14,CONSTANŢA,"CENTRUL ȘCOLAR ”ALBATROS”",116,"MUNICIPIUL CONSTANŢA",60419,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:13:42",1060,1054,1,5,0,454,449,0,5,0,434,20,1200,746,58,82,132,3,2,4,9,6,103,5,18,2,6,4
14,CONSTANŢA,"CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA ”DELFINUL” (ŞCOALA AJUTATOARE NR. 1)",121,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:22",1527,1519,4,4,0,614,610,0,4,0,603,11,1700,1086,53,139,197,2,11,7,11,13,119,5,25,6,6,9
14,CONSTANŢA,"CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA ”DELFINUL” (ŞCOALA AJUTATOARE NR. 1)",122,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:35",1523,1517,1,5,0,584,579,0,5,0,559,20,1700,1116,60,111,178,1,7,15,14,11,104,16,33,4,3,2
14,CONSTANŢA,"CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA”MARIA MONTESSORI” (ŞCOALA AJUTATOARE NR. 2)",92,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:09",1549,1538,4,7,0,588,581,0,7,0,570,18,1700,1112,85,130,137,6,8,6,34,11,109,9,22,3,4,6
14,CONSTANŢA,"CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA”MARIA MONTESSORI” (ŞCOALA AJUTATOARE NR. 2)",94,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:36:03",1007,1003,0,4,0,380,376,0,4,0,374,6,1100,720,40,67,98,0,7,6,8,8,98,13,17,1,4,7
14,CONSTANŢA,"CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA”MARIA MONTESSORI” (ŞCOALA AJUTATOARE NR. 2)",93,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:36",783,771,1,11,0,365,360,0,5,0,358,7,900,535,38,68,85,2,8,8,6,8,88,9,23,4,5,6
14,CONSTANŢA,"CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA”MARIA MONTESSORI” (ŞCOALA AJUTATOARE NR. 2)",95,"MUNICIPIUL CONSTANŢA",60419,3,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:42",819,809,2,8,0,353,345,0,8,0,347,6,900,547,46,79,89,1,5,4,13,3,68,8,23,2,3,3
14,CONSTANŢA,"COLEGIUL COMERCIAL ”CAROL I”",8,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:17",842,811,26,5,0,364,359,0,5,0,357,7,901,537,31,51,113,3,7,2,6,5,99,2,32,1,3,2
14,CONSTANŢA,"COLEGIUL COMERCIAL ”CAROL I”",7,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:23",1275,1254,16,5,0,602,597,0,5,0,587,15,1400,798,35,95,220,2,17,6,10,7,141,13,28,2,4,7
14,CONSTANŢA,"COLEGIUL NAȚIONAL DE ARTE ”REGINA MARIA” (ȘCOALA NR. 42)",28,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:03",937,931,0,6,0,419,413,0,6,0,412,7,1000,581,53,109,103,1,9,10,10,8,71,12,21,0,2,3
14,CONSTANŢA,"COLEGIUL NAȚIONAL DE ARTE ”REGINA MARIA” (ȘCOALA NR. 42)",29,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:17:13",520,515,0,5,0,257,252,0,5,0,247,10,600,343,17,73,53,3,4,3,4,6,57,12,7,6,2,0
14,CONSTANŢA,"COLEGIUL NAȚIONAL DE ARTE ”REGINA MARIA” (ȘCOALA NR. 42)",27,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:56:37",841,833,0,8,0,439,431,0,8,0,432,7,900,461,44,75,144,5,8,6,11,7,94,15,18,2,2,1
14,CONSTANŢA,"COLEGIUL NAȚIONAL DE ARTE ”REGINA MARIA” (ȘCOALA NR. 42)",26,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:06",874,864,2,8,0,426,418,0,8,0,412,14,1000,574,50,84,113,4,11,4,10,7,97,5,18,2,1,6
14,CONSTANŢA,"COLEGIUL NATIONAL ” MIHAI EMINESCU”",2,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-11 15:09:29",591,573,8,10,0,225,215,0,10,0,215,10,700,475,29,41,68,2,6,5,4,4,45,2,7,1,1,0
14,CONSTANŢA,"COLEGIUL NATIONAL ” MIHAI EMINESCU”",1,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:41",1876,1841,21,14,0,344,329,1,14,0,335,9,1900,1556,43,62,87,3,12,3,8,4,81,5,23,1,1,2
14,CONSTANŢA,"COLEGIUL NAȚIONAL „MIHAI EMINESCU„",3,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:23",801,792,3,6,0,302,296,0,6,0,296,6,900,598,35,45,110,3,5,6,7,3,55,1,16,1,3,6
14,CONSTANŢA,"COLEGIUL NAŢIONAL MIRCEA CEL BĂTRÂN",5,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:27:18",572,560,3,9,0,280,271,0,9,0,277,2,700,419,24,66,77,2,5,5,1,1,68,8,16,0,3,1
14,CONSTANŢA,"COLEGIUL NAŢIONAL MIRCEA CEL BĂTRÂN",4,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:49",578,571,0,7,0,260,253,0,7,0,249,11,600,340,25,45,77,2,5,3,6,3,57,7,13,0,2,4
14,CONSTANŢA,"COLEGIUL NATIONAL PEDAGOGIC ”CONSTANTIN BRĂTESCU”",9,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:47",1453,1438,7,8,0,662,654,0,8,0,639,23,1500,838,81,85,222,6,10,10,18,12,142,10,25,3,8,7
14,CONSTANŢA,"COLEGIUL NATIONAL PEDAGOGIC ”CONSTANTIN BRĂTESCU”",11,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:21",1153,1136,6,11,0,525,514,0,11,0,508,17,1200,675,53,75,170,3,11,8,10,9,110,10,34,2,7,6
14,CONSTANŢA,"COLEGIUL NATIONAL PEDAGOGIC ”CONSTANTIN BRĂTESCU”",10,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:20",1134,1117,8,9,0,501,490,2,9,0,491,10,1200,699,48,81,182,3,6,8,7,8,97,6,33,0,6,6
14,CONSTANŢA,"COLEGIUL TEHNIC ENERGETIC",183,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:25:42",1254,1237,11,6,0,555,549,0,6,0,541,12,1400,845,50,84,147,0,7,8,15,5,164,16,25,5,7,8
14,CONSTANŢA,"COLEGIUL TEHNIC ENERGETIC",185,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:11",1214,1180,20,14,0,512,498,0,14,0,501,11,1300,788,52,74,138,2,19,7,12,4,136,13,34,2,8,0
14,CONSTANŢA,"COLEGIUL TEHNIC ENERGETIC",186,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:22",1624,1604,14,6,0,751,745,0,6,0,740,11,1800,1049,64,120,230,4,19,8,9,12,182,13,64,3,7,5
14,CONSTANŢA,"COLEGIUL TEHNIC ENERGETIC",184,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:25",671,662,3,6,0,300,294,0,6,0,292,8,700,400,28,44,80,5,10,4,2,2,83,15,12,2,2,3
14,CONSTANŢA,"COLEGIUL TEHNIC ”TOMIS”",173,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:12",608,600,0,8,0,286,278,0,8,0,272,13,700,415,32,46,73,0,9,7,2,1,69,3,22,0,4,4
14,CONSTANŢA,"COLEGIUL TEHNIC ”TOMIS”",174,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:14",993,984,0,9,0,482,473,0,9,0,467,15,1100,618,46,69,169,3,8,6,7,8,109,7,23,3,5,4
14,CONSTANŢA,"COLEGIUL TEHNIC ”TOMIS”",172,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:26:37",896,887,3,6,0,389,383,0,6,0,383,6,1000,611,32,79,114,1,13,12,5,4,76,11,27,5,2,2
14,CONSTANŢA,"COLEGIUL TEHNIC ”TOMIS”",171,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:54:31",934,924,3,7,0,440,433,0,7,0,434,6,1000,560,42,93,150,0,13,8,4,5,77,5,24,3,3,7
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR.34",83,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:15",1569,1563,0,6,0,606,600,0,6,0,579,27,1600,994,84,114,128,10,11,15,20,14,124,12,24,6,11,6
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR.34",84,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:18",1240,1231,0,9,0,517,508,0,9,0,500,17,1400,883,82,104,120,3,11,6,18,6,117,3,17,4,4,5
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 51",132,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:15:19",1392,1380,0,10,2,586,574,0,10,2,564,19,1500,917,58,143,144,8,10,15,20,9,106,9,17,11,8,6
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 51",133,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:22",1430,1408,15,6,1,637,630,0,6,1,622,15,1600,963,75,138,141,3,13,7,21,6,159,9,33,6,7,4
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT”AMICII” (GRĂDINIŢA NR.12 )",151,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:24",1073,1057,5,11,0,449,438,0,11,0,430,19,1200,751,38,115,93,4,15,5,13,7,102,14,16,1,3,4
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MUGUREL” (GRĂDINIŢA NR. 43)",131,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:26",1405,1397,1,7,0,602,595,0,7,0,588,14,1500,898,51,172,156,5,12,10,17,9,108,14,24,3,4,3
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MUGUREL” (GRĂDINIŢA NR. 43)",130,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:56",1309,1299,3,7,0,515,508,0,7,0,499,16,1395,880,58,121,113,4,10,7,10,12,106,13,28,2,10,5
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NOROCEL”(GRĂDINIŢA NR.13)",166,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:42",942,933,3,6,0,418,412,0,6,0,404,14,1000,582,40,80,117,2,11,9,3,4,98,10,21,3,5,1
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NOROCEL”(GRĂDINIŢA NR.13)",165,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 22:48:12",815,809,0,6,0,362,356,0,6,0,342,10,900,538,31,74,102,4,8,1,5,0,78,9,22,0,7,1
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.45",190,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:00",813,801,3,9,0,377,368,0,9,0,369,8,900,523,37,55,111,7,10,5,3,3,96,7,26,3,3,3
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.6",203,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:08:14",709,699,1,9,0,343,334,0,9,0,330,13,800,457,23,58,105,2,10,4,5,12,70,5,25,2,7,2
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 8 (TOMIS II)",201,"MUNICIPIUL CONSTANŢA",60419,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:24:29",744,723,0,21,0,377,356,0,21,0,371,6,1000,623,42,70,110,2,13,4,9,8,82,5,14,0,9,3
14,CONSTANŢA,"LICEUL CU PROGRAM SPORTIV ”NICOLAE ROTARU ” (ŞCOALA NR.34)",22,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:00",1324,1324,0,0,0,591,591,0,0,0,580,11,1500,909,63,115,183,3,7,7,9,9,130,24,16,4,7,3
14,CONSTANŢA,"LICEUL CU PROGRAM SPORTIV ”NICOLAE ROTARU ” (ŞCOALA NR.34)",25,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:27:49",1369,1362,0,7,0,659,652,0,7,0,642,17,1500,841,79,107,194,4,12,13,14,12,159,14,17,0,7,10
14,CONSTANŢA,"LICEUL CU PROGRAM SPORTIV ”NICOLAE ROTARU ” (ŞCOALA NR.34)",23,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:40",1069,1063,2,4,0,426,422,0,4,0,413,13,1200,774,58,78,122,2,9,11,19,8,73,9,15,1,3,5
14,CONSTANŢA,"LICEUL CU PROGRAM SPORTIV ”NICOLAE ROTARU ” (ŞCOALA NR.34)",24,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:35:31",1199,1189,2,8,0,556,548,0,8,0,532,16,1300,752,74,117,130,3,6,6,20,3,108,12,31,3,4,15
14,CONSTANŢA,"LICEUL ENERGETIC CONSTANȚA",181,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:58",1113,1094,9,9,1,512,502,0,9,1,507,5,1400,888,53,83,182,9,9,5,7,0,107,8,26,1,11,6
14,CONSTANŢA,"LICEUL ENERGETIC CONSTANȚA",182,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-12 13:48:52",1596,1533,3,28,32,680,620,0,28,32,659,19,1700,1020,42,160,200,3,10,12,10,10,137,23,39,0,8,5
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”C.A.ROSETTI”",38,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:37",1026,1008,11,7,0,470,463,0,7,0,461,9,1400,930,51,69,164,1,7,9,9,8,99,3,24,5,8,4
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”C.A.ROSETTI”",40,"MUNICIPIUL CONSTANŢA",60419,5,PART,PRCNCT,P,P_SV,"2024-06-10 11:48:50",1190,1180,5,5,0,544,539,0,5,0,535,9,1300,756,45,107,182,4,10,8,13,7,107,12,23,6,7,4
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”C.A.ROSETTI”",39,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:39:24",1067,1061,0,6,0,430,424,0,6,0,415,15,1200,770,49,83,118,6,6,9,10,7,72,14,29,1,8,3
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”C.A.ROSETTI”",41,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:08",797,791,0,6,0,381,375,0,6,0,373,8,900,519,35,76,110,1,9,4,2,6,77,3,32,3,12,3
14,CONSTANŢA,"LICEUL TEHNOLOGIC DE ELECTROTEHNICA SI TELECOMUNICAȚII",206,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:08:06",1184,1170,7,7,0,571,564,0,7,0,559,12,1300,729,63,95,189,4,12,4,9,4,132,23,17,0,3,4
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”",75,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:47",1662,1644,10,8,0,701,693,0,8,0,696,5,1800,1099,81,150,205,8,16,9,28,12,105,17,32,11,14,8
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”",74,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:48",1621,1615,2,4,0,713,709,0,4,0,697,16,1800,1087,105,166,186,7,13,17,25,8,103,9,39,9,3,7
