precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GLIGA DUMITRIŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","TOGĂNEL CRISTINA-MARA-PARTIDUL NAȚIONAL LIBERAL-voturi","PÉTER FERENC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BIRO DANIEL-RĂZVAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GIURGIU ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MAŞCA DAN-SORIN-PARTIDUL OAMENILOR LIBERI-voturi","DEGAN AXENTE-CIPRIAN-PARTIDUL ROMÂNIA MARE-voturi","MÁTHÉ ZSOLT-PÉTER-voturi"
28,MUREŞ,"CĂMIN CULTURAL AGRIŞTEU",268,BĂLĂUŞERI,115637,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:24:52",627,614,1,3,9,302,289,1,3,9,274,28,690,388,19,25,211,10,5,1,2,1
28,MUREŞ,"CĂMIN CULTURAL ALBEȘTI",223,ALBEŞTI,114603,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:49:11",1748,1734,2,5,7,859,846,1,5,7,796,63,1917,1058,303,165,141,84,70,12,6,15
28,MUREŞ,"CAMIN CULTURAL BAND",248,BAND,115389,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:46:52",1022,1013,1,8,0,506,497,1,8,0,372,134,1090,584,74,116,58,11,1,3,107,2
28,MUREŞ,"CĂMIN CULTURAL BATOŞ",259,BATOŞ,115520,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:29",1088,1076,0,6,6,586,574,0,6,6,567,19,1200,614,142,246,86,50,30,6,6,1
28,MUREŞ,"CĂMIN CULTURAL BERNADEA",240,BAHNEA,115307,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:08:08",159,157,0,2,0,90,88,0,2,0,79,11,180,90,20,27,5,17,4,4,2,0
28,MUREŞ,"CĂMIN CULTURAL BICHIŞ",282,BICHIŞ,115771,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:58:04",145,133,0,8,4,93,81,0,8,4,93,0,146,53,0,17,72,0,3,0,0,1
28,MUREŞ,"CĂMIN CULTURAL BOLINTINENI, SAT BOLINTINENI",479,PĂSĂRENI,118753,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:37:05",190,185,0,5,0,85,80,0,5,0,74,11,210,125,9,5,49,5,3,0,2,1
28,MUREŞ,"CĂMIN CULTURAL BORD",334,CUCERDEA,116395,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:27:40",102,94,0,4,4,68,60,0,4,4,59,9,111,43,9,41,0,4,4,1,0,0
28,MUREŞ,"CAMIN CULTURAL BOTEZ",235,AŢINTIŞ,115236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:50:31",147,141,0,3,3,96,90,0,3,3,96,0,160,64,56,14,2,12,3,0,9,0
28,MUREŞ,"CAMIN CULTURAL BREAZA",293,BREAZA,115851,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:46:43",1088,1056,3,4,25,693,662,2,4,25,671,22,1160,467,81,121,335,38,87,4,4,1
28,MUREŞ,"CĂMIN CULTURAL CĂPUȘU DE CÎMPIE",428,ICLĂNZEL,117667,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:29:01",652,622,0,18,12,395,365,0,18,12,355,33,690,301,118,108,5,74,44,2,4,0
28,MUREŞ,"CĂMIN CULTURAL CERGHID",205,"ORAŞ UNGHENI",119894,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:01:31",425,405,1,8,11,264,245,0,8,11,254,10,450,186,70,118,5,24,24,5,8,0
28,MUREŞ,"CÂMIN CULTURAL CHINARI",528,"SÂNTANA DE MUREŞ",114453,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:14:58",620,610,2,6,2,373,364,1,6,2,348,25,700,327,68,77,135,41,13,9,3,2
28,MUREŞ,"CĂMIN CULTURAL CHIRILEU",515,SÂNPAUL,119466,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:50:46",725,714,3,6,2,416,408,0,6,2,266,150,790,374,86,64,61,35,11,5,4,0
28,MUREŞ,"CĂMIN CULTURAL CLOAȘTERF",496,SASCHIZ,119206,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:00:51",150,145,0,5,0,76,71,0,5,0,70,6,160,84,7,41,0,19,2,0,1,0
28,MUREŞ,"CĂMIN CULTURAL CRĂCIUNEŞTI SALA MICĂ",321,CRĂCIUNEŞTI,116288,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:14:32",751,726,0,9,16,283,258,0,9,16,251,32,824,541,9,5,231,5,1,0,0,0
28,MUREŞ,"CĂMIN CULTURAL CURTENI",529,"SÂNTANA DE MUREŞ",114453,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:53:02",897,881,5,3,8,570,559,0,3,8,559,11,960,390,13,45,483,9,6,0,1,2
28,MUREŞ,"CĂMIN CULTURAL DEDA",346,DEDA,116545,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:35:35",1548,1507,0,20,21,1064,1023,0,20,21,998,66,1650,586,559,66,6,313,42,7,4,1
28,MUREŞ,"CĂMIN CULTURAL DEDRAD",260,BATOŞ,115520,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:14",1344,1332,0,10,2,756,744,0,10,2,731,25,1462,705,474,112,8,84,44,7,2,0
28,MUREŞ,"CĂMIN CULTURAL DELENI",430,"IDECIU DE JOS",117783,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:40",211,194,0,9,8,161,144,0,9,8,154,7,210,49,21,85,2,34,12,0,0,0
28,MUREŞ,"CĂMIN CULTURAL DELENII",264,BĂGACIU,115575,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:29",873,856,0,8,9,518,501,0,8,9,494,24,951,433,76,38,314,26,21,3,4,12
28,MUREŞ,"CĂMIN CULTURAL DILEU VECHI",467,OGRA,118575,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:14:47",141,126,0,12,3,98,83,0,12,3,93,5,148,50,60,6,16,6,3,1,1,0
28,MUREŞ,"CĂMIN CULTURAL DULCEA",425,IBĂNEŞTI,117550,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:52:22",908,886,1,3,18,589,568,0,3,18,563,26,980,391,401,76,0,61,12,4,7,2
28,MUREŞ,"CĂMIN CULTURAL DUMITRENI",270,BĂLĂUŞERI,115637,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:00:07",361,337,0,9,15,166,142,0,9,15,159,7,400,234,0,1,154,3,0,0,1,0
28,MUREŞ,"CĂMIN CULTURAL FILITELNIC",271,BĂLĂUŞERI,115637,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:05:26",175,168,0,6,1,98,91,0,6,1,92,6,198,100,8,40,30,10,1,1,2,0
28,MUREŞ,"CĂMIN CULTURAL FILPIŞU MARE",294,BREAZA,115851,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:14:02",649,636,0,3,10,386,373,0,3,10,341,45,700,314,54,153,73,43,11,4,3,0
28,MUREŞ,"CĂMIN CULTURAL GĂIEȘTI",211,ACĂŢARI,114970,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:43:49",299,291,1,0,7,191,184,0,0,7,189,2,325,134,4,2,181,2,0,0,0,0
28,MUREŞ,"CÃMIN CULTURAL GÎMBUŢ",283,BICHIŞ,115771,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:05:54",134,120,0,5,9,93,79,0,5,9,93,0,130,37,50,26,8,5,3,0,0,1
28,MUREŞ,"CĂMIN CULTURAL GORENI",261,BATOŞ,115520,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:04",489,476,0,5,8,294,281,0,5,8,274,20,540,246,147,49,44,17,12,2,2,1
28,MUREŞ,"CĂMIN CULTURAL GREBENISU DE CIMPIE",405,"GREBENIŞU DE CÂMPIE",117275,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:48:07",1407,1321,4,31,51,997,915,0,31,51,888,109,1464,467,271,113,9,361,87,7,18,22
28,MUREŞ,"CAMIN CULTURAL HADARENI",306,CHEŢANI,116046,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:12:55",656,653,1,1,1,370,368,0,1,1,343,27,719,349,87,69,55,65,43,3,18,3
28,MUREŞ,"CĂMIN CULTURAL IDECIU DE SUS",431,"IDECIU DE JOS",117783,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:16:04",747,721,1,9,16,393,368,0,9,16,375,18,790,397,49,246,6,54,17,1,2,0
28,MUREŞ,"CĂMIN CULTURAL IDICIU",244,BAHNEA,115307,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:21:47",262,257,0,4,1,150,145,0,4,1,124,26,290,140,8,92,2,18,2,0,0,2
28,MUREŞ,"CĂMIN CULTURAL LEFAIA",327,CRĂIEŞTI,116340,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:46:09",48,43,0,5,0,41,36,0,5,0,40,1,50,9,6,30,0,3,1,0,0,0
28,MUREŞ,"CĂMIN CULTURAL MIHAI VITEAZU",497,SASCHIZ,119206,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:17",252,249,0,3,0,128,125,0,3,0,107,21,272,144,18,75,0,12,1,1,0,0
28,MUREŞ,"CĂMIN CULTURAL MILAȘEL",328,CRĂIEŞTI,116340,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:36:56",142,132,1,5,4,100,91,0,5,4,90,10,150,50,17,58,0,14,1,0,0,0
28,MUREŞ,"CĂMIN CULTURAL MOREŞTI",207,"ORAŞ UNGHENI",119894,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:45",693,672,1,13,7,414,393,1,13,7,386,28,750,336,95,213,9,43,12,5,8,1
28,MUREŞ,"CĂMIN CULTURAL MURGEȘTI",213,ACĂŢARI,114970,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:03:24",427,408,0,0,19,259,240,0,0,19,255,4,450,191,3,0,248,3,1,0,0,0
28,MUREŞ,"CĂMIN CULTURAL OARBA DE MUREŞ",160,"ORAŞ IERNUT",117827,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:57:30",102,87,4,10,1,57,43,3,10,1,51,6,100,43,23,14,2,7,4,0,1,0
28,MUREŞ,"CĂMIN CULTURAL OROIU",255,BAND,115389,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:08:37",236,228,0,8,0,123,115,0,8,0,112,11,249,126,47,42,3,14,4,1,1,0
28,MUREŞ,"CĂMIN CULTURAL SÂNTANA DE MUREȘ",526,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:43:54",1630,1613,4,10,3,974,961,0,10,3,925,49,1780,806,250,263,203,98,57,48,4,2
28,MUREŞ,"CĂMIN CULTURAL SÂNTANA DE MUREȘ",525,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:01:23",1620,1601,8,8,3,933,922,0,8,3,899,34,1750,817,192,239,261,129,37,28,10,3
28,MUREŞ,"CĂMIN CULTURAL SATU NOU",385,"GHEORGHE DOJA",116983,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:53:17",634,606,0,3,25,332,304,0,3,25,322,10,700,368,9,7,294,8,2,1,0,1
28,MUREŞ,"CĂMIN CULTURAL ȘERBENI",278,"BEICA DE JOS",115708,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:03",251,243,0,5,3,163,155,0,5,3,156,7,281,118,109,13,1,17,13,0,3,0
28,MUREŞ,"CĂMIN CULTURAL STEJERIȘ",215,ACĂŢARI,114970,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:43:51",273,269,0,0,4,121,117,0,0,4,116,5,300,179,1,0,112,0,0,1,1,1
28,MUREŞ,"CĂMIN CULTURAL STÎNCENI",532,STÂNCENI,119625,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:05:14",1202,1139,4,45,14,823,761,3,45,14,776,47,1267,444,203,323,85,92,58,2,8,5
28,MUREŞ,"CĂMIN CULTURAL SUVEICA",216,ACĂŢARI,114970,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:24:10",180,166,1,3,10,94,81,0,3,10,89,5,200,106,1,0,84,4,0,0,0,0
28,MUREŞ,"CĂMIN CULTURAL TELEAC",404,GORNEŞTI,117177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:50:34",308,285,0,3,20,174,151,0,3,20,168,6,320,146,95,26,13,21,11,0,2,0
28,MUREŞ,"CĂMIN CULTURAL TIRIMIA",386,"GHEORGHE DOJA",116983,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:00:53",728,718,0,2,8,333,323,0,2,8,308,25,828,495,29,125,62,55,19,8,7,3
28,MUREŞ,"CĂMIN CULTURAL ȚOPA",226,ALBEŞTI,114603,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:03:46",298,288,0,5,5,173,163,0,5,5,167,6,343,170,77,28,10,13,27,4,4,4
28,MUREŞ,"CĂMIN CULTURAL TORBA",448,MĂGHERANI,118094,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:22:05",126,122,0,2,2,84,80,0,2,2,84,0,146,62,0,0,83,1,0,0,0,0
28,MUREŞ,"CĂMIN CULTURAL TREI SATE",390,GHINDARI,117042,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:56:21",1032,1005,5,9,13,353,331,0,9,13,313,40,1116,763,13,6,278,2,1,2,1,10
28,MUREŞ,"CĂMIN CULTURAL UILA",262,BATOŞ,115520,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:55:07",478,468,0,7,3,225,215,0,7,3,204,21,520,295,93,43,46,13,7,1,1,0
28,MUREŞ,"CĂMIN CULTURAL UNGHENI",203,"ORAŞ UNGHENI",119894,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:24",899,874,1,18,6,473,450,0,18,5,413,60,965,492,86,200,34,42,20,9,21,1
28,MUREŞ,"CĂMIN CULTURAL UNGHENI",204,"ORAŞ UNGHENI",119894,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:09:17",880,853,2,17,8,487,462,0,17,8,450,37,940,453,45,250,47,73,20,5,9,1
28,MUREŞ,"CAMIN CULTURAL VAIDEIU",470,OGRA,118575,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:10:49",104,98,0,4,2,74,68,0,4,2,67,7,110,36,51,8,1,4,2,0,1,0
28,MUREŞ,"CĂMIN CULTURAL VIFOROASA",371,FÂNTÂNELE,116796,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:48:43",688,672,1,4,11,326,311,0,4,11,302,24,740,414,2,1,291,0,6,0,1,1
28,MUREŞ,"CAMINUL CULTURAL",180,"ORAŞ MIERCUREA NIRAJULUI",118281,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:08:48",495,479,2,6,8,194,180,0,6,8,181,13,530,336,12,3,162,0,0,1,2,1
28,MUREŞ,"CAMINUL CULTURAL",427,ICLĂNZEL,117667,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:09:57",1009,992,0,0,17,639,622,0,0,17,596,26,1102,463,366,124,2,89,10,3,2,0
28,MUREŞ,"CAMINUL CULTURAL",177,"ORAŞ MIERCUREA NIRAJULUI",118281,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:58:50",279,264,0,6,9,170,155,0,6,9,166,4,300,130,3,1,160,1,0,0,0,1
28,MUREŞ,"CĂMINUL CULTURAL",493,RUŞII-MUNŢI,119153,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:52:21",198,188,0,9,1,128,118,0,9,1,124,4,210,82,57,44,1,21,0,0,1,0
28,MUREŞ,"CĂMINUL CULTURAL",518,SÂNPAUL,119466,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:53:10",1020,962,0,13,45,730,672,0,13,45,715,15,1055,325,49,29,598,31,3,0,4,1
28,MUREŞ,"CĂMINUL CULTURAL",516,SÂNPAUL,119466,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:24:38",153,138,4,6,5,82,71,0,6,5,81,1,160,78,7,1,71,1,1,0,0,0
28,MUREŞ,"CĂMINUL CULTURAL",332,CRISTEŞTI,114355,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:00",805,798,0,1,6,394,387,0,1,6,357,37,893,499,20,15,290,10,6,8,0,8
28,MUREŞ,"CĂMINUL CULTURAL",517,SÂNPAUL,119466,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:14:42",228,220,3,5,0,119,114,0,5,0,112,7,240,121,70,5,21,13,2,0,1,0
28,MUREŞ,"CĂMINUL CULTURAL",492,RUŞII-MUNŢI,119153,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:43:36",1238,1204,1,9,24,766,732,1,9,24,719,47,1349,583,417,77,2,153,47,10,11,2
28,MUREŞ,"CĂMINUL CULTURAL ACĂŢARI",210,ACĂŢARI,114970,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:22:30",1024,994,0,2,28,496,466,0,2,28,479,17,1085,589,8,9,450,5,2,2,0,3
28,MUREŞ,"CĂMINUL CULTURAL ADĂMUȘ",219,ADĂMUŞ,115076,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:50:59",1059,1051,2,2,4,444,438,0,2,4,426,18,1170,726,173,73,67,80,17,6,7,3
28,MUREŞ,"CĂMINUL CULTURAL ADRIAN",408,GURGHIU,117319,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:30:50",253,249,0,4,0,124,120,0,4,0,113,11,280,156,15,63,2,26,6,0,0,1
28,MUREŞ,"CĂMINUL CULTURAL ALUNIŞ-SALA MARE",227,ALUNIŞ,115147,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:35:19",766,746,1,1,18,470,451,0,1,18,451,19,848,378,50,15,287,66,15,2,9,7
28,MUREŞ,"CĂMINUL CULTURAL ALUNIŞ-SALA MICĂ",228,ALUNIŞ,115147,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:59:23",759,744,0,4,11,496,481,0,4,11,482,14,840,344,43,15,380,19,11,4,5,5
28,MUREŞ,"CĂMINUL CULTURAL BĂGACIU",263,BĂGACIU,115575,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:46",1202,1186,3,9,4,577,564,0,9,4,521,56,1300,723,262,34,17,72,121,4,10,1
28,MUREŞ,"CĂMINUL CULTURAL BALDA",184,"ORAŞ SĂRMAŞU",119242,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:40:08",905,887,2,11,5,555,539,0,11,5,492,63,983,428,235,173,16,53,13,0,2,0
28,MUREŞ,"CĂMINUL CULTURAL BĂRDEŞTI",527,"SÂNTANA DE MUREŞ",114453,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:27:23",472,464,0,8,0,292,284,0,8,0,290,2,510,218,77,124,16,50,13,7,2,1
28,MUREŞ,"CĂMINUL CULTURAL BEDENI",374,GĂLEŞTI,116867,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:06:06",112,101,1,2,8,53,43,0,2,8,50,3,120,67,0,0,50,0,0,0,0,0
28,MUREŞ,"CĂMINUL CULTURAL BERENI",279,BERENI,120511,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:42:46",449,427,0,0,22,232,210,0,0,22,216,16,490,258,9,1,204,2,0,0,0,0
28,MUREŞ,"CĂMINUL CULTURAL BERGHIA",474,PĂNET,118691,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:26",960,942,4,3,11,454,439,1,3,11,434,20,1050,596,20,50,330,21,6,5,2,0
28,MUREŞ,"CĂMINUL CULTURAL BÎRLIBAȘ",520,"SÂNPETRU DE CÂMPIE",119527,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:04:36",127,114,1,9,3,87,74,1,9,3,86,1,130,43,71,6,2,7,0,0,0,0
28,MUREŞ,"CĂMINUL CULTURAL BOBOHALMA",150,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:14:01",779,773,1,5,0,322,317,0,5,0,306,16,860,538,42,113,2,123,16,2,3,5
28,MUREŞ,"CĂMINUL CULTURAL BOIU",225,ALBEŞTI,114603,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:47:20",1193,1182,3,6,2,645,635,2,6,2,566,79,1271,626,131,97,102,113,93,9,18,3
28,MUREŞ,"CĂMINUL CULTURAL BOZED",297,"CEUAŞU DE CÂMPIE",115959,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:45:02",110,101,2,6,1,61,52,2,6,1,56,3,120,61,22,16,4,7,5,0,0,2
28,MUREŞ,"CĂMINUL CULTURAL BOZENI",318,CORUNCA,120487,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:55:09",132,127,0,1,4,84,79,0,1,4,84,0,160,76,0,0,78,0,1,5,0,0
28,MUREŞ,"CĂMINUL CULTURAL CĂLUŞERI",357,ERNEI,116652,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:58:57",462,448,0,0,14,231,217,0,0,14,219,12,506,275,2,0,199,0,15,2,0,1
28,MUREŞ,"CĂMINUL CULTURAL CÂMPENIŢA",298,"CEUAŞU DE CÂMPIE",115959,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:13:44",722,708,1,7,6,440,427,0,7,6,436,4,790,350,8,12,389,5,12,6,0,4
28,MUREŞ,"CĂMINUL CULTURAL CEUAŞU DE CÂMPIE",296,"CEUAŞU DE CÂMPIE",115959,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:02:48",1402,1394,2,5,1,770,763,1,5,1,708,62,1527,757,104,107,325,98,46,15,6,7
28,MUREŞ,"CAMINUL CULTURAL CIPAIENI",513,SÂNGER,119386,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:20:05",538,516,0,3,19,394,372,0,3,19,371,23,535,141,113,137,2,99,14,2,3,1
28,MUREŞ,"CĂMINUL CULTURAL CORNEŞTI",325,CRĂCIUNEŞTI,116288,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:00:43",721,700,5,4,12,550,530,4,4,12,523,27,790,240,15,8,485,6,2,4,0,3
28,MUREŞ,"CĂMINUL CULTURAL CORUNCA",316,CORUNCA,120487,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:59:41",1541,1512,6,3,20,824,800,1,3,20,789,35,1660,831,36,77,600,20,33,13,4,6
28,MUREŞ,"CĂMINUL CULTURAL CORUNCA",317,CORUNCA,120487,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:35",1729,1696,14,13,6,1076,1057,0,13,6,1059,15,1847,773,141,256,331,97,151,68,10,5
28,MUREŞ,"CĂMINUL CULTURAL CRĂCIUNEŞTI SALA MARE",322,CRĂCIUNEŞTI,116288,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:10:00",1080,1071,2,3,4,624,617,0,3,4,608,16,1190,566,12,2,578,5,4,3,1,3
