precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CĂMIN CULTURAL DERSCA",228,DERSCA,37011,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:14:37",1303,1250,0,2,51,704,651,0,2,51,644,60,1450,746,161,25,402,31,3,3,13,6
7,BOTOŞANI,"CAMIN CULTURAL HANESTI",267,HĂNEŞTI,37618,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:38:46",1867,1850,0,1,16,483,466,0,1,16,414,69,2000,1517,71,20,288,18,0,0,14,3
7,BOTOŞANI,"CĂMIN CULTURAL IVANCĂUȚI",329,PĂLTINIŞ,38492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:00:17",744,717,0,9,18,262,235,0,9,18,236,26,800,538,88,8,35,88,7,2,8,0
7,BOTOŞANI,"CĂMIN CULTURAL MILEANCA",318,MILEANCA,38321,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:19:19",1286,1233,0,17,36,729,677,0,17,35,678,51,1300,571,307,7,287,12,0,0,12,53
7,BOTOŞANI,CAMINCULTURALNICŞENI,324,NICŞENI,38456,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:34",750,724,0,9,17,420,394,0,9,17,395,25,800,380,184,3,160,25,2,11,9,1
7,BOTOŞANI,"CAMIN CULTURAL PALTINIS",327,PĂLTINIŞ,38492,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:54:28",1933,1893,0,18,22,519,479,0,18,22,477,42,2000,1481,150,11,148,153,2,6,7,0
7,BOTOŞANI,"CĂMIN CULTURAL RĂCHIŢI",339,RĂCHIŢI,35839,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:58:18",1139,1135,0,4,0,621,617,0,4,0,597,24,1200,579,310,17,168,40,4,16,23,19
7,BOTOŞANI,"CAMIN CULTURAL RADAUTI-PRUT",343,RĂDĂUŢI-PRUT,38633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:00:16",703,691,0,5,7,303,291,0,5,7,286,17,800,497,149,7,68,21,1,2,8,30
7,BOTOŞANI,"CAMIN CULTURAL RAUSENI",347,RĂUSENI,38679,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:07:48",1012,995,1,7,9,484,468,0,7,9,417,67,1100,616,126,19,234,21,2,1,7,7
7,BOTOŞANI,"CĂMIN CULTURAL ROŞIORI",342,RĂCHIŢI,35839,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:23",1406,1393,0,11,2,697,684,0,11,2,664,33,1500,803,411,12,176,25,2,5,18,15
7,BOTOŞANI,"CAMIN CULTURAL VANATORI",261,GORBĂNEŞTI,37459,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:18:25",577,532,1,35,9,362,317,1,35,9,343,19,613,249,40,3,281,8,3,1,6,1
7,BOTOŞANI,"CĂMINUL CULTURAL",352,RIPICENI,38731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:49",1132,1130,0,0,2,183,181,0,0,2,170,13,1300,1117,76,4,76,10,0,0,3,1
7,BOTOŞANI,"CĂMINUL CULTURAL",357,ROMÂNEŞTI,38848,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:54:46",1091,1020,1,16,54,692,621,1,16,54,671,21,1200,508,277,8,260,76,3,5,13,29
7,BOTOŞANI,"CĂMINUL CULTURAL",351,RIPICENI,38731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:23:04",1252,1241,0,1,10,261,250,0,1,10,236,25,1400,1139,87,3,113,23,1,3,4,2
7,BOTOŞANI,"CĂMINUL CULTURAL AL COMUNEI TODIRENI",381,TODIRENI,39266,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:33:26",1183,1145,0,4,34,648,619,0,4,25,599,49,1240,592,294,18,261,14,1,2,4,5
7,BOTOŞANI,"CAMINUL CULTURAL BIZNOASA",293,LUNCA,37912,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:55",493,466,0,1,26,305,278,0,1,26,273,32,505,200,139,5,107,11,0,3,2,6
7,BOTOŞANI,"CĂMINUL CULTURAL CONCEȘTI",178,CONCEŞTI,36532,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:35",1308,1272,0,3,33,671,635,0,3,33,611,60,1300,629,354,18,165,35,17,8,14,0
7,BOTOŞANI,"CAMINUL CULTURAL CORDARENI",184,CORDĂRENI,36649,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:48:44",706,674,1,4,27,413,382,0,4,27,389,24,750,337,70,11,284,11,0,2,11,0
7,BOTOŞANI,"CĂMINUL CULTURAL DIN SATUL DURNEȘTI",241,DURNEŞTI,37217,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:42",906,886,0,4,16,559,539,0,4,16,513,46,1005,446,242,34,200,19,1,0,8,9
7,BOTOŞANI,"CĂMINUL CULTURAL HULUB",225,DÂNGENI,37057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:36:17",451,419,0,6,26,278,246,0,6,26,267,11,500,222,79,6,164,8,1,0,0,9
7,BOTOŞANI,"CAMINUL CULTURAL LUNCA",292,LUNCA,37912,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:40:11",759,729,0,6,24,398,373,0,3,22,362,36,800,402,175,3,123,30,5,2,8,16
7,BOTOŞANI,"CAMINUL CULTURAL MOVILENI",179,CONCEŞTI,36532,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:15:24",253,245,0,2,6,131,123,0,2,6,119,12,314,183,53,2,50,6,0,1,1,6
7,BOTOŞANI,"CAMINUL CULTURAL NEGRENI",380,ŞTIUBIENI,39220,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:27",638,611,0,5,22,410,383,0,5,22,339,71,770,360,23,3,264,19,2,9,7,12
7,BOTOŞANI,"CĂMINUL CULTURAL ”PROF. IOAN COBÂLĂ ” DRĂGUȘENI",237,DRĂGUŞENI,37173,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:29",1838,1836,0,2,0,586,584,0,2,0,539,47,2000,1414,175,6,258,36,5,4,10,45
7,BOTOŞANI,"CAMINUL CULTURAL SANTA MARE",359,"SANTA MARE",38893,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:41:10",967,945,0,10,12,552,530,0,10,12,499,53,1000,448,73,8,269,93,2,3,7,44
7,BOTOŞANI,"CAMINUL CULTURAL SAT MIORCANI",344,RĂDĂUŢI-PRUT,38633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:37:13",665,650,0,0,15,333,318,0,0,15,315,18,700,367,192,7,72,27,2,2,6,7
7,BOTOŞANI,"CAMINUL CULTURAL SAT MIORCANI",345,RĂDĂUŢI-PRUT,38633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:53:17",610,590,0,2,18,301,281,0,2,18,283,18,700,399,182,4,69,20,1,0,3,4
7,BOTOŞANI,"CAMINUL CULTURAL SAT REDIU",346,RĂDĂUŢI-PRUT,38633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:41:10",714,680,0,5,29,342,308,0,5,29,323,19,737,395,202,2,75,14,2,1,12,15
7,BOTOŞANI,"CAMINUL CULTURAL STROIESTI",294,LUNCA,37912,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:03",639,616,0,2,21,348,325,0,2,21,315,33,700,352,161,4,112,18,2,4,9,5
7,BOTOŞANI,"CĂMINUL CULTURAL VIIŞOARA",412,VIIŞOARA,39658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:36:38",646,609,1,8,28,421,384,1,8,28,381,40,793,372,88,2,188,44,4,7,12,36
7,BOTOŞANI,"CĂMINUL CULTURAL ZLĂTUNOAIA",295,LUNCA,37912,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:24:48",1274,1221,0,7,46,673,622,0,7,44,655,18,1300,627,473,11,112,32,0,4,11,12
7,BOTOŞANI,"CASA DE CULTURA ”NICOLAE SEVEREANU”",124,"ORAŞ FLĂMÂNZI",37280,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:34:26",1135,1128,0,7,0,451,444,0,7,0,424,27,1200,749,321,4,46,22,1,1,10,19
7,BOTOŞANI,"CENTRUL CULTURAL BUCECEA",109,"ORAŞ BUCECEA",36453,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:04:07",1618,1611,0,5,2,738,731,0,5,2,676,62,1715,977,216,7,376,42,2,6,14,13
7,BOTOŞANI,"CENTRUL CULTURAL CORNI",193,CORNI,36756,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:13",1067,1066,1,0,0,516,516,0,0,0,464,52,1211,695,76,6,254,50,3,5,20,50
7,BOTOŞANI,"CLĂDIRE ȘCOALĂ(GRĂDINIȚĂ) SATU NOU",106,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:13:58",692,685,0,7,0,332,325,0,7,0,317,15,800,468,144,1,120,14,1,11,17,9
7,BOTOŞANI,"CLĂDIRE ȘCOALĂ LOTURI ENESCU",107,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:58",361,354,0,7,0,184,177,0,7,0,174,10,407,223,56,3,91,13,1,1,5,4
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",59,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:58:58",1210,1200,0,10,0,537,527,0,10,0,519,18,1300,758,232,2,184,33,5,4,24,35
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",57,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:04:55",931,924,0,7,0,363,356,0,7,0,346,17,1000,637,131,2,143,31,7,4,13,15
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",58,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:03:59",1465,1457,2,6,0,745,739,0,6,0,712,33,1600,855,323,6,237,60,7,8,28,43
7,BOTOŞANI,"COLEGIUL NAŢIONAL „A.T. LAURIAN”",64,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:33:59",1267,1230,28,8,1,551,542,0,8,1,529,20,1400,851,242,7,181,29,3,4,25,38
7,BOTOŞANI,"COLEGIUL NAŢIONAL „A.T. LAURIAN”",65,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:32:02",1237,1227,0,10,0,516,506,0,10,0,485,21,1400,894,174,7,197,41,8,10,24,24
7,BOTOŞANI,"COLEGIUL NAȚIONAL ”GRIGORE GHICA” DOROHOI",86,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:59:50",1247,1241,1,5,0,542,536,1,5,0,519,23,1413,871,171,12,247,41,3,3,10,32
7,BOTOŞANI,"COLEGIUL NAȚIONAL”GRIGORE GHICA”DOROHOI",87,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:42:15",1026,1018,1,6,1,432,425,0,6,1,418,14,1200,768,143,11,207,26,1,2,11,17
7,BOTOŞANI,"COLEGIUL NAȚIONAL ”GRIGORE GHICA ”DOROHOI-CORP II",92,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:48",1124,1109,0,13,2,455,440,0,13,2,424,19,1200,757,146,6,204,27,1,7,13,20
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",18,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:04:03",1265,1256,1,8,0,480,472,0,8,0,464,16,1400,920,188,1,189,31,10,6,12,27
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",19,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:56",1026,1019,0,7,0,455,448,0,7,0,443,12,1100,645,216,3,163,27,8,3,8,15
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",20,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:25:47",1430,1420,0,10,0,642,632,0,10,0,608,34,1600,958,249,4,248,14,10,4,18,61
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",21,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:34:09",1096,1089,0,7,0,447,440,0,7,0,434,13,1200,753,174,2,175,36,5,4,15,23
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",29,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:35",1028,1016,6,6,0,394,388,0,6,0,373,21,1100,706,136,9,137,42,6,1,16,26
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",28,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:14",1190,1178,3,9,0,434,425,0,9,0,411,23,1277,843,193,4,132,27,5,6,23,21
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",27,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:01",938,927,0,11,0,396,385,0,11,0,376,20,1005,609,137,4,172,29,2,1,14,17
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",30,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:16",780,774,1,5,0,331,326,0,5,0,321,10,900,569,135,3,107,36,11,5,6,18
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",26,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:21:11",637,626,0,7,4,257,246,0,7,4,251,6,704,447,112,1,90,17,5,4,5,17
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",22,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:20",917,910,0,7,0,361,354,0,7,0,345,16,1000,639,145,6,129,27,5,5,13,15
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",23,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:28:29",850,842,1,7,0,325,318,0,7,0,312,13,1000,675,127,3,119,20,1,6,13,23
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",24,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:32",1227,1218,0,8,1,483,474,0,8,1,460,23,1400,917,173,7,189,31,10,3,10,37
7,BOTOŞANI,"FOST MAGAZIN SATESC",299,MANOLEASA,37958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:25:14",232,220,0,12,0,61,49,0,12,0,56,5,250,189,7,3,42,1,1,0,1,1
7,BOTOŞANI,GRĂDINIȚA,278,HUDEŞTI,37770,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:24",674,623,0,3,48,674,623,0,3,48,621,53,1200,526,317,14,230,47,0,1,8,4
7,BOTOŞANI,"GRADINITA CARASA",188,CORLĂTENI,36676,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:48",409,391,0,6,12,241,223,0,6,12,218,23,450,209,52,6,150,5,1,2,1,1
7,BOTOŞANI,"GRADINITA CU 4 GRUPE IBANESTI",284,IBĂNEŞTI,37823,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:48:19",805,762,0,1,42,533,490,0,1,42,476,24,909,409,348,7,90,19,0,1,11,0
7,BOTOŞANI,"GRADINITA CU 4 GRUPE IBANESTI",283,IBĂNEŞTI,37823,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:47",803,767,2,6,28,476,441,1,6,28,450,26,807,331,331,8,74,26,0,1,6,4
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL „FLOARE DE COLȚ”",4,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:24:59",1451,1440,2,8,1,600,591,0,8,1,582,18,1600,1000,271,4,218,31,12,12,11,23
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL „FLOARE DE COLȚ”",5,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:56",1338,1327,0,10,1,596,585,0,10,1,561,35,1509,913,230,6,208,45,15,4,24,29
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 16",82,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:38",987,980,2,5,0,456,449,2,5,0,428,28,1101,645,177,5,154,20,22,6,25,19
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 BURLEȘTI",400,UNŢENI,39532,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:10:49",502,492,0,6,4,286,276,0,6,4,262,24,599,313,95,4,136,23,0,0,3,1
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 CIȘMEA",340,RĂCHIŢI,35839,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:09",522,517,0,4,1,305,300,0,4,1,294,11,600,295,160,3,93,18,3,1,7,9
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 CRISTINEŞTI",213,CRISTINEŞTI,36952,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:13:47",934,864,0,21,49,575,505,0,21,49,510,65,1000,425,156,17,247,71,1,2,9,7
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 CURTEȘTI",218,CURTEŞTI,35759,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:43:08",1395,1382,7,4,2,713,705,2,4,2,681,32,1500,787,323,4,252,44,9,6,23,20
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 CRASNALEUCA",204,COŢUŞCA,36809,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:41:23",469,464,0,5,0,236,231,0,5,0,217,19,500,264,74,3,118,10,0,0,10,2
7,BOTOŞANI,"GRADINITA CU PROGRAM NORMAL NR.2 HAVIRNA(CATUN BASEU)",264,HAVÂRNA,37547,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:06:45",632,628,0,0,4,300,296,0,0,4,282,18,700,400,128,9,80,46,0,1,5,13
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 POMÂRLA, SAT POMÂRLA, COMUNA POMÂRLA",333,POMÂRLA,38544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:44",915,856,0,22,37,600,541,0,22,37,559,41,1017,417,297,17,108,50,5,3,7,72
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 BĂBICENI",242,DURNEŞTI,37217,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:38",548,532,1,0,15,332,316,1,0,15,305,27,610,278,216,7,68,7,1,2,0,4
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 NICHITENI",206,COŢUŞCA,36809,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:48",342,337,0,3,2,342,337,0,3,2,318,24,800,458,206,8,82,13,0,1,4,4
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6 BOSCOTENI",246,FRUMUŞICA,37324,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:48",512,506,0,6,0,241,235,0,6,0,211,30,600,359,93,7,76,8,0,3,4,20
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",81,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:06:15",1581,1571,3,7,0,669,662,0,7,0,627,42,1700,1031,227,9,250,78,12,10,23,18
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ” ALBA CA ZĂPADA” DOROHOI",101,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:35:17",1056,1054,0,2,0,368,366,0,2,0,349,19,1205,837,119,5,162,30,0,4,17,12
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT”ALBA CA ZĂPADA” DOROHOI",102,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:05:15",1278,1273,0,5,0,544,539,0,5,0,533,11,1412,868,152,11,285,37,1,3,23,21
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 19",9,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:04",1023,1012,1,10,0,408,398,0,10,0,395,13,1100,692,167,4,139,34,7,3,21,20
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 19",8,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:24:09",926,919,1,5,1,392,386,0,5,1,374,18,1100,708,189,2,131,22,2,4,7,17
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 20",60,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:41",1679,1676,0,3,0,843,840,0,3,0,815,28,1900,1057,385,8,268,71,16,7,33,27
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",43,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:35",907,900,0,7,0,376,369,0,7,0,362,14,1000,624,167,7,111,39,1,3,16,18
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",42,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:59:52",922,915,2,5,0,360,355,0,5,0,348,12,1000,640,152,3,108,35,3,4,17,26
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",41,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:13",837,829,1,4,3,416,409,0,4,3,393,23,1000,584,180,3,132,30,4,5,15,24
