precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RADU CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BOGDAN ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NISTOR DORIN-GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",106,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:15",1076,1071,1,4,0,420,416,0,4,0,414,6,1180,760,55,176,183
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",104,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:36",1014,1004,3,6,1,444,437,0,6,1,434,10,1120,676,78,148,208
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",105,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:33",961,953,0,8,0,402,394,0,8,0,393,2,1064,668,38,165,190
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",107,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:53:57",1044,1035,1,7,1,396,388,0,7,1,386,10,1140,744,47,144,195
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 2 SEBEŞ",101,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:01:58",1480,1428,7,11,34,807,762,0,11,34,780,27,1600,793,95,159,526
1,ALBA,"ŞCOALA GIMNAZIALĂ PETREŞTI",110,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:53",1468,1459,9,0,0,630,630,0,0,0,607,23,1608,978,75,190,342
1,ALBA,"ŞCOALA GIMNAZIALĂ PETREŞTI",111,"MUNICIPIUL SEBEŞ",1874,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:49",1555,1536,7,7,5,695,683,0,7,5,672,16,1688,1000,69,201,402
1,ALBA,"ŞCOALA GIMNAZIALĂ PETREŞTI",109,"MUNICIPIUL SEBEŞ",1874,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:15",1527,1508,15,3,1,685,681,0,3,1,668,17,1668,983,72,215,381
1,ALBA,"ŞCOALA GIMNAZIALĂ RĂHĂU",112,"MUNICIPIUL SEBEŞ",1874,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:27",860,851,1,4,4,455,447,0,4,4,444,11,963,508,84,68,292
1,ALBA,"SERVICIUL PUBLIC DE ADMINISTRARE A PATRIMONIULUI SEBEŞ",93,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:08:05",1859,1840,7,10,2,855,843,0,10,2,832,20,1835,972,89,180,563
