precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"LICEUL TEOLOGIC BAPTIST „ALEXA POPOVICI”",13,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:21",888,872,6,10,0,365,355,0,10,0,358,7,990,625,40,27,10,80,77,12,7,102,3
2,ARAD,"LICEUL TEORETIC „ADAM MULLER GUTTENBRUNN”",105,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:12:23",987,980,3,4,0,339,334,1,4,0,328,11,1090,751,36,19,4,63,110,17,15,56,8
2,ARAD,"LICEUL TEORETIC „ADAM MULLER GUTTENBRUNN” ARAD",106,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:10:37",1099,1075,14,9,1,397,386,1,9,1,392,5,1220,823,53,17,7,96,95,23,22,71,8
2,ARAD,"LICEUL TEORETIC ”ADAM MULLER GUTTENBRUNN” ARAD (CORP P+1E - CLASA PREGĂTITOARE C)",107,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:50",916,904,3,9,0,328,328,0,0,0,317,11,1020,692,36,27,5,72,88,15,13,55,6
2,ARAD,"LICEUL TEORETIC ”ADAM MULLER GUTTENBRUNN” ARAD (CORP P+1E - SALA DE RELIGIE)",108,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:24:14",868,857,1,10,0,311,301,0,10,0,303,8,960,649,57,7,2,77,66,19,17,52,6
2,ARAD,"LICEUL TEORETIC „ADAM MULLER GUTTENBRUNN” ARAD (FOSTA ȘCOALĂ GENERALĂ NR. 20)",103,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:26:32",1768,1747,11,10,0,795,785,0,10,0,766,29,1914,1119,119,64,16,142,174,19,17,190,25
2,ARAD,"LICEUL TEORETIC ”ADAM MULLER GUTTENBRUNN” ARAD (SALA DE SPORT)",104,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:20:02",719,706,6,7,0,290,282,1,7,0,284,6,790,500,29,16,0,67,79,11,17,59,6
2,ARAD,"PATINOARUL MUNICIPAL ARAD",102,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:37:22",855,820,29,6,0,393,387,0,6,0,384,9,910,517,45,26,3,62,99,10,18,108,13
2,ARAD,"POLICLINICA MUNICIPALĂ (CABINET PLANNING FAMILIAL)",2,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:04:38",1052,1003,35,13,1,422,406,2,13,1,410,12,1060,638,30,38,12,84,95,11,11,124,5
2,ARAD,"PRIMĂRIA MUNICIPIULUI ARAD, DIRECȚIA VENITURI",98,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:47",1420,1408,6,6,0,441,435,0,6,0,425,16,1560,1119,59,56,9,91,90,17,7,88,8
