precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PREDESCU ANA-LOREDANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","KIRSCH GABRIEL-FRANCISC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PATRAŞCU LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VEŞTEA ADRIAN-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","FLORESCU GABRIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","DARĂU AMBROZIE-IRINEU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"CĂMIN CULTURAL VAMA BUZĂULUI",451,"VAMA BUZĂULUI",42183,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:32:38",1350,1338,2,7,3,674,663,1,7,3,636,38,1500,826,46,2,349,165,33,41
8,BRAŞOV,"CAMIN CULTURAL VENETIA DE JOS",393,PĂRĂU,41578,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:25:37",588,556,0,23,9,374,342,0,23,9,338,36,600,226,24,3,113,167,19,12
8,BRAŞOV,"CAMIN CULTURAL VISTEA DE SUS",457,VIŞTEA,42236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:43:11",568,516,1,36,15,372,321,0,36,15,368,4,600,228,30,2,122,166,1,47
8,BRAŞOV,"CĂMINUL CULTURAL",423,ŞINCA,41854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:16",574,571,0,2,1,373,370,0,2,1,223,148,600,229,26,4,93,77,14,9
8,BRAŞOV,"CĂMINUL CULTURAL",421,ŞINCA,41854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:17:31",270,264,1,5,0,150,145,0,5,0,123,27,300,150,17,3,51,46,4,2
8,BRAŞOV,"CĂMINUL CULTURAL",336,CRIZBAV,42456,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:34:26",1472,1433,1,32,6,873,835,0,32,6,830,43,1600,727,50,468,109,140,41,22
8,BRAŞOV,"CĂMINUL CULTURAL",349,HĂLCHIU,41033,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:54:34",1614,1595,1,11,7,922,903,1,11,7,904,17,1759,838,107,29,155,444,37,132
8,BRAŞOV,"CĂMINUL CULTURAL",420,ŞINCA,41854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:14:32",239,234,0,5,0,136,131,0,5,0,123,13,300,164,13,2,35,57,11,5
8,BRAŞOV,"CĂMINUL CULTURAL",425,"ŞINCA NOUĂ",42449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:18:24",1012,916,16,59,21,797,708,9,59,21,780,17,1000,203,149,7,65,484,14,61
8,BRAŞOV,"CĂMINUL CULTURAL",355,HĂRMAN,41088,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:47:06",749,738,1,10,0,413,403,0,10,0,398,15,800,387,31,3,43,214,21,86
8,BRAŞOV,"CĂMINUL CULTURAL",422,ŞINCA,41854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:35:00",932,929,1,2,0,484,482,0,2,0,417,67,1000,516,90,7,40,236,30,14
8,BRAŞOV,"CĂMINUL CULTURAL",305,BOD,40606,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:56:43",1286,1258,11,13,4,709,690,2,13,4,681,28,1318,609,49,11,183,341,23,74
8,BRAŞOV,"CĂMINUL CULTURAL AL BISERICII ORTODOXE",413,SÂNPETRU,41925,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:05:16",1557,1543,0,8,6,846,832,0,8,6,822,24,1730,884,36,125,36,14,494,117
8,BRAŞOV,"CĂMINUL CULTURAL APAȚA",296,APAŢA,40526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:54",1297,1283,0,3,11,770,756,0,3,11,709,61,1400,630,38,222,20,409,12,8
8,BRAŞOV,"CĂMINUL CULTURAL APAȚA",297,APAŢA,40526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:54:07",1184,1174,0,4,6,698,688,0,4,6,637,59,1324,628,33,279,24,269,18,14
8,BRAŞOV,"CAMINUL CULTURAL ARINI",379,MĂIERUŞ,41382,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:10:50",857,844,0,4,9,555,542,0,4,9,495,60,961,406,60,5,75,338,11,6
8,BRAŞOV,"CĂMINUL CULTURAL BERIVOI",407,RECEA,41738,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:57",506,494,0,9,3,325,313,0,9,3,309,16,561,236,34,1,154,86,10,24
8,BRAŞOV,"CĂMINUL CULTURAL BOGATA",362,HOGHIZ,41177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:09",364,355,0,9,0,230,221,0,9,0,211,9,400,180,40,17,77,68,3,6
8,BRAŞOV,"CĂMINUL CULTURAL BREAZA",377,LISA,41346,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:54:26",563,531,0,8,24,412,380,0,8,24,398,14,615,203,67,0,181,112,15,23
8,BRAŞOV,"CĂMINUL CULTURAL CAŢA",321,CAŢA,40768,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:53:17",1049,1033,2,11,3,634,620,0,11,3,623,11,1100,466,24,25,49,518,5,2
8,BRAŞOV,"CAMINUL CULTURAL CINCSOR",459,VOILA,42307,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:41:51",657,637,5,7,8,366,348,3,7,8,349,17,670,304,154,5,61,60,22,47
8,BRAŞOV,"CĂMINUL CULTURAL COMĂNA DE JOS",328,COMANA,40857,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:08:17",896,860,2,22,12,587,551,2,22,12,522,29,900,349,67,3,169,266,5,12
8,BRAŞOV,"CĂMINUL CULTURAL COMĂNA DE SUS",329,COMANA,40857,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:52:50",316,299,1,12,4,233,217,0,12,4,219,9,350,122,27,2,141,32,15,2
8,BRAŞOV,"CĂMINUL CULTURAL COPĂCEL",357,HÂRSENI,41113,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:43:36",545,533,2,8,2,371,360,1,8,2,345,26,600,229,46,1,118,144,15,21
8,BRAŞOV,"CAMINUL CULTURAL CORBI",446,UCEA,42101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:57:23",182,169,0,11,2,123,110,0,11,2,118,5,200,77,8,2,42,35,1,30
8,BRAŞOV,"CĂMINUL CULTURAL CRIHALMA",330,COMANA,40857,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:41:01",613,602,0,7,4,382,371,0,7,4,363,11,700,326,19,3,185,144,3,9
8,BRAŞOV,"CĂMINUL CULTURAL CUCIULATA",363,HOGHIZ,41177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:22:47",1163,1157,0,6,0,634,628,0,6,0,576,58,1300,666,37,5,228,259,23,24
8,BRAŞOV,"CĂMINUL CULTURAL DOPCA",364,HOGHIZ,41177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:00",396,389,0,7,0,248,241,0,7,0,223,25,400,152,13,122,57,20,6,5
8,BRAŞOV,"CAMINUL CULTURAL DRIDIF",460,VOILA,42307,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:49",392,373,1,14,4,255,237,0,14,4,232,23,400,145,16,2,80,110,13,11
8,BRAŞOV,"CAMINUL CULTURAL FELDIOARA",447,UCEA,42101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:28:59",204,182,0,21,1,149,127,0,21,1,139,10,200,51,7,1,76,30,2,23
8,BRAŞOV,"CĂMINUL CULTURAL FELDIOARA",342,FELDIOARA,40955,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:24",1740,1733,0,5,2,822,815,0,5,2,797,25,1842,1020,119,12,75,514,31,46
8,BRAŞOV,"CĂMINUL CULTURAL HÂRSENI",356,HÂRSENI,41113,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:53",498,482,0,11,5,290,274,0,11,5,273,17,528,238,32,6,91,99,10,35
8,BRAŞOV,"CĂMINUL CULTURAL HOGHIZ",361,HOGHIZ,41177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:27:02",756,741,1,10,4,408,394,0,10,4,384,24,816,408,22,108,106,130,11,7
8,BRAŞOV,"CĂMINUL CULTURAL HOGHIZ",360,HOGHIZ,41177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:51:17",983,970,0,10,3,534,521,0,10,3,498,23,1100,579,28,175,113,161,8,13
8,BRAŞOV,"CĂMINUL CULTURAL HOLBAV",367,HOLBAV,42472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:14:18",1026,1020,1,1,4,732,726,1,1,4,701,31,1142,410,75,5,255,325,17,24
8,BRAŞOV,"CĂMINUL CULTURAL IONEŞTI",324,CAŢA,40768,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:32:56",104,96,1,7,0,62,55,0,7,0,58,4,135,73,1,43,2,12,0,0
8,BRAŞOV,"CĂMINUL CULTURAL LISA",376,LISA,41346,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:59",925,908,0,6,11,587,570,0,6,11,451,136,1000,413,78,2,180,128,26,37
8,BRAŞOV,"CĂMINUL CULTURAL LOVNIC",374,JIBERT,41284,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:01:45",495,478,0,15,2,275,258,0,15,2,262,13,300,25,12,6,31,156,1,56
8,BRAŞOV,"CAMINUL CULTURAL LUDISOR",461,VOILA,42307,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:12:40",172,158,0,14,0,117,103,0,14,0,113,4,200,83,10,0,34,61,1,7
8,BRAŞOV,"CĂMINUL CULTURAL LUPŞA",366,HOGHIZ,41177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:48:04",84,77,0,7,0,53,46,0,7,0,52,1,100,47,4,2,19,20,2,5
8,BRAŞOV,"CAMINUL CULTURAL MAIERUS",378,MĂIERUŞ,41382,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:34:18",1481,1454,1,5,21,950,924,0,5,21,903,47,1600,650,157,14,181,494,33,24
8,BRAŞOV,"CĂMINUL CULTURAL MĂRGINENI",358,HÂRSENI,41113,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:14:52",261,247,0,13,1,186,172,0,13,1,176,10,300,114,10,0,45,105,7,9
8,BRAŞOV,"CĂMINUL CULTURAL MEŞENDORF",318,BUNEŞTI,40704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:07:22",312,300,1,9,2,181,170,0,9,2,168,10,350,171,45,0,13,73,7,30
8,BRAŞOV,"CĂMINUL CULTURAL PĂRĂU",391,PĂRĂU,41578,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:49",524,478,1,29,16,314,269,0,29,16,290,24,600,286,22,0,63,187,6,12
8,BRAŞOV,"CĂMINUL CULTURAL POARTA",309,BRAN,40633,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:43:42",880,868,3,8,1,545,536,0,8,1,518,27,1000,455,21,2,119,332,21,23
8,BRAŞOV,"CĂMINUL CULTURAL RECEA",406,RECEA,41738,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:41:37",1631,1600,2,11,18,933,903,1,11,18,864,69,1800,867,99,6,260,350,32,117
8,BRAŞOV,"CĂMINUL CULTURAL RECONSTRUCŢIA",345,FELDIOARA,40955,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:03:15",611,601,0,8,2,361,351,0,8,2,332,19,700,349,73,21,32,184,11,11
8,BRAŞOV,"CĂMINUL CULTURAL ROTBAV",346,FELDIOARA,40955,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:14",1134,1119,3,6,6,653,641,0,6,6,613,40,1300,647,60,8,102,389,17,37
8,BRAŞOV,"CAMINUL CULTURAL SAMBATA DE JOS",462,VOILA,42307,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:20:43",432,408,1,12,11,271,248,0,12,11,252,19,450,179,39,4,34,63,9,103
8,BRAŞOV,"CĂMINUL CULTURAL SĂVĂSTRENI",408,RECEA,41738,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:44:14",594,573,1,13,7,374,354,0,13,7,349,25,600,226,31,2,141,127,10,38
8,BRAŞOV,"CĂMINUL CULTURAL SEBEȘ",359,HÂRSENI,41113,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:15:38",695,663,0,19,13,459,427,0,19,13,431,28,700,241,37,4,51,306,16,17
8,BRAŞOV,"CĂMINUL CULTURAL ŞIMON",312,BRAN,40633,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:06:32",1039,1026,0,12,1,661,648,0,12,1,637,24,1132,471,34,7,77,433,21,65
8,BRAŞOV,"CĂMINUL CULTURAL SOHODOL",311,BRAN,40633,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:39:42",928,917,4,5,2,547,539,1,5,2,516,31,1000,453,31,0,69,347,26,43
8,BRAŞOV,"CĂMINUL CULTURAL TELIU",441,TELIU,42058,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:48:12",1034,1015,0,10,9,652,633,0,10,9,617,35,1100,448,50,145,102,281,8,31
8,BRAŞOV,"CĂMINUL CULTURAL TICUŞU NOU",331,COMANA,40857,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:31:08",503,492,1,10,0,365,354,1,10,0,346,15,516,155,19,3,138,183,3,0
8,BRAŞOV,"CĂMINUL CULTURAL TICUŞU VECHI",443,TICUŞU,42076,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:07",617,605,1,10,1,422,411,0,10,1,363,57,665,243,15,4,156,166,6,16
8,BRAŞOV,"CĂMINUL CULTURAL TOHANUL NOU",295,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:20:58",1206,1194,3,3,6,677,668,0,3,6,657,20,1300,623,49,6,139,380,20,63
8,BRAŞOV,"CAMINUL CULTURAL TOHANUL VECHI",294,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:00:43",1745,1733,2,9,1,856,846,0,9,1,824,32,1900,1044,77,2,277,375,39,54
8,BRAŞOV,"CAMINUL CULTURAL UCEA DE SUS",448,UCEA,42101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:14:31",835,779,0,37,19,580,524,0,37,19,561,19,923,343,23,4,250,198,7,79
8,BRAŞOV,"CĂMINUL CULTURAL VENEȚIA DE SUS",394,PĂRĂU,41578,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:03:20",408,371,0,27,10,290,253,0,27,10,242,48,400,110,16,0,85,128,7,6
8,BRAŞOV,"CĂMINUL CULTURAL VIȘTEA DE JOS",454,VIŞTEA,42236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:56:53",681,642,0,30,9,376,337,0,30,9,359,17,700,324,56,4,101,166,6,26
8,BRAŞOV,"CĂMINUL CULTURAL VOILA",458,VOILA,42307,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:48",594,581,0,4,9,361,348,0,4,9,341,20,681,320,129,0,80,88,12,32
8,BRAŞOV,"CAMINUL CULTURAL VOIVODENII MARI",463,VOILA,42307,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:34:13",379,342,1,28,8,282,246,0,28,8,266,16,400,118,45,0,51,122,18,30
8,BRAŞOV,"CAMINUL CULTURAL VULCAN",465,VULCAN,42398,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:43:04",1803,1789,8,4,2,1118,1110,2,4,2,1056,62,1950,832,63,14,483,420,25,51
8,BRAŞOV,"CAMINUL CULTURAL VULCAN",464,VULCAN,42398,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:21:21",1709,1694,5,2,8,1106,1096,0,2,8,1082,24,1900,794,73,6,341,590,28,44
8,BRAŞOV,"CĂMUNUL CULTURAL FÂNTÂNA",365,HOGHIZ,41177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:44:23",223,211,0,10,2,153,141,0,10,2,145,8,235,82,6,3,46,79,4,7
8,BRAŞOV,"CANTINA STUDENŢEASCĂ",134,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:12:13",1556,1512,18,26,0,731,705,0,26,0,704,27,1700,969,45,57,77,295,19,211
8,BRAŞOV,"CASA DE CULTURĂ",284,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:05:55",1289,1275,5,9,0,668,659,0,9,0,655,13,1400,732,66,10,199,286,33,61
8,BRAŞOV,"CASA ORASENEASCA DE CULTURA",271,"ORAŞ RUPEA",40394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:19:30",1189,1164,3,13,9,602,580,1,13,8,569,32,1300,699,29,61,170,283,11,15
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",152,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:57:14",1835,1779,22,33,1,832,798,0,33,1,812,20,1900,1026,44,13,57,282,26,390
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",153,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:46:28",1747,1735,0,12,0,783,771,0,12,0,764,19,1900,1117,33,13,69,313,29,307
8,BRAŞOV,"CATTIA (CENTRUL DE AFACERI, TRANSFER TEHNOLOGIC ȘI INCUBATOR DE AFACERI)",154,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:49:24",1657,1617,22,18,0,725,706,1,18,0,711,14,1800,1075,26,8,50,282,35,310
8,BRAŞOV,"CENTRUL DE CULTURĂ MIHAIL SAULESCU",253,"ORAŞ PREDEAL",40303,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:58:01",1159,1144,1,12,2,621,607,0,12,2,590,31,1337,716,47,3,133,326,19,62
8,BRAŞOV,"CENTRUL REGIONAL DE FORMARE PROFESIONALĂ BRAŞOV",133,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:58",1775,1733,24,17,1,876,858,0,17,1,840,19,1900,1041,46,24,132,317,17,304
8,BRAŞOV,"CENTRUL REGIONAL DE FORMARE PROFESIONALĂ BRAŞOV",132,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:26:13",931,928,0,3,0,357,354,0,3,0,343,14,1000,643,27,10,61,130,13,102
8,BRAŞOV,"CLADIRE FOST SEDIU PRIMARIE",302,BECLEAN,40544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:04",406,376,5,17,8,289,264,0,17,8,279,10,400,111,20,1,147,83,12,16
8,BRAŞOV,"CLĂDIRE ȘCOALA COLONIA 1 MAI",466,VULCAN,42398,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:16",736,726,1,9,0,476,467,0,9,0,445,31,800,324,33,2,188,175,30,17
8,BRAŞOV,"CLUB MUNCITORESC BRAFOR GARA RUPEA",273,"ORAŞ RUPEA",40394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:09",524,518,1,5,0,271,266,0,5,0,263,8,600,329,6,38,100,109,5,5
8,BRAŞOV,"CLUBUL PENSIONARILOR",287,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:22:25",1161,1148,2,10,1,564,553,0,10,1,537,27,1300,736,51,6,183,214,26,57
8,BRAŞOV,"CLUBUL PENSIONARILOR - CARAIMAN",286,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:46:23",1324,1313,2,9,0,612,603,0,9,0,592,20,1500,888,52,6,173,262,34,65
8,BRAŞOV,"COLEGIUL DE ŞTIINŢE ”GRIGORE ANTIPA”",109,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:11:43",1346,1328,6,12,0,623,611,0,12,0,603,20,1500,877,41,63,80,207,14,198
