precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
3,ARGEŞ,"GRĂDINIȚA ”CAMPIONII”",160,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:11:02",1931,1920,2,9,0,907,898,0,9,0,891,16,2100,1193,377,243,100,128,25,18
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TIC-PITIC”",154,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:03",1030,1026,0,4,0,530,526,0,4,0,515,15,1200,670,219,133,67,76,13,7
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TIC-PITIC”,",155,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:57:17",1060,1049,5,6,0,526,520,0,6,0,516,10,1200,670,222,143,57,65,11,18
3,ARGEŞ,"GRĂDINIŢA ”FLORILE SOARELUI”-INTRARE 1",145,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:21:35",1452,1449,0,3,0,710,707,0,3,0,691,19,1600,890,321,216,63,58,10,23
3,ARGEŞ,"GRĂDINIŢA ”FLORILE SOARELUI” - INTRARE 2",148,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:58:20",1339,1326,9,4,0,673,669,0,4,0,657,16,1400,727,279,199,67,79,21,12
3,ARGEŞ,"LICEUL TEORETIC ”IULIA ZAMFIRESCU” - INTRARE B",151,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:45",1339,1330,3,6,0,636,630,0,6,0,622,14,1400,764,266,189,83,59,15,10
3,ARGEŞ,"LICEUL TEORETIC ”IULIA ZAMFIRESCU” - INTRARE C",146,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:00",1289,1281,1,7,0,671,664,0,7,0,636,35,1400,729,313,167,68,62,12,14
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”GEORGE TOPÂRCEANU”",161,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:21:13",792,772,2,8,10,432,414,0,8,10,424,8,900,468,180,115,51,62,11,5
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” (CĂMIN ȘCOALĂ) - CORP B",150,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:31:11",1812,1810,0,2,0,841,839,0,2,0,816,25,1900,1059,349,254,90,95,17,11
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ LIVIU REBREANU” - INTRARE ELEVI",152,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:49",894,889,1,4,0,439,435,0,4,0,430,9,1007,568,197,113,41,54,19,6
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”LIVIU REBREANU” - INTRARE PROFESORI",153,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:18:18",1074,1064,2,8,0,519,511,0,8,0,507,12,1200,681,248,136,48,58,6,11
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”MARIN SORESCU” RACOVIȚA",167,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:12",1209,1156,0,37,16,745,692,0,37,16,724,21,1300,555,351,177,89,85,12,10
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.1 MIOVENI (COLIBAȘI)",163,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:39:20",1313,1300,3,10,0,830,820,0,10,0,805,25,1400,570,264,134,117,116,164,10
3,ARGEŞ,"SC SERVICII GENERALE MIOVENI S.R.L",156,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:17",1224,1218,1,5,0,616,611,0,5,0,599,17,1400,784,253,167,75,73,22,9
