precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AL.I.CUZA”",15,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 20:38:32",1864,1847,5,6,6,1069,1057,0,6,6,1039,30,2080,1011,93,332,261,149,85,6,104,9
28,MUREŞ,"ŞCOALA GIMNAZIALĂ”AL.I.CUZA”",19,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:39:24",1759,1741,6,8,4,976,964,0,8,4,951,25,1950,974,103,261,222,165,88,8,97,7
28,MUREŞ,"ŞCOALA GIMNAZIALĂ”AL.I.CUZA”",17,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:47:22",1739,1731,2,5,1,996,990,0,5,1,968,28,1931,935,118,194,322,133,100,4,87,10
28,MUREŞ,"ŞCOALA GIMNAZIALĂ”AL.I.CUZA”",18,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:25:17",2016,1989,6,16,5,1019,998,0,16,5,981,29,2210,1190,122,320,204,178,77,9,69,2
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/A",59,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:31:26",1379,1365,0,11,3,757,743,0,11,3,737,20,1540,783,53,240,190,143,41,10,54,6
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/A",60,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:17:19",1343,1307,15,18,3,747,726,0,18,3,734,13,1460,713,43,321,123,103,64,10,67,3
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/A",61,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:14",952,939,5,7,1,489,480,1,7,1,480,9,1050,561,42,252,46,57,38,9,29,7
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/B",55,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:44:05",1427,1403,11,12,1,778,765,0,12,1,767,11,1580,802,50,339,118,113,62,18,59,8
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/B",56,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:09",1394,1371,6,15,2,691,674,0,15,2,673,18,1550,859,67,278,129,87,44,15,49,4
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”EUROPA”",24,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:15:42",1625,1302,128,189,6,862,667,0,189,6,811,51,1470,608,64,291,128,137,70,8,103,10
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”G.COŞBUC”",54,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:37",1476,1452,4,10,10,773,754,0,10,9,758,15,1620,847,51,427,90,72,51,11,54,2
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”G.COŞBUC”",53,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:35:56",1354,1333,5,12,4,680,664,0,12,4,645,14,1490,827,27,356,108,83,34,5,31,1
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU”",66,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:55:53",1255,1243,6,6,0,647,641,0,6,0,634,13,1420,773,73,330,125,43,26,2,30,5
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU”",68,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:38",1390,1365,3,17,5,706,683,1,17,5,695,11,1519,813,39,422,95,72,26,7,28,6
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU”",69,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:47:49",1404,1387,1,11,5,759,743,0,11,5,736,23,1550,791,39,404,138,63,38,3,43,8
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU”",67,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:54:44",1387,1374,3,9,1,807,797,0,9,1,781,26,1530,723,61,314,164,112,68,8,48,6
28,MUREŞ,"ŞCOALA GIMNAZIALĂ LIVIU REBREANU",75,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:34:16",1278,1257,5,10,6,729,713,0,10,6,708,21,1366,637,44,406,98,77,28,14,39,2
28,MUREŞ,"ŞCOALA GIMNAZIALĂ LIVIU REBREANU",76,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:05:21",1306,1291,3,10,2,672,660,0,10,2,653,19,1470,798,63,301,128,70,35,9,40,7
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",46,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:33:11",1535,1531,0,4,0,795,791,0,4,0,765,10,1700,925,65,223,206,115,67,5,74,10
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",45,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:37",1461,1444,7,9,1,816,806,0,9,1,800,16,1600,784,55,284,231,113,55,5,50,7
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",47,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:58:33",1409,1396,7,5,1,722,716,0,5,1,693,29,1579,857,55,225,178,113,55,10,50,7
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",44,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:26:34",1522,1481,23,15,3,851,833,0,15,3,792,14,1660,809,58,330,203,90,42,5,62,2
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU”",9,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:33:57",1537,1513,7,5,12,830,813,0,5,12,813,17,1730,900,32,548,91,47,39,26,27,3
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU”",5,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:23",1667,1634,20,7,6,796,783,0,7,6,776,20,1830,1034,81,397,132,67,34,17,39,9
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU”",7,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:17",1326,1318,1,4,3,633,626,0,4,3,616,17,1480,847,54,258,141,78,48,2,33,2
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU”",8,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:28",1252,1225,19,5,3,685,677,0,5,3,667,18,1390,705,44,359,98,72,39,22,28,5
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ”NICOLAE BĂLCESCU”",6,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 14:51:49",1645,1596,34,12,3,756,740,1,12,3,723,32,1760,1004,92,228,142,120,47,6,83,5
28,MUREŞ,"ŞCOALA GIMNAZIALĂ NR. 7 CORP A",27,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:28:38",1312,1216,81,12,3,649,634,0,12,3,633,16,1380,731,42,286,120,80,62,9,30,4
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”ROMULUS GUGA”",51,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:30",1329,1319,3,6,1,731,724,0,6,1,716,15,1470,739,57,199,249,99,51,2,57,2
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”ROMULUS GUGA”",50,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:13:24",1420,1394,20,5,1,796,790,0,5,1,781,15,1444,648,61,227,193,131,77,6,79,7
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”ROMULUS GUGA”",49,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:08:20",1806,1796,0,7,3,1002,992,0,7,3,971,19,2010,1008,76,249,253,176,102,4,107,4
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”ROMULUS GUGA”",48,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:35:25",1463,1441,12,10,0,810,800,0,10,0,777,13,1590,790,72,249,207,146,51,4,46,2
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”SERAFIM DUICU”",78,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:18:53",1686,1673,0,5,8,910,897,0,5,8,885,25,1860,950,55,435,145,116,54,11,65,4
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”SERAFIM DUICU”",79,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:44",1284,1276,1,6,1,592,584,1,6,1,574,18,1420,828,60,203,171,73,29,3,33,2
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”SERAFIM DUICU”",80,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:25",1479,1473,0,6,0,711,705,0,6,0,702,9,1670,959,86,247,194,70,34,8,58,5
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”T.VLADIMIRESCU”",36,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:05",1371,1359,2,10,0,766,756,0,10,0,742,24,1540,774,84,239,197,105,48,5,61,3
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”T.VLADIMIRESCU”",34,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:06:36",1413,1400,4,9,0,724,715,0,9,0,705,19,1570,846,73,211,199,107,44,7,56,8
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”T.VLADIMIRESCU”",37,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:27:34",1472,1458,4,8,2,811,801,0,8,2,797,14,1630,819,67,257,222,115,49,3,77,7
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”T.VLADIMIRESCU”",38,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:48:10",1299,1288,1,8,2,689,679,0,8,2,672,16,1441,753,46,225,189,91,48,5,66,2
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”T.VLADIMIRESCU”",35,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:00:55",1391,1379,4,8,0,745,737,0,8,0,723,22,1550,805,77,211,206,119,50,4,54,2
28,MUREŞ,"UNIVERSITATEA DE MEDICINĂ, FARMACIE, ȘTIINȚE ȘI TEHNOLOGIE TÂRGU MUREȘ",2,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:31:01",1556,1481,32,20,23,859,814,2,20,23,803,10,1701,887,57,400,98,89,78,16,57,8
