precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IFTIME VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","TRUFIN LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CILIBIU EUSEBIU-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AMARANDEI DOINA-PARTIDUL S.O.S. ROMÂNIA-voturi","LĂCĂTUŞU-ANDREI CRISTINA-ANETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANDRUŞ DĂNUŢ-voturi"
7,BOTOŞANI,"COLEGIUL NAŢIONAL „A.T. LAURIAN”",64,"MUNICIPIUL BOTOŞANI",35731,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 02:05:56",1267,1230,28,8,1,551,542,0,8,1,530,21,1400,849,307,151,23,16,25,8
7,BOTOŞANI,"COLEGIUL NAŢIONAL „A.T. LAURIAN”",65,"MUNICIPIUL BOTOŞANI",35731,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:25:29",1218,1208,0,10,0,506,496,0,10,0,495,11,1400,894,218,180,36,24,15,22
7,BOTOŞANI,"COLEGIUL NAȚIONAL ”GRIGORE GHICA” DOROHOI",86,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:59:50",1247,1241,1,5,0,542,536,1,5,0,532,10,1386,844,219,236,37,9,19,12
7,BOTOŞANI,"COLEGIUL NAȚIONAL”GRIGORE GHICA”DOROHOI",87,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:42:16",1026,1018,1,6,1,432,425,0,6,1,423,9,1200,768,169,202,24,9,9,10
7,BOTOŞANI,"COLEGIUL NAȚIONAL ”GRIGORE GHICA ”DOROHOI-CORP II",92,"MUNICIPIUL DOROHOI",36006,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:52:14",1097,1089,1,5,2,442,434,1,5,2,425,17,1200,758,178,187,26,9,17,8
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",18,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:04:03",1265,1256,1,8,0,480,472,0,8,0,468,12,1400,920,235,166,30,6,15,16
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",19,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:38:57",1026,1019,0,7,0,455,448,0,7,0,439,16,1100,645,241,148,25,6,12,7
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",20,"MUNICIPIUL BOTOŞANI",35731,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:55:22",1430,1420,0,10,0,642,632,0,10,0,624,18,1583,941,326,223,21,11,35,8
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",21,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:34:09",1096,1089,0,7,0,447,440,0,7,0,434,13,1200,753,213,152,34,10,12,13
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",29,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:43:35",1028,1016,6,6,0,394,388,0,6,0,384,10,1100,706,176,131,38,13,19,7
