precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"ŞCOALA GIMNAZIALĂ EUGEN IONESCU",20,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:35",1161,1152,2,7,0,577,570,0,7,0,550,27,1273,696,61,213,215,9,27,25
30,OLT,"ŞCOALA GIMNAZIALĂ EUGEN IONESCU",21,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:34:38",1132,1120,2,9,1,511,502,0,9,0,490,21,1240,729,52,198,193,7,25,15
30,OLT,"ŞCOALA GIMNAZIALĂ EUGEN IONESCU",19,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:00:30",1535,1528,1,6,0,773,767,0,6,0,737,36,1696,923,71,295,272,21,46,32
30,OLT,"ŞCOALA GIMNAZIALĂ GEORGE POBORAN",47,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:01:30",1363,1353,0,10,0,725,715,0,10,0,708,17,1504,779,62,268,287,16,61,14
30,OLT,"ŞCOALA GIMNAZIALĂ GEORGE POBORAN",48,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:32:22",1104,1094,1,9,0,515,506,0,9,0,491,24,1207,692,48,175,184,7,45,32
30,OLT,"ŞCOALA GIMNAZIALĂ NICOLAE IORGA",17,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:07:02",1425,1412,3,10,0,696,685,1,10,0,641,55,1566,870,39,270,239,24,47,22
30,OLT,"ŞCOALA GIMNAZIALĂ NICOLAE IORGA",18,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:19:25",1228,1219,2,7,0,639,632,0,7,0,619,20,1366,727,41,314,206,8,34,16
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 1",4,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:38:29",1171,1147,0,15,9,685,670,0,6,9,648,22,1269,599,51,197,321,13,48,18
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 1",5,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:52:30",1030,1016,4,9,1,609,599,0,9,1,578,31,1125,516,35,226,252,17,30,18
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",31,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:45:01",1218,1208,3,7,0,564,557,0,7,0,540,24,1352,788,33,194,213,22,65,13
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",32,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:31",816,808,0,8,0,396,388,0,8,0,391,5,901,505,36,165,130,11,31,18
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",33,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:29",1458,1449,3,6,0,678,671,1,6,0,652,26,1614,936,50,280,247,12,45,18
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",30,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:17:36",1396,1386,3,7,0,670,663,0,7,0,652,18,1542,872,66,259,233,18,61,15
30,OLT,"ŞCOALA GIMNAZIALĂ ŞTEFAN PROTOPOPESCU",10,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:13",1664,1653,0,11,0,779,768,0,11,0,766,13,1833,1054,56,304,312,25,43,26
30,OLT,"ŞCOALA GIMNAZIALĂ ŞTEFAN PROTOPOPESCU",11,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 20:22:07",1649,1634,2,12,1,734,721,0,12,1,709,25,1817,1083,63,307,260,19,26,34
30,OLT,"ŞCOALA GIMNAZIALĂ VLAICU VODĂ",22,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:06:45",1400,1379,0,4,17,655,634,0,4,17,634,21,1544,889,56,263,249,19,33,14
30,OLT,"ŞCOALA GIMNAZIALĂ VLAICU VODĂ",23,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:39:49",1191,1134,2,5,50,602,547,0,5,50,587,15,1262,660,55,214,241,11,43,23
30,OLT,"ŞCOALA GIMNAZIALĂ VLAICU VODĂ",24,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:19:33",1373,1363,0,6,4,684,674,0,6,4,656,28,1518,834,52,302,226,17,43,16
