precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOFÎCĂ ION-MARIAN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",25,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:38:43",1352,1347,2,3,0,556,553,0,3,0,548,8,1600,1044,20,17,129,29,13,214,5,68,2,34,17
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",22,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:27",1475,1465,2,8,0,702,694,0,8,0,666,36,1700,998,25,19,185,37,17,253,5,69,5,43,8
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",24,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:41",1411,1403,2,5,1,552,546,0,5,1,532,20,1500,948,30,12,115,36,10,222,3,44,12,38,10
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",4,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:55:58",1031,1026,2,3,0,482,479,0,3,0,468,14,1200,718,19,10,163,33,4,158,2,43,3,33,0
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",5,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:38:38",1076,1073,1,2,0,491,489,0,2,0,482,9,1200,709,24,14,129,49,5,140,6,53,6,54,2
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",18,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:18:09",1438,1421,1,9,7,605,589,0,9,7,584,21,1600,995,25,20,165,28,5,213,5,62,8,44,9
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",19,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:27:40",1369,1346,2,8,13,639,618,0,8,13,629,10,1500,861,32,24,158,39,10,239,5,58,9,46,9
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",48,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:43:13",1654,1643,4,7,0,746,738,1,7,0,721,25,1900,1154,26,35,167,23,17,235,8,77,10,115,8
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",47,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:32:52",1696,1687,2,7,0,781,774,0,7,0,743,38,1900,1119,32,27,209,27,11,263,2,85,12,66,9
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.9",54,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:09:14",1516,1505,5,6,0,750,743,1,6,0,727,23,1700,950,23,37,190,29,7,191,1,65,1,179,4
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",21,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:50:38",1612,1602,4,6,0,659,653,0,6,0,649,10,1800,1141,19,22,174,45,11,233,4,77,1,53,10
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",20,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:51:15",1554,1547,0,7,0,561,554,0,7,0,551,10,1700,1139,15,29,153,33,8,201,3,60,5,38,6
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",41,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:02",1166,1147,0,7,12,588,569,0,7,12,573,15,1300,712,19,25,178,44,12,167,6,54,8,54,6
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",40,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:47:40",732,705,1,7,19,338,312,0,7,19,322,16,800,462,14,11,88,18,7,109,1,34,4,33,3
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",39,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:56",1507,1481,16,10,0,752,742,0,10,0,745,7,1600,848,20,21,214,52,12,267,3,49,4,96,7
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",50,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:44:30",1635,1629,2,4,0,920,916,0,4,0,896,24,1800,880,23,32,215,58,2,418,5,66,5,64,8
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",49,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:29",1546,1538,2,6,0,733,727,0,6,0,713,20,1700,967,18,35,179,54,14,242,3,59,5,97,7
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",52,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:21",1354,1344,3,7,0,679,672,0,7,0,664,15,1500,821,48,27,220,31,13,192,3,72,2,48,8
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",51,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:00:43",1470,1467,0,3,0,650,647,0,3,0,626,24,1600,950,6,29,167,28,7,255,3,89,4,31,7
20,GORJ,"ŞCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ DRĂGOENI",55,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:47:41",1579,1571,3,5,0,743,738,0,5,0,724,19,1800,1057,28,35,196,45,6,231,3,74,9,86,11
20,GORJ,"ȘCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ ROMANEȘTI",57,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:53:15",814,808,2,4,0,385,382,0,3,0,374,11,900,515,9,8,126,28,0,127,2,34,3,30,7
20,GORJ,"ŞCOALA PRIMARĂ ŞI GRĂDINIŢA DE COPII URSAŢI",58,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:32",638,631,0,7,0,423,416,0,7,0,423,0,764,341,14,12,76,13,2,211,0,23,5,66,1
20,GORJ,"UNIVERSITATEA CONSTANTIN BRÂNCUŞI",8,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:21:36",1616,1605,5,6,0,742,736,0,6,0,722,20,1800,1058,27,31,180,55,4,253,3,86,4,71,8
20,GORJ,"UNIVERSITATEA „CONSTANTIN BRÂNCUȘI”",1,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 09:56:43",1615,1603,5,7,0,741,734,0,7,0,738,3,1800,1059,21,25,233,75,7,236,2,64,7,61,7
20,GORJ,"UNIVERSITATEA ”CONSTANTIN BRÂNCUȘI”-FACULTATEA DE ȘTIINȚE ALE EDUCAȚIEI, DREPT ȘI ADMINISTRAȚIE PUBLICĂ",38,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:25",878,861,1,14,2,400,384,0,14,2,387,13,1000,600,20,16,108,42,4,124,3,32,0,36,2
