precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","BLOCUL SUVERANIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","LUNGU DANIELA-voturi","SFERCOCI CRISTIAN-PETRU-voturi","NISTOR BOGDAN-voturi"
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",213,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:54",1011,1007,2,2,0,394,392,0,2,0,381,13,1100,706,18,120,83,39,5,2,16,0,61,13,10,9,2,3
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",212,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:35",1189,1180,2,7,0,471,464,0,7,0,451,20,1200,729,20,122,91,41,2,2,23,1,97,8,15,18,7,4
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.5",215,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:05:49",1247,1243,2,2,0,481,479,0,2,0,463,18,1300,819,21,161,73,48,9,2,11,0,89,10,9,22,3,5
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.5",216,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:43",1106,1098,0,7,1,443,435,0,7,1,442,1,1400,957,30,133,77,57,6,2,22,1,66,8,12,18,3,7
37,TIMIŞ,"IMOBIL PROPRIETATE A FUNDAȚIEI MISIUNEA PÂINEA VIEȚII",231,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:13:08",470,462,0,7,1,228,220,0,7,1,213,15,600,372,10,52,40,40,2,1,10,1,14,26,5,9,2,1
37,TIMIŞ,"IMOBIL PROPRIETATE A SOCIETĂȚII BOTEȘTI S.R.L.",229,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:50",1342,1325,8,9,0,632,623,0,9,0,622,10,1400,768,35,116,193,43,10,7,23,4,122,14,13,13,15,14
37,TIMIŞ,"IMOBIL PROPRIETATE A SOCIETĂȚII RIVA INTIMA S.R.L.",230,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:25:37",1338,1315,1,22,0,589,567,0,22,0,563,26,1400,811,28,149,145,58,7,7,19,2,76,13,13,24,21,1
37,TIMIŞ,"IMOBIL PROPRIETATE A SOCIETĂȚII VITIDA MINERAL SRL-FOST MAGAZIN PREZENTARE",218,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:33",1365,1357,0,8,0,560,552,0,8,0,539,21,1400,840,12,182,111,65,6,5,40,1,51,13,9,32,6,6
37,TIMIŞ,"SALA DE LUPTE ŞI GIMNASTICĂ ”FRANCISC HORVATH”",233,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:30:34",1015,1007,3,5,0,362,357,0,5,0,346,16,1100,738,11,132,63,29,6,5,12,0,49,10,5,17,5,2
37,TIMIŞ,"SALA DE LUPTE ȘI GIMNASTICĂ, „FRANCISC HORVATH”",234,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:18",1132,1126,3,3,0,528,525,0,3,0,514,14,1400,872,19,166,103,42,2,10,26,0,79,20,14,26,4,3
37,TIMIŞ,"SALA SPORTURILOR ”IOAN KUNST GHERMĂNESCU”",222,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:08:51",1181,1166,4,11,0,481,470,0,11,0,466,15,1200,719,16,142,106,37,8,4,18,0,72,9,15,24,9,6
37,TIMIŞ,"SALA SPORTURILOR ”IOAN KUNST GHERMĂNESCU”",223,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:01:14",1121,1109,4,8,0,460,452,0,8,0,443,17,1202,742,16,134,96,47,1,20,10,0,62,15,9,22,9,2
37,TIMIŞ,"SALA SPORTURILOR ”IOAN KUNST GHERMĂNESCU”",221,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:10:50",1338,1325,0,13,0,574,561,0,13,0,559,15,1400,826,17,150,111,54,6,3,19,3,112,22,16,27,13,6
37,TIMIŞ,"SALA SPORTURILOR ”IOAN KUNST GHERMĂNESCU”",220,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:13:51",723,714,0,6,3,341,332,0,6,3,337,4,1000,659,10,98,72,34,1,2,13,1,54,10,13,22,5,2
37,TIMIŞ,"SALA SPORTURILOR ”LAVINIA MILOŞOVICI”",236,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:31:03",1397,1386,5,6,0,629,623,0,6,0,613,16,2200,1571,26,162,149,60,6,4,28,0,94,20,22,23,15,4
37,TIMIŞ,"SALA SPORTURILOR ”LAVINIA MILOŞOVICI”",237,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:16:38",1471,1461,3,7,0,590,583,0,7,0,580,10,1600,1010,39,157,143,60,7,9,23,1,79,21,14,14,11,2
37,TIMIŞ,"SALA SPORTURILOR ”LAVINIA MILOŞOVICI”",235,"MUNICIPIUL LUGOJ",155350,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:32:46",1531,1524,1,6,0,693,687,0,6,0,659,34,1700,1007,23,228,146,82,6,2,20,0,97,9,13,19,14,0
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”EFTIMIE MURGU”",224,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:49",1136,1121,7,8,0,508,499,1,8,0,497,11,1200,692,29,165,120,38,12,1,10,1,73,20,11,11,6,0
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ ”EFTIMIE MURGU”",225,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:51",1207,1199,0,8,0,504,496,0,8,0,493,11,1300,796,17,142,115,47,5,3,9,5,87,10,14,23,11,5
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ NR.2",217,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:16:42",1450,1437,3,10,0,561,551,0,10,0,537,24,1500,939,19,160,94,66,3,4,23,2,77,15,15,43,8,8
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ NR.3",209,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:46",1410,1400,0,10,0,567,557,0,10,0,557,10,1500,933,17,168,129,40,11,6,17,0,89,33,16,21,7,3
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ NR.4",214,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:55:53",965,944,9,11,1,432,420,0,11,1,412,20,1000,568,13,109,84,41,5,5,17,2,86,10,16,12,11,1
