precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ALBEŞTII BISTRIŢEI",140,"GALAŢII BISTRIŢEI",33275,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:47:20",149,143,0,6,0,89,83,0,6,0,78,11,150,61,0,5,2,0,0,20,4,37,10
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCALIA",258,ŞIEU-MĂGHERUŞ,34690,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:26:29",781,773,1,4,3,402,396,0,4,2,366,36,903,501,3,10,3,3,1,32,9,76,229
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCHIUD",286,TEACA,34985,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:54:29",426,418,1,7,0,276,269,0,7,0,253,23,450,174,1,15,2,3,1,19,14,100,98
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARŞIŢA",182,"MĂGURA ILVEI",33729,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:35",337,318,1,0,18,236,217,1,0,18,215,21,371,135,0,2,1,1,0,22,2,158,29
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BAŢA",217,"PETRU RAREŞ",34173,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:54:18",707,689,0,6,12,436,418,0,6,12,412,24,749,313,1,95,3,2,3,60,19,77,152
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL BEUDIU",208,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:07:48",460,408,2,8,42,320,270,0,8,42,305,15,500,180,0,15,1,1,0,12,9,214,53
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BIDIU",176,MATEI,33658,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:45:18",142,133,0,4,5,95,86,0,4,5,74,16,140,50,1,1,1,0,0,4,4,45,18
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BÎRLA",183,MĂRIŞELU,33765,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:56:20",269,266,0,2,1,197,194,0,2,1,185,12,300,103,0,6,0,0,1,21,4,105,48
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BISTRIŢA BÎRGĂULUI",85,"BISTRIŢA BÂRGĂULUI",32633,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:02:52",1374,1357,2,5,10,825,810,0,5,10,786,39,1500,675,3,25,7,5,12,124,49,452,109
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BLĂJENII DE JOS",274,ŞINTEREAG,34903,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:21:06",303,294,0,4,5,187,178,0,4,5,178,9,350,163,2,4,1,0,0,9,9,116,37
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BRĂTENI",240,"SÂNMIHAIU DE CÂMPIE",34477,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:43:58",79,55,0,22,2,67,43,0,22,2,61,6,80,13,2,2,0,0,0,4,0,37,16
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUDURLENI",287,TEACA,34985,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:57:14",73,66,0,7,0,51,44,0,7,0,48,3,100,49,0,1,0,0,1,2,2,26,16
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUZA-CĂTUN",111,CHIOCHIŞ,33015,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:26:18",96,92,0,4,0,62,58,0,4,0,60,2,100,38,0,6,1,0,0,14,4,15,20
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CHIRALEŞ",155,LECHINŢA,33435,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:40:53",393,386,0,6,1,195,188,0,6,1,186,9,440,245,1,7,4,1,0,20,4,98,51
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-MIHĂIEŞTI",124,CICEU-MIHĂIEŞTI,179953,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:22:12",737,729,1,2,5,401,393,1,2,5,375,26,736,335,4,17,2,2,2,52,74,166,56
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-POIENI",103,"CĂIANU MIC",32811,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:59:37",265,237,0,3,25,265,237,0,3,25,261,4,550,285,0,2,0,0,1,4,0,251,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CIREŞOAIA",90,BRANIŞTEA,32660,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:29:36",1153,1096,0,12,45,825,768,0,12,45,820,5,1208,383,0,798,0,0,0,1,2,12,7
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COASTA",266,ŞIEU-ODORHEI,34770,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:20:12",157,147,0,8,2,96,86,0,8,2,90,6,179,83,0,3,0,1,0,18,14,39,15
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COLIBIȚA",88,"BISTRIŢA BÂRGĂULUI",32633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:46",245,238,1,6,0,124,118,0,6,0,115,9,300,176,0,4,1,0,6,10,6,65,23
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COMLOD",192,MILAŞ,33881,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:35:07",130,114,0,14,2,85,69,0,14,2,76,9,130,45,0,6,0,1,0,11,2,20,36
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CRAINIMĂT",260,ŞIEU-MĂGHERUŞ,34690,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:18:46",887,884,0,3,0,447,444,0,3,0,405,42,950,503,1,5,9,2,0,54,27,82,225
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL DUMBRĂVENI",123,CICEU-GIURGEŞTI,32955,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:18:44",485,420,0,24,41,485,420,0,24,41,335,37,492,120,0,7,0,1,2,40,27,192,66
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FELDRU",136,FELDRU,33248,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:47:07",1346,1331,1,5,9,670,656,0,5,9,611,59,1450,780,5,19,1,21,2,67,33,218,245
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FELEAC",209,NUŞENI,34075,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:12:49",259,235,1,6,17,190,167,0,6,17,174,16,280,90,1,1,2,0,0,5,30,98,37
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FÎNAŢE",308,URMENIŞ,35312,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:57:14",159,152,0,7,0,104,97,0,7,0,101,3,187,83,0,4,0,0,0,21,4,34,38
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL GALAŢII BISTRIŢEI",139,"GALAŢII BISTRIŢEI",33275,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:44:35",530,514,1,4,11,310,295,0,4,11,300,10,585,275,1,19,1,3,0,16,15,212,33
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ”GHERASIM DOMIDE” RODNA",232,RODNA,34333,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:43",1437,1426,1,3,7,852,841,1,3,7,780,72,1600,748,4,52,6,2,4,102,128,385,97
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL GLEDIN",195,MONOR,33952,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:30",391,363,0,9,19,294,266,0,9,19,275,19,400,106,1,5,0,0,2,26,91,130,20
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL JIMBOR",113,CHIOCHIŞ,33015,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:10:49",343,337,0,1,5,212,206,0,1,5,204,7,340,128,2,40,0,0,0,17,10,89,46
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LIVEZILE",162,LIVEZILE,33541,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:14:51",1212,1188,3,17,4,629,607,1,17,4,601,28,1338,709,11,12,6,5,1,78,51,370,67
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LIVIU REBREANU",76,"ORAŞ NĂSĂUD",32544,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:45:53",569,560,0,5,4,347,338,0,5,4,324,23,600,253,0,4,0,1,0,19,3,124,173
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LUNCA ILVEI",168,"LUNCA ILVEI",33603,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:51:02",1499,1495,1,1,2,780,777,0,1,2,719,61,1622,842,8,31,5,3,2,114,63,195,298
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LUNCA ILVEI",169,"LUNCA ILVEI",33603,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:52:54",1178,1170,3,0,5,659,654,0,0,5,610,49,1300,641,4,13,3,4,1,81,61,236,207
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LUŞCA",77,"ORAŞ NĂSĂUD",32544,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:48:11",550,543,1,6,0,293,287,0,6,0,269,24,601,308,3,6,0,1,0,16,10,59,174
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MĂGURA ILVEI",181,"MĂGURA ILVEI",33729,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:49:54",1329,1266,0,1,62,851,788,0,1,62,771,80,1450,599,20,29,3,2,2,146,23,382,164
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MĂLUŢ",91,BRANIŞTEA,32660,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:31:36",460,451,0,3,6,315,306,0,3,6,296,19,499,184,4,7,3,0,14,11,9,166,82
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MICEŞTII DE CÎMPIE",188,"MICEŞTII DE CÂMPIE",33845,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:43:19",260,217,0,26,17,196,153,0,26,17,177,19,250,54,33,9,1,6,0,13,7,72,36
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MIREŞ",119,CHIUZA,33122,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:16:24",117,111,0,6,0,85,79,0,6,0,81,4,120,35,0,4,0,0,0,17,2,27,31
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MOCOD",203,NIMIGEA,33989,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:47",486,464,1,6,15,306,285,0,6,15,282,24,500,194,0,9,2,2,0,23,23,148,75
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MONOR",194,MONOR,33952,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:43",685,649,0,11,25,492,456,0,11,25,449,43,700,208,10,21,5,0,0,94,80,194,45
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL OCNIŢA",288,TEACA,34985,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 20:59:18",764,753,0,7,4,440,429,0,7,4,393,47,800,360,2,7,0,3,0,24,30,176,151
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ORHEIU BISTRIŢEI",106,CETATE,32884,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:08:30",722,718,0,3,1,452,448,0,3,1,413,39,802,350,3,11,4,0,1,75,19,138,162
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL OROSFAIA",193,MILAŞ,33881,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:19:48",228,207,0,17,4,228,207,0,17,4,212,16,290,62,2,5,0,0,0,23,9,51,122
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL PINTICU",289,TEACA,34985,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:06:49",602,597,0,5,0,294,289,0,5,0,235,59,650,356,1,12,2,0,6,43,17,108,46
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL RUSU BÎRGĂULUI",151,"JOSENII BÂRGĂULUI",33382,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:30:35",771,764,1,5,1,417,411,0,5,1,396,21,850,433,3,6,15,4,1,110,40,148,69
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL RUSU DE SUS",211,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:41:11",227,215,1,5,6,169,158,0,5,6,165,4,240,71,1,2,4,2,3,16,10,100,27
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SĂLCUŢA",241,"SÂNMIHAIU DE CÂMPIE",34477,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:38:40",93,79,0,7,7,74,60,0,7,7,67,7,100,26,0,6,2,2,1,5,3,34,14
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SĂRĂŢEL",261,ŞIEU-MĂGHERUŞ,34690,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:15:34",487,476,1,7,3,236,226,0,7,3,216,19,499,263,0,8,6,2,0,30,10,66,94
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SĂSARM",121,CHIUZA,33122,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:24:59",569,546,1,13,9,375,353,0,13,9,337,16,575,216,4,11,5,0,1,56,21,120,119
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞIEU-MĂGHERUŞ",257,ŞIEU-MĂGHERUŞ,34690,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:28:22",995,987,0,6,2,524,516,0,6,2,487,37,1097,573,3,14,0,6,2,73,19,109,261
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞIEU-SFÂNTU",278,ŞINTEREAG,34903,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:02:21",403,385,1,6,11,275,257,1,6,11,270,5,400,125,1,33,6,0,0,10,33,146,41
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SÎNGEORZU- NOU",156,LECHINŢA,33435,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:43:38",821,804,3,6,8,415,401,0,6,8,398,17,900,485,0,7,1,5,0,36,19,245,85
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SÎNIACOB",157,LECHINŢA,33435,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:46:31",197,182,0,10,5,135,120,0,10,5,133,2,200,65,0,2,0,2,0,8,2,107,12
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SÎNMIHAIU DE CÎMPIE",239,"SÂNMIHAIU DE CÂMPIE",34477,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:25:03",578,537,0,25,16,433,392,0,25,16,388,45,572,139,3,18,2,2,0,36,7,224,96
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞOIMUŞ",256,ŞIEU,34645,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:52:06",115,109,0,6,0,86,80,0,6,0,82,4,139,53,0,2,0,0,0,11,0,66,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞOPTERIU",309,URMENIŞ,35312,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:46",285,277,0,8,0,177,169,0,8,0,156,21,300,123,1,6,0,1,2,15,11,62,58
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŢĂGŞORU",100,BUDEŞTI,32768,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:15:39",205,189,0,12,4,136,120,0,12,4,119,17,200,64,0,3,1,1,0,15,1,56,42
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL TÂRLIȘUA",279,TÂRLIŞUA,35152,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:40:12",1038,988,0,4,46,667,617,0,4,46,632,35,1080,413,4,20,6,1,11,38,7,389,156
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL TEACA",284,TEACA,34985,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:49:35",865,860,0,2,3,421,416,0,2,3,385,36,950,529,4,50,2,2,4,45,33,149,96
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL TONCIU",143,"GALAŢII BISTRIŢEI",33275,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:55:19",204,192,0,8,4,117,105,0,8,4,111,6,215,98,0,89,0,1,1,0,1,13,6
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VERMEŞ",159,LECHINŢA,33435,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:52:43",737,721,0,6,10,370,354,0,6,10,337,33,800,430,0,9,1,2,0,30,11,259,25
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VIILE TECII",290,TEACA,34985,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:59:47",877,860,1,7,9,424,408,0,7,9,380,44,950,526,3,27,2,2,4,100,37,144,61
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VISUIA",190,"MICEŞTII DE CÂMPIE",33845,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:49:00",306,287,0,14,5,234,215,0,14,5,205,29,318,84,15,17,0,6,1,20,19,65,62
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ZORENI",243,"SÂNMIHAIU DE CÂMPIE",34477,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:28:58",231,215,0,11,5,175,159,0,11,5,154,21,240,65,0,12,1,1,0,22,2,88,28
6,BISTRIŢA-NĂSĂUD,"CASA DE CULTURĂ ”LIVIU REBREANU”",70,"ORAŞ NĂSĂUD",32544,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:27:31",1370,1359,0,10,1,721,710,0,10,1,689,32,1550,829,2,13,16,7,2,67,34,187,361
6,BISTRIŢA-NĂSĂUD,"CASA DE CULTURĂ SIGMIR",53,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:21:43",961,951,3,7,0,482,475,0,7,0,461,18,1050,571,2,24,6,16,4,55,27,184,143
6,BISTRIŢA-NĂSĂUD,"CASA DE LOCUIT",283,TÂRLIŞUA,35152,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:14",173,163,0,7,3,137,127,0,7,3,129,8,200,63,1,4,1,1,1,10,3,72,36
6,BISTRIŢA-NĂSĂUD,"CENTRU CULTURAL MIJLOCENII BÂRGĂULUI",150,"JOSENII BÂRGĂULUI",33382,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:28:31",1360,1351,2,1,6,727,720,0,1,6,689,38,1500,773,3,12,67,3,2,158,103,245,96
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL CATEHETIC SF. ARHIDIACON STEFAN",173,MAIERU,33621,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:50:06",1546,1540,0,0,6,960,954,0,0,6,888,72,1693,733,4,50,6,12,0,212,24,395,185
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL MUNICIPAL GEORGE COȘBUC",1,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:34:04",1332,1301,4,21,6,641,614,0,21,6,617,24,1650,1009,4,44,10,26,7,46,53,271,156
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL PRUNDU BÂRGĂULUI",221,"PRUNDU BÂRGĂULUI",34235,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:36:54",1552,1543,0,6,3,866,857,0,6,3,816,41,1700,843,4,17,8,8,5,88,31,562,93
6,BISTRIŢA-NĂSĂUD,"CENTRUL DE INFORMARE TURISTICA",214,PARVA,34155,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:34:11",965,945,0,0,20,616,596,0,0,20,548,68,1050,434,2,32,0,3,0,146,21,304,40
6,BISTRIŢA-NĂSĂUD,"CENTRUL DE INFORMARE TURISTICĂ",292,TELCIU,35054,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:23:13",1002,992,1,3,6,593,584,0,3,6,536,57,1100,507,10,26,6,1,3,101,119,111,159
6,BISTRIŢA-NĂSĂUD,"CENTRUL LOCAL DE INFORMARE TURISTICĂ",94,"BUDACU DE JOS",32704,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:20:26",837,824,2,3,8,571,560,0,3,8,535,36,900,329,4,14,3,3,1,111,12,334,53
6,BISTRIŢA-NĂSĂUD,"CENTRUL MISIONAR DE TINERET ”IOAN BUNEA” SÂNGEORZ-BĂI",83,"ORAŞ SÂNGEORZ-BĂI",32599,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:01:44",1490,1479,1,7,3,730,720,0,7,3,687,43,1600,870,4,11,4,1,4,53,44,208,358
6,BISTRIŢA-NĂSĂUD,"CLUBUL COPIILOR BECLEAN",62,"ORAŞ BECLEAN",32483,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:10:20",778,764,1,11,2,363,350,0,11,2,349,14,850,487,1,38,9,3,2,33,26,137,100
6,BISTRIŢA-NĂSĂUD,"CLUBUL COPIILOR BECLEAN",61,"ORAŞ BECLEAN",32483,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:08:31",727,715,1,10,1,362,351,0,10,1,351,11,800,438,0,39,5,4,6,31,39,136,91
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAŢIONAL ”ANDREI MUREŞANU”",23,"MUNICIPIUL BISTRIŢA",32394,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:31:33",1304,1281,0,21,2,596,575,0,21,0,575,21,1400,804,6,25,20,28,4,45,50,241,156
