precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"CAMIN CULTURAL BOGDANA",100,BUCIUMI,140379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:19",409,370,0,29,10,286,247,0,29,10,249,37,420,134,121,3,93,16,6,7,1,1,1
33,SĂLAJ,"CAMIN CULTURAL BULGARI",260,SĂLĂŢIG,142550,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:24:06",171,159,1,1,10,114,103,0,1,10,109,5,200,86,55,4,36,11,0,0,2,0,1
33,SĂLAJ,"CĂMIN CULTURAL COSNICIU DE JOS",200,IP,141722,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:43:10",507,505,0,0,2,282,280,0,0,2,256,26,560,278,95,4,78,21,14,37,1,5,1
33,SĂLAJ,"CĂMIN CULTURAL CUCIULAT",206,LETCA,141786,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:20:29",137,122,0,10,5,92,77,0,10,5,85,7,130,38,10,2,51,9,1,9,0,1,2
33,SĂLAJ,"CAMIN CULTURAL HALMASD",167,HALMĂŞD,141312,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:43",832,807,1,4,20,541,517,0,4,20,511,30,890,349,304,6,151,15,9,22,0,1,3
33,SĂLAJ,"CAMIN CULTURAL HOROATU CRASNEI",185,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:36",795,737,0,37,21,537,479,0,37,21,514,23,850,313,162,142,159,13,7,20,0,1,10
33,SĂLAJ,"CAMIN CULTURAL MINEU",262,SĂLĂŢIG,142550,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:58:30",256,243,1,0,12,147,134,1,0,12,143,4,293,146,61,56,15,6,2,3,0,0,0
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:27:29",380,316,0,58,6,275,211,0,58,6,260,15,382,107,61,5,153,13,2,16,0,9,1
33,SĂLAJ,"CĂMIN CULTURAL ROMITA",255,ROMÂNAŞI,142426,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:20:46",258,237,1,12,8,116,96,0,12,8,115,1,280,164,64,2,29,11,6,1,0,2,0
33,SĂLAJ,"CAMIN CULTURAL SANGEORGIU DE MESES",102,BUCIUMI,140379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:20:21",231,197,0,26,8,173,139,0,26,8,161,12,250,77,71,1,71,9,1,4,0,0,4
33,SĂLAJ,"CĂMIN CULTURAL VALEA LOZNEI",214,LOZNA,141884,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:00:30",183,123,0,53,7,137,77,0,53,7,130,7,147,10,69,2,14,39,0,6,0,0,0
33,SĂLAJ,"CAMIN CULTURAL VAR",55,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:32",395,383,0,8,4,255,243,0,8,4,248,7,450,195,63,6,146,13,18,0,2,0,0
33,SĂLAJ,"CAMINUL CULTURAL",184,HIDA,141447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:01:57",225,224,0,1,0,138,137,0,1,0,132,6,250,112,83,5,14,12,3,13,1,1,0
33,SĂLAJ,"CĂMINUL CULTURAL",179,HIDA,141447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:33:55",40,14,0,26,0,31,5,0,26,0,31,0,40,9,16,2,3,2,3,4,0,1,0
33,SĂLAJ,"CĂMINUL CULTURAL",188,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:17:43",228,183,0,43,2,155,110,0,43,2,151,4,218,63,99,2,31,11,3,2,0,1,2
33,SĂLAJ,"CĂMINUL CULTURAL",182,HIDA,141447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:02",305,299,0,6,0,150,144,0,6,0,140,10,330,180,90,5,20,10,1,10,0,3,1
33,SĂLAJ,"CĂMINUL CULTURAL",183,HIDA,141447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:49:21",106,91,1,14,0,61,46,1,14,0,59,2,100,39,38,1,6,6,2,5,0,1,0
33,SĂLAJ,"CĂMINUL CULTURAL",140,DOBRIN,140958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:29:28",382,364,0,5,13,204,186,0,5,13,192,12,398,194,52,87,27,14,3,0,0,0,9
33,SĂLAJ,"CĂMINUL CULTURAL",178,HIDA,141447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:46",108,99,0,7,2,61,52,0,7,2,59,2,110,49,26,2,17,3,2,6,0,1,2
33,SĂLAJ,"CĂMINUL CULTURAL",161,GÂRBOU,141232,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:09:03",104,86,0,16,2,75,57,0,16,2,71,4,110,35,48,5,14,2,0,2,0,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",240,NUŞFALĂU,142239,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:47:47",310,303,0,3,4,212,205,0,3,4,191,21,350,138,7,167,5,6,1,1,3,0,1
33,SĂLAJ,"CĂMINUL CULTURAL",201,IP,141722,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:03",204,204,0,0,0,122,122,0,0,0,117,5,250,128,41,2,54,5,1,14,0,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",166,GÂRBOU,141232,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:20:45",273,254,0,12,7,198,179,0,12,7,185,13,290,92,89,5,72,10,1,2,6,0,0
33,SĂLAJ,"CĂMINUL CULTURAL BOCȘIȚA",173,HERECLEAN,141376,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:31:03",67,54,0,10,3,52,39,0,10,3,47,5,100,48,13,17,9,4,0,3,0,0,1
33,SĂLAJ,"CĂMINUL CULTURAL BOZIEŞ",97,BOGHIŞ,180037,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:09:33",208,202,0,2,4,138,132,0,2,4,130,8,250,112,5,120,3,0,1,0,1,0,0
33,SĂLAJ,"CĂMINUL CULTURAL BRÎGLEZ",278,SURDUC,142774,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:29",276,215,0,44,17,211,150,0,44,17,205,6,250,39,87,4,99,4,2,8,0,1,0
33,SĂLAJ,"CĂMINUL CULTURAL CERNUC",163,GÂRBOU,141232,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:52:20",149,137,0,10,2,87,75,0,10,2,74,13,150,63,34,5,27,4,0,3,0,0,1
33,SĂLAJ,"CĂMINUL CULTURAL CRISTOLȚ",127,CRISTOLŢ,140770,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:36",499,444,0,40,15,394,339,0,40,15,372,22,465,71,233,3,65,18,19,18,7,1,8
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:16",448,429,0,7,12,293,274,0,7,12,291,2,500,207,47,222,9,2,4,6,0,0,1
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",225,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:54",574,550,0,16,8,382,358,0,16,8,357,25,600,218,24,183,100,30,6,6,0,7,1
33,SĂLAJ,"CĂMINUL CULTURAL DOBA",141,DOBRIN,140958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:39:17",283,277,0,3,3,163,157,0,3,3,160,3,300,137,5,143,7,2,2,0,0,0,1
33,SĂLAJ,"CĂMINUL CULTURAL DOLU",310,ZIMBOR,143147,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:24:15",50,38,0,12,0,41,29,0,12,0,38,3,50,9,16,1,14,2,2,1,0,0,2
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",246,PLOPIŞ,142337,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:37:53",509,496,0,6,7,267,254,0,6,7,236,31,560,293,143,5,51,14,16,5,1,0,1
33,SĂLAJ,"CĂMINUL CULTURAL FIRMINIŞ",230,MIRŞID,142122,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:16",151,130,1,18,2,105,85,0,18,2,96,9,140,35,20,2,57,10,1,2,0,2,2
33,SĂLAJ,"CĂMINUL CULTURAL FIZEȘ",265,SÂG,142612,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:29",253,248,0,4,1,140,135,0,4,1,124,16,280,140,53,4,33,9,4,4,0,0,17
33,SĂLAJ,"CĂMINUL CULTURAL GĂLĂȘENI, NR.50",135,CUZĂPLAC,140869,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:18:26",104,81,0,21,2,81,58,0,21,2,77,4,95,14,54,1,15,5,0,0,0,1,1
33,SĂLAJ,"CĂMINUL CULTURAL HĂȘMAȘ",294,ŞIMIŞNA,179695,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:56:22",182,173,0,1,8,115,106,0,1,8,98,15,200,87,30,6,54,5,1,1,0,0,1
33,SĂLAJ,"CĂMINUL CULTURAL HERECLEAN",171,HERECLEAN,141376,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:16",516,495,1,8,12,348,328,0,8,12,332,16,558,210,129,31,98,14,7,31,1,18,3
33,SĂLAJ,"CĂMINUL CULTURAL INĂU",275,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:18",485,455,0,8,22,317,287,0,8,22,300,17,533,216,202,5,36,14,13,25,1,3,1
33,SĂLAJ,"CĂMINUL CULTURAL JEBUCU",68,ALMAŞU,139982,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:18",333,277,0,27,29,286,230,0,27,29,271,15,323,37,9,240,12,5,3,1,0,1,0
33,SĂLAJ,"CĂMINUL CULTURAL MIRŞID",229,MIRŞID,142122,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:15",577,548,0,22,7,419,390,0,22,7,399,20,614,195,119,26,211,14,4,18,0,4,3
33,SĂLAJ,"CĂMINUL CULTURAL MOIAD",292,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:58:53",172,169,0,3,0,98,95,0,3,0,95,3,200,102,52,5,24,7,1,1,0,2,3
33,SĂLAJ,"CĂMINUL CULTURAL, NR.20",147,DRAGU,141027,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:54:11",27,14,0,12,1,18,5,0,12,1,18,0,40,22,9,1,5,1,0,2,0,0,0
33,SĂLAJ,"CĂMINUL CULTURAL PANIC",176,HERECLEAN,141376,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:13",885,853,2,3,27,608,578,0,3,27,590,18,950,342,115,417,28,7,7,12,0,4,0
33,SĂLAJ,"CĂMINUL CULTURAL ”PETŐFI SÁNDOR”",114,CRASNA,140627,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:20",1908,1812,15,10,71,1281,1198,2,10,71,1267,14,2061,780,48,1150,39,10,1,9,3,3,4
33,SĂLAJ,"CĂMINUL CULTURAL PETRINZEL",70,ALMAŞU,139982,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:19:50",100,85,1,14,0,72,57,1,14,0,67,5,125,53,9,51,3,3,0,1,0,0,0
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",245,PLOPIŞ,142337,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:46",821,792,3,21,5,512,491,0,16,5,454,58,870,358,274,8,65,29,12,42,2,5,17
33,SĂLAJ,"CĂMINUL CULTURAL POPENI",232,MIRŞID,142122,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:42",752,734,0,5,13,481,463,0,5,13,443,38,820,339,128,9,242,21,9,28,0,3,3
33,SĂLAJ,"CĂMINUL CULTURAL RECEA",303,VÂRŞOLŢ,143021,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:20",466,416,0,20,30,337,287,0,20,30,315,22,500,163,44,57,104,56,5,11,4,2,32
33,SĂLAJ,"CĂMINUL CULTURAL RUGINOASA, NR.22",138,CUZĂPLAC,140869,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:54:23",71,52,0,19,0,51,32,0,19,0,45,6,66,15,27,1,4,8,2,2,0,1,0
33,SĂLAJ,"CĂMINUL CULTURAL SÂNCRAIU ALMAȘULUI",311,ZIMBOR,143147,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:12:38",145,132,0,11,2,94,81,0,11,2,88,6,145,51,41,2,27,6,0,6,1,0,5
33,SĂLAJ,"CĂMINUL CULTURAL ȘOIMUȘ",276,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:37:36",287,263,0,7,17,166,142,0,7,17,151,15,330,164,109,0,28,7,2,3,0,0,2
33,SĂLAJ,"CĂMINUL CULTURAL SOLONA",280,SURDUC,142774,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:24:30",214,178,0,27,9,155,119,0,27,9,146,9,200,45,72,2,66,1,2,2,0,1,0
33,SĂLAJ,"CĂMINUL CULTURAL SOMEȘ-ODORHEI",272,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:48:00",1106,1065,1,7,33,698,663,0,7,28,662,36,1194,496,224,23,165,87,9,145,2,0,7
33,SĂLAJ,"CĂMINUL CULTURAL STANA",71,ALMAŞU,139982,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:53:13",104,84,0,16,4,80,60,0,16,4,80,0,125,45,3,67,7,0,0,2,0,0,1
33,SĂLAJ,"CĂMINUL CULTURAL ŞUMAL",218,MARCA,141946,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:24:10",392,382,0,2,8,276,266,0,2,8,260,16,428,152,155,3,63,18,5,7,3,4,2
33,SĂLAJ,"CĂMINUL CULTURAL SURDUC",277,SURDUC,142774,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:09:05",1206,1039,2,135,30,896,730,1,135,30,845,51,1081,185,369,24,402,22,4,15,1,6,2
33,SĂLAJ,"CĂMINUL CULTURAL SUTORU",312,ZIMBOR,143147,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:52:34",105,96,1,7,1,75,66,1,7,1,66,9,110,35,48,0,8,8,0,2,0,0,0
33,SĂLAJ,"CĂMINUL CULTURAL TEȘTIOARA",281,SURDUC,142774,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:07:15",84,60,0,20,4,58,34,0,20,4,56,2,100,42,33,0,19,3,0,1,0,0,0
33,SĂLAJ,"CĂMINUL CULTURAL TIHĂU",282,SURDUC,142774,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:58:17",940,847,0,67,26,698,605,0,67,26,618,31,929,280,291,13,261,26,7,16,0,2,2
33,SĂLAJ,"CĂMINUL CULTURAL TUSA",268,SÂG,142612,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:29",536,532,0,4,0,339,335,0,4,0,307,32,600,261,135,4,92,27,12,10,0,1,26
33,SĂLAJ,"CĂMINUL CULTURAL ZĂUAN",202,IP,141722,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:25:51",796,786,3,3,4,448,441,0,3,4,431,17,864,415,6,382,1,5,6,29,1,1,0
33,SĂLAJ,"CASA DE CULTURĂ",47,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:03",1746,1691,11,40,4,805,761,0,40,4,781,24,1888,1083,156,48,391,58,23,84,0,16,5
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:36:23",1881,1852,15,8,6,948,934,0,8,6,915,33,2050,1097,155,391,221,43,11,58,2,27,7
33,SĂLAJ,"CASĂ PAROHIALĂ REFORMATĂ NAIMON",143,DOBRIN,140958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:11:13",111,108,0,3,0,49,46,0,3,0,45,4,127,78,20,15,6,1,0,2,0,0,1
33,SĂLAJ,"CENTRU DE INFORMARE ȘI MARKETING TURISTIC",244,PERICEI,142284,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:02:33",128,124,0,4,0,58,54,0,4,0,57,1,150,92,17,3,27,7,2,1,0,0,0
33,SĂLAJ,"CENTRU DE INFORMARE TURISTICA",115,CRASNA,140627,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:43",1857,1817,5,8,27,1271,1236,0,8,27,1250,21,2000,729,40,1173,14,8,2,6,1,4,2
33,SĂLAJ,"CENTRUL AFTER SCHOOL",226,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:30:22",1268,1225,0,30,13,842,799,0,30,13,798,44,1365,523,172,244,127,189,28,13,2,21,2
33,SĂLAJ,"CENTRUL CULTURAL",58,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:21",1342,1329,0,10,3,699,686,0,10,3,675,24,1500,801,315,198,91,24,11,27,2,6,1
33,SĂLAJ,"CENTRUL CULTURAL CEACA",305,ZALHA,143067,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:24:40",185,159,0,18,8,139,113,0,18,8,124,15,170,31,57,8,37,7,0,11,0,0,4
33,SĂLAJ,"CENTRUL CULTURAL CHENDREA",80,BĂLAN,140146,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:40",656,595,1,39,21,479,419,0,39,21,447,32,700,221,176,7,174,28,11,36,0,3,12
33,SĂLAJ,"CENTRUL CULTURAL COMUNITAR ȘĂRMĂȘAG",286,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:53:49",941,904,3,2,32,647,612,1,2,32,633,14,1040,393,32,583,8,3,3,1,0,0,3
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:38:38",622,603,0,6,13,343,324,0,6,13,323,20,670,327,209,4,56,32,8,7,1,1,5
33,SĂLAJ,"CENTRUL DE CONSULTANȚĂ AGRICOLĂ BOCȘA",92,BOCŞA,140324,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:52:43",771,722,0,9,40,537,488,0,9,40,515,22,844,305,155,9,255,14,36,41,1,2,2
33,SĂLAJ,"CENTRUL DE INFORMARE ȘI MARKETING TURISTIC",250,ROMÂNAŞI,142426,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:28",802,768,3,10,21,478,447,0,10,21,445,33,850,372,281,11,79,25,24,20,0,3,2
33,SĂLAJ,"CENTRUL DE INFORMARE ŞI PROMOVARE TURISTICĂ VALEA POMILOR",285,ŞAMŞUD,142854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:33:59",514,493,1,3,17,264,243,1,3,17,248,14,550,288,14,219,7,4,1,0,1,2,0
33,SĂLAJ,"CENTRUL DE INFORMARE TURISTICĂ",238,NUŞFALĂU,142239,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:53",1367,1344,4,11,8,869,850,0,11,8,711,158,1490,621,158,363,100,33,21,18,1,4,13
33,SĂLAJ,"CENTRUL DE ZI",228,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:59:24",686,640,0,39,7,431,385,0,39,7,400,31,750,319,80,22,214,57,12,11,0,2,2
33,SĂLAJ,"CENTRUL DE ZI DOBA",142,DOBRIN,140958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:19:17",139,124,0,6,9,139,124,0,6,9,139,0,250,111,4,125,5,2,1,0,0,0,2
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",116,CRASNA,140627,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:10:38",422,415,0,5,2,192,185,0,5,2,172,20,500,308,46,68,33,3,10,11,0,0,1
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",117,CRASNA,140627,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:05:50",711,687,2,13,9,431,409,0,13,9,410,21,750,319,330,6,53,7,7,5,0,1,1
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",118,CRASNA,140627,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:52:07",395,383,0,8,4,190,178,0,8,4,174,16,450,260,10,149,4,1,4,1,0,1,4
33,SĂLAJ,"CENTRUL DE ZI PETRINDU, NR.78",137,CUZĂPLAC,140869,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:45",347,310,0,31,6,275,238,0,31,6,255,20,350,75,117,22,30,55,5,22,1,2,1
33,SĂLAJ,"CENTRUL LOCAL DE INFORMARE TURISTICĂ",104,CARASTELEC,140477,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:15",804,780,2,3,19,503,481,0,3,19,484,19,849,346,18,458,1,2,2,1,1,0,1
33,SĂLAJ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",60,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:33",1814,1802,0,12,0,849,837,0,12,0,789,60,2000,1151,444,115,141,35,14,29,2,5,4
33,SĂLAJ,"CERCUL GOSPODARILOR",199,IP,141722,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:48:45",1384,1366,6,0,12,838,824,2,0,12,796,42,1500,661,119,403,85,31,8,144,1,3,2
33,SĂLAJ,"CLĂDIREA FOSTULUI CONSILIU CIULA",204,LETCA,141786,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:00:30",77,56,0,20,1,77,56,0,20,1,67,10,90,13,8,2,34,9,0,13,0,0,1
33,SĂLAJ,"CLĂDIREA TRANSILVANIA",10,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:11:30",1336,1312,13,10,1,638,627,0,10,1,629,9,1400,762,147,106,233,37,8,59,1,29,9
33,SĂLAJ,"CLĂDIRE MULTIFUNCŢIONALĂ",76,BĂBENI,140084,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:34:13",82,66,0,12,4,77,61,0,12,4,74,3,91,14,28,1,37,5,0,3,0,0,0
33,SĂLAJ,"CLUB S.C. COMPANIA DE APĂ SOMEŞ S.A. SUCURSALA MUNICIPIULUI ZALĂU",37,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:19",1206,1199,2,5,0,484,479,0,5,0,475,9,1350,866,127,70,167,39,5,41,5,19,2
33,SĂLAJ,"COLEGIUL NAŢIONAL ”SILVANIA”",1,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:16",1908,1859,38,9,2,982,970,1,9,2,967,15,2056,1074,249,244,286,44,16,79,2,41,6
