precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXE COSTEL-PARTIDUL NAȚIONAL LIBERAL-voturi","OSTAFICIUC MARIUS-EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COJOCARU PETRU-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","REBENCIUC CEZAR-IOAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MOVILĂ PETRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PÂNTEA PAVEL-GHEORGHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RĂŢOI IULIANA-PARTIDUL PRO ROMÂNIA-voturi","APOSTOLACHE ADRIAN-ŞTEFAN-PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi"
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",485,HĂLĂUCEŞTI,97438,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:11",1342,1308,1,5,28,563,530,0,5,28,531,32,1400,837,317,73,51,11,63,5,5,6
24,IAŞI,"CAMIN CULTURAL HALAUCESTI",486,HĂLĂUCEŞTI,97438,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:25",1202,1157,0,4,41,627,582,0,4,41,553,29,1300,718,303,94,62,27,50,3,6,8
24,IAŞI,"CĂMIN CULTURAL PÂRCOVACI",297,"ORAŞ HÂRLĂU",95355,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:52:37",1496,1486,0,7,3,803,793,0,7,3,770,33,1600,797,388,34,290,18,34,3,2,1
24,IAŞI,"CĂMIN CULTURAL POCREACA",651,"SCHITU DUCA",98827,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:08:06",328,313,0,8,7,197,182,0,8,7,182,15,400,203,106,8,49,2,14,2,0,1
24,IAŞI,"CĂMIN CULTURAL - SALA II OTELENI",584,OŢELENI,98300,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:14:23",1046,1007,0,7,32,534,495,0,7,32,468,16,1100,598,225,89,137,5,0,0,5,7
24,IAŞI,"CĂMIN CULTURAL - SALA I OTELENI",583,OŢELENI,98300,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:06:20",979,947,0,4,28,532,500,0,4,28,499,33,1100,568,226,111,128,10,20,3,0,1
24,IAŞI,"CĂMIN CULTURAL TABĂRA",355,BIVOLARI,95943,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:14:48",852,846,0,6,0,333,327,0,6,0,312,21,900,567,99,16,154,12,28,1,1,1
24,IAŞI,"CĂMIN CULTURAL VICTORIA",764,VICTORIA,100004,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:05:15",387,373,1,8,5,210,201,1,8,0,198,2,400,1,106,10,59,6,15,0,2,0
24,IAŞI,"CĂMIN CULTURAL VICTORIA",763,VICTORIA,100004,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:39",1370,1338,2,15,15,710,680,0,15,15,682,28,1500,790,371,48,162,25,44,4,25,3
24,IAŞI,"CĂMINUL CULTURAL",456,FOCURI,97063,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:13",1476,1464,0,1,11,708,696,0,1,11,682,26,1600,892,310,40,300,18,8,0,3,3
24,IAŞI,"CĂMINUL CULTURAL BOROSEŞTI",644,SCÂNTEIA,98916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:50:44",679,665,0,6,8,332,318,0,6,8,314,18,700,368,203,25,46,3,29,1,1,6
24,IAŞI,"CĂMINUL CULTURAL BOURENI",578,MOŢCA,98220,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:37",1155,1127,0,5,23,530,502,0,5,23,506,24,1300,770,97,52,328,19,5,1,2,2
24,IAŞI,"CĂMINUL CULTURAL DRĂGUŞENI",442,DRĂGUŞENI,100308,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:28:34",725,714,0,2,9,395,384,0,2,9,368,27,800,405,172,7,170,7,6,2,3,1
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",495,HOLBOCA,95159,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:26",1681,1681,0,0,0,854,854,0,0,0,816,38,1800,946,445,93,123,27,64,8,33,23
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",496,HOLBOCA,95159,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:09:46",1734,1720,2,10,2,899,887,0,10,2,872,27,1900,1001,454,85,132,34,95,9,38,25
24,IAŞI,"CĂMINUL CULTURAL TUNGUJEI",734,ŢIBĂNEŞTI,99780,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:27:30",470,462,0,4,4,191,183,0,4,4,181,10,500,309,59,9,76,3,30,3,1,0
24,IAŞI,"CAMINUL CULTURAL VINATORI",758,VÂNĂTORI,100086,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:52:37",885,854,0,17,14,498,467,0,17,14,468,21,1000,490,53,23,357,9,21,3,0,2
24,IAŞI,"CANTONUL PETREŞTI ADMINISTRAT DE CĂTRE ADMINISTRAŢIA BAZINALĂ DE APĂ PRUT-BÂRLAD",462,GOLĂIEŞTI,97090,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:44:57",243,236,0,5,2,130,123,0,5,2,121,9,300,170,60,3,43,7,7,1,0,0
24,IAŞI,"CASA DE CULTURA ”GARABET IBRAILEANU”",316,"ORAŞ TÂRGU FRUMOS",95471,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:43:54",1906,1896,1,4,5,803,794,0,4,5,763,40,2000,1197,267,68,324,32,39,6,15,12
24,IAŞI,"CASA DE CULTURA ”GARABET IBRAILEANU”",315,"ORAŞ TÂRGU FRUMOS",95471,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:03:28",1482,1476,0,6,0,640,634,0,6,0,626,14,1600,960,238,58,266,18,30,4,6,6
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",262,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:43:04",1161,1155,0,6,0,489,483,0,6,0,468,21,1300,811,232,30,126,13,28,3,30,6
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",263,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:02",1224,1220,1,3,0,531,528,0,3,0,512,19,1400,869,203,40,143,18,29,12,63,4
24,IAŞI,"CASA DE PRAZNUIRE",493,HELEŞTENI,97465,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:44",168,161,0,6,1,100,93,0,6,1,92,8,200,100,19,7,58,4,3,0,0,1
24,IAŞI,"CASA DE PRĂZNUIRE A PAROHIEI ”SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” POIANA-ȘCHEII",686,ŞCHEIA,99290,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:40:29",410,407,0,3,0,214,211,0,3,0,209,5,500,286,65,16,105,5,18,0,0,0
24,IAŞI,"CASA DE PRAZNUIRE BAHLUI",406,COTNARI,96478,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:46:51",258,253,0,5,0,130,125,0,5,0,125,5,300,170,60,17,38,5,4,1,0,0
24,IAŞI,"CASA DE PRĂZNUIRE BAZGA",616,RĂDUCĂNENI,98685,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:18:28",1217,1211,0,3,3,541,535,0,3,3,518,23,1300,759,243,29,202,15,14,2,9,4
24,IAŞI,"CASA DE PRĂZNUIRE GRĂDINARI",461,GOLĂIEŞTI,97090,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:52:45",312,306,0,4,2,188,182,0,4,2,176,6,400,212,110,11,45,6,3,0,0,1
24,IAŞI,"CASA DE PRĂZNUIRE LUNCA RATEŞ",646,SCÂNTEIA,98916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:19:55",306,300,0,6,0,123,117,0,6,0,114,9,400,277,46,19,26,2,13,8,0,0
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA ALBEȘTI-REDIU",360,BRĂEŞTI,96058,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:27:23",590,554,1,15,20,346,311,0,15,20,332,14,600,254,18,11,278,8,14,2,1,0
24,IAŞI,"CASA DE PRAZNUIRE PAROHIA BANU",445,DUMEŞTI,96940,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:45:11",327,322,0,5,0,190,185,0,5,0,181,9,400,210,59,43,45,6,24,1,2,1
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA IEPURENI",580,MOVILENI,98257,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:49",682,672,0,3,7,385,375,0,3,7,356,29,704,319,249,15,75,9,5,1,2,0
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA MOVILENI",579,MOVILENI,98257,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:26",424,419,0,3,2,239,234,0,3,2,227,12,500,261,124,10,80,3,7,2,0,1
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA SFÂNTUL PROOROC ILIE TESVITEANUL",463,GOLĂIEŞTI,97090,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:42:15",222,213,0,8,1,147,138,0,8,1,136,11,300,153,94,7,28,3,4,0,0,0
24,IAŞI,"CASA PAROHIALĂ MORENI",607,PRISĂCANI,98603,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:22:43",806,798,0,7,1,477,469,0,7,1,458,19,900,423,128,47,137,17,117,6,4,2
24,IAŞI,"CASA PAROHIALĂ ”SF. NICOLAE” CHIPEREȘTI",741,ŢUŢORA,99922,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:15:47",377,357,1,7,12,227,208,0,7,12,217,10,400,173,19,13,157,10,14,1,1,2
24,IAŞI,"CASA SOCIALA ION NECULCE",514,"ION NECULCE",95499,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:05:46",170,163,0,7,0,91,84,0,7,0,89,2,200,109,11,9,57,3,5,1,1,2
24,IAŞI,"CASA SOCIALĂ-PAROHIA ”SF.DUMITRU” COADA STÂNCII",745,UNGHENI,96003,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:27:07",530,528,1,1,0,231,230,0,1,0,224,7,600,369,77,40,67,13,20,2,1,4
24,IAŞI,"CASA SOCIALĂ ”SF. VOIEVOZI” OPRIȘENI",742,ŢUŢORA,99922,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:53:29",593,565,0,4,24,353,325,0,4,24,341,12,600,244,25,30,262,7,14,0,2,1
24,IAŞI,"CENTRU DE ORGANIZARE PENTRU INTEGRARE SI INFORMARE - C.O.P.I.I. PENTRU COMUNITATEA POIENILE",428,DAGÂŢA,96717,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:12:43",240,233,0,6,1,100,93,0,6,1,94,6,300,200,74,1,18,0,1,0,0,0
24,IAŞI,"CENTRU DE ZI AFTER SCHOOL RUSI",438,DOBROVĂŢ,96888,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:24",771,727,1,6,37,461,418,0,6,37,434,27,800,339,83,32,283,19,13,3,0,1
24,IAŞI,"CENTRU DE ZI NUMĂRUL 1 SAT CORNEȘTI",549,MIROSLAVA,97919,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:49",1339,1332,0,5,2,580,573,0,5,2,554,26,1400,820,275,88,57,38,73,8,6,9
24,IAŞI,"CENTRUL CULTURAL ”ALEXANDRU VASILIU-TATARUSI”",695,TĂTĂRUŞI,99478,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:08:22",1298,1256,0,6,36,754,712,0,6,36,726,28,1400,646,67,50,561,20,17,1,9,1
24,IAŞI,"CENTRUL DE CARTIER FRUMOASA",200,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:53:35",1288,1279,1,8,0,576,568,0,8,0,564,12,1400,824,139,46,122,23,146,8,7,73
24,IAŞI,"CENTRUL EDUCATIV PENTRU COPII SARACI HARMANEASA",492,HELEŞTENI,97465,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:25:42",578,566,0,6,6,371,359,0,6,6,345,14,600,241,127,11,184,9,10,1,2,1
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",260,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:17:01",1178,1166,2,10,0,504,504,0,0,0,496,8,1300,796,102,51,69,23,153,5,13,80
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",261,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:48:21",764,758,0,6,0,333,327,0,6,0,321,5,800,474,70,36,61,4,87,5,9,49
24,IAŞI,"CLĂDIRE SOCIALĂ BĂRBĂTEȘTI",421,CUCUTENI,96664,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:02:57",146,138,0,6,2,93,85,0,6,2,91,2,200,107,15,6,66,2,1,1,0,0
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",48,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:31",952,912,38,2,0,435,433,0,2,0,414,15,1000,565,115,40,78,15,107,7,14,38
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",47,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:02:17",909,882,20,7,0,350,343,0,7,0,341,9,1000,650,86,36,67,10,87,6,11,38
24,IAŞI,"COLEGIUL NAŢIONAL",25,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:41:31",923,917,0,6,0,399,393,0,6,0,389,10,1000,591,97,40,111,8,81,4,6,42
24,IAŞI,"COLEGIUL NAŢIONAL",26,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:54:12",782,778,0,4,0,293,289,0,4,0,280,13,800,502,80,23,78,13,50,6,3,27
24,IAŞI,"COLEGIUL NAŢIONAL",27,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:15",1255,1239,9,6,1,372,365,0,6,1,357,15,1400,1028,75,30,86,11,96,5,13,41
24,IAŞI,"COLEGIUL NAŢIONAL",28,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:27:48",1349,1269,70,10,0,519,509,0,10,0,494,25,1400,881,97,41,134,19,130,10,11,52
24,IAŞI,"COLEGIUL NAŢIONAL",24,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:04:41",1266,1227,16,22,1,538,515,0,22,1,501,21,1400,865,124,46,110,3,122,17,5,74
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",31,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:17",912,862,24,13,13,416,390,0,13,13,401,15,1000,584,97,34,75,9,113,7,11,55
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",32,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:56:46",966,788,15,155,8,537,374,0,155,8,524,13,900,360,141,29,102,9,156,5,12,70
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",54,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:03",624,588,26,9,1,256,246,0,9,1,246,10,700,444,78,22,65,7,42,4,7,21
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",53,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:06:17",613,568,36,8,1,251,242,0,8,1,246,5,600,349,46,20,71,8,54,5,8,34
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",52,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:06:21",750,713,30,6,1,278,271,0,6,1,271,7,800,522,71,19,67,10,58,11,9,26
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTAV BĂNCILĂ”",55,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:16:34",690,658,26,5,1,255,249,0,5,1,241,14,700,445,60,35,51,22,47,4,10,12
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",231,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:40:45",1449,1441,0,8,0,172,164,0,8,0,167,5,1600,1428,31,18,29,10,48,4,6,21
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",228,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:01",1720,1711,1,8,0,119,111,0,8,0,112,7,1900,1781,23,11,39,4,18,0,5,12
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",233,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:40:59",1470,1460,0,10,0,118,108,0,10,0,112,6,1600,1482,28,13,25,6,20,4,4,12
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",235,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:50:37",2040,2031,0,9,0,25,16,0,9,0,24,1,2200,2175,4,2,8,0,2,0,1,7
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",230,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:19:36",1588,1584,0,4,0,218,214,0,4,0,209,9,1800,1582,40,20,51,8,53,1,10,26
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",234,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:25:15",1023,1016,2,5,0,244,239,0,5,0,228,16,1100,856,51,19,51,16,52,5,8,26
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",227,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:10:21",1687,1680,0,7,0,99,92,0,7,0,96,3,1900,1801,24,7,28,3,19,2,1,12
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",229,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:13",1495,1485,1,9,0,386,377,0,9,0,368,18,1600,1214,66,34,105,21,97,6,9,30
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",232,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:56:14",1613,1604,2,7,0,194,187,0,7,0,191,3,1800,1606,41,12,49,13,44,4,4,24
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",236,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:00:05",1600,1591,0,9,0,96,87,0,9,0,92,4,1800,1704,13,10,26,7,24,1,1,10
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",33,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:27:16",1132,1025,35,31,41,481,409,1,31,40,468,13,1100,619,93,60,115,17,130,9,8,36
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",35,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:33:25",1335,1046,15,213,61,718,444,0,213,61,704,14,1100,382,167,60,156,31,187,8,20,75
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",36,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:02:34",1633,1594,0,6,33,139,100,0,6,33,127,12,1800,1661,27,22,37,5,21,2,0,13
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",34,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:42:26",1116,1063,8,4,41,559,518,0,4,37,542,15,1200,639,128,58,144,10,127,10,14,51
24,IAŞI,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",40,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:00",984,971,10,2,1,459,454,2,2,1,445,14,1100,641,95,40,106,3,137,7,8,49
24,IAŞI,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",41,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:24:50",974,926,16,12,20,461,432,0,12,17,444,17,1000,539,106,57,96,21,102,10,9,43
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",270,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:54",1908,1901,0,7,0,588,581,0,7,0,565,23,2100,1512,231,43,154,18,48,9,55,7
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",272,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:10:06",1788,1784,0,4,0,4,0,0,4,0,4,0,2000,1996,0,0,2,0,1,0,1,0
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",269,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:37",1624,1606,1,9,8,508,490,1,9,8,479,12,1800,1309,177,40,152,23,35,8,35,9
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",271,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:36:59",1753,1748,0,5,0,5,0,0,5,0,5,0,1900,1895,2,1,2,0,0,0,0,0
