precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","CIOFÎCĂ ION-MARIAN-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","PARTIDUL VERDE-voturi"
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",2,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:38",1046,1031,1,6,8,547,533,0,6,8,535,12,1200,653,4,58,156,8,24,5,32,182,3,6,57
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",46,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:15:53",1744,1725,9,10,0,703,693,0,10,0,676,17,2000,1297,5,27,189,19,31,10,78,232,12,7,66
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",45,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:52:35",1667,1660,0,7,0,599,592,0,7,0,591,8,1800,1201,3,25,120,22,24,8,87,247,10,2,43
20,GORJ,"COLEGIUL TEHNIC HENRI COANDĂ",53,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 22:20:59",784,767,3,14,0,375,361,0,14,0,353,22,900,525,9,12,83,8,19,6,59,128,2,0,27
20,GORJ,"COLEGIUL TEHNIC ION MINCU",43,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:37:40",1249,1242,0,7,0,521,514,0,7,0,515,6,1400,879,5,21,118,20,21,8,66,200,6,4,46
20,GORJ,"COLEGIUL TEHNIC ION MINCU",44,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:30",1118,1111,2,5,0,475,470,0,5,0,469,6,1300,825,3,29,114,18,26,5,59,172,4,0,39
20,GORJ,"COLEGIUL TEHNIC NR.2",6,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:53:03",1307,1297,4,6,0,590,584,0,6,0,580,10,1500,910,8,49,169,24,26,18,42,201,9,3,31
20,GORJ,"IMOBIL NR.42",56,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:10",736,726,4,5,1,347,341,0,5,1,343,4,800,453,3,20,92,12,7,6,33,131,4,3,32
20,GORJ,"LICEUL CU PROGRAM SPORTIV",30,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:09",889,886,0,3,0,382,379,0,3,0,370,12,1000,618,2,27,106,21,16,7,31,135,5,2,18
20,GORJ,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:22:12",1020,1015,1,4,0,455,451,0,4,0,431,24,1100,645,4,31,94,15,20,11,48,159,9,2,38
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",37,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:53",1176,1171,2,3,0,529,526,0,3,0,506,23,1300,771,6,30,128,19,36,4,55,174,0,2,52
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",34,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:18",1183,1176,1,6,0,566,560,0,6,0,553,13,1300,734,9,48,161,11,18,1,43,194,2,3,63
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",35,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:51:17",1463,1454,1,8,0,714,706,0,8,0,700,14,1700,986,10,60,167,21,29,8,49,212,10,8,126
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",36,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,CL,CL_SV,"2024-06-14 23:02:13",1378,1370,0,8,0,577,569,0,8,0,553,24,1600,1023,1,31,168,10,3,7,22,263,3,3,42
20,GORJ,"LICEUL TEOLOGIC",15,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:23",1417,1411,2,4,0,623,619,0,4,0,603,20,1500,877,4,52,190,14,27,11,58,183,8,2,54
20,GORJ,"LICEUL TEOLOGIC",17,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:48:23",1258,1239,0,2,17,561,542,0,2,17,537,24,1400,839,0,35,156,15,17,7,60,193,4,6,44
20,GORJ,"LICEUL TEOLOGIC",16,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 23:17:52",1374,1371,0,3,0,492,489,0,3,0,474,8,1500,1008,8,32,100,16,22,4,55,192,23,2,20
20,GORJ,"PALATUL COPIILOR",14,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:10:46",955,949,0,5,1,441,435,0,5,1,429,12,1100,659,2,37,139,6,19,6,33,136,5,1,45
20,GORJ,"ŞCOALA GENERALĂ ECATERINA TEODOROIU",42,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:43",1328,1318,1,9,0,620,611,0,9,0,603,17,1600,980,7,40,150,25,30,5,57,229,5,2,53
20,GORJ,"ŞCOALA GIMNAZIALĂ ALEXANDRU ŞTEFULESCU",7,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:49:58",1126,1113,4,7,2,536,527,0,7,2,509,16,1200,664,6,36,161,9,16,6,46,162,11,7,49
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",23,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:44",1459,1443,5,11,0,604,593,0,11,0,590,14,1600,996,5,35,174,32,24,18,61,182,8,1,50
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",25,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:38:43",1352,1347,2,3,0,556,553,0,3,0,548,8,1600,1044,2,29,129,17,20,13,68,214,17,5,34
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",22,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:27",1475,1465,2,8,0,702,694,0,8,0,666,36,1700,998,5,37,185,19,25,17,69,253,8,5,43
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",24,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:41",1411,1403,2,5,1,552,546,0,5,1,532,20,1500,948,12,36,115,12,30,10,44,222,10,3,38
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",4,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:55:58",1031,1026,2,3,0,482,479,0,3,0,468,14,1200,718,3,33,163,10,19,4,43,158,0,2,33
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",5,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:38:38",1076,1073,1,2,0,491,489,0,2,0,482,9,1200,709,6,49,129,14,24,5,53,140,2,6,54
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",18,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:18:09",1438,1421,1,9,7,605,589,0,9,7,584,21,1600,995,8,28,165,20,25,5,62,213,9,5,44
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",19,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:27:40",1369,1346,2,8,13,639,618,0,8,13,629,10,1500,861,9,39,158,24,32,10,58,239,9,5,46
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",48,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:43:13",1654,1643,4,7,0,746,738,1,7,0,721,25,1900,1154,10,23,167,35,26,17,77,235,8,8,115
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",47,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:32:52",1696,1687,2,7,0,781,774,0,7,0,743,38,1900,1119,12,27,209,27,32,11,85,263,9,2,66
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.9",54,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:09:14",1516,1505,5,6,0,750,743,1,6,0,727,23,1700,950,1,29,190,37,23,7,65,191,4,1,179
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",21,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:50:38",1612,1602,4,6,0,659,653,0,6,0,649,10,1800,1141,1,45,174,22,19,11,77,233,10,4,53
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",20,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:51:15",1554,1547,0,7,0,561,554,0,7,0,551,10,1700,1139,5,33,153,29,15,8,60,201,6,3,38
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",41,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:02",1166,1147,0,7,12,588,569,0,7,12,573,15,1300,712,8,44,178,25,19,12,54,167,6,6,54
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",40,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:47:40",732,705,1,7,19,338,312,0,7,19,322,16,800,462,4,18,88,11,14,7,34,109,3,1,33
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",39,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:56",1507,1481,16,10,0,752,742,0,10,0,745,7,1600,848,4,52,214,21,20,12,49,267,7,3,96
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",50,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:44:30",1635,1629,2,4,0,920,916,0,4,0,896,24,1800,880,5,58,215,32,23,2,66,418,8,5,64
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",49,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:29",1546,1538,2,6,0,733,727,0,6,0,713,20,1700,967,5,54,179,35,18,14,59,242,7,3,97
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",52,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:21",1354,1344,3,7,0,679,672,0,7,0,664,15,1500,821,2,31,220,27,48,13,72,192,8,3,48
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",51,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:00:43",1470,1467,0,3,0,650,647,0,3,0,626,24,1600,950,4,28,167,29,6,7,89,255,7,3,31
20,GORJ,"ŞCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ DRĂGOENI",55,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:47:41",1579,1571,3,5,0,743,738,0,5,0,724,19,1800,1057,9,45,196,35,28,6,74,231,11,3,86
20,GORJ,"ȘCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ ROMANEȘTI",57,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:53:15",814,808,2,4,0,385,382,0,3,0,374,11,900,515,3,28,126,8,9,0,34,127,7,2,30
20,GORJ,"ŞCOALA PRIMARĂ ŞI GRĂDINIŢA DE COPII URSAŢI",58,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:32",638,631,0,7,0,423,416,0,7,0,423,0,764,341,5,13,76,12,14,2,23,211,1,0,66
20,GORJ,"UNIVERSITATEA CONSTANTIN BRÂNCUŞI",8,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:21:36",1616,1605,5,6,0,742,736,0,6,0,722,20,1800,1058,4,55,180,31,27,4,86,253,8,3,71
20,GORJ,"UNIVERSITATEA „CONSTANTIN BRÂNCUȘI”",1,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 09:56:43",1615,1603,5,7,0,741,734,0,7,0,738,3,1800,1059,7,75,233,25,21,7,64,236,7,2,61
20,GORJ,"UNIVERSITATEA ”CONSTANTIN BRÂNCUȘI”-FACULTATEA DE ȘTIINȚE ALE EDUCAȚIEI, DREPT ȘI ADMINISTRAȚIE PUBLICĂ",38,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:25",878,861,1,14,2,400,384,0,14,2,387,13,1000,600,0,42,108,16,20,4,32,124,2,3,36
