county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-1","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","PARTIDUL CONSERVATOR DEMOCRAT-voturi","PARTIDUL CONSERVATOR DEMOCRAT-mandate-faza-1","PARTIDUL CONSERVATOR DEMOCRAT-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PÂRVU ŞTEFAN-voturi","PÂRVU ŞTEFAN-mandate-faza-1","PÂRVU ŞTEFAN-mandate-faza-2","GHEORGHE NICU-voturi","GHEORGHE NICU-mandate-faza-1","GHEORGHE NICU-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","ROMÂNIA SOCIALISTĂ-voturi","ROMÂNIA SOCIALISTĂ-mandate-faza-1","ROMÂNIA SOCIALISTĂ-mandate-faza-2","PACT PENTRU GALAȚI-voturi","PACT PENTRU GALAȚI-mandate-faza-1","PACT PENTRU GALAȚI-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","BĂDIŢĂ RAABIS-ŞTEFAN-voturi","BĂDIŢĂ RAABIS-ŞTEFAN-mandate-faza-1","BĂDIŢĂ RAABIS-ŞTEFAN-mandate-faza-2","DERMENGI MIHAI-voturi","DERMENGI MIHAI-mandate-faza-1","DERMENGI MIHAI-mandate-faza-2","PINTILIE DĂNUŢ-voturi","PINTILIE DĂNUŢ-mandate-faza-1","PINTILIE DĂNUŢ-mandate-faza-2","FLOREA REMUS-CĂTĂLIN-voturi","FLOREA REMUS-CĂTĂLIN-mandate-faza-1","FLOREA REMUS-CĂTĂLIN-mandate-faza-2","PETICĂ MIRCEA-voturi","PETICĂ MIRCEA-mandate-faza-1","PETICĂ MIRCEA-mandate-faza-2"
18,GALAŢI,CERŢEŞTI,75917,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:45:15",1894,1787,1,38,68,1196,1090,0,38,68,1159,37,1982,786,57,81,92,101,101,1,0,257,2,1,759,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,CORNI,76004,2,FINAL,UAT,CL,CL_CE,"2024-06-15 14:16:40",1727,1639,1,43,44,1156,1068,1,43,44,1122,34,1821,665,56,78,89,100,22,0,0,225,2,0,632,6,0,0,0,0,0,0,0,0,0,0,243,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,COROD,75953,2,FINAL,UAT,CL,CL_CE,"2024-06-13 18:21:07",5986,5889,2,51,44,2962,2866,1,51,44,2805,130,6537,3577,140,196,224,187,163,0,1,628,3,0,2014,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,COSMEŞTI,76040,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:24:39",5352,5234,3,30,85,2481,2368,0,30,83,2359,117,5866,3390,117,165,188,152,264,1,1,546,3,1,1127,7,0,75,0,0,0,0,0,0,0,0,347,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,"COSTACHE NEGRI",76111,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:25:13",2362,2227,0,67,68,1320,1185,0,67,68,1274,46,2440,1120,63,89,101,104,41,0,0,372,3,0,516,4,1,165,1,1,0,0,0,0,0,0,79,0,0,0,0,0,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,CUCA,76139,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:21:38",1688,1618,0,24,46,1033,963,0,24,46,996,37,1822,789,49,69,79,90,49,0,1,301,3,0,485,5,0,0,0,0,0,0,0,161,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,CUDALBI,76157,2,FINAL,UAT,CL,CL_CE,"2024-06-13 12:24:00",6164,5978,0,87,99,3236,3050,0,87,99,3080,147,6522,3295,154,215,246,187,224,1,0,1078,5,1,1515,8,0,42,0,0,127,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,"CUZA VODĂ",77595,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:23:48",2207,2150,0,9,48,1213,1156,0,9,48,1152,61,2417,1204,57,80,92,99,75,0,1,384,3,1,640,6,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,DRĂGĂNEŞTI,75221,1,FINAL,UAT,CL,CL_CE,"2024-06-10 18:31:17",5496,5439,0,21,36,2584,2527,0,21,36,2445,139,5991,3407,122,171,195,150,234,1,0,1183,7,1,838,5,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,DRĂGUŞENI,76175,2,FINAL,UAT,CL,CL_CE,"2024-06-13 21:24:43",4113,4072,1,37,3,2003,1963,0,37,3,1897,92,4504,2501,94,132,151,124,323,2,1,400,3,0,1143,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,FÂRŢĂNEŞTI,76255,2,FINAL,UAT,CL,CL_CE,"2024-06-14 20:26:28",4010,3996,1,8,5,1805,1792,0,8,5,1738,67,4399,2594,86,121,139,133,0,0,0,119,0,1,1619,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,FOLTEŞTI,76282,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:11:48",2532,2527,0,1,4,1263,1258,0,1,4,1213,50,2792,1529,60,84,97,90,0,0,0,219,2,0,883,9,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,FRUMUŞIŢA,76317,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:28:36",4322,4238,2,18,64,2209,2127,0,18,64,2066,132,4741,2532,103,144,165,121,66,0,0,607,5,0,977,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,53,0,0,242,2,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,FUNDENI,76353,2,FINAL,UAT,CL,CL_CE,"2024-06-11 19:58:30",3061,3031,2,17,11,1673,1645,0,17,11,1583,87,3338,1665,79,110,126,116,279,2,1,503,4,0,737,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,20,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,GHIDIGENI,76406,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:20:38",5142,5092,0,38,12,2826,2776,0,38,12,2704,122,5638,2812,135,189,216,169,96,0,0,1659,9,1,876,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,GOHOR,76497,2,FINAL,UAT,CL,CL_CE,"2024-06-12 17:56:18",2933,2588,0,187,158,1925,1626,0,187,112,1822,62,2979,1095,91,127,145,136,172,1,0,505,3,1,1091,8,0,15,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,GRIVIŢA,76558,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:30:17",3079,3005,0,22,52,1570,1496,0,22,52,1470,98,3332,1740,73,102,117,105,0,0,0,492,4,1,739,7,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,INDEPENDENŢA,76585,2,FINAL,UAT,CL,CL_CE,"2024-06-13 15:49:40",3842,3798,1,16,27,2170,2127,0,16,27,2107,63,4216,2046,105,147,168,154,153,0,1,320,2,0,1133,7,0,19,0,0,404,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,IVEŞTI,76601,2,FINAL,UAT,CL,CL_CE,"2024-06-15 11:42:37",7952,7786,4,63,99,4063,3916,0,48,99,3636,372,8649,4608,181,254,290,232,305,1,0,283,1,0,2448,10,1,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,JORĂŞTI,76638,2,FINAL,UAT,CL,CL_CE,"2024-06-11 19:24:20",1300,1273,0,18,9,774,747,0,18,9,743,26,1396,622,37,52,59,67,0,0,0,352,5,0,391,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,LIEŞTI,76674,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:44:37",8862,8834,4,18,6,4078,4053,1,18,6,3847,230,9746,5669,192,269,307,223,411,1,1,2241,10,0,1148,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,MĂSTĂCANI,76718,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:27:15",3866,3762,0,39,65,1782,1678,0,39,65,1705,77,4198,2416,85,119,136,115,367,3,0,169,1,1,830,7,0,0,0,0,137,1,0,68,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,MATCA,76692,2,FINAL,UAT,CL,CL_CE,"2024-06-14 11:44:42",9867,9813,0,53,1,5307,5253,0,53,1,5125,176,10845,5538,256,358,410,289,276,0,1,832,2,1,3813,13,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,MOVILENI,76745,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:49:44",2726,2666,2,23,35,1320,1262,0,23,35,1191,129,2946,1626,59,83,95,82,193,2,0,446,5,1,253,3,0,33,0,0,84,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,"MUNICIPIUL GALAŢI",75098,3,FINAL,UAT,CL,CL_CE,"2024-06-18 21:50:30",258530,256536,411,1196,387,89765,88211,8,1162,384,86766,2853,283662,193852,4338,6073,6941,2815,7250,2,1,7423,2,1,46153,16,0,1034,0,0,0,0,0,0,0,0,6968,2,0,0,0,0,2861,0,0,327,0,0,0,0,0,0,2615,0,0,694,0,0,572,0,0,0,0,0,0,0,0,336,0,0,0,0,0,378,0,0,8214,2,1,234,0,0,971,0,0,736,0,0,0,0,0,0,0,0,0,0,0
