precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL VERDE-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CIOFÎCĂ ION-MARIAN-voturi"
20,GORJ,"COLEGIUL NAȚIONAL SPIRU HARET",9,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:47",1029,1020,0,9,0,468,459,0,9,0,454,14,1200,732,151,129,45,5,37,10,44,3,8,1,21
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",3,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:46",1155,1143,1,8,3,563,552,0,8,3,552,11,1300,737,190,192,37,5,52,10,30,10,2,7,17
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",2,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:38",1046,1031,1,6,8,547,533,0,6,8,535,12,1200,653,182,156,32,5,58,8,57,6,4,3,24
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",46,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:12:35",1744,1725,9,10,0,703,693,0,10,0,676,17,2000,130,232,189,78,10,27,19,66,7,5,12,31
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",45,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:45:04",1667,1660,0,7,0,599,592,0,7,0,591,8,1800,1000,247,120,87,8,25,22,43,2,3,10,24
20,GORJ,"COLEGIUL TEHNIC HENRI COANDĂ",53,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:51:25",784,767,3,14,0,375,361,0,14,0,353,22,900,525,128,83,59,6,12,8,27,0,9,2,19
20,GORJ,"COLEGIUL TEHNIC ION MINCU",43,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:13:34",1249,1242,0,7,0,521,514,0,7,0,515,6,1400,879,200,118,66,8,21,20,46,4,5,6,21
20,GORJ,"COLEGIUL TEHNIC ION MINCU",44,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:30",1118,1111,2,5,0,475,470,0,5,0,469,6,1300,825,172,114,59,5,29,18,39,0,3,4,26
20,GORJ,"COLEGIUL TEHNIC NR.2",6,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:53:03",1307,1297,4,6,0,590,584,0,6,0,580,10,1500,910,201,169,42,18,49,24,31,3,8,9,26
20,GORJ,"IMOBIL NR.42",56,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:10",736,726,4,5,1,347,341,0,5,1,343,4,800,453,131,92,33,6,20,12,32,3,3,4,7
20,GORJ,"LICEUL CU PROGRAM SPORTIV",30,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:09",889,886,0,3,0,382,379,0,3,0,370,12,1000,618,135,106,31,7,27,21,18,2,2,5,16
20,GORJ,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:01:39",1020,1015,1,4,0,455,451,0,4,0,431,24,1100,645,159,94,48,11,31,15,38,2,4,9,20
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",37,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:53",1176,1171,2,3,0,529,526,0,3,0,506,23,1300,771,174,128,55,4,30,19,52,2,6,0,36
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",34,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:18",1183,1176,1,6,0,566,560,0,6,0,553,13,1300,734,194,161,43,1,48,11,63,3,9,2,18
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",35,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:39",1463,1454,1,8,0,714,706,0,8,0,700,14,1700,986,212,167,49,8,60,21,126,8,10,10,29
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",36,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:56:23",1378,1370,0,8,0,577,569,0,8,0,549,28,1600,1023,261,167,22,7,31,10,41,3,1,3,3
20,GORJ,"LICEUL TEOLOGIC",15,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:23",1417,1411,2,4,0,623,619,0,4,0,603,20,1500,877,183,190,58,11,52,14,54,2,4,8,27
20,GORJ,"LICEUL TEOLOGIC",17,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:56",1258,1239,0,2,17,561,542,0,2,17,537,19,1400,838,193,156,60,7,35,15,44,6,0,4,17
20,GORJ,"LICEUL TEOLOGIC",16,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:21",1374,1371,0,3,0,492,489,0,3,0,474,8,1500,1018,192,100,55,4,32,16,20,2,8,23,22
20,GORJ,"PALATUL COPIILOR",14,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:50:52",955,949,0,5,1,441,435,0,5,1,428,13,1100,659,135,139,33,6,37,6,45,1,2,5,19
20,GORJ,"ŞCOALA GENERALĂ ECATERINA TEODOROIU",42,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:43",1328,1318,1,9,0,620,611,0,9,0,603,17,1600,980,229,150,57,5,40,25,53,2,7,5,30
20,GORJ,"ŞCOALA GIMNAZIALĂ ALEXANDRU ŞTEFULESCU",7,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:58:19",1126,1113,4,7,2,536,527,0,7,2,509,16,1200,671,162,161,46,6,36,9,49,7,6,11,16
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",23,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:44",1459,1443,5,11,0,604,593,0,11,0,590,14,1600,996,182,174,61,18,35,32,50,1,5,8,24
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",25,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:20:51",1352,1347,2,3,0,556,553,0,3,0,548,8,1600,1044,214,129,68,13,29,17,34,5,2,17,20
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",22,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:27",1475,1465,2,8,0,702,694,0,8,0,666,36,1700,998,253,185,69,17,37,19,43,5,5,8,25
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",24,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:41",1411,1403,2,5,1,552,546,0,5,1,532,20,1500,948,222,115,44,10,36,12,38,3,12,10,30
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",4,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:46:49",1031,1026,2,3,0,482,479,0,3,0,468,14,1200,718,158,163,43,4,33,10,33,2,3,0,19
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN SĂVOIU",5,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:20:45",1075,1073,0,2,0,491,489,0,2,0,482,9,1200,709,140,129,53,5,49,14,54,6,6,2,24
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",18,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:50:30",1438,1421,1,9,7,605,589,0,9,7,584,21,1600,991,213,165,62,5,28,20,44,5,8,9,25
20,GORJ,"ŞCOALA GIMNAZIALĂ GHEORGHE TĂTĂRĂSCU",19,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:29:22",1369,1346,2,8,13,639,618,0,8,13,629,10,1500,861,239,158,58,10,39,24,46,5,9,9,32
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",48,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:09:31",1651,1643,1,7,0,746,738,1,7,0,721,25,1900,1154,235,167,77,17,23,35,115,8,10,8,26
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.7",47,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:57:09",1696,1687,2,7,0,781,774,0,7,0,743,38,1900,1119,263,209,85,11,27,27,66,2,12,9,32
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.9",54,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:09:14",1516,1505,5,6,0,750,743,1,6,0,727,23,1700,950,191,190,65,7,29,37,179,1,1,4,23
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",21,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:50:38",1612,1602,4,6,0,659,653,0,6,0,649,10,1800,1141,233,174,77,11,45,22,53,4,1,10,19
20,GORJ,"ŞCOALA GIMNAZIALĂ POMPILIU MARCEA",20,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:17:03",1554,1547,0,7,0,561,554,0,7,0,551,10,1700,1139,201,153,60,8,33,29,38,3,5,6,15
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",41,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:02",1166,1147,0,7,12,588,569,0,7,12,573,15,1300,712,167,178,54,12,44,25,54,6,8,6,19
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",40,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:26",731,705,0,7,19,338,312,0,7,19,322,16,800,462,109,88,34,7,18,11,33,1,4,3,14
20,GORJ,"ŞCOALA GIMNAZIALĂ SFÂNTU NICOLAE",39,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:56",1507,1481,16,10,0,752,742,0,10,0,745,7,1600,848,267,214,49,12,52,21,96,3,4,7,20
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",50,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:44:30",1635,1629,2,4,0,920,916,0,4,0,896,24,1800,880,418,215,66,2,58,32,64,5,5,8,23
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",49,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:29",1546,1538,2,6,0,733,727,0,6,0,713,20,1700,967,242,179,59,14,54,35,97,3,5,7,18
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",52,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:21",1354,1344,3,7,0,679,672,0,7,0,664,15,1500,821,192,220,72,13,31,27,48,3,2,8,48
20,GORJ,"ŞCOALA GIMNAZIALĂ VOIEVOD LITOVOI",51,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:53:11",1470,1467,0,3,0,650,647,0,3,0,626,24,1600,936,255,167,89,7,28,29,31,3,4,7,6
20,GORJ,"ŞCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ DRĂGOENI",55,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:30:41",1599,1591,3,5,0,743,738,0,5,0,724,19,1800,1057,231,196,74,6,45,35,86,3,9,11,28
20,GORJ,"ȘCOALA PRIMARĂ DIN LOCALITATEA COMPONENTĂ ROMANEȘTI",57,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:21:29",814,808,2,4,0,385,382,0,3,0,374,11,900,510,127,126,34,0,28,8,30,2,3,7,9
20,GORJ,"ŞCOALA PRIMARĂ ŞI GRĂDINIŢA DE COPII URSAŢI",58,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:32",638,631,0,7,0,423,416,0,7,0,423,0,764,341,211,76,23,2,13,12,66,0,5,1,14
20,GORJ,"UNIVERSITATEA CONSTANTIN BRÂNCUŞI",8,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:21:36",1616,1605,5,6,0,742,736,0,6,0,722,20,1800,1058,253,180,86,4,55,31,71,3,4,8,27
20,GORJ,"UNIVERSITATEA „CONSTANTIN BRÂNCUȘI”",1,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:10:38",1615,1603,5,7,0,741,734,0,7,0,738,3,1800,1059,236,233,64,7,75,25,61,2,7,7,21
20,GORJ,"UNIVERSITATEA ”CONSTANTIN BRÂNCUȘI”-FACULTATEA DE ȘTIINȚE ALE EDUCAȚIEI, DREPT ȘI ADMINISTRAȚIE PUBLICĂ",38,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:25",878,861,1,14,2,400,384,0,14,2,387,13,1000,600,124,108,32,4,42,16,36,3,0,2,20
