precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","STOICIUC MIHAELA-VIORICA-voturi","BOTEZATU DANIEL-voturi","CĂRĂUŞU IONUŢ-BOGDAN-voturi"
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",28,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:14",1190,1178,3,9,0,434,425,0,9,0,417,17,1307,873,49,152,140,5,25,6,19,9,0,12
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",27,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:01",938,927,0,11,0,396,385,0,11,0,383,13,1007,611,43,206,75,1,16,0,14,5,13,10
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",30,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:39:19",780,774,1,5,0,331,326,0,5,0,316,15,900,569,36,143,85,1,18,9,9,4,9,2
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",26,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:21:11",637,626,0,7,4,257,246,0,7,4,245,12,707,450,18,118,62,1,19,4,9,2,11,1
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",22,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:19",917,910,0,7,0,361,354,0,7,0,350,11,1000,639,37,164,100,4,12,3,17,3,10,0
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",23,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:29",850,842,1,7,0,325,318,0,7,0,312,13,1000,675,22,138,86,4,22,1,13,3,8,15
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",24,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:33",1227,1218,0,8,1,483,474,0,8,1,468,15,1400,917,41,235,102,3,33,11,9,7,9,18
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL „FLOARE DE COLȚ”",4,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:24:59",1451,1440,2,8,1,600,591,0,8,1,583,17,1600,1000,38,269,178,4,27,8,10,12,29,8
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL „FLOARE DE COLȚ”",5,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:45:55",1338,1327,0,10,1,596,585,0,10,1,574,21,1504,908,57,260,161,7,30,10,19,8,12,10
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 16",82,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:00",987,980,2,5,0,456,449,2,5,0,438,18,1103,647,33,196,139,2,18,17,18,5,3,7
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",81,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:06:15",1581,1571,3,7,0,669,662,0,7,0,644,25,1700,1031,94,309,156,8,21,4,22,6,13,11
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 19",9,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:04",1023,1012,1,10,0,408,398,0,10,0,397,11,1100,692,42,182,108,2,19,5,17,5,6,11
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 19",8,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:09",926,919,1,5,1,392,386,0,5,1,376,16,1100,708,23,172,121,4,14,7,5,4,20,6
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 20",60,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:38",1679,1676,0,3,0,843,840,0,3,0,820,23,1900,1057,86,349,261,5,24,18,31,8,24,14
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",43,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:32:35",907,900,0,7,0,376,369,0,7,0,366,10,1000,624,49,152,102,6,23,2,5,4,15,8
