precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BULITEANU-DIMA GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DE MEZZO MARIO-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOŢ CONSTANTIN-STELIAN-EMIL-PARTIDUL SOCIAL DEMOCRAT-voturi","DAVIDESCU NICOLAE-CĂTĂLIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","IOTU ELENA-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","VĂDUVA CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 8",38,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:12:14",1529,1520,4,5,0,683,678,0,5,0,664,14,1684,1006,34,346,213,15,32,24
30,OLT,"LICEUL CU PROGRAM SPORTIV",27,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:25:32",1725,1680,0,16,29,816,771,0,16,29,794,22,1875,1059,30,383,313,13,39,16
30,OLT,"LICEUL CU PROGRAM SPORTIV",28,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:47:43",1575,1566,0,9,0,793,784,0,9,0,751,42,1738,945,26,399,265,11,35,15
30,OLT,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:17:07",1413,1401,1,10,1,653,642,0,10,1,619,34,1559,906,19,318,229,9,31,13
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",45,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:43",1541,1533,3,5,0,766,761,0,5,0,754,12,1700,934,22,389,273,10,47,13
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",44,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:51",1412,1398,0,14,0,678,664,0,14,0,660,18,1551,873,13,345,235,9,49,9
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",43,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:25",1396,1390,0,6,0,660,654,0,6,0,642,18,1544,884,31,335,198,10,51,17
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",36,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:02",761,752,2,5,2,449,442,0,5,2,436,13,860,411,13,221,168,13,16,5
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",35,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:27",1555,1544,0,11,0,656,645,0,11,0,638,18,1711,1055,26,324,214,10,44,20
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",34,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:11",1537,1527,0,10,0,680,670,0,10,0,664,16,1696,1016,46,299,247,14,49,9
30,OLT,"LICEUL TEHNOLOGIC P.S. AURELIAN",26,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:40:44",1656,1646,3,7,0,745,738,0,7,0,725,20,1836,1091,31,358,277,6,31,22
30,OLT,"LICEUL TEHNOLOGIC P.S. AURELIAN",25,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:49:08",1161,1150,2,9,0,594,585,0,9,0,576,18,1277,683,23,270,217,18,39,9
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",13,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:33:16",1421,1415,0,6,0,735,729,0,6,0,722,13,1564,829,14,349,307,11,32,9
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",14,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:22",1181,1169,0,12,0,590,578,0,12,0,575,15,1294,704,23,275,213,13,37,14
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",12,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:44:03",1458,1442,5,11,0,698,687,0,11,0,684,14,1609,911,21,323,271,12,41,16
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",16,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:09:34",1160,1153,0,6,1,579,572,0,6,1,549,30,1280,701,10,274,206,17,31,11
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",15,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:13",962,954,2,6,0,475,469,0,6,0,459,11,1062,592,12,203,202,12,21,9
30,OLT,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCOVEANU",40,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:07",1615,1609,0,6,0,759,753,0,6,0,729,27,1782,1026,42,371,257,15,33,11
30,OLT,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCOVEANU",39,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:40:39",1288,1281,1,5,1,575,569,0,5,1,570,5,1425,850,26,298,186,6,31,23
30,OLT,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCOVEANU",41,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:52:28",1542,1531,2,7,2,775,766,0,7,2,752,23,1700,925,30,389,263,16,33,21
30,OLT,"ŞCOALA GIMNAZIALĂ EUGEN IONESCU",20,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:35",1161,1152,2,7,0,577,570,0,7,0,549,28,1273,696,23,287,198,6,25,10
30,OLT,"ŞCOALA GIMNAZIALĂ EUGEN IONESCU",21,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,P,P_SV,"2024-06-10 15:34:36",1132,1120,2,9,1,511,502,0,9,0,495,16,1240,729,19,252,182,9,17,16
30,OLT,"ŞCOALA GIMNAZIALĂ EUGEN IONESCU",19,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:00:30",1535,1528,1,6,0,773,767,0,6,0,757,16,1696,923,28,395,273,12,26,23
30,OLT,"ŞCOALA GIMNAZIALĂ GEORGE POBORAN",47,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:01:30",1363,1353,0,10,0,725,715,0,10,0,702,23,1504,779,31,332,278,12,44,5
30,OLT,"ŞCOALA GIMNAZIALĂ GEORGE POBORAN",48,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:32:23",1104,1094,1,9,0,515,506,0,9,0,488,27,1205,690,20,233,185,9,26,15
30,OLT,"ŞCOALA GIMNAZIALĂ NICOLAE IORGA",17,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:07:02",1425,1412,3,10,0,696,685,1,10,0,670,26,1566,870,16,343,242,11,42,16
30,OLT,"ŞCOALA GIMNAZIALĂ NICOLAE IORGA",18,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:19:24",1228,1219,2,7,0,639,632,0,7,0,618,21,1366,727,14,342,209,11,38,4
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 1",4,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:38:29",1171,1147,0,15,9,685,670,0,6,9,652,13,1269,597,19,260,319,9,30,15
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 1",5,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:52:31",1030,1016,4,9,1,609,599,0,9,1,564,45,1125,516,15,274,245,6,18,6
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",31,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:45:01",1218,1208,3,7,0,564,557,0,7,0,550,14,1352,788,16,255,204,15,51,9
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",32,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:31",816,808,0,8,0,396,388,0,8,0,390,6,901,505,16,199,129,9,31,6
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",33,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:28",1458,1449,3,6,0,678,671,1,6,0,649,29,1614,936,14,338,236,12,37,12
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",30,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:17:36",1396,1386,3,7,0,670,663,0,7,0,639,31,1542,872,18,327,227,15,40,12
30,OLT,"ŞCOALA GIMNAZIALĂ ŞTEFAN PROTOPOPESCU",10,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:13",1664,1653,0,11,0,779,768,0,11,0,777,2,1833,1054,17,387,277,27,47,22
30,OLT,"ŞCOALA GIMNAZIALĂ ŞTEFAN PROTOPOPESCU",11,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,P,P_SV,"2024-06-10 20:22:08",1649,1634,2,12,1,734,721,0,12,1,708,26,1815,1081,23,380,247,20,20,18
30,OLT,"ŞCOALA GIMNAZIALĂ VLAICU VODĂ",22,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:06:46",1400,1379,0,4,17,655,634,0,4,17,635,20,1544,889,23,315,240,12,34,11
30,OLT,"ŞCOALA GIMNAZIALĂ VLAICU VODĂ",23,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,P,P_SV,"2024-06-10 17:39:49",1191,1134,2,5,50,602,547,0,5,50,572,30,1262,660,20,282,222,11,28,9
30,OLT,"ŞCOALA GIMNAZIALĂ VLAICU VODĂ",24,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:19:33",1373,1363,0,6,4,684,674,0,6,4,658,26,1518,834,14,348,236,3,43,14
