precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TANASĂ DAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SCRIPCARU GEORGE-ALIANȚA ELECTORALĂ PSD PNL-voturi","MUSCALU-CREŢU FLORIN-PARTIDUL ROMÂNIA MARE-voturi","COLIBAN ALLEN-ALIANȚA UNIȚI PENTRU BRAȘOV-voturi","GOIDESCU IONEL-PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","CIOBANU ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","DOGAR NICOLAE-FLORIN-voturi"
8,BRAŞOV,"COLEGIUL ”EMIL RACOVIŢĂ”",32,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:19",1449,1439,2,8,0,682,674,0,8,0,662,20,1600,918,30,319,9,264,1,15,24
8,BRAŞOV,"COLEGIUL ”EMIL RACOVIŢĂ”",33,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:55:04",1249,1242,0,7,0,563,556,0,7,0,550,13,1400,827,17,233,5,268,4,7,16
8,BRAŞOV,"COLEGIUL ”EMIL RACOVIŢĂ”",34,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:19:47",1221,1207,7,7,0,589,582,0,7,0,581,8,1300,711,13,274,4,266,3,15,6
8,BRAŞOV,"COLEGIUL ”EMIL RACOVIŢĂ”",35,"MUNICIPIUL BRAŞOV",40198,4,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:43",815,804,4,7,0,425,417,1,7,0,410,15,900,475,9,154,1,231,3,2,10
8,BRAŞOV,"COLEGIUL NAŢIONAL ”APRILY LAJOS”",9,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:28",848,814,22,12,0,379,367,0,12,0,370,9,896,517,14,171,4,159,2,14,6
8,BRAŞOV,"COLEGIUL NAŢIONAL ”APRILY LAJOS”",11,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:44",665,653,4,8,0,293,285,0,8,0,286,7,800,507,14,128,0,138,1,3,2
8,BRAŞOV,"COLEGIUL NAŢIONAL ”APRILY LAJOS”",10,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:23",881,852,13,16,0,428,411,1,16,0,414,14,1000,572,12,138,1,247,2,5,9
8,BRAŞOV,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”GRIGORE MOISIL”",118,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:33",1784,1762,6,15,1,835,819,0,15,1,813,22,1762,927,36,318,5,437,1,5,11
8,BRAŞOV,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”GRIGORE MOISIL”",111,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:46:57",1108,1098,3,7,0,547,540,0,7,0,531,16,1200,653,34,279,4,193,2,12,7
8,BRAŞOV,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”GRIGORE MOISIL”",113,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:29",1394,1386,0,8,0,507,499,0,8,0,497,10,1500,993,21,286,5,167,2,11,5
8,BRAŞOV,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”GRIGORE MOISIL”",112,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:32",1294,1282,4,8,0,589,581,0,8,0,572,17,1400,811,32,259,1,250,1,18,11
8,BRAŞOV,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”GRIGORE MOISIL”",116,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:47:36",907,901,0,6,0,395,389,0,6,0,381,14,996,601,17,191,1,156,1,9,6
8,BRAŞOV,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”GRIGORE MOISIL”",115,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:11",1471,1461,7,3,0,695,692,0,3,0,679,16,1600,905,27,340,7,282,5,8,10
8,BRAŞOV,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”GRIGORE MOISIL”",114,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:34:25",1275,1269,0,6,0,553,547,0,6,0,532,21,1400,847,25,279,3,207,0,9,9
8,BRAŞOV,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”GRIGORE MOISIL”",117,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:14",1219,1205,5,8,1,566,557,0,8,1,557,9,1311,745,19,275,5,246,2,5,5
8,BRAŞOV,"COLEGIUL NAŢIONAL ”DR. I. MEŞOTĂ”",37,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:22",884,868,4,11,1,447,434,1,11,1,438,9,1000,553,19,185,5,210,0,5,14
8,BRAŞOV,"COLEGIUL NAŢIONAL ”DR. I. MEŞOTĂ”",36,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:52",1549,1532,11,6,0,760,754,0,6,0,744,16,1700,940,27,329,7,355,4,8,14
8,BRAŞOV,"COLEGIUL NAŢIONAL ”DR. I. MEŞOTĂ”",38,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:05:00",1401,1382,4,15,0,645,630,0,15,0,626,19,1500,854,23,285,5,298,0,9,6
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",139,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:16",1360,1325,7,28,0,675,646,1,28,0,640,31,1500,824,18,350,7,245,5,11,4
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",136,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:23",1110,1099,0,11,0,522,511,0,11,0,503,19,1200,678,13,241,3,228,1,7,10
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",135,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:15",923,912,7,4,0,451,447,0,4,0,440,11,1000,549,13,197,3,218,1,3,5
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",138,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:38",1259,1242,1,16,0,540,524,0,16,0,523,17,1400,859,23,268,4,205,2,11,10
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",137,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:51:01",1107,1091,3,12,1,543,530,0,12,1,530,13,1200,657,20,231,1,259,4,7,8
8,BRAŞOV,"COLEGIUL NAŢIONAL ”UNIREA”",13,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:46",1218,1190,14,13,1,519,503,2,13,1,504,15,1300,781,18,211,3,253,2,9,8
8,BRAŞOV,"COLEGIUL NAŢIONAL ”UNIREA”",12,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:38",808,795,8,5,0,391,386,0,5,0,381,10,900,507,17,149,2,198,0,7,8
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",168,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:57",1370,1361,1,8,0,493,485,0,8,0,467,26,1500,1007,38,284,2,117,2,17,7
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",169,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,P,P_SV,"2024-06-13 18:25:44",1291,1280,0,11,0,538,527,0,11,0,525,2,1400,853,12,299,2,177,0,21,14
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",173,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:42:54",1268,1264,0,4,0,457,453,0,4,0,448,9,1400,943,23,296,3,111,1,8,6
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",171,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:50",1229,1219,4,6,0,509,503,0,6,0,501,8,1400,891,27,301,1,163,0,6,3
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",172,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:38:19",1472,1459,4,9,0,654,645,0,9,0,630,24,1600,946,28,365,7,213,1,12,4
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",170,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:23",1245,1240,0,5,0,516,511,0,5,0,502,14,1400,884,15,337,1,129,4,8,8
8,BRAŞOV,"COLEGIUL TEHNIC DE TRANSPORTURI",179,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:03",1168,1164,0,3,1,507,503,0,3,1,500,4,1300,787,21,305,6,145,4,13,6
8,BRAŞOV,"COLEGIUL TEHNIC DE TRANSPORTURI",180,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:25",1487,1482,0,5,0,671,666,0,5,0,657,14,1600,929,25,408,12,180,7,13,12
8,BRAŞOV,"COLEGIUL TEHNIC DE TRANSPORTURI",178,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:57",663,659,1,3,0,259,256,0,3,0,251,8,800,541,17,158,2,65,3,5,1
8,BRAŞOV,"COLEGIUL TEHNIC ”MARIA BAIULESCU”",7,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:16",1172,1150,10,8,4,503,491,0,8,4,488,15,1300,797,25,193,2,245,1,13,9
8,BRAŞOV,"COLEGIUL TEHNIC ”MARIA BAIULESCU”",8,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:15",1310,1281,24,5,0,524,519,0,5,0,511,13,1400,876,15,236,4,230,1,12,13
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",188,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:54",925,919,1,5,0,395,390,0,5,0,380,10,1000,605,8,273,2,86,3,7,1
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",184,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:19",499,494,1,4,0,203,199,0,4,0,201,2,600,397,6,115,0,67,1,7,5
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",187,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:21",1002,995,1,5,1,422,416,0,5,1,416,6,1100,678,15,297,1,90,2,10,1
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",186,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:03",1023,1016,0,7,0,393,386,0,7,0,376,17,1100,707,19,248,2,98,1,6,2
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",185,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:32:56",946,936,1,9,0,395,386,0,9,0,364,31,1149,743,18,237,2,90,4,9,4
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CASUTA BUCURIEI” NR. 11",30,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:39",851,841,1,8,1,380,371,0,8,1,373,7,1000,620,13,192,1,149,1,10,7
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CASUTA BUCURIEI” NR. 11",31,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:41",818,812,0,6,0,412,406,0,6,0,390,22,900,488,21,180,2,168,1,8,10
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2",3,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:08:15",920,915,0,5,0,443,438,0,5,0,438,5,1000,557,16,174,1,230,1,9,7
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2",4,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:17",1177,1150,22,5,0,576,570,1,5,0,561,15,1300,724,19,195,5,327,3,9,3
8,BRAŞOV,"LICEUL ”ANDREI MUREŞANU”",6,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:34",1370,1327,22,6,15,615,595,0,6,14,600,15,1500,885,20,241,3,316,3,11,6
8,BRAŞOV,"LICEUL ”ANDREI MUREŞANU”",5,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:23",1338,1294,12,12,20,664,631,1,12,20,644,20,1400,736,28,250,7,322,10,15,12
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",121,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:51:53",1167,1159,2,6,0,546,540,0,6,0,524,20,1300,754,26,272,2,208,2,9,5
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",122,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:43",1347,1339,3,5,0,601,596,0,5,0,582,19,1500,899,25,322,2,214,3,13,3
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",123,"MUNICIPIUL BRAŞOV",40198,4,PART,PRCNCT,P,P_SV,"2024-06-10 11:51:48",1312,1307,2,3,0,581,578,0,3,0,571,10,1500,919,31,285,7,228,4,6,10
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",120,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:09:18",999,993,4,2,0,433,431,0,2,0,425,8,1100,667,19,197,1,200,2,6,0
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",119,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:50",1413,1407,0,6,0,729,723,0,6,0,704,25,1600,871,23,362,3,287,6,9,14
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",70,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:48",1227,1209,4,14,0,615,601,0,14,0,607,8,1300,685,21,261,3,302,1,11,8
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",72,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:01",1395,1387,3,5,0,681,675,1,5,0,681,0,1500,819,18,333,3,327,0,0,0
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",71,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:49",1552,1537,4,10,1,695,684,0,10,1,683,12,1700,1005,30,322,3,301,3,15,9
8,BRAŞOV,"LICEUL DE MUZICĂ ”TUDOR CIORTEA”",27,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:50:05",1245,1210,16,10,9,599,580,0,10,9,576,17,1300,684,24,202,4,333,1,3,9
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",100,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:56",1366,1355,5,6,0,617,611,0,6,0,602,15,3000,2383,31,303,5,234,5,7,17
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",98,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:47",1270,1260,1,8,1,584,575,0,8,1,568,16,1400,816,22,246,9,264,3,17,7
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",97,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:27",1009,997,6,5,1,452,446,0,5,1,443,9,1100,648,23,206,1,182,11,11,9
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",99,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:20",848,845,0,3,0,388,385,0,3,0,381,7,1000,612,12,204,3,139,5,6,12
8,BRAŞOV,"ȘCOALĂ GENERALĂ NR. 11 ȘTEFAN OCTAVIAN IOSIF",58,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:09",1266,1261,1,4,0,558,554,0,4,0,517,41,1400,842,25,273,5,203,0,2,9
8,BRAŞOV,"ȘCOALĂ GENERALĂ NR. 11 ȘTEFAN OCTAVIAN IOSIF",59,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:15:08",1042,1034,2,6,0,511,505,0,6,0,498,13,1200,689,15,249,1,209,4,10,10
8,BRAŞOV,"ȘCOALĂ GENERALĂ NR. 9",89,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:34",1379,1372,2,5,0,562,557,0,5,0,550,12,1500,938,30,291,2,209,5,9,4
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",126,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:38",1235,1227,0,8,0,591,583,0,8,0,570,21,1400,809,22,299,6,217,1,14,11
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",128,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:07",1339,1336,1,2,0,535,533,0,2,0,515,20,1500,965,32,297,3,162,5,7,9
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",127,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:35",1550,1541,2,7,0,707,700,0,7,0,692,15,1700,993,22,339,4,304,1,8,14
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",125,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:56",1276,1269,3,3,1,572,568,0,3,1,541,31,1400,828,20,289,8,185,1,23,15
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",129,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:34",904,896,2,5,1,407,401,0,5,1,394,8,1000,598,20,211,1,154,0,7,1
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",131,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:54",1417,1413,1,3,0,625,622,0,3,0,623,2,1600,975,28,355,1,225,0,6,8
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",124,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:33",1350,1343,7,0,0,565,565,0,0,0,556,9,1500,935,17,291,7,217,3,11,10
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",130,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:20:49",986,974,2,10,0,432,422,0,10,0,419,13,1100,668,17,245,4,134,1,6,12
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",64,"MUNICIPIUL BRAŞOV",40198,5,PART,PRCNCT,P,P_SV,"2024-06-10 10:50:02",1459,1452,0,6,1,696,689,0,6,1,664,26,1600,910,44,328,4,249,1,18,20
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",62,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:30",1111,1106,1,4,0,499,495,0,4,0,479,20,1200,701,26,270,2,156,0,13,12
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",65,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:28",1466,1459,3,4,0,638,634,0,4,0,620,18,1600,962,29,360,3,205,5,9,9
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",61,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:52",1232,1225,1,6,0,586,580,0,6,0,571,15,1400,814,16,279,5,243,1,19,8
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",60,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:45",1123,1116,0,7,0,495,488,0,7,0,485,10,1200,705,16,248,3,202,1,4,11
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",63,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:48",1178,1173,0,5,0,507,502,0,5,0,500,7,1300,793,18,275,8,180,3,12,4
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",54,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:00:00",1017,1011,0,6,0,438,432,0,6,0,432,6,1100,662,20,238,2,156,0,7,9
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",56,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:18",1308,1299,1,8,0,541,533,0,8,0,523,18,1400,858,24,300,1,164,3,20,11
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",53,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:33",1387,1378,4,5,0,624,619,0,5,0,613,11,1500,876,17,296,4,272,3,10,11
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",57,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:23",1281,1278,1,2,0,569,567,0,2,0,551,18,1400,831,21,281,0,224,2,10,13
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",55,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:22",836,829,0,7,0,289,282,0,7,0,271,5,900,606,13,165,0,86,1,4,2
