precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL VIITORUL ȚĂRII FĂGĂRAȘULUI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ALBINUȚA",227,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:29:42",1105,1091,2,12,0,407,394,1,12,0,394,12,1200,793,176,46,10,36,18,16,12,25,41,14
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PINOCHIO”",228,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:51",410,394,1,14,1,409,394,0,14,1,378,18,1200,790,128,41,38,11,40,13,8,26,17,56
8,BRAŞOV,"GRADINȚA CU PROGRAM PRELUNGIT „VOINICELUL”",207,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:51",1627,1617,2,8,0,498,490,0,8,0,471,27,1800,1302,243,48,8,42,32,19,0,12,48,19
8,BRAŞOV,"LICEUL TEHNOLOGIC „AUREL VIJOLI”",222,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:46",1354,1343,0,7,4,452,441,0,7,4,422,30,1500,1048,149,31,7,37,115,17,2,18,16,30
8,BRAŞOV,"LICEUL TEHNOLOGIC „AUREL VIJOLI”",223,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:41",1102,1089,0,11,2,454,441,0,11,2,414,40,1200,746,78,19,4,43,220,6,4,15,7,18
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ”SF. CONSTANTIN BRÂNCOVEANU”",225,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:19",1609,1600,2,7,0,491,484,0,7,0,470,21,1800,1309,199,59,1,63,28,18,17,29,36,20
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ”SF. CONSTANTIN BRÂNCOVEANU”",224,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:23:58",1775,1768,1,5,1,541,535,0,5,1,522,19,2000,1459,249,51,12,36,21,16,21,39,59,18
8,BRAŞOV,"ȘCOALA GIMNAZIALA NR. 1 - COLEGIUL NAŢIONAL ”RADU NEGRU”",215,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:12",1084,1075,1,8,0,426,418,0,8,0,410,16,1200,771,157,67,12,22,7,15,14,30,78,8
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ NR. 1 - COLEGIUL NAŢIONAL ”RADU NEGRU”",216,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:04",1286,1261,4,5,16,494,473,0,5,16,492,2,1400,906,202,68,15,37,12,13,17,38,75,15
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 4 - ȘCOALA GIMNAZIALĂ ”OVID DENSUŞIANU”",211,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:03:22",1191,1182,0,5,4,607,598,0,5,4,530,68,1300,702,156,43,7,34,195,7,19,11,33,25
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ ”OVID DENSUŞIANU”",210,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:21",1012,1010,1,1,0,370,369,0,1,0,361,9,1100,730,175,44,6,26,6,15,15,30,34,10
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ ”OVID DENSUȘIANU”",209,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:06:26",1211,1202,2,7,0,454,447,0,7,0,445,9,1300,846,192,63,18,24,10,16,13,39,52,18
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ ”OVID DENSUȘIANU”",208,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:59",1576,1544,2,6,24,638,609,0,6,23,603,34,1700,1063,228,74,20,29,76,18,17,37,82,22
