precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",34,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:16",1234,1219,2,13,0,538,525,0,13,0,521,17,1341,803,114,221,106,21,20,39
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",35,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:02:26",1069,1060,0,9,0,488,479,0,9,0,425,63,1166,651,112,166,71,15,20,41
12,CĂLĂRAŞI,"COLEGIUL NAȚIONAL ”NEAGOE BASARAB”",59,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:06",1743,1717,3,12,11,870,847,0,12,11,827,39,1914,1044,68,551,109,25,31,43
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",57,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:46",1635,1615,1,17,2,817,798,0,17,2,794,23,1814,997,69,432,152,40,31,70
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",56,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:54:45",1686,1653,2,14,17,870,839,0,14,17,840,30,1824,954,72,499,143,30,53,43
12,CĂLĂRAŞI,"CONSILIUL LOCAL VILCELELE",233,VÂLCELELE,94731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:55",476,431,1,8,36,286,242,0,8,36,239,47,515,229,10,214,8,0,6,1
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",29,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:59",735,725,0,10,0,275,265,0,10,0,262,13,861,586,77,90,58,7,15,15
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",28,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:42",1329,1320,0,9,0,1329,1320,0,9,0,496,0,1489,957,146,191,67,17,38,37
12,CĂLĂRAŞI,"DIRECŢIA DE CULTURĂ",62,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:48:20",1550,1536,0,13,1,722,708,0,13,1,693,28,1709,988,48,358,184,22,37,44
12,CĂLĂRAŞI,"FOSTA SCOALA PRIMARA ZIMBRU",223,ULMU,94606,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:20:19",97,83,0,8,6,67,53,0,8,6,66,1,90,23,1,61,3,0,0,1
12,CĂLĂRAŞI,"GRĂDINIŢA ALBĂ CA ZĂPADA",157,INDEPENDENŢA,93771,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:24:10",643,635,1,1,6,398,391,0,1,6,365,32,690,293,23,225,89,3,9,16
12,CĂLĂRAŞI,"GRADINITA CU 4 GRUPE",202,SĂRULEŞTI,104886,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:48:49",1209,1163,0,25,21,894,848,0,25,21,853,41,1262,42,42,749,42,2,13,5
12,CĂLĂRAŞI,"GRĂDINIŢA CU PR.NORMAL NR.4 CALARASI",8,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:47",1464,1451,6,7,0,641,634,0,7,0,578,63,1596,955,58,379,91,8,38,4
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL COTOFANCA",150,GURBĂNEŞTI,103568,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:00:35",291,270,0,9,12,188,167,0,9,12,180,8,297,109,21,144,6,1,5,3
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL DRAGALINA",127,DRAGALINA,93487,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:38:01",1274,1257,1,6,10,718,701,1,6,10,697,21,1400,681,42,217,399,8,28,3
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1,",55,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:48:05",1368,1350,3,14,1,702,687,0,14,1,672,30,1516,814,63,395,124,13,25,52
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",54,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:14:15",1091,1079,0,12,0,555,543,0,12,0,536,19,1208,652,47,299,134,13,13,30
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR.2",65,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:32:28",1492,1481,2,8,1,783,774,0,8,1,764,19,1653,858,48,454,147,41,42,32
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 CUNEȘTI",147,GRĂDIŞTEA,93664,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:07:50",699,666,0,22,11,504,471,0,22,11,450,21,733,262,26,295,81,8,13,27
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 DUNĂREA",98,CHISELET,101822,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:19",613,589,1,4,19,362,339,0,4,19,345,17,669,307,32,112,184,1,11,5
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",207,SPANŢOV,105259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:02",666,647,0,5,14,422,403,0,5,14,404,18,729,307,38,88,261,4,13,0
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3",132,"DRAGOŞ VODĂ",93539,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:12:38",179,154,0,10,15,126,101,0,10,15,120,6,188,62,4,99,13,1,0,3
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR. 3 BORCEA",87,BORCEA,92961,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:26:28",834,805,0,15,14,464,435,0,15,14,449,15,907,443,39,138,237,12,16,7
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3, COCONI",172,MÂNĂSTIREA,104181,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:07",632,614,1,11,6,328,311,0,11,6,316,12,679,351,25,252,12,8,14,5
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 FLORICA",154,ILEANA,103764,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:33",490,489,0,1,0,274,273,0,1,0,259,15,535,261,28,212,11,1,6,1
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.3 GĂLĂŢUI",83,"ALEXANDRU ODOBESCU",94125,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:41",318,228,0,65,25,282,192,0,65,25,265,17,350,68,19,105,132,1,5,3
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.3 INFRĂȚIREA",119,"DOR MĂRUNT",93370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:40:28",270,259,0,5,6,206,195,0,5,6,193,13,294,88,14,144,26,1,8,0
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR.3 LUPSANU",166,LUPŞANU,93931,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:13:00",469,461,0,6,2,271,263,0,6,2,261,10,482,211,30,164,31,9,20,7
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",60,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:05",1582,1572,1,7,2,749,740,0,7,2,703,46,1744,995,56,452,99,27,24,45
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",61,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:38:30",1572,1565,0,6,1,686,679,0,6,1,655,24,1761,1082,40,442,96,18,29,30
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR.4 NUCETU",167,LUPŞANU,93931,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:52",486,484,1,1,0,259,258,0,1,0,250,9,531,272,36,158,12,16,22,6
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5",58,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:59",1718,1700,1,14,3,775,758,0,14,3,761,14,1876,1101,58,483,109,27,39,45
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.5 PODU PITARULUI",192,PLĂTĂREŞTI,104635,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:08:06",218,211,0,3,4,218,211,0,3,4,209,9,355,137,16,152,26,0,9,6
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL NR.5 PODU PITARULUI",191,PLĂTĂREŞTI,104635,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:47",441,432,0,3,6,283,274,0,3,6,263,14,475,198,12,208,40,0,2,1
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR. 6 ( INCINTA ȘCOALA GIMNAZIALĂ” ALEXANDRU D. GHICA”)",52,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:43:43",1896,1882,0,12,2,991,977,0,12,2,910,67,2088,1111,72,563,159,23,56,37
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL ȘTEFAN VODĂ",215,"ŞTEFAN VODĂ",94580,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:39:39",802,774,0,12,16,536,508,0,12,16,496,20,812,296,48,331,82,8,17,10
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL ȘTEFAN VODĂ",214,"ŞTEFAN VODĂ",94580,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:20:16",1091,1030,2,23,36,710,651,0,23,36,686,24,1198,488,56,533,68,3,9,17
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL VALEA PRESNEI",151,GURBĂNEŞTI,103568,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:04:01",163,122,0,37,4,125,84,0,37,4,121,4,138,13,4,111,2,1,1,2
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM NORMAL VASILAȚI",229,VASILAŢI,105829,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:16:48",1818,1733,0,85,0,1222,1137,0,85,0,1164,58,1911,689,73,715,64,0,37,275
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM PRELUNGIT",72,"ORAŞ FUNDULEA",103032,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:33:18",1433,1393,0,39,1,984,944,0,39,1,946,38,1557,573,58,676,146,8,28,30
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ARICEL” CĂLĂRAŞI",42,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:25:41",750,740,0,10,0,325,315,0,10,0,312,6,820,481,57,131,57,16,10,41
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ROSTOGOL” CĂLĂRAŞI(FOSTA GRĂDINIŢA CU PROGRAM NORMAL NR.2)",23,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:22:44",1581,1572,1,8,0,662,654,0,8,0,638,24,1727,1065,113,321,110,22,31,41
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP CĂLĂRAŞI (FOSTA GRĂDINIŢA CU PR. PREL. MICRO6)",9,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:48:35",1227,1222,0,5,0,566,561,0,5,0,544,17,1344,403,83,246,119,17,25,54
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ŢARA COPILĂRIEI” CĂLĂRAŞI(FOSTA GRĂDINIŢĂ CU PR. PREL. NR.1)",22,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:50:50",1018,1009,0,9,0,478,469,0,9,0,464,14,1111,633,64,205,98,16,20,61
12,CĂLĂRAŞI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”TĂRÂMUL VESELIEI” (CRÂNGU)",74,"ORAŞ FUNDULEA",103032,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:48",1331,1312,0,19,0,928,909,0,19,0,899,29,1467,539,58,636,155,7,28,15
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL” CĂLĂRAŞI",40,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:48:56",1428,1416,2,9,1,650,640,0,9,1,633,17,1559,909,143,289,107,25,35,34
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL” CĂLĂRAŞI",41,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:57:35",1066,1058,0,7,1,505,497,0,7,1,435,4,1173,669,72,239,79,7,24,14
12,CĂLĂRAŞI,"GRADINITA DE COPII",158,INDEPENDENŢA,93771,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:21:19",450,441,0,6,3,289,280,0,6,3,264,25,471,182,36,118,76,11,10,13
12,CĂLĂRAŞI,"GRADINITA DE COPII",156,INDEPENDENŢA,93771,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:03:54",1760,1699,1,21,39,1277,1219,0,21,37,1204,71,1920,645,51,697,393,11,19,33
12,CĂLĂRAŞI,"GRĂDINIȚA MIHAI VITEAZU",235,"VLAD ŢEPEŞ",94768,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:28:29",505,475,0,5,25,327,297,0,5,25,307,20,551,224,4,238,27,11,17,10
12,CĂLĂRAŞI,"GRADINITA NR.1 SARBI",101,CIOCĂNEŞTI,93085,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:21",999,941,1,14,43,731,673,1,14,43,707,24,1091,360,41,397,224,17,11,17
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",12,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:03:42",942,939,0,3,0,337,334,0,3,0,312,25,1047,710,93,145,28,2,17,27
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",10,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:23",1077,1064,0,13,0,478,465,0,13,0,448,30,1168,690,88,192,85,10,18,55
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",11,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:07:04",916,906,0,9,1,460,451,0,8,1,443,16,1008,549,68,196,96,18,9,56
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",25,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:49",1434,1426,3,5,0,624,619,0,5,0,562,28,1569,978,116,264,85,13,39,45
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",26,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:47",1927,1918,1,8,0,759,751,0,8,0,692,67,2110,1351,235,229,106,13,57,52
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",24,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:25:49",1432,1425,1,6,0,598,592,0,6,0,564,17,1603,1022,133,219,103,26,35,48
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",27,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:36:49",1469,1462,0,7,0,558,551,0,7,0,482,76,1608,1050,172,207,38,8,40,17
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC MATEI BASARAB",171,MÂNĂSTIREA,104181,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:28",1386,1370,0,7,9,762,746,0,7,9,735,27,1514,752,73,589,29,3,26,15
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC MATEI BASARAB",170,MÂNĂSTIREA,104181,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:37",1343,1331,1,2,9,696,684,1,2,9,668,28,1482,786,70,527,29,7,24,11
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC NR. 1",71,"ORAŞ FUNDULEA",103032,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:25",886,868,0,16,2,583,565,0,16,2,564,19,940,357,25,312,172,9,14,32
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC NR. 1 BORCEA CLASELE I-IV SALA A",88,BORCEA,92961,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:29:34",1488,1448,0,16,24,857,817,0,16,24,811,46,1631,774,68,123,550,17,38,15
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC NR. 1 BORCEA CLASELE I-IV SALA B",89,BORCEA,92961,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:15",1379,1353,0,7,19,762,736,0,7,19,738,24,1523,761,74,163,433,15,33,20
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC TRANSPORTURI AUTO CĂLĂRAŞI",44,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:17:02",1209,1192,1,8,8,575,559,0,8,8,544,25,1313,744,99,284,98,10,30,23
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",15,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:00:09",1214,1196,3,15,0,532,517,0,15,0,513,19,1316,784,87,243,78,15,34,56
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",14,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:51",1325,1318,2,5,0,573,568,0,5,0,551,22,1450,877,88,272,97,14,23,57
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",13,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:38",983,975,3,5,0,480,475,0,5,0,466,14,1072,592,46,224,84,18,23,71
12,CĂLĂRAŞI,"PRIMĂRIA PLĂTĂREŞTI",189,PLĂTĂREŞTI,104635,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:04",1025,985,0,33,7,663,623,0,33,7,638,25,1082,419,57,475,51,4,18,33
12,CĂLĂRAŞI,PRIMARIE,76,"ORAŞ LEHLIU-GARĂ",93888,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:58:56",1425,1412,0,5,8,850,837,0,5,8,824,26,1539,689,155,512,63,14,50,30
12,CĂLĂRAŞI,"PROPRIETATE PRIVATA",120,"DOR MĂRUNT",93370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:56:22",271,269,1,1,0,172,170,1,1,0,164,8,275,103,25,113,12,2,6,6
12,CĂLĂRAŞI,"PROPRIETATE PRIVATĂ",175,MITRENI,100638,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:25:53",391,373,0,7,11,230,212,0,7,11,210,20,429,199,32,45,113,5,6,9
12,CĂLĂRAŞI,"SALA DE EDUCAȚIE FIZICĂ ȘCOLARĂ",161,JEGĂLIA,93815,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:52",728,685,1,9,33,522,480,0,9,33,487,35,800,278,40,197,222,6,11,11
12,CĂLĂRAŞI,"SALA DE SPORT A SCOLII GIMNAZIALE NICOLAE TITULESCU",21,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:36:48",1404,1393,1,9,1,536,526,0,9,1,512,24,1532,996,100,218,99,16,35,44
12,CĂLĂRAŞI,"SALA DE SPORT A SCOLII GIMNAZIALE NICOLAE TITULESCU",20,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:53",710,701,0,7,2,334,325,0,7,2,321,13,772,438,53,135,64,16,19,34
12,CĂLĂRAŞI,"ŞC. GIMNAZIALĂ NR.1 DICHISENI",112,DICHISENI,93325,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:19",716,653,1,29,33,494,433,0,29,32,459,35,755,261,32,146,250,7,9,15
12,CĂLĂRAŞI,"SCOALA ANDOLINA",102,CIOCĂNEŞTI,93085,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:55",871,800,0,21,50,616,545,0,21,50,583,33,881,265,26,320,212,7,8,10
12,CĂLĂRAŞI,"SCOALA ARTARI",153,ILEANA,103764,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:16",503,485,0,18,0,337,319,0,18,0,325,12,532,195,15,279,27,0,3,1
12,CĂLĂRAŞI,"ŞCOALA BOGATA",146,GRĂDIŞTEA,93664,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:25",514,487,0,13,14,347,320,0,13,14,326,8,534,200,22,228,53,2,7,14
12,CĂLĂRAŞI,"SCOALA CLASELE 1-4 NR. 3",142,FUNDENI,103014,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:36:06",1145,1115,0,18,12,819,789,0,18,12,768,51,1214,394,63,408,238,1,47,11
12,CĂLĂRAŞI,"ȘCOALA CONSTANTIN BRÂNCOVEANU, LOCALUL CU ETAJ",228,VASILAŢI,105829,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:19:53",969,895,0,50,24,585,511,0,50,24,558,27,980,395,31,278,129,18,37,65
