precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NAPSUGÁR”",45,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:09",1011,997,3,5,6,375,364,0,5,6,361,14,1100,725,32,19,21,15,260,2,10,2
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NAPSUGÁR”",46,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:10:37",1091,1086,0,3,2,409,404,0,3,2,394,12,1200,791,60,23,33,22,236,11,6,3
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1 COVASNA",75,"ORAŞ COVASNA",63526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:57:51",1314,1299,2,9,4,563,550,0,9,4,537,26,1347,784,40,29,12,13,400,3,7,33
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2 COVASNA",79,"ORAŞ COVASNA",63526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:57:17",1480,1463,0,7,10,666,649,0,7,10,637,29,1600,934,44,63,19,18,473,0,8,12
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCCHIO”",37,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:14:36",777,771,0,5,1,330,324,0,5,1,307,10,800,483,10,10,6,11,260,1,5,4
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCCHIO”",38,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:52",1242,1230,1,8,3,504,493,0,8,3,495,9,1400,896,55,23,38,40,314,3,10,12
15,COVASNA,"GRĂDINIȚA DE COPII (PARTER)",187,SÂNZIENI,64826,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:09:40",479,464,1,0,14,237,222,1,0,14,221,16,500,263,5,1,1,1,203,0,8,2
15,COVASNA,"GRĂDINȚA CU PROGRAM NORMAL DOBÂRLĂU",137,DOBÂRLĂU,64265,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:08",933,918,0,11,4,580,565,0,11,4,533,47,984,404,397,43,26,59,4,4,0,0
15,COVASNA,"LICEUL DE ARTE ”PLUGOR SÁNDOR”",22,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:09:51",759,736,2,8,13,384,363,0,8,13,375,9,800,416,0,11,9,2,325,0,11,17
15,COVASNA,"LICEUL DE ARTE ”PLUGOR SÁNDOR”",21,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:29",1025,992,5,14,14,560,530,2,14,14,549,11,1100,540,17,14,24,10,450,3,12,19
