precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA REPER SENS URS.PDF PENTRU SECTORUL 3-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",369,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 21:46:02",1457,1372,80,5,0,272,266,1,5,0,263,9,1513,1241,101,39,21,11,11,80
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",374,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:28:24",1368,1338,21,9,0,554,545,0,9,0,553,1,1458,895,200,60,44,31,29,189
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",373,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:32:09",981,944,31,6,0,319,313,0,6,0,311,8,1053,734,126,39,30,17,16,83
46,"Sector 3","COLEGIUL NAŢIONAL ”MATEI BASARAB”;",382,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:52:00",2018,1946,59,13,0,629,616,0,13,0,612,17,2147,1501,228,73,52,21,16,222
46,"Sector 3","COLEGIUL NAŢIONAL ”MATEI BASARAB”;",383,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 03:27:16",1835,1777,41,16,1,743,725,1,16,1,714,25,1979,1236,302,72,63,20,20,237
46,"Sector 3","COLEGIUL NAŢIONAL ”MATEI BASARAB”;",380,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-09 23:50:18",2610,2602,2,6,0,14,8,0,6,0,13,1,2903,2889,5,1,1,0,0,6
46,"Sector 3","COLEGIUL NAŢIONAL ”MATEI BASARAB”;",381,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:27:05",1850,1819,23,6,2,591,582,1,6,2,563,28,2023,1432,217,72,47,27,25,175
46,"Sector 3","COLEGIUL NAȚIONAL ”MATEI BASARAB”",386,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 00:15:18",2721,2716,0,5,0,10,5,0,5,0,9,1,3024,3014,5,1,0,0,1,2
46,"Sector 3","COLEGIUL NAȚIONAL ”MATEI BASARAB”",384,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 02:25:42",2679,2671,0,8,0,11,3,0,8,0,11,0,2974,2963,4,2,0,1,0,4
46,"Sector 3","COLEGIUL NAȚIONAL ”MATEI BASARAB”",385,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 00:56:42",3180,3176,0,4,0,14,10,0,4,0,14,0,3546,3532,4,3,1,1,0,5
46,"Sector 3","COLEGIUL TEHNIC ”ANGHEL SALIGNY”;",474,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-13 21:41:08",811,799,4,7,1,366,358,0,7,1,357,4,897,531,128,40,29,10,21,129
46,"Sector 3","COLEGIUL TEHNIC ”ANGHEL SALIGNY”;",473,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:11:06",819,799,5,15,0,304,289,0,15,0,298,6,895,591,149,30,20,9,8,82
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”;",546,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 05:58:25",1682,1672,3,7,0,723,716,0,7,0,707,14,1838,1117,326,65,59,20,30,207
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”;",544,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 08:40:26",1940,1917,5,18,0,941,923,0,18,0,895,28,2098,1168,314,75,91,23,34,358
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”;",548,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:24:11",1617,1598,10,9,0,731,722,0,9,0,703,22,1753,1028,308,70,60,21,26,218
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”;",545,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:08:11",1825,1812,5,8,0,699,691,0,8,0,677,22,1948,1249,347,68,44,21,33,164
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”;",547,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:41:28",1662,1647,2,13,0,743,729,1,13,0,728,15,1818,1075,325,70,76,15,48,194
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIȚESCU”;",551,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:41:39",1749,1740,0,9,0,35,26,0,9,0,32,3,1942,1907,12,2,2,2,1,13
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIȚESCU”;",549,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 02:36:43",1632,1626,0,6,0,21,15,0,6,0,21,0,1800,1779,11,3,1,4,0,2
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIȚESCU”;",550,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:05:19",1890,1862,18,10,0,345,334,1,10,0,345,0,2041,1696,136,14,37,11,13,134
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",426,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:45:04",1085,1075,6,4,0,514,510,0,4,0,499,15,1194,680,200,58,34,16,13,178
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",431,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:56:35",1059,1041,7,7,4,437,426,0,7,4,422,15,1152,715,167,46,43,8,24,134
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",423,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:36:52",983,973,9,1,0,398,397,0,1,0,386,11,1071,674,179,45,23,15,18,106
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",428,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:49:41",1193,1183,1,9,0,560,551,0,9,0,554,6,1315,755,239,56,49,15,27,168
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",429,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:32:16",1332,1314,10,6,2,620,612,0,6,2,605,15,1471,836,234,46,63,6,28,228
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",425,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:03:03",1242,1233,3,6,0,569,563,0,6,0,554,15,1356,787,235,57,52,17,29,164
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",427,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:47:36",1154,1132,14,8,0,490,482,0,8,0,477,13,1269,779,184,46,54,18,17,158
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",420,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:05:51",1593,1530,50,13,0,681,668,0,13,0,663,18,1691,1010,231,61,51,23,25,272
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",419,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:43:25",1511,1477,18,15,1,505,489,0,15,1,494,11,1615,1110,192,50,41,24,25,162
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",424,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:21:24",1473,1462,4,7,0,658,651,0,7,0,628,28,1631,973,241,79,50,21,31,206
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",421,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:43:06",1334,1326,0,7,1,608,600,0,7,1,596,12,1474,866,231,58,46,14,26,221
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",430,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 21:00:59",1326,1307,6,13,0,533,520,0,13,0,521,10,1441,908,211,57,52,20,20,161
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",422,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 15:21:37",1504,1499,2,3,0,712,709,0,3,0,699,10,1649,934,290,71,53,20,36,229
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",503,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:41:16",1347,1336,0,11,0,569,558,0,11,0,549,20,1486,917,270,44,36,23,33,143
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",502,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:51:15",1377,1350,15,8,4,493,481,0,8,4,479,14,1510,1017,227,51,35,16,29,121
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",506,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:39:22",1383,1376,1,6,0,424,418,0,6,0,401,23,1544,1120,196,62,22,28,23,70
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",505,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:16:11",1517,1506,2,9,0,523,514,0,9,0,510,13,1657,1134,252,55,25,28,39,111
46,"Sector 3","LICEUL TEHNOLOGIC ”ELIE RADU”;",504,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:00:47",935,930,1,4,0,384,380,0,4,0,364,20,1042,658,138,36,33,18,20,119
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",587,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:49:32",1214,1206,2,6,0,596,590,0,6,0,588,8,1333,737,219,53,67,16,28,205
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",588,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:33:31",1206,1202,0,4,0,612,608,0,4,0,597,15,1324,712,221,72,50,10,27,217
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",590,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:29:15",1205,1187,6,11,1,603,591,0,11,1,585,18,1320,717,248,57,51,14,19,196
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",586,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:32:07",1255,1226,16,13,0,551,538,0,13,0,537,14,1373,822,179,60,60,12,29,197
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",589,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:13:28",1269,1262,2,5,0,573,568,0,5,0,553,20,1392,819,229,60,50,12,27,175
46,"Sector 3","LICEUL TEORETIC ”AL. I. CUZA”;",591,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 02:40:41",1432,1425,3,4,0,643,639,0,4,0,619,24,1579,936,211,59,72,21,26,230
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",467,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:34:10",1044,1030,5,9,0,512,503,0,9,0,496,16,1141,629,190,52,43,13,26,172
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",465,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:32:32",1259,1247,5,7,0,592,585,0,7,0,574,18,1378,786,203,51,48,11,32,229
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",466,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:02:20",927,918,4,5,0,403,398,0,5,0,388,15,1016,613,145,36,28,10,19,150
46,"Sector 3","LICEUL TEORETIC ”BENJAMIN FRANKLIN”;",464,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:52:30",1224,1206,15,3,0,576,573,0,3,0,568,8,1332,756,180,48,52,25,28,235
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",495,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:15:49",1026,1016,1,9,0,510,501,0,9,0,489,21,1128,618,196,40,46,15,30,162
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",492,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:35:36",1373,1358,3,12,0,638,626,0,12,0,618,20,1520,82,237,50,49,18,25,239
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",493,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:07:31",1279,1265,3,11,0,633,622,0,11,0,611,22,1406,773,284,49,46,20,18,194
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",494,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:18:26",1040,1030,0,9,1,526,516,0,9,1,500,26,1137,611,183,47,48,14,19,189
46,"Sector 3","LICEUL TEORETIC ”DANTE ALIGHIERI”;",496,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:00:35",1163,1148,5,9,1,528,518,0,9,1,504,24,1266,738,208,37,33,11,21,194
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",509,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:24:57",1371,1359,4,8,0,448,440,0,8,0,425,23,1498,1050,212,43,31,24,30,85
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",510,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:43:41",1298,1290,5,3,0,406,403,0,3,0,390,16,1418,1012,177,53,32,21,30,77
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",508,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:50:51",1312,1292,12,8,0,532,524,0,8,0,516,12,1469,938,231,43,54,30,37,121
46,"Sector 3","LICEUL TEORETIC ”DECEBAL”;",507,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:45:46",1060,1049,2,9,0,419,410,0,9,0,409,10,1156,736,191,38,22,18,32,108
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",599,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:46:59",1149,1144,2,3,0,428,425,0,3,0,415,13,1267,839,165,36,39,7,20,148
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",597,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:27:09",1433,1415,10,8,0,552,544,0,8,0,535,15,1562,1012,230,63,29,25,28,160
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",592,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:36:05",1034,1018,6,10,0,422,411,1,10,0,411,11,1141,719,188,37,25,19,15,127
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",598,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:52:21",1271,1261,2,8,0,598,590,0,8,0,584,14,1388,790,266,52,51,15,26,174
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",601,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:00:04",1272,1261,1,10,0,553,543,0,10,0,535,18,1385,832,205,44,37,18,21,210
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",595,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 06:14:36",1053,1031,12,7,3,481,472,0,7,2,446,12,1155,674,159,49,48,0,15,175
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",596,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:42:42",1276,1265,4,7,0,521,514,0,7,0,508,13,1389,868,207,48,50,22,34,147
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",593,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:06:46",1185,1167,5,13,0,474,461,0,13,0,457,17,1293,819,200,48,33,10,33,133
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",600,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:15:14",1565,1542,6,16,1,671,654,0,16,1,657,13,1701,1028,237,57,69,23,16,255
46,"Sector 3","LICEUL TEORETIC ”NICHITA STĂNESCU”;",594,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:36:42",1634,1622,2,10,0,401,391,0,10,0,393,8,1791,1390,146,43,33,11,32,128
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",471,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:12:31",1238,1228,0,10,0,616,606,0,10,0,597,19,1351,735,212,42,57,28,41,217
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",470,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:40:51",1335,1331,4,0,0,558,558,0,0,0,540,18,1471,883,257,52,40,14,23,154
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",472,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 14:19:59",1643,1634,1,8,0,710,702,0,8,0,681,29,1786,1076,249,68,60,28,34,242
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",469,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 23:39:58",1249,1236,8,5,0,552,547,0,5,0,540,12,1361,809,233,55,30,22,23,177
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”;",468,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:37:02",1154,1149,2,3,0,497,494,0,3,0,476,21,1262,765,192,54,41,16,23,150
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”BARBU DELAVRANCEA”",379,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:46:56",3241,3234,0,7,0,43,36,0,7,0,41,2,3611,3568,16,2,3,2,0,18
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”BARBU DELAVRANCEA”",378,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 01:37:47",3213,3209,0,4,0,17,13,0,4,0,15,2,3581,3564,5,1,1,2,1,5
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”BARBU DELAVRANCEA”",376,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 01:04:31",3264,3254,4,6,0,30,24,0,6,0,29,1,3627,3597,16,1,0,1,0,11
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”BARBU DELAVRANCEA”",375,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:48:36",1709,1629,72,7,1,726,717,1,7,1,699,27,1793,1067,304,53,57,20,22,243
46,"Sector 3","ȘCOALA GIMNAZIALĂ ”BARBU DELAVRANCEA”",377,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 16:37:57",3066,3061,0,5,0,15,10,0,5,0,15,0,3425,3410,8,0,3,0,1,3
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”CEZAR BOLLIAC”;",398,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:36:45",1226,1194,19,13,0,611,598,0,13,0,591,20,1324,713,249,68,43,16,21,194
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”CEZAR BOLLIAC”;",394,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-14 03:00:15",1465,1426,32,7,0,710,703,0,7,0,694,16,1500,790,237,69,62,22,24,280
46,"Sector 3","ŞCOALA GIMNAZIALĂ ”CEZAR BOLLIAC”;",401,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 10:01:02",1423,1407,6,10,0,744,734,0,10,0,717,27,1570,826,289,72,58,14,19,265
