precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ ZLAȘTI)",106,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:16",439,430,1,7,1,216,208,0,7,1,212,4,500,284,115,18,33,21,0,1,15,9
22,HUNEDOARA,"COLEGIUL TEHNIC ”MATEI CORVIN” (FOSTUL LICEU NR. 1)",81,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:17:29",1015,998,7,10,0,421,411,0,10,0,403,18,1100,679,262,30,32,40,8,1,23,7
22,HUNEDOARA,"GRĂDINIŢA CU ORAR NORMAL MICRO III PN 2 ”ZORI DE ZI”",93,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:50",1260,1248,0,12,0,498,486,0,12,0,477,9,1300,813,312,35,34,41,5,14,25,11
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL MICRO VII PN6",69,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:46",1187,1176,1,10,0,368,358,0,10,0,353,15,1300,932,227,10,25,38,9,6,20,18
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOAREA SOARELUI” HUNEDOARA",92,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:17:08",1049,1043,1,5,0,391,386,0,5,0,372,19,1100,709,249,12,34,49,7,3,15,3
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOAREA SOARELUI” HUNEDOARA",90,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:50:08",1102,1098,0,4,0,419,415,0,4,0,401,1,1200,786,272,13,23,44,10,7,19,13
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOAREA SOARELUI” HUNEDOARA",91,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:21:01",954,947,2,5,0,347,342,0,5,0,341,6,1000,653,240,25,19,30,3,7,14,3
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICOT”",85,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:46",817,808,2,7,0,336,329,0,7,0,320,16,1000,664,200,14,35,29,7,8,21,6
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICOT”",86,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:35:31",1067,1062,0,5,0,380,375,0,5,0,363,17,1200,820,213,24,47,37,2,8,23,9
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 1 ( FOSTA ȘCOALĂ GENERALĂ NR. 12)",63,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:56",1380,1371,1,8,0,393,385,0,8,0,373,20,1600,1207,224,9,33,65,8,4,16,14
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 1 ( FOSTA ȘCOALĂ GENERALĂ NR. 12)",61,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:48",1403,1395,0,8,0,468,460,0,8,0,441,27,1600,1132,276,17,31,65,5,1,23,23
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 1 ( FOSTA ȘCOALĂ GENERALĂ NR. 12)",62,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:22",1392,1380,0,7,5,399,387,0,7,5,367,12,1600,1221,228,18,26,58,5,1,8,23
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ŞCOALĂ GENERALĂ NR. 9)",68,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:22",1205,1199,1,5,0,442,437,0,5,0,424,18,1300,858,277,13,30,63,10,3,14,14
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ŞCOALĂ GENERALĂ NR. 9)",66,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:29:20",1399,1391,1,6,1,417,410,0,6,1,395,22,1600,1183,260,11,32,49,5,4,15,19
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ŞCOALĂ GENERALĂ NR. 9)",67,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:05",1390,1383,3,4,0,511,507,0,4,0,492,19,1600,1074,336,17,44,69,7,3,9,7
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ŞCOALĂ GENERALĂ NR. 9)",65,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:22",1401,1394,0,7,0,468,461,0,7,0,446,22,1600,1132,305,11,31,75,5,2,10,7
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ȘCOALĂ GENERALĂ NR. 9)",64,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:01:33",1300,1296,0,4,0,383,379,0,4,0,369,14,1400,1017,233,9,32,47,10,4,17,17
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR. 11)",103,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:24",1249,1242,2,5,0,503,497,1,5,0,490,13,1400,896,304,45,24,62,6,12,28,9
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR. 11)",101,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:28",1415,1408,0,7,0,576,569,0,7,0,535,14,1600,1024,347,17,43,81,7,4,27,9
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR. 11)",102,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:57",1180,1173,2,5,0,410,405,0,5,0,394,16,1300,890,259,14,25,45,14,6,18,13
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR. 11)",100,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:19",1201,1191,4,6,0,430,424,0,6,0,414,16,1350,920,263,13,30,49,9,5,29,16
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR.11)",104,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:11:46",665,660,1,4,0,299,295,0,4,0,288,11,800,501,159,19,39,41,3,3,15,9
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 (FOSTA ŞCOALĂ GENERALĂ NR. 2)",96,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:17:25",1227,1221,1,5,0,509,504,0,5,0,494,15,1300,791,292,23,53,59,11,9,33,14
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 (FOSTA ŞCOALĂ GENERALĂ NR. 2)",97,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:03",1313,1308,0,5,0,481,476,0,5,0,457,24,1600,1119,300,22,30,50,7,5,26,17
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 (FOSTA ŞCOALĂ GENERALĂ NR. 2)",95,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:31",1496,1487,0,9,0,603,594,0,9,0,584,19,1600,997,382,25,46,60,11,6,38,16
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 (FOSTA ŞCOALĂ GENERALĂ NR. 2)",94,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:09:43",1418,1410,1,7,0,592,585,0,7,0,576,16,1600,1008,398,51,31,48,9,7,23,9
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR.6 (FOSTA ȘCOALĂ GENERALĂ NR. 6)",80,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:21:50",1445,1438,2,5,0,556,549,2,5,0,536,13,1600,1051,342,40,42,41,13,12,28,18
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR.6 (FOSTA ȘCOALĂ GENERALĂ NR. 6)",79,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:54:42",1403,1393,2,6,2,568,560,0,6,2,548,19,1600,1032,332,45,48,62,12,9,30,10
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 7 (FOSTA ȘCOALĂ GENERALĂ NR. 7)",87,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:37",1051,1046,2,3,0,447,444,0,3,0,432,15,1200,753,274,19,54,44,10,7,15,9
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 7 (FOSTA ȘCOALĂ GENERALĂ NR. 7)",89,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:55",1103,1089,5,8,1,436,427,0,8,1,422,14,1200,764,234,26,50,46,16,4,36,10
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 7 (FOSTA ȘCOALĂ GENERALĂ NR. 7)",88,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:27:54",1099,1091,0,8,0,387,379,0,8,0,373,14,1200,813,214,18,43,31,17,6,32,12
22,HUNEDOARA,"ŞCOALA PRIMARĂ PEŞTIŞUL MARE",108,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:55:54",1007,1002,1,3,1,475,471,0,3,1,461,14,1100,625,288,43,41,48,5,7,22,7
22,HUNEDOARA,"ŞCOALA PRIMARĂ RĂCĂŞTIA",109,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:00:08",528,521,1,5,1,233,227,0,5,1,217,10,600,373,103,55,22,25,8,1,0,3
22,HUNEDOARA,"SEDIUL PRIMĂRIEI MUNICIPIULUI HUNEDOARA (FOSTA B.R.D.)",105,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:26:35",1565,1549,6,10,0,628,617,1,10,0,595,33,1700,1072,354,55,63,46,25,10,33,9
