precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi"
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",262,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:04",1161,1155,0,6,0,489,483,0,6,0,473,16,1300,811,229,45,116,7,13,28,5,26,4
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",263,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:13:02",1224,1220,1,3,0,531,528,0,3,0,508,22,1400,869,205,50,143,4,18,31,13,39,5
24,IAŞI,"CASA DE PRAZNUIRE",493,HELEŞTENI,97465,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:18:44",168,161,0,6,1,100,93,0,6,1,92,8,200,100,17,11,55,1,5,2,0,0,1
24,IAŞI,"CASA DE PRĂZNUIRE A PAROHIEI ”SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” POIANA-ȘCHEII",686,ŞCHEIA,99290,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:26",410,407,0,3,0,214,211,0,3,0,205,9,500,286,66,16,102,2,1,15,2,1,0
24,IAŞI,"CASA DE PRAZNUIRE BAHLUI",406,COTNARI,96478,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:46:55",258,253,0,5,0,130,125,0,5,0,120,10,300,170,63,18,32,1,1,5,0,0,0
24,IAŞI,"CASA DE PRĂZNUIRE BAZGA",616,RĂDUCĂNENI,98685,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:18:28",1217,1211,0,3,3,541,535,0,3,3,522,19,1300,759,238,43,193,0,9,22,5,8,4
24,IAŞI,"CASA DE PRĂZNUIRE GRĂDINARI",461,GOLĂIEŞTI,97090,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:52:45",312,306,0,4,2,188,182,0,4,2,170,12,400,212,112,13,36,0,6,2,1,0,0
24,IAŞI,"CASA DE PRĂZNUIRE LUNCA RATEŞ",646,SCÂNTEIA,98916,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:19:54",306,300,0,6,0,123,117,0,6,0,109,14,400,277,43,16,24,0,2,13,10,0,1
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA ALBEȘTI-REDIU",360,BRĂEŞTI,96058,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:31",590,554,1,15,20,346,311,0,15,20,309,37,600,254,26,23,239,1,5,12,1,2,0
24,IAŞI,"CASA DE PRAZNUIRE PAROHIA BANU",445,DUMEŞTI,96940,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:11",327,322,0,5,0,190,185,0,5,0,179,11,400,210,56,46,42,2,10,18,0,1,4
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA IEPURENI",580,MOVILENI,98257,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:46:50",682,672,0,3,7,385,375,0,3,7,347,38,700,315,239,16,74,1,8,6,2,0,1
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA MOVILENI",579,MOVILENI,98257,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:26",424,419,0,3,2,239,234,0,3,2,227,12,500,261,125,12,74,2,5,5,3,0,1
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA SFÂNTUL PROOROC ILIE TESVITEANUL",463,GOLĂIEŞTI,97090,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:15",222,213,0,8,1,147,138,0,8,1,135,12,300,153,88,7,28,0,5,7,0,0,0
24,IAŞI,"CASA PAROHIALĂ MORENI",607,PRISĂCANI,98603,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:43",806,798,0,7,1,477,469,0,7,1,450,27,900,423,140,53,115,4,18,115,1,2,2
24,IAŞI,"CASA PAROHIALĂ ”SF. NICOLAE” CHIPEREȘTI",741,ŢUŢORA,99922,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:46",377,357,1,7,12,227,208,0,7,12,212,15,400,173,20,18,149,2,8,11,2,1,1
24,IAŞI,"CASA SOCIALA ION NECULCE",514,"ION NECULCE",95499,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:05:45",170,163,0,7,0,91,84,0,7,0,81,10,200,109,13,14,48,0,3,2,0,1,0
24,IAŞI,"CASA SOCIALĂ-PAROHIA ”SF.DUMITRU” COADA STÂNCII",745,UNGHENI,96003,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:06",530,528,1,1,0,231,230,0,1,0,222,9,600,369,73,56,53,1,9,23,2,1,4
24,IAŞI,"CASA SOCIALĂ ”SF. VOIEVOZI” OPRIȘENI",742,ŢUŢORA,99922,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:53:28",593,565,0,4,24,353,325,0,4,24,300,25,600,275,26,37,228,7,0,0,1,1,0
24,IAŞI,"CENTRU DE ORGANIZARE PENTRU INTEGRARE SI INFORMARE - C.O.P.I.I. PENTRU COMUNITATEA POIENILE",428,DAGÂŢA,96717,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:12:42",240,233,0,6,1,100,93,0,6,1,98,2,300,200,76,0,19,0,0,3,0,0,0
24,IAŞI,"CENTRU DE ZI AFTER SCHOOL RUSI",438,DOBROVĂŢ,96888,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:24",771,727,1,6,37,461,418,0,6,37,425,36,800,339,96,46,243,4,17,17,0,2,0
24,IAŞI,"CENTRU DE ZI NUMĂRUL 1 SAT CORNEȘTI",549,MIROSLAVA,97919,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:46:49",1339,1332,0,5,2,580,573,0,5,2,547,33,1400,820,281,86,42,10,37,74,5,1,11
24,IAŞI,"CENTRUL CULTURAL ”ALEXANDRU VASILIU-TATARUSI”",695,TĂTĂRUŞI,99478,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:19",1298,1256,0,6,36,754,712,0,6,36,729,25,1400,646,72,64,532,6,21,23,2,7,2
24,IAŞI,"CENTRUL DE CARTIER FRUMOASA",200,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:53:35",1288,1279,1,8,0,576,568,0,8,0,565,11,1400,824,134,67,101,12,26,141,6,10,68
24,IAŞI,"CENTRUL EDUCATIV PENTRU COPII SARACI HARMANEASA",492,HELEŞTENI,97465,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:25:39",578,566,0,6,6,371,359,0,6,6,340,19,600,241,118,19,177,0,11,11,2,0,2
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",260,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:17:01",1178,1166,2,10,0,504,504,0,0,0,497,7,1300,796,105,57,62,10,21,152,5,4,81
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",261,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:48:19",764,758,0,6,0,333,327,0,6,0,324,6,800,470,61,38,56,8,7,92,5,5,52
24,IAŞI,"CLĂDIRE SOCIALĂ BĂRBĂTEȘTI",421,CUCUTENI,96664,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:02:49",146,138,0,6,2,93,85,0,6,2,89,4,200,107,16,7,60,0,2,2,2,0,0
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",48,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:31",952,912,38,2,0,435,433,0,2,0,423,12,1000,565,113,51,82,9,17,99,7,8,37
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",47,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:02:16",909,882,20,7,0,350,343,0,7,0,346,4,1000,650,91,41,58,12,11,87,4,8,34
24,IAŞI,"COLEGIUL NAŢIONAL",25,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:41:31",923,917,0,6,0,399,393,0,6,0,391,7,1000,602,97,46,78,12,10,98,3,6,41
24,IAŞI,"COLEGIUL NAŢIONAL",26,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:12",782,778,0,4,0,293,289,0,4,0,277,16,800,502,75,31,79,8,10,47,6,1,20
24,IAŞI,"COLEGIUL NAŢIONAL",27,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:15",1255,1239,9,6,1,372,365,0,6,1,356,16,1400,1028,72,33,76,14,8,105,3,5,40
24,IAŞI,"COLEGIUL NAŢIONAL",28,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:48",1349,1269,70,10,0,519,509,0,10,0,504,15,1400,881,97,45,117,13,23,142,7,7,53
24,IAŞI,"COLEGIUL NAŢIONAL",24,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:04:42",1266,1227,16,22,1,538,515,0,22,1,523,14,1400,863,120,60,96,19,16,123,19,4,66
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",31,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:17",912,862,24,13,13,416,390,0,13,13,404,12,1000,584,101,40,69,8,12,112,7,8,47
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",32,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:56:46",966,788,15,155,8,537,374,0,155,8,524,13,900,360,146,33,75,17,4,175,6,6,62
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",54,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:03",624,588,26,9,1,256,246,0,9,1,244,12,700,444,80,27,59,12,7,40,3,3,13
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",53,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:20",613,568,36,8,1,251,242,0,8,1,246,5,600,349,51,21,61,11,6,60,4,3,29
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",52,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:06:21",750,713,30,6,1,278,271,0,6,1,272,6,800,522,82,21,59,3,18,61,7,0,21
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTAV BĂNCILĂ”",55,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:16:33",690,658,26,5,1,255,249,0,5,1,242,13,700,445,66,39,42,3,23,48,2,7,12
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",231,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:45",1449,1441,0,8,0,172,164,0,8,0,169,3,1600,1428,32,21,23,4,12,52,5,3,17
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",228,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:33:01",1720,1711,1,8,0,119,111,0,8,0,111,8,1900,1781,22,15,35,6,2,18,0,3,10
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",233,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:57",1470,1460,0,10,0,118,108,0,10,0,115,3,1600,1482,27,18,20,4,9,21,1,1,14
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",235,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:37",2040,2031,0,9,0,25,16,0,9,0,24,1,2200,2175,3,2,8,0,1,2,0,1,7
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",230,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:34",1588,1584,0,4,0,218,214,0,4,0,214,4,1800,1582,48,20,50,7,10,51,3,5,20
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",234,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:25:14",1023,1016,2,5,0,244,239,0,5,0,226,18,1100,856,44,22,45,12,19,58,2,2,22
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",227,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:10:21",1687,1680,0,7,0,99,92,0,7,0,83,16,1900,1801,17,7,29,1,2,14,3,2,8
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",229,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:13",1495,1485,1,9,0,386,377,0,9,0,364,22,1600,1214,63,34,99,11,19,104,2,10,22
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",232,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:56:14",1613,1604,2,7,0,194,187,0,7,0,188,6,1800,1606,43,18,37,10,10,46,3,1,20
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",236,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:00:05",1600,1591,0,9,0,96,87,0,9,0,89,7,1800,1704,16,10,26,2,4,17,3,1,10
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",33,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:27:16",1132,1025,35,31,41,481,409,1,31,40,463,18,1100,619,91,65,94,19,15,137,6,4,32
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",35,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:33:26",1335,1046,15,213,61,718,444,0,213,61,697,21,1100,382,161,74,123,24,31,186,7,19,72
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",36,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:33",1633,1594,0,6,33,139,100,0,6,33,128,11,1800,1661,27,21,39,0,3,24,0,0,14
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",34,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:25",1116,1063,8,4,41,559,518,0,4,37,533,17,1200,612,127,68,116,16,0,145,0,19,42
24,IAŞI,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",40,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:58",984,971,10,2,1,459,454,2,2,1,447,12,1100,641,96,42,85,7,7,149,5,7,49
24,IAŞI,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",41,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:24:53",974,926,16,12,20,461,432,0,12,17,444,17,1000,539,109,58,80,15,20,114,8,2,38
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",270,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:54",1908,1901,0,7,0,588,581,0,7,0,566,22,2100,1512,232,53,156,9,19,51,6,35,5
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",272,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:10:07",1788,1784,0,4,0,4,0,0,4,0,4,0,2000,1996,0,0,2,0,1,1,0,0,0
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",269,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:37",1624,1606,1,9,8,508,490,1,9,8,471,19,1800,1310,196,45,141,11,19,28,4,19,8
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",271,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:36:59",1753,1748,0,5,0,5,0,0,5,0,5,0,1900,1895,2,1,2,0,0,0,0,0,0
24,IAŞI,"COLEGIUL TEHNIC ELECTRONICĂ ŞI TELECOMUNICAŢII ”GHEORGHE MÂRZESCU”",181,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:26",1298,1274,1,22,1,473,450,0,22,1,466,7,1400,927,108,55,114,18,24,84,6,6,51
