precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DANCIU IONELA-MARIANA-voturi"
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",61,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:51:01",1087,1073,0,10,4,495,481,0,10,4,483,12,1200,705,227,111,41,52,15,7,30
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",59,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:44",1121,1106,1,13,1,492,478,0,13,1,481,11,1220,717,210,95,49,75,14,4,34
1,ALBA,"ȘCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",58,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:10",1193,1182,1,9,1,549,539,0,9,1,537,12,1300,751,260,128,45,46,15,5,38
1,ALBA,"ȘCOALA GIMNAZIALĂ „AXENTE SEVER” AIUD",62,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:04",1195,1191,1,3,0,568,565,0,3,0,555,11,1300,734,283,137,39,43,21,2,30
1,ALBA,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” AIUDUL DE SUS",66,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:08",878,872,1,4,1,373,368,0,4,1,362,11,1000,627,141,100,54,38,9,7,13
1,ALBA,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” AIUDUL DE SUS",67,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:54:46",1115,1107,0,6,2,445,437,0,6,2,404,33,1220,783,144,86,50,72,22,11,19
1,ALBA,"ŞCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",54,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:08:44",967,961,0,5,1,433,427,0,5,1,411,16,1059,632,130,101,58,68,31,5,18
1,ALBA,"ŞCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",55,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:35",505,495,0,9,1,505,495,0,9,1,493,12,1242,737,152,156,37,85,23,8,32
1,ALBA,"ȘCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",53,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:07",1428,1414,1,9,4,663,650,0,9,4,653,10,1600,937,254,165,53,91,32,27,31
1,ALBA,"ȘCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",52,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:32",1319,1309,0,7,3,631,621,0,7,3,618,13,1450,819,247,139,46,94,32,13,47
1,ALBA,"ŞCOALA PRIMARĂ GÎRBOVA DE JOS",72,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:48:51",411,395,1,15,0,174,159,0,15,0,174,0,450,276,48,68,34,1,12,7,4
