precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL PHRALIPE AL ROMILOR-voturi","FLOREA PAUL-VICTOR-voturi","SZABO-BUZATU GABRIEL-voturi","GAVRILĂ-PAVEN IONELA-voturi"
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",10,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:38",1339,1312,4,23,0,541,518,0,23,0,527,14,1400,859,139,77,195,10,37,7,6,27,1,28
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",38,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:19:17",1848,1835,7,6,0,903,897,0,6,0,893,10,1900,997,180,129,384,16,88,10,5,38,7,36
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",40,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:14:22",1335,1321,3,11,0,522,511,0,11,0,505,17,1500,978,99,111,161,22,52,5,4,23,6,22
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",39,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:04",1510,1502,0,8,0,577,569,0,8,0,557,20,1600,1023,124,104,189,24,56,11,2,30,4,13
1,ALBA,"COLEGIUL TEHNIC „APULUM”",13,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:33",965,950,0,15,0,372,357,0,15,0,370,2,1000,628,73,53,154,12,24,6,4,32,1,11
1,ALBA,"COLEGIUL TEHNIC „APULUM”",12,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:53",1115,1101,1,13,0,401,388,0,13,0,388,13,1300,899,105,69,112,15,35,4,4,24,4,16
1,ALBA,"COLEGIUL TEHNIC „APULUM”",14,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:59:53",1080,1066,4,10,0,397,387,0,10,0,388,9,1200,803,101,63,118,7,51,4,2,23,2,17
1,ALBA,"COLEGIUL TEHNIC „DORIN PAVEL”",36,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:39",857,831,4,22,0,364,342,0,22,0,358,6,900,536,84,57,138,10,32,3,1,15,2,16
1,ALBA,"COLEGIUL TEHNIC „DORIN PAVEL” ȘCOALA GENERALĂ NR. 9",35,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:37:43",1474,1445,18,11,0,709,698,0,11,0,663,21,1600,902,159,74,265,10,71,0,1,41,5,37
1,ALBA,"FLORIDA GOLD SRL",42,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:27:07",1266,1256,0,10,0,774,764,0,10,0,754,20,1400,626,155,100,302,15,86,13,3,42,0,38
1,ALBA,"FLORIDA GOLD SRL",41,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:12",1414,1387,21,6,0,723,716,1,6,0,717,6,1500,777,129,91,320,15,75,7,7,38,3,32
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",46,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:50",1269,1261,3,5,0,619,614,0,5,0,593,26,1400,781,126,94,210,23,45,48,3,27,3,14
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",45,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:12",1021,1006,7,3,5,443,435,0,3,5,426,17,1100,657,87,68,165,24,30,26,3,14,0,9
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10",34,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:45:17",1474,1461,7,6,0,577,571,0,6,0,548,22,1600,1023,140,99,203,23,34,5,8,22,3,11
1,ALBA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 10",33,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:45:29",1677,1667,1,9,0,698,689,0,9,0,673,25,1800,1102,137,135,242,32,46,13,15,28,3,22
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5 PARTOŞ",43,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:28",831,824,1,5,1,406,400,0,5,1,397,9,1003,597,65,64,183,7,39,0,4,20,3,12
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL OARDA DE SUS",50,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:24",740,728,5,7,0,348,341,0,7,0,342,6,900,552,69,73,140,9,20,4,3,15,1,8
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 11",19,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:59",1100,1086,2,12,0,399,386,1,12,0,388,11,1300,901,83,71,148,7,32,3,1,21,3,19
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",24,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:55:39",1027,1016,0,11,0,445,434,0,11,0,434,11,1200,755,112,47,173,12,34,5,2,25,3,21
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",25,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:29",1167,1158,0,9,0,571,562,0,9,0,552,19,1300,729,136,90,204,8,44,6,1,18,8,37
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",37,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:01",1570,1564,1,5,0,638,632,1,5,0,631,7,1700,1062,130,83,253,21,70,11,3,30,5,25
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",15,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:36:37",1263,1250,3,10,0,473,463,0,10,0,462,11,1400,927,90,94,150,23,46,5,5,35,2,12
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",21,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:08",1012,1005,4,3,0,444,440,1,3,0,437,7,1200,756,105,56,182,10,38,9,5,19,1,12
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",20,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:07:36",997,984,3,10,0,451,440,1,10,0,446,5,1100,649,108,68,163,9,46,5,5,23,0,19
1,ALBA,"LICEUL CU PROGRAM SPORTIV",28,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:27",1398,1382,5,11,0,636,625,0,11,0,622,14,1500,864,160,75,235,7,73,8,2,33,6,23
1,ALBA,"LICEUL CU PROGRAM SPORTIV",26,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:59",1316,1301,2,13,0,584,571,0,13,0,566,18,1400,816,136,81,212,10,47,7,2,32,4,35
1,ALBA,"LICEUL CU PROGRAM SPORTIV",27,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:57:39",1301,1293,0,8,0,601,593,0,8,0,576,17,1400,803,145,100,203,9,50,12,2,28,5,22
1,ALBA,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:37",968,954,1,13,0,398,385,0,13,0,386,12,1100,702,85,61,157,4,40,2,1,12,1,23
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",4,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:08:45",1247,1240,0,6,1,636,629,0,6,1,616,19,1400,765,132,76,256,14,44,9,3,48,3,31
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",5,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:36",959,945,5,9,0,469,460,0,9,0,460,9,1100,631,85,80,176,12,46,4,1,31,1,24
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",18,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:59:40",810,801,1,7,1,366,358,0,7,1,355,11,900,534,72,65,132,13,24,7,0,18,4,20
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",17,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:51:28",840,827,3,10,0,359,349,0,10,0,343,16,900,541,69,54,135,12,36,8,0,15,2,12
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI",48,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:59:23",1472,1459,1,11,1,778,766,0,11,1,763,14,1600,823,139,92,341,22,76,8,5,26,2,52
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI - SALA DE SPORT",47,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:33",1220,1207,7,6,0,648,642,0,6,0,632,16,1400,752,105,83,276,11,81,7,1,25,3,40
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",22,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:37:15",1171,1153,5,13,0,529,516,0,13,0,513,16,1201,672,122,90,179,17,47,6,4,28,6,14
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",23,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:00:25",1645,1632,9,4,0,737,733,0,4,0,714,23,1800,1063,149,116,276,15,62,11,4,39,2,40
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",2,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:39:54",1001,991,4,6,0,430,424,0,6,0,428,0,1101,658,91,47,189,10,35,7,2,21,2,24
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",3,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:35:55",1305,1299,0,5,1,601,595,0,5,1,586,15,1600,999,122,72,233,18,53,12,2,45,3,26
1,ALBA,"ŞCOALA PRIMARĂ PÂCLIŞA",51,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:07",844,839,0,5,0,355,350,0,5,0,345,10,947,592,72,72,118,17,15,6,4,31,1,9
1,ALBA,"SEMINARUL TEOLOGIC ORTODOX „SFÂNTUL SIMION ŞTEFAN”",16,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:35:41",1327,1287,5,13,22,549,514,0,13,22,540,9,1400,850,122,88,212,19,50,6,1,25,5,12
1,ALBA,"STADION MUNICIPAL „CETATE”",32,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:19:42",1322,1311,2,9,0,626,617,0,9,0,593,20,1500,884,135,78,225,9,60,7,0,40,5,34
