precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 5",33,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:08:42",1098,1086,4,8,0,488,480,0,8,0,477,11,1200,712,275,25,55,63,10,41,1,7
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 5",34,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:45:35",1243,1235,0,7,1,556,548,0,7,1,540,16,1300,744,343,20,42,56,10,51,1,17
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",28,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:38:25",1277,1263,2,10,2,426,414,0,10,2,417,9,1400,974,238,21,41,51,14,34,2,16
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",27,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:53:31",1240,1231,2,6,1,468,461,0,6,1,451,17,1400,932,276,28,28,68,10,28,2,11
32,"SATU MARE","GRĂDINIŢA NR.15",51,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 12:41:50",1604,1586,11,3,4,851,844,0,3,4,822,29,1800,949,560,34,57,92,19,50,2,8
32,"SATU MARE","LICEUL CU PROGRAM SPORTIV",58,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 12:50:53",1201,1178,3,13,7,611,591,0,13,7,595,16,1312,701,373,19,72,61,15,48,0,7
32,"SATU MARE","LICEUL REFORMAT ( LICEUL TEOLOGIC REFORMAT)",63,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:27:31",975,926,18,18,13,510,490,0,7,13,497,13,1100,590,336,20,34,52,14,36,2,3
32,"SATU MARE","LICEUL TEHNOLOGIC ” CONSTANTIN BRÂNCUȘ ” (GRUP SCOLAR ”CONSTANTIN BRANCUS ” SATU MARE)",57,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:51",1340,1303,6,14,17,648,623,1,9,15,638,10,1400,752,312,37,101,81,20,70,2,15
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",41,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:39",1310,1300,2,6,2,564,557,0,6,1,554,10,1400,836,305,33,50,89,11,57,3,6
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",42,"MUNICIPIUL SATU MARE",136483,5,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:27:05",1314,1310,0,4,0,595,591,0,4,0,584,11,1400,805,316,32,59,104,17,46,3,7
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",43,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:05",1225,1211,1,12,1,543,530,0,12,1,531,12,1300,757,295,31,53,68,8,60,3,13
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",44,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:34:25",1599,1589,0,8,2,721,713,0,6,2,711,10,1800,1079,357,44,103,84,20,76,8,19
32,"SATU MARE","LICEUL TEHNOLOGIC IND. ALIM ” GEORGE EMIL PALADE ”. ( GRUPUL ŞCOLAR DE IND. ALIMENTARĂ ”GEORGE EMIL PALADE” )",45,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:35",1296,1286,4,5,1,562,556,0,5,1,555,7,1400,838,295,34,62,78,13,59,2,12
32,"SATU MARE","LICEUL TEOLOGIC”NICOLAE STEINHARDT ”",53,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:32:41",1476,1457,1,6,12,672,654,0,6,12,646,26,1600,928,402,36,44,91,12,47,2,12
32,"SATU MARE","LICEUL TEOLOGIC”NICOLAE STEINHARDT ”",52,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:24",1463,1453,3,5,2,511,503,1,5,2,491,20,1601,1090,293,28,51,58,12,40,1,8
32,"SATU MARE","LICEUL TEOLOGIC ROMANO-CATOLIC ” HÁM JÁNOS ”",62,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:09",813,785,8,16,4,327,311,1,11,4,319,8,1001,674,173,15,40,47,17,18,3,6
32,"SATU MARE","LICEUL TEORETIC GERMAN ” JOHANN ETTINGER ”",21,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:31:17",1742,1736,0,6,0,740,734,0,6,0,727,13,1900,1160,348,47,111,107,19,77,0,18
32,"SATU MARE","ŞC. CU CLS.I-VIII NR. 9",20,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:05:48",1241,1233,0,5,3,528,521,0,5,2,521,7,1293,765,162,41,96,128,20,60,1,13
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” ( ŞC. CU CLS.I-VIII ” AVRAM IANCU ”)",36,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:14:54",1102,1082,0,19,1,493,482,0,10,1,489,4,1200,707,248,38,58,78,24,38,2,3
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",38,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:13:31",1375,1363,6,3,3,615,609,0,3,3,608,7,1500,885,353,35,65,89,14,38,4,10
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",37,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:23",1271,1263,0,5,3,582,574,0,5,3,571,11,1400,818,318,28,45,96,14,60,4,6
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",39,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:59:48",1225,1214,0,8,3,530,519,0,8,3,526,4,1300,770,273,26,52,99,12,59,1,4
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”) (GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICELUL”)",40,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:23",1243,1235,1,6,1,541,534,0,6,1,533,8,1400,859,298,33,47,68,16,61,2,8
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”) (GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICELUL” CORP ” B ”)",35,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:20:55",1127,1120,0,6,1,449,442,0,6,1,441,8,1198,749,244,21,58,61,14,36,0,7
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",29,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:53",1327,1315,1,7,4,591,580,0,7,4,579,12,1500,909,307,37,65,81,12,60,2,15
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",31,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:31",1318,1278,0,5,35,514,474,0,5,35,501,13,1400,886,306,34,58,60,6,23,3,11
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",30,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:11",1734,1720,0,5,9,749,735,0,5,9,737,12,2000,1251,454,35,59,90,23,66,1,9
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” CONSTANTIN BRÂNCOVEANU ”",68,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 13:34:34",1430,1400,14,11,5,644,628,0,11,5,630,14,1604,960,312,40,68,110,24,63,1,12
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” DR. VASILE LUCACIU ” ( SC. CU CL. I-VIII ”DR. V. LUCACIU” )",50,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:39",955,937,3,7,8,524,509,0,7,8,517,7,1000,476,319,28,56,59,18,31,2,4
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” DR. VASILE LUCACIU ” ( SC. CU CL. I-VIII ”DR. V. LUCACIU” )",49,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:55:43",1159,1143,2,10,4,568,553,1,10,4,559,9,1300,732,367,20,35,80,21,28,2,6
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” GRIGORE MOISIL ” (ŞC. CU CLS.I-VIII” GRIGORE MOISIL ”)",59,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:46:30",1127,1080,6,10,31,584,543,0,10,31,567,17,1204,620,350,32,61,62,20,36,3,3
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” GRIGORE MOISIL ” (ŞC. CU CLS.I-VIII” GRIGORE MOISIL ”)",60,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 15:43:10",946,915,7,17,7,440,416,0,17,7,425,15,1000,560,216,24,65,61,14,40,2,3
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” ION CREANGĂ ”(ŞC. CU CLS.I-VIII” ION CREANGĂ ”)",6,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:54",1181,1171,1,6,3,562,553,0,6,3,556,6,1300,738,262,36,87,93,14,50,2,12
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” ION CREANGĂ ”(ŞC. CU CLS.I-VIII” ION CREANGĂ ”)",5,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:53:12",1133,1125,2,5,1,543,535,2,5,1,527,16,1300,757,225,33,102,98,10,48,3,8
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” ION CREANGĂ ”(ŞC. CU CLS.I-VIII” ION CREANGĂ ”)",7,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:57:01",1503,1462,5,7,29,756,735,0,7,14,735,21,1600,844,361,35,136,97,22,63,1,20
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” ION CREANGĂ ”(ŞC. CU CLS.I-VIII” ION CREANGĂ ”)",4,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:28",1294,1281,6,7,0,558,551,0,7,0,553,5,1500,942,251,25,97,85,20,63,3,9
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” LUCIAN BLAGA ” (ŞC. CU CLS.I-VIII ” LUCIAN BLAGA ”)",8,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:55",1258,1253,1,4,0,545,541,0,4,0,539,6,1400,855,207,35,111,105,11,58,6,6
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” LUCIAN BLAGA ” (ŞC. CU CLS.I-VIII ” LUCIAN BLAGA ”)",9,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:02",1180,1175,0,4,1,539,535,0,3,1,530,9,1300,761,269,24,90,82,18,34,3,10
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” LUCIAN BLAGA ” (ŞC. CU CLS.I-VIII ” LUCIAN BLAGA ”)",10,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:26:53",1120,1106,6,8,0,518,510,0,8,0,506,12,1200,682,226,30,91,89,11,54,0,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” LUCIAN BLAGA ” (ŞC. CU CLS.I-VIII ” LUCIAN BLAGA ”)",11,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:11:26",1230,1227,0,3,0,546,543,0,3,0,532,14,1400,854,252,29,114,77,12,40,1,7
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” MIRCEA ELIADE ” ( ŞC. CU CLS.I-VIII” MIRCEA ELIADE ”)",24,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:26",1573,1558,1,7,7,665,650,1,7,7,645,20,1700,1035,404,28,46,67,19,67,2,12
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” MIRCEA ELIADE ” ( ŞC. CU CLS.I-VIII” MIRCEA ELIADE ”)",25,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:48:30",1306,1292,0,11,3,421,407,0,11,3,411,10,1400,979,266,34,31,33,4,29,2,12
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” MIRCEA ELIADE ” ( ŞC. CU CLS.I-VIII” MIRCEA ELIADE ”)",23,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:55",1308,1292,3,8,5,533,520,0,8,5,520,13,1400,867,322,31,48,57,18,32,2,10
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” MIRCEA ELIADE ” ( ŞC. CU CLS.I-VIII” MIRCEA ELIADE ”)",26,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:19",1108,1097,3,7,1,479,471,0,7,1,473,6,1200,721,271,28,50,72,10,34,2,6
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” OCTAVIAN GOGA ” (ŞC. CU CLS.I-VIII” OCTAVIAN GOGA ”)",15,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:05",1383,1374,2,4,3,585,578,0,4,3,574,11,1500,915,251,43,74,101,17,78,1,9
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” OCTAVIAN GOGA ” (ŞC. CU CLS.I-VIII” OCTAVIAN GOGA ”)",14,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:32",1322,1312,3,5,2,575,568,0,5,2,563,12,1400,825,234,28,94,87,20,84,4,12
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” OCTAVIAN GOGA ” (ŞC. CU CLS.I-VIII” OCTAVIAN GOGA ”)",12,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:54:28",1185,1173,2,6,4,495,488,0,3,4,493,2,1300,805,319,31,46,54,13,28,0,2
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” OCTAVIAN GOGA ” (ŞC. CU CLS.I-VIII” OCTAVIAN GOGA ”)",13,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:15",1121,1118,0,3,0,470,467,0,3,0,450,20,1200,730,209,40,65,70,8,42,2,14
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” RÁKÓCZI FERENC ”",66,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:24:54",1218,1179,1,22,16,656,618,0,22,16,645,11,1400,744,527,26,21,21,19,30,1,0
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” RÁKÓCZI FERENC ”",67,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:53",1595,1565,8,11,11,841,819,0,11,11,832,9,1800,959,636,18,43,53,19,53,1,9
32,"SATU MARE","ȘCOALA GIMNAZIALĂ - SĂTMĂREL ( ŞC. CU CLS.I-VIII - SĂTMĂREL)",74,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:49:46",1199,1197,1,1,0,565,564,0,1,0,535,30,1398,833,121,29,74,281,15,6,1,8
32,"SATU MARE","SECŢIA DE DRUMURI NAŢIONALE",47,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:04:11",1708,1650,14,9,35,940,895,1,9,35,920,20,1900,960,559,29,99,124,29,64,3,13
32,"SATU MARE","UNIVERSITATEA TEHNICĂ CLUJ NAPOCA - FILIALA SATU MARE (GRĂDINIŢA CU PROGRAM NORMAL NR.21)",18,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:53:00",1749,1737,7,2,3,791,786,0,2,3,777,14,2000,1209,353,56,120,120,19,87,11,11
32,"SATU MARE","UNIVERSITATEA TEHNICĂ CLUJ NAPOCA - FILIALA SATU MARE (GRĂDINIŢA CU PROGRAM NORMAL NR.21)",19,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 15:26:48",1529,1516,2,8,3,678,667,0,8,3,660,18,1700,1022,302,71,86,90,20,72,1,18
