precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPOVICI IONUŢ-MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","GAIŢA BOGDAN-ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPA IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ROTARU ANDREI-GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PAVEL EMANUEL-IOSIF-PARTIDUL S.O.S. ROMÂNIA-voturi","ROGIN TUDOR-BOGDAN-voturi"
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC REȘIȚA",27,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:43",1130,1124,2,4,0,378,374,0,4,0,367,11,1244,866,58,14,258,18,13,6
11,CARAŞ-SEVERIN,"DIRECȚIA SANITARĂ VETERINARĂ ȘI PENTRU SIGURANȚA ALIMENTELOR CARAȘ-SEVERIN",30,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:02",668,657,1,10,0,176,166,0,10,0,170,6,728,552,22,8,125,8,4,3
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL ”DEGEȚICA”",31,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:20",990,975,2,11,2,325,312,0,11,2,315,10,1127,802,52,24,218,7,10,4
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL DOMAN",67,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:18:29",575,569,1,5,0,156,151,0,5,0,149,7,628,472,20,14,108,2,5,0
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM PRELUNGIT „DUMBRAVA MINUNATĂ”, REȘIȚA",39,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:18",1282,1275,0,7,0,462,455,0,7,0,452,10,1405,943,59,23,344,11,8,7
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM PRELUNGIT „DUMBRAVA MINUNATĂ”, REȘIȚA",40,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:35:30",989,978,2,9,0,325,316,0,9,0,323,2,1079,754,41,14,239,16,8,5
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM PRELUNGIT „DUMBRAVA MINUNATĂ”, REȘIȚA",38,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:31",1232,1220,4,8,0,379,371,0,8,0,369,10,1349,970,50,33,261,14,4,7
11,CARAŞ-SEVERIN,"LICEUL DE ARTE ”SABIN PĂUȚA”",57,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:19",906,893,0,8,5,291,278,0,8,5,279,12,985,694,32,26,195,12,6,8
11,CARAŞ-SEVERIN,"LICEUL DE ARTE ”SABIN PĂUȚA”",58,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:25",1121,1111,3,3,4,388,381,0,3,4,383,5,1230,398,46,22,292,12,5,6
11,CARAŞ-SEVERIN,"LICEUL DE ARTE „SABIN PĂUȚA”, REȘIȚA-SALA DE SPORT",59,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:44",1250,1248,0,2,0,465,463,0,2,0,463,2,1377,912,60,16,361,14,6,6
11,CARAŞ-SEVERIN,"LICEUL DE ARTE „SABIN PĂUȚA”, REȘIȚA-SALA DE SPORT",60,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:10",1018,1010,0,8,0,395,387,0,8,0,387,8,1114,719,50,20,295,11,7,4
11,CARAŞ-SEVERIN,"LICEUL TEOLOGIC BAPTIST",47,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:55",995,988,0,6,1,353,346,0,6,1,349,4,1091,738,51,22,258,8,5,5
11,CARAŞ-SEVERIN,"LICEUL TEOLOGIC BAPTIST",48,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:25:38",803,794,0,9,0,244,235,0,9,0,234,10,877,633,30,10,179,4,6,5
11,CARAŞ-SEVERIN,"LICEUL TEOLOGIC BAPTIST",45,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:36",1259,1251,0,7,1,436,428,0,7,1,427,9,1381,945,52,23,325,14,8,5
11,CARAŞ-SEVERIN,"LICEUL TEOLOGIC BAPTIST",46,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:52",1093,1086,2,5,0,376,371,0,5,0,369,7,1199,823,46,21,269,11,16,6
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”DIACONOVICI TIETZ” - ȘCOALA CU CLS I-IV",68,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:20:35",408,401,0,7,0,88,81,0,7,0,85,3,441,353,20,12,44,2,5,2
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",36,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:12",975,970,1,4,0,313,309,0,4,0,310,3,1067,754,40,10,243,9,6,2
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",33,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:02",883,876,1,6,0,236,230,0,6,0,224,12,967,731,37,17,145,14,6,5
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",32,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:08",1188,1180,1,7,0,262,255,0,7,0,253,9,1310,1048,40,25,167,3,12,6
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",37,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:40",821,814,0,7,0,171,164,0,7,0,156,15,910,739,17,14,101,17,4,3
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",35,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:30",1028,1019,3,6,0,340,334,0,6,0,334,6,1123,783,45,21,249,7,4,8
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",34,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:39",1322,1315,0,7,0,392,385,0,7,0,375,17,1449,1057,47,15,269,19,17,8
11,CARAŞ-SEVERIN,"OCOLUL SILVIC ”BANATUL MONTAN” REGIE AUTONOMĂ",3,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:58",1055,1045,0,10,0,293,283,0,10,0,279,14,1153,860,44,23,188,12,7,5
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ „MARIUS ȘANDRU”, REȘIȚA",13,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:17",934,930,0,4,0,362,358,0,4,0,354,8,1026,664,37,20,261,23,6,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ ”MIHAI PEIA”",25,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:32:01",730,730,0,0,0,259,259,0,0,0,258,1,804,545,34,6,205,4,2,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ ”MIHAI PEIA”",26,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:31:44",862,847,2,9,4,295,282,0,9,4,283,12,959,664,33,16,197,17,11,9
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ ”MIHAI PEIA”",24,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:32",837,823,2,11,1,344,332,0,11,1,322,10,908,576,40,14,236,22,6,4
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 12",63,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:01:07",1048,1044,0,4,0,306,302,0,4,0,301,5,1148,842,40,23,224,5,6,3
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 12",62,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:48",1205,1199,0,6,0,427,421,0,6,0,418,9,1329,902,51,16,329,9,7,6
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 12",61,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:43",1146,1124,1,8,13,408,387,0,8,13,402,6,1241,833,55,15,305,11,9,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 12",64,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:38",931,925,0,6,0,319,313,0,6,0,310,9,1024,705,61,32,202,8,1,6
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 (BETON)",4,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:40",598,588,3,7,0,210,203,0,7,0,207,3,651,441,27,14,148,8,5,5
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 (BETON)",5,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:10",1010,1004,1,5,0,295,290,0,5,0,288,7,1112,817,44,27,197,15,3,2
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 (CASA MUNCITOREASCĂ)",7,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:00:02",997,988,2,7,0,213,206,0,7,0,197,16,1094,881,34,20,123,14,2,4
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 (CASA MUNCITOREASCĂ)",6,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:31",1387,1383,0,4,0,453,449,0,4,0,444,9,1528,1075,69,31,307,15,10,12
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2",12,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:27:51",1110,1104,1,4,1,458,453,0,4,1,445,8,1220,762,62,14,350,11,1,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2",11,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:52",1177,1156,5,6,10,480,464,0,6,10,468,12,1281,801,88,20,338,13,4,5
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2",10,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:35",1045,1033,8,4,0,361,356,1,4,0,340,21,1141,780,54,25,235,12,6,8
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 5",1,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:44:13",1262,1229,1,26,6,395,363,0,26,6,343,20,1356,993,63,21,229,13,4,13
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR.5",2,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:59:26",553,544,1,8,0,167,159,0,8,0,164,3,620,453,40,7,103,5,5,4
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 7,CORP A",52,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:49",972,963,2,7,0,308,301,0,7,0,305,3,1064,756,46,15,226,12,5,1
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 7,CORP A",49,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:48",1224,1216,0,8,0,433,425,0,8,0,426,7,1351,918,55,27,322,12,5,5
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 7,CORP A",50,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:56",1026,1020,0,6,0,290,284,0,6,0,287,3,1132,842,37,10,225,5,7,3
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 7,CORP A",51,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:20:09",1359,1353,1,5,0,512,507,0,5,0,504,8,1492,980,62,28,374,20,9,11
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 8 - ȘCOALA PRIMARĂ ȚEROVA",69,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:31",450,445,0,5,0,170,165,0,5,0,161,9,491,321,31,16,93,14,6,1
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 9",54,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:09:04",1290,1282,0,8,0,408,400,0,8,0,400,8,1423,1015,59,15,301,9,9,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 9",55,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:30",1148,1141,1,6,0,405,399,0,6,0,390,9,1255,856,35,15,318,10,6,6
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 9",53,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:09:58",1034,1026,0,8,0,287,279,0,8,0,283,4,1134,847,44,16,205,7,5,6
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 9",56,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:57",1276,1271,0,4,1,383,378,0,4,1,372,11,1470,1087,58,20,276,9,3,6
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ DEALU MARE",9,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 16:06:45",794,784,4,5,1,215,209,0,5,1,202,13,887,672,37,14,130,11,8,2
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ DEALU MARE",8,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:34",679,675,0,4,0,187,183,0,4,0,179,8,1167,980,39,18,104,7,11,0
11,CARAŞ-SEVERIN,"UNIVERSITATEA ”EFTIMIE MURGU”",19,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:22",1035,1018,7,10,0,373,363,0,10,0,365,8,1127,754,60,11,274,11,3,6
11,CARAŞ-SEVERIN,"UNIVERSITATEA ”EFTIMIE MURGU”",18,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:16",532,516,1,9,6,202,187,0,9,6,194,8,571,369,41,4,128,10,7,4
11,CARAŞ-SEVERIN,"UNIVERSITATEA EFTIMIE MURGU - CAMPUSUL CAFE",17,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:35:05",1022,1014,0,8,0,309,301,0,8,0,306,3,1119,810,47,21,217,10,3,8
