precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi"
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",335,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:48:09",1129,1101,19,8,1,481,470,2,8,1,456,25,1203,722,183,42,22,2,146,25,32,4
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",334,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:13:28",1160,1147,1,12,0,598,585,1,12,0,582,16,1300,702,162,61,28,4,263,19,45,0
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",317,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:24:06",1362,1337,13,11,1,647,635,0,11,1,634,13,1500,851,205,69,19,6,264,13,53,5
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",318,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:25:48",1083,1048,20,13,2,551,537,0,12,2,523,28,1200,649,171,43,18,4,197,26,59,5
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",319,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 16:39:17",1727,1700,10,12,5,749,731,1,12,5,734,15,1700,949,298,70,15,11,250,31,54,5
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",304,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:54:22",641,638,0,3,0,641,638,0,3,0,621,16,1500,861,257,57,13,4,237,16,31,6
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",306,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:53:22",1512,1484,20,8,0,634,626,0,8,0,619,15,1600,966,231,42,21,4,243,28,46,4
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",305,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:47:24",1291,1253,19,19,0,537,518,0,19,0,524,13,1600,1061,187,51,27,3,190,25,35,6
45,"Sector 2","COLEGIUL NAŢIONAL ”MIHAI VITEAZUL”",360,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 14:51:56",1421,1385,25,10,1,619,608,0,10,1,590,29,1500,881,201,54,23,6,221,31,48,6
45,"Sector 2","COLEGIUL NAŢIONAL ”MIHAI VITEAZUL”",359,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 20:15:40",1593,1557,21,15,0,718,702,1,15,0,700,18,1700,982,195,83,18,5,295,28,71,5
45,"Sector 2","COLEGIUL NAŢIONAL ”SPIRU HARET”",331,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 14:06:31",1138,1098,35,3,2,465,460,0,3,2,452,11,1200,737,129,42,12,7,176,16,66,4
45,"Sector 2","COLEGIUL NAŢIONAL ”SPIRU HARET”",332,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 10:04:27",1124,1100,19,5,0,503,497,1,5,0,481,13,1200,706,167,44,9,7,182,23,46,3
45,"Sector 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",232,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:55:05",1681,1655,18,3,5,652,644,0,3,5,640,12,1792,1140,261,66,46,9,175,38,36,9
45,"Sector 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",231,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:17:13",1761,1720,30,4,7,688,677,0,4,7,674,14,1900,1212,280,54,33,7,200,30,30,40
45,"Sector 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",234,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 23:56:11",2150,2114,25,11,0,743,732,0,11,0,726,17,2300,1552,273,61,50,4,251,50,32,5
45,"Sector 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",233,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 23:27:25",1997,1977,9,11,0,863,851,1,11,0,838,22,2100,1240,331,91,34,6,275,48,44,9
45,"Sector 2","COLEGUL TEHNIC ”DIMITRIE LEONIDA”",280,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:28:56",1279,1275,2,2,0,621,619,0,2,0,605,16,1600,979,260,60,21,7,191,21,36,9
45,"Sector 2","COLEGUL TEHNIC ”DIMITRIE LEONIDA”",279,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:15:00",1018,1004,8,5,1,465,464,0,0,1,453,12,1200,735,161,28,16,5,168,26,43,6
45,"Sector 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",316,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:41:45",1177,1167,0,9,1,579,569,0,9,1,571,8,1300,721,183,51,15,3,259,15,41,4
45,"Sector 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",313,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:46:53",1316,1301,9,6,0,597,591,0,6,0,574,23,1600,1003,192,37,21,7,248,19,49,1
45,"Sector 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",315,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:07:44",1236,1213,18,5,0,561,556,0,5,0,550,11,1601,1040,210,54,14,4,195,23,42,8
45,"Sector 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",314,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:06:15",1481,1456,15,10,0,742,732,0,10,0,702,35,1599,862,253,67,25,9,244,35,62,7
45,"Sector 2","GRĂDINIŢA LUMINIȚA (FOSTA GRADINITA NR. 16)",321,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:50:53",1156,1135,12,8,1,585,576,0,8,1,569,16,1200,615,208,51,16,1,217,16,56,4
45,"Sector 2","GRĂDINIŢA LUMINIȚA (FOSTA GRADINITA NR. 16)",320,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:41:44",1173,1151,9,13,0,527,514,0,13,0,513,14,1300,773,197,27,15,5,212,17,33,7
45,"Sector 2","GRADINIŢA NR. 189",278,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:15:36",947,943,1,3,0,416,413,0,3,0,402,14,1100,684,168,30,24,12,133,15,18,2
45,"Sector 2","GRADINIŢA NR. 189",277,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:10:40",960,949,2,9,0,421,412,0,9,0,410,11,1100,679,165,37,23,7,125,14,35,4
45,"Sector 2","GRĂDINIŢA NR. 233",208,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:49:41",1358,1317,32,9,0,574,565,0,9,0,565,9,1600,1026,222,59,17,5,204,21,29,8
45,"Sector 2","GRĂDINIŢA NR. 233",209,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 20:44:22",1219,1203,15,0,1,571,570,0,0,1,554,14,1300,732,207,47,20,2,206,15,53,4
45,"Sector 2","GRĂDINIŢA NR. 256",322,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:26:02",1469,1437,25,7,0,742,735,0,7,0,727,15,1600,858,237,64,0,12,305,23,79,7
45,"Sector 2","GRADINIŢA NR. 280",259,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:36:13",1256,1248,0,8,0,513,505,0,8,0,496,17,1400,887,202,38,15,7,173,14,41,6
45,"Sector 2","GRADINIŢA NR. 280",260,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:39:52",2082,2071,0,11,0,885,874,0,11,0,860,25,2200,1315,318,47,35,10,331,33,72,14
45,"Sector 2","LICEUL TEHNOLOGIC CONSTANTIN BRÂNCUŞI",195,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 18:33:20",2359,2065,263,31,0,922,891,0,31,0,878,10,2200,1312,203,47,26,5,467,34,91,5
45,"Sector 2","LICEUL TEHNOLOGIC ELECTRONICA INDUSTRIALĂ",301,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:00:59",1473,1452,10,11,0,646,634,1,11,0,628,17,1600,955,241,69,23,7,227,20,35,6
45,"Sector 2","LICEUL TEHNOLOGIC ELECTRONICA INDUSTRIALĂ",302,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:56:04",1458,1421,28,9,0,609,599,1,9,0,600,9,1600,991,258,59,19,5,190,28,36,5
45,"Sector 2","LICEUL TEHNOLOGIC ELECTRONICA INDUSTRIALĂ",303,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 21:59:54",1216,1169,33,13,1,554,540,0,13,1,539,15,1300,746,248,47,18,1,182,12,28,3
45,"Sector 2","LICEUL TEHNOLOGIC ”I.C. BRĂTIANU” (FOST LICEUL TEHNOLOGIC MECANICĂ FINĂ)",309,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:30:12",1040,1022,0,18,0,457,439,0,18,0,442,15,1200,743,145,47,13,8,168,13,39,9
45,"Sector 2","LICEUL TEHNOLOGIC ”I.C. BRĂTIANU” (FOST LICEUL TEHNOLOGIC MECANICĂ FINĂ)",308,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:17:29",1139,1082,48,9,0,490,481,0,9,0,479,11,1200,710,183,22,16,3,182,20,47,6
45,"Sector 2","LICEUL TEHNOLOGIC ”I.C. BRĂTIANU” (FOST LICEUL TEHNOLOGIC MECANICĂ FINĂ)",307,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 19:13:07",1387,1362,9,16,0,681,665,0,16,0,671,10,1500,819,211,47,14,4,316,26,51,2
45,"Sector 2","LICEUL TEHNOLOGIC ”I.C. BRĂTIANU” (FOST LICEUL TEHNOLOGIC MECANICĂ FINĂ)",310,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 21:00:20",1583,1574,0,9,0,712,703,0,9,0,693,17,1700,988,271,59,16,5,251,25,60,6
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",253,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 20:41:26",1239,1220,16,3,0,578,575,0,3,0,564,13,1300,723,200,42,12,4,232,19,51,4
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",254,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:55:08",1232,1227,2,3,0,559,556,0,3,0,545,14,1400,841,212,50,29,8,175,21,43,7
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",255,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 14:41:08",1499,1484,8,6,1,631,624,0,6,1,620,11,1600,969,229,41,16,8,233,27,59,7
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",252,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:11:01",1782,1768,5,8,1,822,813,0,8,1,800,18,2000,1182,313,86,31,8,267,28,60,7
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",173,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:13:39",973,946,13,14,0,445,430,1,14,0,428,17,1100,655,147,27,21,5,171,20,34,3
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",174,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 20:07:16",1855,1792,55,7,1,802,795,0,7,0,786,16,1900,1098,260,64,26,3,332,23,74,4
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",175,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:30:08",1500,1474,22,4,0,666,662,0,4,0,650,16,1600,934,225,45,20,3,285,18,50,4
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",267,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 11:00:05",1554,1539,9,6,0,596,590,0,6,0,574,22,1700,1104,226,68,48,7,149,50,20,6
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",270,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:37:27",1743,1737,0,6,0,571,565,0,6,0,551,20,1900,1329,267,46,53,7,112,32,25,9
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",269,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-11 14:40:05",1684,1672,5,6,1,727,720,0,6,1,692,25,2000,1280,315,76,45,4,157,53,29,13
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",268,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 10:02:30",1586,1579,1,6,0,443,437,0,6,0,426,17,1700,1255,187,54,62,10,48,38,23,4
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",271,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:24:54",1686,1672,5,8,1,626,617,0,8,1,591,35,2000,1374,229,85,38,6,155,31,38,9
45,"Sector 2","LICEUL TEORETIC ”TRAIAN”",176,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 14:16:38",1826,1793,20,12,1,869,854,2,12,1,826,30,1902,1046,297,60,17,9,338,32,67,6
45,"Sector 2","LICEUL TEORETIC ”TRAIAN”",178,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:36:03",1792,1769,11,12,0,775,763,0,12,0,741,34,1900,1125,262,69,27,5,279,47,48,4
45,"Sector 2","LICEUL TEORETIC ”TRAIAN”",177,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:06:11",1769,1746,13,10,0,816,806,0,10,0,805,11,1900,1084,300,67,17,4,301,35,75,6
45,"Sector 2","LICEUL TEORETIC ”TRAIAN”",179,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:07:25",1837,1790,30,16,1,887,870,0,16,1,840,18,1900,1042,290,78,21,9,351,30,53,8
45,"Sector 2","LICEUL TEORETIC ”WALDORF” - GRADINIȚA NR. 113",368,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:55:58",1853,1822,28,3,0,752,749,0,3,0,733,19,2306,1554,241,62,32,6,304,17,60,11
45,"Sector 2","LICEUL TEORETIC ”WALDORF” - GRADINIȚA NR. 113",367,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:02:50",1279,1259,12,8,0,542,534,0,8,0,522,20,1600,1058,181,53,16,0,206,18,41,7
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",299,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 21:41:19",1829,1797,26,6,0,684,678,0,6,0,664,20,1898,1212,251,76,34,7,213,40,39,4
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",300,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:47:21",1332,1329,0,3,0,426,423,0,3,0,408,18,1600,1174,172,51,29,5,114,13,20,4
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",298,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:16:25",1117,1111,1,5,0,480,475,0,5,0,466,14,1280,800,171,31,50,8,148,24,30,4
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",297,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:15:22",1287,1263,17,7,0,571,564,0,7,0,547,24,1600,1029,200,66,23,7,191,17,38,5
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",296,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:51:30",1427,1403,15,9,0,605,595,1,9,0,592,11,1600,997,239,60,33,0,184,35,41,0
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",206,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:32:00",1368,1339,20,8,1,544,534,1,8,1,521,23,1600,1056,218,49,27,4,151,30,37,5
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",201,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:29:54",1681,1653,17,11,0,774,763,0,11,0,764,10,1800,1026,343,49,28,6,245,21,59,13
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",203,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-13 05:06:23",1812,1801,0,11,0,755,744,0,11,0,736,19,2000,1245,307,83,35,8,229,35,33,6
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",207,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:48:44",1558,1543,11,4,0,535,531,0,4,0,520,15,1700,1165,244,74,33,8,120,18,18,5
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",204,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:06:34",1706,1680,16,10,0,688,678,0,10,0,670,18,1900,1212,293,67,44,11,170,34,42,9
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",205,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:18:58",1599,1551,38,10,0,690,680,0,10,0,673,17,1700,1010,267,58,27,12,233,19,53,4
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",202,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:25:43",1482,1448,19,15,0,659,644,0,15,0,635,15,1600,935,282,54,20,6,221,13,33,6
45,"Sector 2","ȘCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ŞCOALA NR. 26)",341,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 10:09:04",1117,1105,9,3,0,442,439,0,3,0,429,12,1198,757,171,33,17,2,166,19,17,4
45,"Sector 2","ȘCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ŞCOALA NR. 26)",342,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:20:31",1252,1241,0,11,0,584,573,0,11,0,569,15,1600,1016,212,38,14,5,243,18,36,3
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",357,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:06:27",1443,1426,8,9,0,694,685,0,9,0,680,14,1600,906,242,56,17,5,283,17,56,4
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",356,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:05:32",1398,1356,29,13,0,664,651,0,13,0,649,15,1500,836,247,51,16,5,261,13,52,4
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",358,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:02:45",1691,1649,32,10,0,738,727,1,10,0,714,24,2000,1262,283,71,26,10,231,35,49,9
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",172,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:49:58",909,886,15,6,2,402,393,1,6,2,393,9,1000,598,125,22,12,3,182,10,38,1
