precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGOIŢĂ ROBERT SORIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","NIŢĂ ALEXANDRU-MARCO-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEGRILĂ VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE DANIEL-PAUL-ROMEO-PARTIDUL S.O.S. ROMÂNIA-voturi","JUDELE ŞTEFAN-LUCIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CICEALĂ ANA-MARIA-voturi"
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIȚESCU”;",549,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 02:36:43",1632,1626,0,6,0,21,15,0,6,0,21,0,1800,1779,12,2,3,0,1,3
46,"Sector 3","COLEGIUL TEHNIC ”COSTIN D. NENIȚESCU”;",550,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:05:18",1890,1862,18,10,0,345,334,1,10,0,344,1,2041,1696,202,11,2,3,70,56
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",426,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:45:04",1085,1075,6,4,0,514,510,0,4,0,505,9,1194,680,266,21,8,9,113,88
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",431,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:56:35",1059,1041,7,7,4,437,426,0,7,4,431,6,1152,715,234,19,6,10,79,83
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",423,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:36:53",983,973,9,1,0,398,397,0,1,0,385,10,1071,673,226,27,8,12,65,47
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",428,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:49:40",1193,1183,1,9,0,560,551,0,9,0,544,16,1315,755,319,23,9,7,95,91
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",429,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:32:16",1332,1314,10,6,2,620,612,0,6,2,610,10,1471,836,293,23,6,17,162,109
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",425,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:03:03",1242,1233,3,6,0,569,563,0,6,0,559,10,1356,787,295,32,11,16,109,96
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",427,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:47:35",1154,1132,14,8,0,490,482,0,8,0,481,9,1269,771,266,27,3,7,104,74
46,"Sector 3","COLEGIUL TEHNIC ”MIHAI BRAVU”;",420,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:05:51",1593,1530,50,13,0,681,668,0,13,0,669,12,1691,1010,317,28,15,9,198,102
