precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA PUSL + PRO ROMÂNIA-voturi"
34,SIBIU,"CĂMIN CULTURAL IGHIŞU VECHI",241,BÂRGHIŞ,144232,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:53",107,99,2,6,0,107,99,2,6,0,99,8,200,93,3,37,29,2,18,0,0,2,7,1,0
34,SIBIU,"CĂMIN CULTURAL LASLEA",285,LASLEA,144731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:06:51",1388,1340,3,32,13,760,718,0,32,10,714,46,1600,840,15,80,106,1,455,2,1,10,41,3,0
34,SIBIU,"CĂMIN CULTURAL LOAMNEŞ",290,LOAMNEŞ,144795,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:49",526,494,1,16,15,356,325,0,16,15,341,15,540,184,16,22,24,1,232,2,5,8,27,2,2
34,SIBIU,"CĂMIN CULTURAL MĂLÎNCRAV",287,LASLEA,144731,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:59:55",1062,1038,3,10,11,581,558,2,10,11,493,88,1400,819,51,74,194,1,150,1,1,6,13,1,1
34,SIBIU,"CĂMIN CULTURAL MÎNDRA",294,LOAMNEŞ,144795,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:09",293,279,0,11,3,293,279,0,11,3,197,12,300,91,3,23,15,0,130,1,2,2,21,0,0
34,SIBIU,"CĂMIN CULTURAL MOHU",364,ŞELIMBĂR,143557,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:29:14",613,601,0,7,5,335,323,0,7,5,306,29,660,325,49,35,85,1,53,6,2,15,36,20,4
34,SIBIU,"CĂMIN CULTURAL VALEA LUNGĂ",272,DÂRLOS,144553,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:07",213,209,0,3,1,118,114,0,3,1,112,6,300,182,4,16,57,1,10,2,12,4,5,1,0
34,SIBIU,"CĂMIN CULTURAL VEȘTEM",365,ŞELIMBĂR,143557,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:51:44",1468,1437,3,25,3,941,913,0,25,3,875,66,1580,639,60,126,241,8,235,9,7,26,119,40,4
34,SIBIU,"CĂMIN MOTIȘ",379,"VALEA VIILOR",145961,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:47",541,534,1,4,2,229,223,0,4,2,208,21,590,361,5,45,23,2,97,0,4,16,10,2,4
34,SIBIU,"CĂMINUL CULTURAL",377,"TURNU ROŞU",145934,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:58",462,447,3,11,1,298,286,0,11,1,270,28,490,192,10,16,49,2,93,4,2,5,78,9,2
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI MOȘNA",307,MOŞNA,145104,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:26:19",1002,991,4,7,0,548,540,1,7,0,512,36,1085,537,11,78,203,2,122,7,18,30,27,8,6
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI MOȘNA",306,MOŞNA,145104,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:35:53",1081,1079,2,0,0,477,477,0,0,0,411,66,1190,713,15,162,87,4,81,4,15,11,22,5,5
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI SADU",340,SADU,145471,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:38",908,888,1,3,16,635,616,0,3,16,595,40,1000,365,22,84,363,3,69,2,1,9,31,10,1
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI SADU",341,SADU,145471,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:38",1336,1311,10,13,2,881,864,2,13,2,838,43,1400,519,56,140,442,5,107,1,8,10,58,9,2
34,SIBIU,"CĂMINUL CULTURAL ALMA",219,ALMA,146012,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:23:51",665,637,4,9,15,475,448,3,9,15,447,28,700,225,3,71,57,77,147,0,9,3,75,1,4
34,SIBIU,"CĂMINUL CULTURAL BRATEIU",252,BRATEIU,144349,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:14:01",1177,1168,6,0,3,632,628,1,0,3,575,57,1260,628,10,93,313,3,52,2,3,8,80,8,3
34,SIBIU,"CĂMINUL CULTURAL COLUN",325,"PORUMBACU DE JOS",145293,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:49",158,144,0,14,0,108,94,0,14,0,98,10,160,52,3,8,26,0,52,1,0,0,6,0,2
34,SIBIU,"CĂMINUL CULTURAL DÂRLOS",269,DÂRLOS,144553,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:53:46",882,876,1,4,1,391,386,0,4,1,375,16,1150,759,22,97,135,4,47,2,29,7,22,7,3
34,SIBIU,"CĂMINUL CULTURAL ERNEA",193,"ORAŞ DUMBRĂVENI",143806,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:51:01",414,406,0,7,1,226,218,0,7,1,201,25,450,224,12,20,89,3,62,1,2,3,4,4,1
34,SIBIU,"CĂMINUL CULTURAL GIACĂŞ",220,ALMA,146012,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:45:00",188,176,0,8,4,149,137,0,8,4,125,12,190,53,5,19,47,0,49,0,0,0,4,0,1
34,SIBIU,"CAMINUL CULTURAL NOCRICH",310,NOCRICH,145140,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:44",1189,1164,12,6,7,747,733,1,6,7,664,83,1300,553,41,185,95,1,236,0,4,18,21,62,1
34,SIBIU,"CĂMINUL CULTURAL NOU ROMÂN",229,"ARPAŞU DE JOS",143959,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:32:52",310,280,3,18,9,199,172,0,18,9,182,17,320,121,8,11,70,4,77,0,0,3,6,2,1
34,SIBIU,"CĂMINUL CULTURAL POPLACA",323,POPLACA,143502,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:02",1502,1492,2,8,0,939,930,1,8,0,894,45,1600,661,65,164,176,3,402,4,12,12,29,25,2
34,SIBIU,"CĂMINUL CULTURAL PORUMBACU DE SUS",326,"PORUMBACU DE JOS",145293,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:04:20",763,717,8,27,11,516,474,5,27,10,475,0,760,232,22,50,135,2,216,2,2,3,28,7,8
34,SIBIU,"CĂMINUL CULTURAL RACOVIŢA",329,RACOVIŢA,145355,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:31",1798,1766,1,15,16,1214,1182,1,15,16,1120,77,1950,753,65,104,618,1,243,5,2,18,50,13,1
34,SIBIU,"CĂMINUL CULTURAL RĂȘINARI",333,RĂŞINARI,143520,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:26:57",1405,1389,3,9,4,845,832,0,9,4,807,38,1500,655,79,94,294,2,217,3,6,10,68,30,4
34,SIBIU,"CĂMINUL CULTURAL ”REGELE MIHAI I”",376,"TURNU ROŞU",145934,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:32:49",1584,1531,3,49,1,1063,1012,1,49,1,998,65,1610,547,62,119,143,2,306,16,14,17,298,14,7
34,SIBIU,"CĂMINUL CULTURAL SÂNGĂTIN",226,"APOLDU DE JOS",143922,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:49:16",231,217,4,10,0,156,146,0,10,0,149,7,240,84,5,18,45,0,69,1,0,5,2,0,4
34,SIBIU,"CĂMINUL CULTURAL SARATA",327,"PORUMBACU DE JOS",145293,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:21",294,271,3,10,10,173,151,3,10,9,159,14,300,127,4,31,53,0,55,0,1,4,4,3,4
34,SIBIU,"CĂMINUL CULTURAL SĂSĂUŞ",263,CHIRPĂR,144456,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:41:47",112,105,1,5,1,65,59,0,5,1,62,3,120,55,1,15,7,1,21,0,1,3,12,1,0
34,SIBIU,"CĂMINUL CULTURAL SCOREIU",328,"PORUMBACU DE JOS",145293,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:47:40",566,536,0,23,7,346,316,0,23,7,326,20,580,234,7,32,129,1,139,1,0,2,12,1,2
34,SIBIU,"CĂMINUL CULTURAL SEBEȘU DE SUS",330,RACOVIŢA,145355,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:32",598,591,1,4,2,385,378,1,4,2,355,30,650,265,26,34,209,2,53,1,2,4,18,4,2
34,SIBIU,"CĂMINUL CULTURAL ŞMIG",221,ALMA,146012,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:30:51",738,715,0,4,19,590,567,0,4,19,562,28,790,200,14,38,380,46,44,3,6,7,11,3,10
34,SIBIU,"CĂMINUL CULTURAL VĂRD",264,CHIRPĂR,144456,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:23:58",289,288,0,1,0,164,163,0,1,0,154,10,310,146,4,25,55,2,55,1,0,3,6,3,0
34,SIBIU,"CĂMIN VALEA VIILOR",378,"VALEA VIILOR",145961,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:22:01",1304,1241,3,5,55,645,584,1,5,55,582,63,1310,665,31,119,114,9,241,4,3,14,29,11,7
34,SIBIU,"CASA CORPULUI DIDACTIC",48,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:24:56",1416,1389,16,11,0,658,647,0,11,0,644,14,1542,884,194,38,96,8,78,6,15,15,164,23,7
34,SIBIU,"CASA DE CULTURĂ CISNĂDIE",183,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:40:12",1380,1363,1,16,0,740,723,1,16,0,712,11,1460,53,103,52,93,2,61,8,11,14,333,27,8
34,SIBIU,"CASA DE CULTURĂ CISNĂDIE",182,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:48:24",1703,1674,19,10,0,706,696,0,10,0,678,28,1840,1134,76,90,199,6,92,9,6,24,126,39,11
34,SIBIU,"CASA DE CULTURĂ ”ILARION COCIȘIU”",155,"ORAŞ AGNITA",143682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:04:35",1173,1162,4,6,1,427,420,0,6,1,400,27,1300,873,41,71,188,2,36,5,0,18,32,6,1
34,SIBIU,"CASA DE OASPETI",137,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:35:06",760,747,5,7,1,327,319,0,7,1,313,14,900,573,30,18,94,7,44,1,78,0,27,13,1
34,SIBIU,"CASA PAROHIALA CULT ORTODOX",351,"ŞEICA MARE",145667,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:21:53",56,47,1,8,0,30,22,0,8,0,27,3,50,20,1,3,7,0,9,0,0,1,5,1,0
34,SIBIU,"CASA SENIORILOR",153,"ORAŞ AGNITA",143682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:29:42",1370,1363,0,5,2,500,493,0,5,2,461,39,1500,1000,39,50,255,4,65,1,3,19,20,3,2
34,SIBIU,"CENTRU DE DOCUMENTARE ȘI INFORMARE SIBIEL",211,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:57",381,368,0,10,3,227,214,0,10,3,214,13,400,173,17,20,98,1,43,0,2,3,28,2,0
34,SIBIU,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ DUMBRĂVENI",192,"ORAŞ DUMBRĂVENI",143806,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:19",1207,1186,3,8,10,507,489,0,8,10,464,43,1300,793,12,30,204,25,151,0,3,16,17,5,1
34,SIBIU,"CENTRU ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MEDIAŞ",116,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:57:55",1106,1095,2,7,2,527,518,0,7,2,514,13,1200,673,29,51,147,16,64,7,128,5,52,13,2
34,SIBIU,"CLĂDIREA FOSTEI PRIMĂRII",212,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:35:33",326,302,4,12,8,213,193,0,12,8,195,18,350,137,8,24,79,1,59,3,0,7,10,3,1
34,SIBIU,"CLĂDIREA PAROHIALĂ ORTODOXĂ NR.1 OCNA SIBIULUI",201,"ORAŞ OCNA SIBIULUI",143851,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:53:30",1446,1430,3,10,3,811,798,0,10,3,752,59,1570,759,50,180,236,16,176,6,2,16,57,9,4
34,SIBIU,"CLADIREA PRIMARIEI (FOSTA SCOALA), DUPUS NR. 107.",231,AŢEL,143995,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:01:54",202,189,4,7,2,80,71,0,7,2,74,6,210,130,1,11,25,0,27,0,2,1,4,3,0
34,SIBIU,"CLĂDIREA ȘCOLII GIMNAZIALE AUREL POPA- ARPAȘU DE SUS",228,"ARPAŞU DE JOS",143959,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:57:19",1080,1044,2,13,21,709,675,0,13,21,671,38,1150,441,10,131,273,0,199,9,6,21,12,10,0
34,SIBIU,"CLADIRE (FOST SEDIU PRIMARIE),TOPÎRCEA",202,"ORAŞ OCNA SIBIULUI",143851,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:12:32",126,113,0,13,0,72,59,0,13,0,69,3,130,58,6,12,22,1,19,0,0,0,7,2,0
34,SIBIU,"CLĂDIRE PUBLICĂ A ADMINISTRAȚIEI LOCALE ORAȘ DUMBRĂVENI",194,"ORAŞ DUMBRĂVENI",143806,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:02:01",1412,1397,2,5,8,693,680,0,5,8,608,85,1550,857,10,69,89,2,398,4,5,18,9,4,0
34,SIBIU,"CLUBUL COPIILOR",115,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:49:26",1006,992,3,8,3,459,448,0,8,3,441,18,1000,540,38,41,124,25,61,4,91,5,33,14,5
34,SIBIU,"COLEGIU ECONOMIC GEORGE BARIŢIU",66,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:56",1127,1119,3,5,0,447,442,0,5,0,431,16,1240,793,114,32,89,6,76,3,10,9,66,17,9
34,SIBIU,"COLEGIU ECONOMIC GEORGE BARIŢIU",67,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:39",1239,1227,3,9,0,492,483,0,9,0,480,12,1357,865,126,53,91,1,72,4,12,8,83,25,5
34,SIBIU,"COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU",47,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:59:39",1112,985,56,24,47,478,407,0,24,47,462,16,1143,665,119,53,80,9,51,5,8,21,85,26,5
34,SIBIU,"COLEGIUL ECONOMIC GEORGE BARIŢIU, SIBIU",68,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:24:27",1222,1203,12,7,0,585,578,0,7,0,568,17,1330,745,155,54,111,2,73,4,6,8,119,30,6
34,SIBIU,"COLEGIUL NAŢIONAL GHEORGHE LAZĂR SIBIU",39,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:46",1123,1084,27,12,0,420,408,0,12,0,411,9,1213,793,105,50,66,7,60,1,8,12,72,20,10
34,SIBIU,"COLEGIUL NAŢIONAL OCTAVIAN GOGA CU STRUCTURĂ ŞCOALA CU CLASELE I-VIII NR. 15",44,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:33:27",1088,1075,11,2,0,418,414,2,2,0,412,6,1204,786,110,35,63,7,65,6,10,12,84,14,6
34,SIBIU,"COLEGIUL NAŢIONAL OCTAVIAN GOGA SIBIU",43,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:42",878,860,10,8,0,339,331,0,8,0,333,6,879,540,84,32,62,2,56,4,5,6,63,17,2
34,SIBIU,"COLEGIUL NAŢIONAL PEDAGOGIC ANDREI ŞAGUNA",100,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:26:18",1218,1207,3,8,0,501,493,0,8,0,491,10,1324,823,108,38,79,3,100,6,9,10,107,24,7
34,SIBIU,"COLEGIUL NAŢIONAL PEDAGOGIC ANDREI ŞAGUNA",101,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:24:25",1115,1104,4,7,0,497,490,0,7,0,486,11,1210,713,133,39,74,3,102,6,12,9,87,12,9
34,SIBIU,"COLEGIUL ”ŞCOALA NAŢIONALĂ DE GAZ”",136,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:40",1071,1062,3,6,0,431,425,0,6,0,417,14,1150,719,27,43,118,17,56,6,94,7,40,9,0
34,SIBIU,"COLEGIUL TEHNIC A.T. LAUREAN",154,"ORAŞ AGNITA",143682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:04:59",1028,1024,1,3,0,394,391,0,3,0,372,22,1130,736,21,56,206,0,51,1,1,14,18,4,0
34,SIBIU,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ TEREZIANUM SIBIU",20,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:45",1368,1355,2,11,0,607,596,0,11,0,595,12,1484,865,196,69,98,6,75,11,4,15,89,28,4
34,SIBIU,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ TEREZIANUM SIBIU",19,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:58",1436,1428,2,6,0,637,631,0,6,0,624,13,1570,933,183,66,96,12,77,8,16,17,109,32,8
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",73,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:54:01",1459,1452,0,7,0,639,632,0,7,0,624,15,1610,971,194,54,97,9,85,7,12,17,115,24,10
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",74,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:44",1174,1162,1,11,0,410,399,0,11,0,390,9,1315,916,103,44,63,3,70,5,8,7,67,16,4
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",76,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:24:20",1355,1351,0,4,0,468,464,0,4,0,463,5,1480,1012,127,41,75,1,99,6,4,16,66,23,5
34,SIBIU,"COLEGIUL TEHNIC ENERGETIC",75,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:32",1420,1414,1,5,0,538,533,0,5,0,516,22,1553,1015,136,72,92,3,85,4,9,15,76,19,5
34,SIBIU,"COLEGIUL TEHNIC INDEPENDENŢA",18,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:45",1211,1203,0,8,0,483,475,0,8,0,471,12,1330,847,123,66,73,2,64,5,16,11,68,30,13
34,SIBIU,"COLEGIUL TEHNIC INDEPENDENŢA SIBIU",42,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:11",1054,1037,11,6,0,373,367,0,6,0,365,8,1156,783,97,46,54,3,58,7,7,8,55,21,9
34,SIBIU,"COMPLEX COMERCIAL",134,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:09:29",1251,1243,0,8,0,573,565,0,8,0,550,23,1300,727,38,45,140,40,62,3,123,14,66,17,2
34,SIBIU,"CREŞA NR.3",129,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:45",1149,1140,3,6,0,497,491,0,6,0,467,30,1250,753,51,45,141,17,67,2,79,5,44,15,1
34,SIBIU,"DISPENSARUL MEDICAL CHESLER",301,MICĂSASA,144991,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:00:13",57,41,0,12,4,47,31,0,12,4,45,2,50,3,1,2,19,2,19,0,0,0,2,0,0
34,SIBIU,"DISPENSAR UMAN VECERD",243,BÂRGHIŞ,144232,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:55:29",91,86,0,5,0,46,41,0,5,0,46,0,100,54,1,16,10,2,11,0,0,1,2,2,1
34,SIBIU,"FACULTATEA DE INGINERIE",65,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:02",1120,1100,9,11,0,490,479,0,11,0,473,17,1937,1447,139,27,74,5,75,1,2,12,106,25,7
34,SIBIU,"FOSTA PRIMĂRIE VALCHID",277,HOGHILAG,144615,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:29:31",680,664,3,6,7,348,334,1,6,7,330,18,730,382,5,20,33,6,263,0,0,0,3,0,0
34,SIBIU,"FOSTA ŞCOALĂ GENERALĂ",250,BLĂJEL,144303,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:57:27",68,57,1,7,3,47,37,0,7,3,40,7,70,23,0,2,12,0,21,0,1,0,2,2,0
34,SIBIU,"FOSTĂ ŞCOALĂ GENERALĂ ILIMBAV",297,MARPOD,144893,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:05:23",179,165,1,11,2,118,105,0,11,2,112,6,180,62,7,5,32,0,60,0,3,3,0,1,1
34,SIBIU,"FOSTA SCOALA GHIJASA DE JOS",312,NOCRICH,145140,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:12:54",50,45,0,4,1,50,45,0,4,1,48,2,90,40,2,13,7,0,21,0,1,1,1,1,1
