precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
30,OLT,"GRADINITA CIOFLANU",175,DĂNEASA,126585,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:52:34",507,469,0,10,28,304,266,0,10,28,298,6,545,241,22,227,13,11,25
30,OLT,"GRĂDINIȚA COMANI",99,"ORAŞ DRĂGĂNEŞTI-OLT",125622,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:00:04",1222,1189,0,17,16,831,798,0,17,16,768,63,1348,517,76,449,195,24,24
30,OLT,"GRĂDINIȚA COMANI",98,"ORAŞ DRĂGĂNEŞTI-OLT",125622,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:48:02",1159,1128,0,17,14,797,766,0,17,14,750,47,1273,476,79,423,207,18,23
30,OLT,"GRADINITA CONSTANTINESTI",115,"ORAŞ SCORNICEŞTI",128711,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:11:54",439,421,2,13,3,326,309,1,13,3,315,11,468,142,24,276,4,8,3
30,OLT,"GRADINITA CU PROGRAM NORMAL",104,"ORAŞ PIATRA-OLT",128105,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:09",279,259,0,13,7,195,175,0,13,7,192,3,286,91,11,158,10,10,3
30,OLT,"GRADINITA CU PROGRAM NORMAL",103,"ORAŞ PIATRA-OLT",128105,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:47",1002,956,0,29,17,713,667,0,29,17,694,19,1056,343,66,549,39,19,21
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL",210,GHIMPEŢENI,130311,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:17",365,340,1,13,11,292,268,0,13,11,267,25,388,96,76,175,9,3,4
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",232,IPOTEŞTI,130348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:24",1226,1210,0,16,0,819,803,0,16,0,791,28,1323,504,79,597,82,24,9
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",219,GROJDIBODU,127224,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:28",787,750,0,9,28,527,490,0,9,28,499,28,858,331,37,388,55,11,8
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",220,GROJDIBODU,127224,8,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:16:13",800,778,0,0,22,518,497,0,0,21,485,33,881,363,51,380,31,14,9
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",46,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:41:11",1348,1341,1,5,1,767,761,0,5,1,730,37,1468,701,91,317,213,34,75
30,OLT,"GRADINITA CU PROGRAM NORMAL BATARENI",156,COLONEŞTI,126228,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:00:41",168,136,0,27,5,141,109,0,27,5,141,0,155,14,0,140,1,0,0
30,OLT,"GRADINITA CU PROGRAM NORMAL CÂMPU MARE",188,DOBROTEASA,126772,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:43:02",420,378,1,26,15,261,220,0,26,15,250,10,414,154,54,173,16,5,2
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL CORNĂȚELU",280,POBORU,128301,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:03",720,711,0,9,0,434,425,0,9,0,419,15,775,341,48,327,13,17,14
30,OLT,"GRADINITA CU PROGRAM NORMAL CUCUETI",360,VERGULEASA,129816,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:34",675,652,0,7,16,401,385,0,0,16,384,17,734,333,40,291,22,17,14
30,OLT,"GRADINITA CU PROGRAM NORMAL DEJESTI",368,VITOMIREŞTI,129914,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:36:27",512,476,0,20,16,359,325,0,20,14,347,10,560,203,30,247,47,17,6
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL DOMNIŢA BĂLAŞA",142,BRÂNCOVENI,126022,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:40:47",442,408,1,33,0,318,285,0,33,0,310,8,445,127,22,239,39,5,5
30,OLT,"GRADINITA CU PROGRAM NORMAL FRASINETU",184,DOBROSLOVENI,126718,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:05:29",380,363,2,8,7,246,229,2,8,7,233,13,408,162,70,108,38,10,7
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GĂVĂNEŞTI",204,GĂVĂNEŞTI,130302,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:45:53",565,535,1,7,22,375,346,0,7,22,362,13,610,235,24,312,17,7,2
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GÎRCOV",207,GÂRCOV,125588,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:12:24",1210,1154,0,8,48,828,772,0,8,48,756,72,1275,447,58,475,66,14,143
30,OLT,"GRADINITA CU PROGRAM NORMAL GURA CALUIU",147,CĂLUI,130295,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:02:49",445,436,0,3,6,277,268,0,3,6,247,30,488,211,14,211,21,0,1
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL HOTARU",221,GROJDIBODU,127224,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:26",525,499,1,4,21,347,322,0,4,21,324,23,574,227,25,264,28,5,2
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL IZBICENI",234,IZBICENI,127368,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:54:21",1461,1451,0,1,9,993,983,0,1,9,955,38,1606,613,106,420,113,24,292
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",75,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:35",1141,1115,1,22,3,479,455,0,22,2,457,22,1217,738,57,266,103,16,15
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",74,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:54",1296,1278,1,15,2,595,578,0,15,2,572,23,1396,801,76,305,129,23,39
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",51,"MUNICIPIUL CARACAL",125472,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:53:01",1521,1498,1,13,9,730,708,0,13,9,711,19,1649,919,85,447,104,24,51
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL NR. 5",42,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:02:20",1954,1936,2,16,0,1096,1080,0,16,0,1062,34,2133,1037,140,488,301,48,85
30,OLT,"GRADINITA CU PROGRAM NORMAL PIATRA",105,"ORAŞ PIATRA-OLT",128105,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:09:49",695,651,2,13,29,428,386,0,13,29,414,14,719,291,38,339,22,10,5
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL PLĂVICENI",301,SCĂRIŞOARA,128613,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:57",527,519,0,6,2,256,248,0,6,2,233,23,572,316,22,143,56,8,4
30,OLT,"GRADINITA CU PROGRAM NORMAL POTOPINU",185,DOBROSLOVENI,126718,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:57:08",540,534,0,3,3,293,287,0,3,3,274,19,590,297,144,96,25,1,8
30,OLT,"GRADINITA CU PROGRAM NORMAL SEACA",305,SEACA,128864,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:19:16",1342,1251,2,51,38,983,893,1,51,38,917,66,1410,427,65,428,384,24,16
30,OLT,"GRADINITA CU PROGRAM NORMAL VLAICI",158,COLONEŞTI,126228,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:52:43",252,211,0,25,16,200,159,0,25,16,197,3,279,79,11,160,8,6,12
30,OLT,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1",50,"MUNICIPIUL CARACAL",125472,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:54:48",1823,1818,0,5,0,777,772,0,5,0,715,62,1989,1212,87,478,81,24,45
30,OLT,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",55,"MUNICIPIUL CARACAL",125472,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:39:21",1533,1522,1,10,0,632,622,0,10,0,616,16,1675,1043,372,24,61,141,18
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",60,"MUNICIPIUL CARACAL",125472,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:42:00",1501,1478,0,11,12,690,667,0,11,12,672,18,1634,944,112,427,81,23,29
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",59,"MUNICIPIUL CARACAL",125472,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:45:57",1482,1473,0,5,4,678,669,0,5,4,669,9,1627,949,97,390,106,28,48
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 8",37,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:00",1060,1049,1,10,0,501,491,0,10,0,495,6,1165,664,76,190,157,27,45
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 8",38,"MUNICIPIUL SLATINA",125347,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:12:14",1529,1520,4,5,0,683,678,0,5,0,656,27,1689,1006,100,224,248,36,48
30,OLT,"GRĂDINIŢA DE COPII",364,VIŞINA,129898,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:59:09",1214,1141,1,6,66,795,723,0,6,66,751,44,1326,531,107,557,37,12,38
30,OLT,"GRĂDINIŢA DE COPII",363,VIŞINA,129898,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:04",1066,991,0,1,74,669,594,0,1,74,643,26,1170,501,97,470,42,16,18
30,OLT,"GRADINITA FARCASELE",197,FĂRCAŞELE,127019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:33:04",947,934,0,3,10,557,544,0,3,10,503,54,1030,473,67,250,118,54,14
30,OLT,"GRADINITA FARCASU DE JOS",198,FĂRCAŞELE,127019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:34",1410,1392,1,2,15,863,846,0,2,15,817,46,1550,687,104,507,136,48,22
