precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","PACT PENTRU GALAȚI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","BĂDIŢĂ RAABIS-ŞTEFAN-voturi","DERMENGI MIHAI-voturi"
18,GALAŢI,"COLEGIUL NAȚIONAL ”ALEXANDRU IOAN CUZA” (GRĂDINIȚA NR. 59 - FOSTA ȘCOALĂ GENERALĂ NR. 8)",54,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:12:29",1912,1904,1,7,0,412,405,0,7,0,397,11,2000,1592,205,44,24,6,2,15,23,4,7,5,35,3,15,1,3,5
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",22,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:56:31",1368,1359,2,7,0,564,557,0,7,0,541,23,1600,1036,271,32,49,3,2,14,49,1,2,6,82,7,11,4,6,2
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",20,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:22:48",1459,1451,0,8,0,596,588,0,8,0,581,15,1600,863,249,46,69,9,2,15,60,3,2,8,87,2,12,0,17,0
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",18,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:46:09",1242,1203,29,10,0,522,512,0,10,0,509,13,1600,1078,245,48,62,9,3,7,36,0,3,7,67,1,9,0,8,4
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",21,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:19:15",1357,1348,1,6,2,563,555,0,6,2,543,20,1600,1037,247,45,46,6,2,16,69,5,2,4,78,2,8,0,9,4
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",19,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:58:27",1478,1457,13,8,0,596,588,0,8,0,581,15,1600,1004,266,59,62,2,0,18,52,1,4,3,86,0,11,1,9,7
18,GALAŢI,"COLEGIUL NAȚIONAL ”MIHAIL KOGĂLNICEANU”",12,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:12",1523,1508,5,9,1,608,598,0,9,1,591,17,1600,992,269,33,43,10,3,17,79,1,3,8,93,2,13,1,8,8
18,GALAŢI,"COLEGIUL NAȚIONAL ”MIHAIL KOGĂLNICEANU”",11,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:52:55",1401,1395,1,5,0,557,552,0,5,0,549,8,1600,1038,247,26,49,11,5,12,63,5,2,5,101,5,10,1,5,2
18,GALAŢI,"COLEGIUL NAȚIONAL ”MIHAIL KOGĂLNICEANU”",14,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:29:30",1122,1115,1,6,0,435,429,0,6,0,425,8,1200,767,222,30,30,7,1,9,43,1,1,2,60,0,9,2,6,2
18,GALAŢI,"COLEGIUL NAȚIONAL ”MIHAIL KOGĂLNICEANU”",13,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:47:36",1068,1050,5,11,2,314,301,0,11,2,290,24,1200,886,141,30,33,0,1,13,15,0,7,0,28,1,12,3,5,1
18,GALAŢI,"COLEGIUL NAȚIONAL ”VASILE ALECSANDRI”",29,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:42",1299,1274,19,6,0,550,544,0,6,0,541,9,1600,1050,257,36,51,4,0,16,44,6,6,0,84,0,28,0,6,3
18,GALAŢI,"COLEGIUL NAȚIONAL ”VASILE ALECSANDRI”",28,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:46:21",1242,1234,2,6,0,480,474,0,6,0,467,13,1200,320,177,35,47,4,2,21,66,5,0,4,86,0,13,0,4,3
18,GALAŢI,"COLEGIUL NAȚIONAL ”VASILE ALECSANDRI”",27,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:53:32",894,886,0,8,0,381,373,0,8,0,373,8,800,418,158,48,40,9,4,13,25,0,3,4,48,1,14,0,3,3
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 20, ARONDATĂ ȘCOLII GIMNAZIALE ”MIRON COSTIN” (GRĂDINIȚA NR. 20 - ANEXA ȘCOLII NR. 12)",175,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:55",1735,1718,8,9,0,683,674,0,9,0,664,19,2000,1317,311,55,71,8,0,27,66,3,2,2,105,0,7,2,3,2
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 20, ARONDATĂ ȘCOLII GIMNAZIALE ”MIRON COSTIN” (GRĂDINIȚA NR. 20 - ANEXA ȘCOLII NR. 12)",176,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:26",1307,1298,1,8,0,472,464,0,8,0,461,11,1600,1128,258,33,48,6,4,12,33,0,2,3,39,3,7,1,8,4
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 29, ARONDATĂ GRĂDINIȚEI CU PROGRAM PRELUNGIT ”CAMIL RESSU” (GRĂDINIȚA FILEȘTI - GRĂDINIȚA NR.29)",140,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:02:25",477,469,0,8,0,207,199,0,8,0,197,10,500,293,94,24,8,2,2,9,18,2,7,1,9,2,11,1,4,3
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 59 (FOSTA ȘCOALĂ GIMNAZIALĂ ”NICOLAE MANTU”)",96,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:28:01",1370,1360,1,9,0,556,546,1,9,0,531,15,2000,1444,271,54,56,4,2,12,37,7,8,6,43,4,7,1,12,7
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 59 (FOSTA ȘCOALĂ GIMNAZIALĂ ”NICOLAE MANTU”)",95,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:49:43",1548,1535,3,10,0,621,611,0,10,0,609,12,2000,1379,331,48,64,3,1,16,56,4,4,8,48,1,19,1,2,3
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",70,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:49:02",1457,1451,0,6,0,635,629,0,6,0,616,19,1600,965,348,58,37,8,4,20,55,2,2,3,42,0,19,4,8,6
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",71,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:42:30",1377,1370,0,7,0,516,509,0,7,0,501,15,1600,1084,283,41,50,8,2,15,30,0,3,3,36,1,20,0,5,4
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",72,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:52:57",1310,1301,0,9,0,519,510,0,9,0,495,23,1600,1058,237,42,34,5,1,16,56,0,4,1,58,2,23,1,8,7
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",152,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:01",8004,8000,0,4,0,607,603,0,4,0,578,29,8000,7393,343,57,39,8,3,29,31,1,9,4,24,1,19,0,6,4
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",154,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:25:25",1707,1702,0,5,0,241,236,0,5,0,230,11,2000,1759,122,26,17,5,4,9,11,0,4,6,3,1,19,0,2,1
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",151,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:20:28",1771,1761,2,8,0,565,557,1,7,0,535,30,2000,1435,324,63,32,6,2,22,17,0,1,10,22,2,25,0,5,4
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",153,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:06:49",1823,1815,4,3,1,540,536,0,3,1,534,6,2000,1460,299,52,34,6,2,28,24,2,3,8,34,1,28,1,5,7
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",116,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:24",1296,1290,1,5,0,499,494,0,5,0,482,17,1600,1101,270,29,54,13,1,5,44,3,3,1,45,3,5,0,4,2
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",115,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:33",1224,1198,1,7,18,479,454,0,7,18,469,10,1600,1121,290,29,33,2,2,5,43,0,1,3,40,1,12,0,7,1
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",117,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:32:47",1231,1224,0,7,0,485,478,0,7,0,473,8,1212,729,321,23,34,2,1,8,34,2,0,2,33,0,9,1,1,2
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",128,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:58",1828,1819,2,7,0,555,548,0,7,0,528,27,2000,1445,287,73,55,4,4,21,15,1,5,1,23,0,21,4,7,7
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",127,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:58:35",1678,1671,0,7,0,140,133,0,7,0,137,3,2000,1860,82,13,13,3,0,5,4,0,1,0,10,0,4,0,1,1
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",125,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:27:08",1826,1820,0,6,0,376,370,0,6,0,369,7,2000,1624,181,40,39,2,5,17,30,0,3,2,17,4,14,2,6,7
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",126,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:15:26",1673,1669,0,4,0,62,58,0,4,0,57,5,2000,1938,29,13,4,0,0,1,2,0,0,0,4,0,3,0,0,1
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",157,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:43:20",1855,1847,0,7,1,666,658,0,7,1,645,21,2000,1334,378,50,51,5,4,29,51,3,7,5,30,1,17,4,6,4
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",155,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:30",1658,1649,1,8,0,476,476,0,0,0,445,31,2000,1524,261,42,40,5,3,21,11,1,1,7,25,0,21,2,3,2
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",156,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:08:52",1796,1789,0,7,0,194,187,0,7,0,189,5,2000,1806,101,19,11,2,1,8,14,1,1,3,6,1,15,0,5,1
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",158,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:20:45",1748,1742,0,6,0,584,578,0,6,0,565,19,2000,1416,315,72,40,10,3,18,31,1,4,6,32,2,19,2,8,2
18,GALAŢI,"LICEUL TEHNOLOGIC ”CAROL I” (LICEUL TEHNOLOGIC CĂI FERATE - GRUP ȘCOLAR INDUSTRIAL TRANSPORTURI CF - LICEUL CFR)",164,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:25:28",1626,1617,0,8,1,576,567,0,8,1,560,16,1600,1014,315,51,42,15,3,12,45,0,5,2,37,1,25,1,5,1
18,GALAŢI,"LICEUL TEHNOLOGIC ”CAROL I” (LICEUL TEHNOLOGIC CĂI FERATE - GRUP ȘCOLAR INDUSTRIAL TRANSPORTURI CF - LICEUL CFR)",162,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:54:52",1720,1714,0,6,0,605,600,0,5,0,580,25,2000,1395,314,44,65,12,4,17,42,0,1,7,43,3,11,1,11,5
18,GALAŢI,"LICEUL TEHNOLOGIC ”CAROL I” (LICEUL TEHNOLOGIC CĂI FERATE - GRUP ȘCOLAR INDUSTRIAL TRANSPORTURI CF - LICEUL CFR)",163,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:11:52",1656,1647,4,5,0,607,602,0,5,0,593,14,1600,993,335,52,48,13,4,19,33,1,4,2,55,2,16,0,5,4
18,GALAŢI,"LICEUL TEHNOLOGIC ”GENERAL DE MARINA NICOLAE DUMITRESCU MAICAN” (LICEUL TEHNOLOGIC DE MARINĂ - GRUP ȘCOLAR INDUSTRIAL DE MARINĂ - LICEUL DE MARINĂ)",50,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:32:12",1273,1268,1,4,0,475,471,0,4,0,455,20,1600,1125,221,37,41,6,2,13,53,0,3,3,44,1,18,1,7,5
18,GALAŢI,"LICEUL TEHNOLOGIC ”GENERAL DE MARINA NICOLAE DUMITRESCU MAICAN” (LICEUL TEHNOLOGIC DE MARINĂ - GRUP ȘCOLAR INDUSTRIAL DE MARINĂ - LICEUL DE MARINĂ)",49,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:15",1538,1497,36,5,0,531,526,0,5,0,507,24,1600,1069,278,46,30,8,1,20,28,7,1,7,38,2,34,1,2,4
18,GALAŢI,"LICEUL TEHNOLOGIC ”GENERAL DE MARINA NICOLAE DUMITRESCU MAICAN” (LICEUL TEHNOLOGIC DE MARINĂ - GRUP ȘCOLAR INDUSTRIAL DE MARINĂ - LICEUL DE MARINĂ)",48,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:01",1294,1282,2,5,5,403,393,0,5,5,383,20,1600,1197,200,43,15,10,4,24,26,5,0,0,25,0,22,3,5,1
18,GALAŢI,"LICEUL TEHNOLOGIC ”PAUL DIMO” (COLEGIUL TEHNIC ”PAUL DIMO” - LICEUL ENERGETIC NR.4)",144,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:52:36",1038,1032,0,6,0,392,386,0,6,0,377,15,1200,808,233,38,31,3,2,9,20,2,3,1,23,0,4,0,6,2
18,GALAŢI,"LICEUL TEHNOLOGIC ”PAUL DIMO” (COLEGIUL TEHNIC ”PAUL DIMO” - LICEUL ENERGETIC NR.4)",143,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:38",1379,1372,0,7,0,535,528,0,7,0,519,16,1600,1065,299,51,39,8,0,15,34,3,3,4,31,1,19,1,6,5
18,GALAŢI,"LICEUL TEHNOLOGIC ”PAUL DIMO” (COLEGIUL TEHNIC ”PAUL DIMO” - LICEUL ENERGETIC NR.4)",142,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:35:55",1324,1317,0,7,0,481,474,0,7,0,459,22,1600,1119,267,47,25,2,1,17,31,2,1,1,33,2,18,0,9,3
18,GALAŢI,"LICEUL TEHNOLOGIC ”PAUL DIMO” (COLEGIUL TEHNIC ”PAUL DIMO” - LICEUL ENERGETIC NR.4)",141,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:38",1334,1325,1,8,0,466,458,0,8,0,452,14,1600,1126,278,43,30,9,0,23,23,0,1,4,15,1,18,0,4,3
18,GALAŢI,"LICEUL TEHNOLOGIC ”RADU NEGRU” (COLEGIUL TEHNIC ”RADU NEGRU” - GRUP ȘCOLAR ”RADU NEGRU”)",41,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:58:41",1828,1791,4,6,27,726,692,1,6,27,699,18,2000,1275,346,66,64,6,3,14,69,12,6,6,67,4,20,1,8,7
18,GALAŢI,"LICEUL TEHNOLOGIC ”RADU NEGRU” (COLEGIUL TEHNIC ”RADU NEGRU” - GRUP ȘCOLAR ”RADU NEGRU”)",40,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:48:02",1605,1553,3,7,42,580,534,0,7,39,554,22,1600,1022,277,70,52,3,3,20,47,3,8,3,41,0,14,0,5,8
18,GALAŢI,"LICEUL TEORETIC ”DUNAREA”",103,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:35:53",1275,1267,2,6,0,487,481,0,6,0,479,8,1200,713,258,42,43,9,1,6,43,1,3,10,37,1,14,1,10,0
18,GALAŢI,"LICEUL TEORETIC ”DUNAREA”",101,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:57:29",1085,1080,0,5,0,403,398,0,5,0,387,16,1200,797,209,26,34,4,1,9,39,1,3,1,35,0,13,1,8,3
18,GALAŢI,"LICEUL TEORETIC ”DUNAREA”",102,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:51:16",1200,1194,2,4,0,480,476,0,4,0,467,13,1200,720,255,33,48,5,4,14,32,2,4,3,34,1,21,2,3,6
18,GALAŢI,"LICEUL TEORETIC ”EMIL RACOVIȚĂ” (LICEUL ”EMIL RACOVIŢĂ” - ȘCOALA GENERALĂ NR. 6)",17,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:11",1094,1082,6,6,0,323,315,2,6,0,315,8,1200,877,163,16,31,7,2,3,29,0,2,6,39,1,10,1,1,4
