precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COSTACHE AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","CĂLINESCU ALIN-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CULCUŞ ARGENTINA-ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFAN ROLAND-OLIVER-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PUFU GHEORGHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
3,ARGEŞ,"GRĂDINIȚA ”CAMPIONII”",160,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:11:02",1931,1920,2,9,0,907,898,0,9,0,895,12,2100,1193,392,297,65,108,33
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TIC-PITIC”",154,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:54",1030,1026,0,4,0,530,526,0,4,0,521,9,1200,670,245,159,46,57,14
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TIC-PITIC”,",155,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:57:19",1060,1049,5,6,0,526,520,0,6,0,516,10,1200,670,261,155,37,53,10
3,ARGEŞ,"GRĂDINIŢA ”FLORILE SOARELUI”-INTRARE 1",145,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:21:39",1452,1449,0,3,0,710,707,0,3,0,693,17,1600,890,337,243,40,51,22
3,ARGEŞ,"GRĂDINIŢA ”FLORILE SOARELUI” - INTRARE 2",148,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:20",1339,1326,9,4,0,673,669,0,4,0,654,19,1400,727,293,231,41,64,25
3,ARGEŞ,"LICEUL TEORETIC ”IULIA ZAMFIRESCU” - INTRARE B",151,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:45",1339,1330,3,6,0,636,630,0,6,0,624,12,1400,764,302,192,59,43,28
3,ARGEŞ,"LICEUL TEORETIC ”IULIA ZAMFIRESCU” - INTRARE C",146,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:00",1289,1281,1,7,0,671,664,0,7,0,639,32,1400,729,320,218,47,44,10
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”GEORGE TOPÂRCEANU”",161,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:21:13",792,772,2,8,10,432,414,0,8,10,422,10,908,476,191,140,35,46,10
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” (CĂMIN ȘCOALĂ) - CORP B",150,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:31:13",1812,1810,0,2,0,841,839,0,2,0,825,16,1900,1059,388,295,62,66,14
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ LIVIU REBREANU” - INTRARE ELEVI",152,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:48",894,889,1,4,0,439,435,0,4,0,436,3,1020,581,206,137,28,45,20
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”LIVIU REBREANU” - INTRARE PROFESORI",153,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:18",1074,1064,2,8,0,519,511,0,8,0,507,12,1200,681,262,150,39,47,9
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”MARIN SORESCU” RACOVIȚA",167,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:17",1209,1156,0,37,16,745,692,0,37,16,725,20,1300,555,408,192,52,61,12
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ NR.1 MIOVENI (COLIBAȘI)",163,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:39:20",1313,1300,3,10,0,830,820,0,10,0,814,16,1400,570,310,134,70,58,242
3,ARGEŞ,"SC SERVICII GENERALE MIOVENI S.R.L",156,"ORAŞ MIOVENI",13301,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:17",1224,1218,1,5,0,616,611,0,5,0,602,14,1400,784,298,188,48,49,19
