precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PUCHEANU IONUŢ-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","VREME DANIELA-SIMONA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ATANASIU ONUŢ-VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","AMBRINOC STĂNICĂ-PARTIDUL PRO ROMÂNIA-voturi","TĂUNE MARCELINA-ROMÂNIA SOCIALISTĂ-voturi","DOBRESCU BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","ŞARPE DANIELA-ANCUŢA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DURBACĂ EUGEN-PARTIDUL CONSERVATOR DEMOCRAT-voturi","CĂSTĂIAN DORU-VALENTIN-PACT PENTRU GALAȚI-voturi","ROMAN APOSTOL-PICU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DERMENGI MIHAI-voturi"
18,GALAŢI,"COLEGIUL NAȚIONAL ”ALEXANDRU IOAN CUZA” (GRĂDINIȚA NR. 59 - FOSTA ȘCOALĂ GENERALĂ NR. 8)",54,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:12:29",1912,1904,1,7,0,412,405,0,7,0,402,10,2000,1585,235,33,27,4,2,16,18,6,38,16,7
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",22,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:56:31",1368,1359,2,7,0,564,557,0,7,0,550,14,1600,1036,350,22,31,2,2,17,31,4,71,14,6
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",20,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:22:49",1459,1451,0,8,0,596,588,0,8,0,580,11,1600,863,328,25,44,8,5,12,50,8,77,13,10
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",18,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:46:09",1242,1203,29,10,0,522,512,0,10,0,512,9,1600,1079,321,36,38,3,2,3,25,3,62,10,9
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",21,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:19:15",1357,1348,1,6,2,563,555,0,6,2,545,17,1600,1037,318,29,34,5,0,11,60,5,62,11,10
18,GALAŢI,"COLEGIUL NAȚIONAL ”COSTACHE NEGRI” (LICEUL PEDAGOGIC ”COSTACHE NEGRI”)",19,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:58:28",1478,1457,13,8,0,596,588,0,8,0,581,15,1600,1004,370,34,27,4,2,15,30,4,78,12,5
18,GALAŢI,"COLEGIUL NAȚIONAL ”MIHAIL KOGĂLNICEANU”",12,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:13",1523,1508,5,9,1,608,598,0,9,1,591,17,1600,992,345,25,36,5,1,16,55,9,77,9,13
18,GALAŢI,"COLEGIUL NAȚIONAL ”MIHAIL KOGĂLNICEANU”",11,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:52:54",1401,1395,1,5,0,557,552,0,5,0,552,0,1600,1037,321,18,30,4,1,8,45,8,98,12,7
18,GALAŢI,"COLEGIUL NAȚIONAL ”MIHAIL KOGĂLNICEANU”",14,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:29:31",1122,1115,1,6,0,435,429,0,6,0,429,6,1200,765,270,25,22,0,1,7,33,1,48,12,10
18,GALAŢI,"COLEGIUL NAȚIONAL ”MIHAIL KOGĂLNICEANU”",13,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:47:36",1068,1050,5,11,2,314,301,0,11,2,297,17,1200,886,172,24,22,2,3,13,17,1,22,14,7
18,GALAŢI,"COLEGIUL NAȚIONAL ”VASILE ALECSANDRI”",29,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:43",1299,1274,19,6,0,550,544,0,6,0,542,8,1600,1050,315,36,29,1,0,8,35,1,78,31,8
18,GALAŢI,"COLEGIUL NAȚIONAL ”VASILE ALECSANDRI”",28,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:46:19",1242,1234,2,6,0,480,474,0,6,0,471,9,1200,322,235,34,31,5,0,14,46,6,76,19,5
18,GALAŢI,"COLEGIUL NAȚIONAL ”VASILE ALECSANDRI”",27,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:53:35",894,886,0,8,0,381,373,0,8,0,373,8,800,419,199,44,23,7,3,13,20,0,41,19,4
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 20, ARONDATĂ ȘCOLII GIMNAZIALE ”MIRON COSTIN” (GRĂDINIȚA NR. 20 - ANEXA ȘCOLII NR. 12)",175,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:02",1735,1718,8,9,0,683,674,0,9,0,663,11,2000,1317,419,38,42,1,0,20,46,2,77,14,4
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 20, ARONDATĂ ȘCOLII GIMNAZIALE ”MIRON COSTIN” (GRĂDINIȚA NR. 20 - ANEXA ȘCOLII NR. 12)",176,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:28",1307,1298,1,8,0,472,464,0,8,0,469,3,1600,1128,323,26,35,5,1,12,22,3,27,7,8
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 29, ARONDATĂ GRĂDINIȚEI CU PROGRAM PRELUNGIT ”CAMIL RESSU” (GRĂDINIȚA FILEȘTI - GRĂDINIȚA NR.29)",140,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:02:25",477,469,0,8,0,207,199,0,8,0,202,5,500,293,114,18,5,1,2,12,12,7,9,18,4
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 59 (FOSTA ȘCOALĂ GIMNAZIALĂ ”NICOLAE MANTU”)",96,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:28:01",1370,1360,1,9,0,556,546,1,9,0,525,12,2000,1451,334,34,45,5,3,10,25,5,43,7,14
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 59 (FOSTA ȘCOALĂ GIMNAZIALĂ ”NICOLAE MANTU”)",95,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:49:41",1548,1535,3,10,0,621,611,0,10,0,612,9,2000,1379,417,31,33,2,1,11,31,6,51,26,3
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",70,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:49:02",1457,1451,0,6,0,635,629,0,6,0,621,14,1600,965,409,46,24,7,3,17,40,5,38,24,8
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",71,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:42:32",1377,1370,0,7,0,516,509,0,7,0,506,10,1600,1084,338,36,27,6,2,13,25,2,33,16,8
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",72,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:52:56",1310,1301,0,9,0,519,510,0,9,0,504,15,1600,1079,312,32,26,5,0,10,38,0,43,24,14
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",152,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:01",8004,8000,0,4,0,607,603,0,4,0,588,19,8000,7393,415,46,19,5,6,28,30,4,13,16,6
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",154,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:25:26",1707,1702,0,5,0,241,236,0,5,0,232,9,2000,1759,150,22,8,4,1,7,6,6,2,23,3
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",151,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:20:28",1771,1761,2,8,0,565,557,1,7,0,549,14,2000,1435,379,51,20,1,6,18,20,7,16,28,3
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",153,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:06:50",1823,1815,4,3,1,540,536,0,3,1,538,2,2000,1460,354,40,21,1,2,23,17,8,31,32,9
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",116,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:07",1296,1290,1,5,0,499,494,0,5,0,488,11,1600,1101,339,19,25,7,0,5,29,5,40,14,5
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",115,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:38",1224,1198,1,7,18,479,454,0,7,18,472,7,1600,1121,346,27,17,0,2,3,21,3,37,12,4
18,GALAŢI,"LICEUL DE TRANSPORTURI AUTO ”TRAIAN VUIA” (COLEGIUL TEHNIC ”TRAIAN VUIA” - GRUP ŞCOLAR TRANSPORTURI AUTO)",117,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:32:46",1231,1224,0,7,0,485,478,0,7,0,470,6,1201,716,327,22,26,2,1,0,29,3,44,12,4
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",128,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:58",1828,1819,2,7,0,555,548,0,7,0,539,16,2000,1445,354,59,35,0,2,24,7,6,14,27,11
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",127,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:58:35",1678,1671,0,7,0,140,133,0,7,0,138,2,2000,1860,96,14,6,2,1,4,2,1,7,5,0
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",125,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:08",1826,1820,0,6,0,376,370,0,6,0,369,7,2000,1624,243,29,17,0,6,14,18,2,12,19,9
18,GALAŢI,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (GRUP ȘCOLAR INDUSTRIAL ”ANGHEL SALIGNY” - LICEUL INDUSTRIAL NR.9)",126,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:26",1673,1669,0,4,0,62,58,0,4,0,60,2,2000,1938,32,9,3,0,1,2,3,0,5,3,2
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",157,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:43:25",1855,1847,0,7,1,666,658,0,7,1,648,18,2000,1334,441,31,31,8,4,20,46,7,29,23,8
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",155,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:04:29",1658,1649,1,8,0,476,476,0,0,0,467,9,2000,1524,335,29,21,2,3,14,4,3,23,30,3
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",156,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:08:53",1796,1789,0,7,0,194,187,0,7,0,190,4,2000,1806,123,17,6,2,1,8,11,2,4,14,2
18,GALAŢI,"LICEUL TEHNOLOGIC ”AUREL VLAICU” (COLEGIUL TEHNIC ”AUREL VLAICU” - GRUP ȘCOLAR METALURGIC - LICEUL INDUSTRIAL NR. 3 )",158,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:20:51",1748,1742,0,6,0,584,578,0,6,0,540,44,2000,1416,359,50,17,4,2,18,18,9,28,26,9
18,GALAŢI,"LICEUL TEHNOLOGIC ”CAROL I” (LICEUL TEHNOLOGIC CĂI FERATE - GRUP ȘCOLAR INDUSTRIAL TRANSPORTURI CF - LICEUL CFR)",164,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:25:28",1626,1617,0,8,1,576,567,0,8,1,564,12,1600,1024,392,27,26,7,3,7,37,5,32,25,3
18,GALAŢI,"LICEUL TEHNOLOGIC ”CAROL I” (LICEUL TEHNOLOGIC CĂI FERATE - GRUP ȘCOLAR INDUSTRIAL TRANSPORTURI CF - LICEUL CFR)",162,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:55:03",1720,1714,0,6,0,605,600,0,5,0,591,14,2000,1395,391,37,38,7,2,22,19,3,39,21,12
18,GALAŢI,"LICEUL TEHNOLOGIC ”CAROL I” (LICEUL TEHNOLOGIC CĂI FERATE - GRUP ȘCOLAR INDUSTRIAL TRANSPORTURI CF - LICEUL CFR)",163,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:11:53",1656,1647,4,5,0,607,602,0,5,0,596,11,1600,993,414,30,18,4,4,16,29,6,49,15,11
18,GALAŢI,"LICEUL TEHNOLOGIC ”GENERAL DE MARINA NICOLAE DUMITRESCU MAICAN” (LICEUL TEHNOLOGIC DE MARINĂ - GRUP ȘCOLAR INDUSTRIAL DE MARINĂ - LICEUL DE MARINĂ)",50,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:13",1273,1268,1,4,0,475,471,0,4,0,464,11,1600,1125,266,29,21,6,5,8,42,5,52,22,8
18,GALAŢI,"LICEUL TEHNOLOGIC ”GENERAL DE MARINA NICOLAE DUMITRESCU MAICAN” (LICEUL TEHNOLOGIC DE MARINĂ - GRUP ȘCOLAR INDUSTRIAL DE MARINĂ - LICEUL DE MARINĂ)",49,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:15",1538,1497,36,5,0,531,526,0,5,0,511,20,1600,1069,311,38,24,1,2,20,28,13,39,28,7
18,GALAŢI,"LICEUL TEHNOLOGIC ”GENERAL DE MARINA NICOLAE DUMITRESCU MAICAN” (LICEUL TEHNOLOGIC DE MARINĂ - GRUP ȘCOLAR INDUSTRIAL DE MARINĂ - LICEUL DE MARINĂ)",48,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:01",1294,1282,2,5,5,403,393,0,5,5,387,16,1600,1197,238,39,6,9,4,20,15,5,19,26,6
18,GALAŢI,"LICEUL TEHNOLOGIC ”PAUL DIMO” (COLEGIUL TEHNIC ”PAUL DIMO” - LICEUL ENERGETIC NR.4)",144,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:52:36",1038,1032,0,6,0,392,386,0,6,0,380,12,1200,808,266,25,27,1,3,9,14,2,23,7,3
18,GALAŢI,"LICEUL TEHNOLOGIC ”PAUL DIMO” (COLEGIUL TEHNIC ”PAUL DIMO” - LICEUL ENERGETIC NR.4)",143,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:38",1379,1372,0,7,0,535,528,0,7,0,524,11,1600,1065,367,37,21,2,2,9,26,4,29,18,9
18,GALAŢI,"LICEUL TEHNOLOGIC ”PAUL DIMO” (COLEGIUL TEHNIC ”PAUL DIMO” - LICEUL ENERGETIC NR.4)",142,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:53",1324,1317,0,7,0,481,474,0,7,0,469,12,1600,1119,332,36,12,2,1,14,28,2,23,14,5
18,GALAŢI,"LICEUL TEHNOLOGIC ”PAUL DIMO” (COLEGIUL TEHNIC ”PAUL DIMO” - LICEUL ENERGETIC NR.4)",141,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:39",1334,1325,1,8,0,466,458,0,8,0,454,12,1600,1126,343,26,11,3,1,20,13,2,11,18,6
18,GALAŢI,"LICEUL TEHNOLOGIC ”RADU NEGRU” (COLEGIUL TEHNIC ”RADU NEGRU” - GRUP ȘCOLAR ”RADU NEGRU”)",41,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:58:44",1828,1791,4,6,27,726,692,1,6,27,713,11,2000,1276,441,55,39,6,1,18,48,3,65,24,13
18,GALAŢI,"LICEUL TEHNOLOGIC ”RADU NEGRU” (COLEGIUL TEHNIC ”RADU NEGRU” - GRUP ȘCOLAR ”RADU NEGRU”)",40,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:48:00",1605,1553,3,7,42,580,534,0,7,39,560,18,1600,1017,347,51,31,9,5,20,35,5,39,13,5
18,GALAŢI,"LICEUL TEORETIC ”DUNAREA”",103,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:35:55",1275,1267,2,6,0,487,481,0,6,0,481,6,1200,713,303,31,21,9,0,4,32,11,40,20,10
18,GALAŢI,"LICEUL TEORETIC ”DUNAREA”",101,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:57:30",1085,1080,0,5,0,403,398,0,5,0,391,12,1200,797,261,21,27,1,0,8,27,0,33,11,2
18,GALAŢI,"LICEUL TEORETIC ”DUNAREA”",102,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:16",1200,1194,2,4,0,480,476,0,4,0,470,10,1200,720,316,29,25,3,3,10,19,6,31,20,8
18,GALAŢI,"LICEUL TEORETIC ”EMIL RACOVIȚĂ” (LICEUL ”EMIL RACOVIŢĂ” - ȘCOALA GENERALĂ NR. 6)",17,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:09",1094,1082,6,6,0,323,315,2,6,0,314,9,1200,877,193,18,20,4,2,3,20,5,34,10,5
18,GALAŢI,"LICEUL TEORETIC ”EMIL RACOVIȚĂ” (LICEUL ”EMIL RACOVIŢĂ” - ȘCOALA GENERALĂ NR. 6)",16,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:17:24",1216,1206,2,8,0,428,420,0,8,0,412,16,1200,42,264,31,25,0,1,7,32,4,32,13,3
18,GALAŢI,"LICEUL TEORETIC ”EMIL RACOVIȚĂ” (LICEUL ”EMIL RACOVIŢĂ” - ȘCOALA GENERALĂ NR. 6)",15,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:50:35",1726,1720,0,6,0,664,658,0,6,0,638,20,1342,403,403,41,43,1,0,17,38,8,66,11,10
18,GALAŢI,"LICEUL TEORETIC ”MIRCEA ELIADE” (GRUP ȘCOLAR INDUSTRIAL ”GHEORGHE ASACHI” - LICEUL INDUSTRIAL NR. 8)",160,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:05",1685,1676,1,8,0,94,86,0,8,0,92,2,2000,1906,65,4,2,1,0,8,3,1,1,4,3
