precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ILIŞESCU IOAN-voturi"
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”",81,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:53",1438,1432,0,6,0,631,625,0,6,0,615,16,1600,969,36,398,63,74,15,4,25
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”IOAN CIUREA”",84,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:53:56",1329,1321,1,7,0,569,562,0,7,0,549,20,1400,831,42,388,24,58,17,2,18
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”IOAN CIUREA”",85,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:31:07",802,796,0,5,1,413,407,0,5,1,400,13,900,487,31,265,24,56,13,1,10
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”IOAN CIUREA”",86,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:48",1063,1056,0,7,0,482,475,0,7,0,460,22,1200,718,37,298,32,54,16,2,21
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”IOAN CIUREA”- CLĂDIRE GHEORGHE GAFENCU",98,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:26",1561,1555,0,5,1,672,666,0,5,1,655,17,1700,1028,81,440,40,48,30,4,12
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”ION IRIMIESCU”",91,"MUNICIPIUL FĂLTICENI",146539,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:33:18",1129,1120,1,6,2,496,487,1,6,2,478,18,1300,804,43,266,36,88,22,4,19
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”ION IRIMIESCU”",90,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:56",1103,1093,0,9,1,498,488,0,9,1,479,19,1200,702,47,283,47,62,23,5,12
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",88,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:04",1141,1132,0,7,2,499,490,0,7,2,482,17,1300,801,50,324,37,41,13,1,16
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",89,"MUNICIPIUL FĂLTICENI",146539,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:35:45",1196,1190,1,5,0,575,570,0,5,0,555,20,1300,725,42,348,82,53,18,3,9
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",87,"MUNICIPIUL FĂLTICENI",146539,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:26",1606,1599,0,5,2,745,738,0,5,2,718,27,1700,955,54,461,74,85,30,2,12
