precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MÎNZÎNĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi","VELCESCU FLORIN-BOGDAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PERIANU RADU-VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂRĂŞOIU DORIN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","LAZĂR ION-CORNEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SOARE EMANUEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALEXANDRESCU INGRID-ELENA-PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL IONEŞTI",265,BUZOEŞTI,14940,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:39:31",580,544,0,7,29,386,350,0,7,29,368,18,600,214,153,57,109,6,8,18,17
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL ”ISTEŢEL” ( FOSTA GRĂDINIŢĂ NR.4)",83,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:48:03",1739,1733,0,6,0,723,717,0,6,0,693,30,2000,1277,263,74,149,16,18,144,29
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL ”MARIN ANGELESCU”, ROCIU",449,ROCIU,18475,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:52",360,352,0,8,0,209,201,0,8,0,195,14,367,158,49,108,26,1,0,10,1
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL MÂZGANA ” PICTOR ION MĂRGESCUˮ",524,VULTUREŞTI,20055,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:20:14",758,756,0,2,0,410,408,0,2,0,377,33,830,420,276,12,67,1,0,11,10
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.2 GROŞANI",434,"POIENARII DE MUSCEL",17968,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:09:37",607,603,0,2,2,354,350,0,2,2,338,16,650,296,103,51,159,1,1,11,12
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9",93,"MUNICIPIUL CÂMPULUNG",13490,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:42:44",1561,1547,2,12,0,803,791,0,12,0,779,24,1750,947,179,51,67,3,17,440,22
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - II",94,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:27:20",1464,1451,0,12,1,738,725,0,12,1,717,21,1613,875,169,54,74,1,16,377,26
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - III",95,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:38:43",1346,1338,1,7,0,663,656,0,7,0,651,12,1400,737,173,70,74,1,20,302,11
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL PURCĂRENI",386,MICEŞTI,17209,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:32:09",1391,1388,0,1,2,964,961,0,1,2,927,34,1533,569,318,226,130,135,13,77,28
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL STOLNICI",477,STOLNICI,18938,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:18:14",1412,1400,1,11,0,894,883,0,11,0,852,42,1500,606,473,164,31,33,47,88,16
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL ”THEODOR ANGHEL”, GLIGANU DE JOS",450,ROCIU,18475,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:21:24",350,335,0,12,3,219,204,0,12,3,212,7,360,141,61,77,49,2,5,8,10
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA” ( FOSTA GRĂDINIŢĂ NR. 10)",26,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:45:31",1650,1644,3,3,0,582,579,0,3,0,571,11,1800,1218,221,84,123,2,16,84,41
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ” ARIPI DESCHISE” ( FOSTA GRĂDINIŢĂ NR.14)",84,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:43:31",1668,1657,3,8,0,708,700,0,8,0,693,15,1800,1092,266,72,177,15,19,122,22
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ” ARMONIA” ( FOSTA GRĂDINIŢĂ NR.8)",74,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:04:57",1672,1667,0,5,0,624,619,0,5,0,601,23,2000,1376,205,87,157,13,18,90,31
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ” FLOARE DE COLŢ” ( FOSTA GRĂDINIŢĂ NR.5)",70,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:33:40",1153,1137,6,10,0,500,490,0,10,0,480,20,1300,800,145,53,131,11,10,115,15
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMINIŞUL PĂDURII” (FOSTĂ GRĂDINIŢĂ NR. 6)",15,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:39",1574,1568,2,4,0,664,660,0,4,0,629,35,1700,1036,251,55,151,10,15,110,37
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMINIŞUL PĂDURII” (FOSTĂ GRĂDINIŢĂ NR. 6)",14,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:11:58",1304,1293,1,10,0,567,557,0,10,0,547,20,1400,833,187,51,128,10,11,138,22
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ” MICUL PRINŢ” (FOSTA GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",9,"MUNICIPIUL PITEŞTI",13169,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 15:35:57",2113,2106,0,7,0,904,897,0,7,0,893,11,2300,1396,324,89,208,4,20,210,38
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - I",102,"MUNICIPIUL CÂMPULUNG",13490,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:19:17",1256,1248,0,7,1,548,540,0,7,1,538,10,1400,852,137,40,67,6,7,266,15
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - II",103,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:33:55",1199,1191,0,8,0,516,508,0,8,0,503,13,1396,880,167,34,58,2,11,217,14
