precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRESCU IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","AXINIA ADRIAN-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NANU VIRGILIU-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","IONESCU GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PETRACHE ADRIAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","NĂSULEA GHEORGHE-PARTIDUL S.O.S. ROMÂNIA-voturi","NEAGU MIHAI-CRISTIAN-ALIANȚA MIȘCAREA, NOI PLOIEȘTENII - REPER-voturi","MUŞUROIA GABRIEL-MIHAIL-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"SALA DE SPORT MIZIL",235,"ORAŞ MIZIL",131407,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:07:37",1567,1557,0,10,0,611,601,0,10,0,573,38,1700,1089,73,60,324,41,5,30,17,23
31,PRAHOVA,"SALA DE SPORT TINERETULUI",184,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:47:39",1042,1033,0,6,3,579,570,0,6,3,547,32,1140,561,83,57,239,73,7,32,13,43
31,PRAHOVA,"SALA DE UTILITATE PUBLICĂ",405,DUMBRĂVEŞTI,131461,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:54",1267,1252,0,6,9,857,842,0,6,9,816,41,1420,563,379,51,313,25,7,35,3,3
31,PRAHOVA,"SALĂ MULTIFUNCȚIONALĂ BĂLTIȚA",485,MĂNEŞTI,134194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:12:22",702,679,2,7,14,411,389,1,7,14,393,18,800,389,275,25,45,22,0,13,3,10
31,PRAHOVA,"SALA MULTIFUNCTIONALA COCOSESTI",495,PĂULEŞTI,130847,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:43",937,926,4,5,2,688,681,0,5,2,662,26,1010,322,320,84,52,15,28,130,20,13
31,PRAHOVA,"SALĂ MULTIFUNCȚIONALĂ ZALHANAUA",487,MĂNEŞTI,134194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:17:04",840,827,0,5,8,458,445,0,5,8,434,24,898,440,242,54,77,22,2,18,6,13
31,PRAHOVA,"SALA POLIVALENTĂ PLOPENI",248,"ORAŞ PLOPENI",131443,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:28:36",1044,1027,0,15,2,583,566,0,15,2,558,21,1100,521,198,56,227,30,18,14,6,9
31,PRAHOVA,"SALA POLIVALENTĂ PLOPENI",247,"ORAŞ PLOPENI",131443,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:04",1134,1117,0,15,2,634,617,0,15,2,617,17,1200,566,225,59,211,45,27,31,10,9
31,PRAHOVA,"S.C.APA NOVA S.R.L.",70,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:08:38",996,967,2,9,18,456,429,0,9,18,429,27,1100,644,58,39,97,110,12,16,70,27
31,PRAHOVA,"S.C.APA NOVA S.R.L.",71,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:37:28",880,828,1,10,41,318,267,0,10,41,287,31,900,582,36,40,98,25,3,23,31,31
31,PRAHOVA,"S.C. ”ELECTRICA” S.A.",18,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:53",1081,1065,6,10,0,428,418,0,10,0,408,19,1200,773,69,43,94,80,4,22,60,36
31,PRAHOVA,"ȘCOALA COADA IZVORULUI",486,MĂNEŞTI,134194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:52",714,708,0,6,0,431,425,0,6,0,422,9,796,365,266,27,87,26,3,10,2,1
31,PRAHOVA,"SCOALA CU CLASELE I - IV",365,CEPTURA,132510,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:31:30",118,108,0,9,1,60,50,0,9,1,57,3,200,140,8,2,40,5,0,0,0,2
31,PRAHOVA,"ŞCOALA CU CLASELE I-IV",310,BĂLŢEŞTI,132271,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:27:54",1554,1499,1,29,25,953,908,1,29,15,929,24,1700,747,594,61,198,19,2,42,6,7
31,PRAHOVA,"ȘCOALA CU CLASELE I-IV",376,CIORANI,132681,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:19:09",963,954,0,4,5,544,535,0,4,5,505,39,1050,506,24,71,210,122,10,30,5,33
31,PRAHOVA,"ȘCOALA CU CLASELE I-IV BELCIUG",397,DRĂGĂNEŞTI,133018,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:44:12",427,424,0,3,0,240,237,0,3,0,223,17,500,260,20,31,109,54,0,5,4,0
31,PRAHOVA,"ȘCOALA CU CLASELE I-IV CORNU DE JOS",398,DRĂGĂNEŞTI,133018,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:05:04",479,471,0,4,4,267,259,0,4,4,253,14,500,233,29,10,159,34,4,8,4,5
31,PRAHOVA,"SCOALA CU CLASELE I - IV NISIPOASA",501,PLOPU,134390,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:04:34",700,675,1,11,13,485,460,1,11,13,468,17,696,211,265,21,152,17,1,5,4,3
31,PRAHOVA,"ȘCOALA CU CLASELE I-IV TRESTIOARA",624,VÂLCĂNEŞTI,136198,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:20:07",337,330,0,4,3,186,179,0,4,3,177,9,364,178,72,26,41,20,6,8,1,3
31,PRAHOVA,"SCOALA CU CLASELE I-VIII CATINA",425,FLOREŞTI,133330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:10:59",842,793,0,6,43,503,454,0,6,43,495,8,900,379,235,32,170,14,5,26,9,4
31,PRAHOVA,"ŞCOALA CU CLASELE I-VIII ”EROU INV.I.DRĂGĂNESCU”TRĂISTENI",614,"VALEA DOFTANEI",136107,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:26:22",990,984,0,6,0,518,512,0,6,0,506,12,1080,562,58,68,328,38,0,8,4,2
31,PRAHOVA,"SCOALA CU CLASELE I - VIII FLORESTI (LOCALUL NOU)",422,FLOREŞTI,133330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:08:34",1471,1466,1,4,0,832,828,0,4,0,807,25,1600,768,535,70,108,33,9,34,9,9
31,PRAHOVA,"SCOALA CU CLASELE I-VIII FLORESTI (LOCALUL VECHI)",423,FLOREŞTI,133330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:22:25",1133,1118,0,8,7,672,657,0,8,7,648,24,1200,528,323,64,136,48,13,38,11,15
31,PRAHOVA,"SCOALA CU CLASELE I-VIII ”NICHITA STANESCU” CEPTURA",363,CEPTURA,132510,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:56:19",908,904,0,2,2,458,454,0,2,2,436,22,1003,545,73,39,259,22,0,18,11,14
31,PRAHOVA,"SCOALA CU CLASELE I-VIII ”NICHITA STANESCU” CEPTURA",362,CEPTURA,132510,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:24:06",922,920,0,2,0,496,494,0,2,0,463,33,1003,507,90,49,246,26,3,21,8,20
31,PRAHOVA,"SCOALA CU CLASELE I - VIII ROTARI",366,CEPTURA,132510,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:20",587,582,0,4,1,287,282,0,4,1,269,18,600,313,28,15,198,13,0,9,2,4
31,PRAHOVA,"SCOALA CU CLS. I-IV ALUNIS VALE",292,ALUNIŞ,131988,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:44:09",711,678,0,22,11,511,478,0,22,11,489,22,800,289,47,79,216,113,1,22,6,5
31,PRAHOVA,"ŞCOALA DIN SATUL VALEA ANEI",556,STARCHIOJD,135315,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:33:49",388,383,0,5,0,195,190,0,5,0,178,17,400,205,38,41,89,4,0,6,0,0
31,PRAHOVA,"ȘCOALA ELEMENTARĂ ZÎMBROAIA",522,PREDEAL-SĂRARI,134755,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:26:34",123,113,0,4,6,87,77,0,4,6,87,0,159,72,51,8,24,0,0,3,0,1
31,PRAHOVA,"ṢCOALA FILIPEṢTII DE TȊRG",417,"FILIPEŞTII DE TÂRG",133214,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:09:37",1145,1129,0,5,11,655,639,0,5,11,616,39,1272,617,344,55,105,55,3,31,5,18
31,PRAHOVA,"ṢCOALA GENERALǍ BRǍTǍṢANCA",418,"FILIPEŞTII DE TÂRG",133214,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:21:41",1707,1675,1,13,18,1192,1160,1,13,18,1125,67,1856,664,671,109,102,150,9,42,29,13
31,PRAHOVA,"ȘCOALA GENERALĂ CIORANII DE SUS",377,CIORANI,132681,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:25:22",865,851,0,6,8,531,517,0,6,8,454,40,932,438,20,61,234,83,1,24,10,21
31,PRAHOVA,"ŞCOALA GENERALĂ CU CLASELE I-IV STĂNCEŞTI",581,"TÂRGŞORU VECHI",130892,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:33:29",844,838,1,5,0,406,401,0,5,0,396,9,900,494,64,50,143,70,11,21,11,26
31,PRAHOVA,"SCOALA GENERALA CU CL.I-VIII ARH.TOMA T.SOCOLESCU PAULESTI",493,PĂULEŞTI,130847,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:22:55",1648,1607,17,21,3,1018,994,0,21,3,975,43,1820,802,295,82,337,139,20,23,46,33
31,PRAHOVA,"SCOALA GENERALA CU CLS.I-VIII VLAD MUSATESCU GAGENI",496,PĂULEŞTI,130847,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:06:15",873,851,3,19,0,524,505,0,19,0,509,15,910,386,197,38,141,70,5,16,25,17
31,PRAHOVA,"ṢCOALA GENERALǍ MǍRGINENII DE JOS (ṢCOALA NOUǍ)",419,"FILIPEŞTII DE TÂRG",133214,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:55",1587,1567,0,7,13,844,824,0,7,13,816,28,1739,895,393,32,355,16,1,16,3,0
