precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",133,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:57",963,957,1,4,1,423,418,0,4,1,409,14,1050,627,136,70,44,159
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",134,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:43:40",1322,1310,1,8,3,561,549,1,8,3,539,22,1500,939,177,90,54,218
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",136,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:42",1037,1030,1,6,0,434,428,0,6,0,425,9,1200,766,141,68,38,178
1,ALBA,"ŞCOALA GIMNAZIALĂ NR. 3 - CUGIR",135,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:12",1177,1169,2,6,0,483,477,0,6,0,470,13,1300,817,158,102,37,173
1,ALBA,"ȘCOALA GIMNAZIALĂ NR.3 CUGIR",137,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:38:13",958,946,3,9,0,465,456,0,9,0,456,9,1100,635,132,71,39,214
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",142,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:31:28",1168,1160,1,7,0,418,411,0,7,0,387,31,1300,882,137,42,54,154
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",140,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:57",1045,1033,1,9,2,435,424,0,9,2,425,10,1200,765,135,87,46,157
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",141,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:07",1286,1274,2,9,1,569,559,0,9,1,548,21,1500,931,148,104,56,240
1,ALBA,"ȘCOALA GIMNAZIALĂ ”SINGIDAVA” CUGIR",143,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:03:10",1183,1173,2,8,0,561,553,0,8,0,544,17,1300,739,192,108,53,191
1,ALBA,"ŞCOALA PRIMARĂ - BUCURU",150,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:11:55",94,84,0,10,0,46,36,0,10,0,41,5,100,54,5,3,3,30
1,ALBA,"ŞCOALA PRIMARĂ - CĂLENE",151,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:39:11",53,45,0,8,0,25,17,0,8,0,24,1,50,25,3,2,2,17
1,ALBA,"ŞCOALA PRIMARĂ - MUGEŞTI",152,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:48:06",82,75,0,7,0,26,19,0,7,0,24,2,90,64,3,2,2,17
