precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOANCĂ VASIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","KORODI ATTILA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ERŐS MARIA-PARTIDUL NAȚIONAL LIBERAL-voturi","TŐKE ERVIN-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",12,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:34",1394,1372,5,12,5,677,660,0,12,5,656,12,1600,932,42,477,31,106
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",14,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:12:10",1639,1627,3,7,2,665,656,0,7,2,653,12,1700,1035,55,484,50,64
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",13,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:30",1428,1411,5,8,4,605,592,1,8,4,589,16,1599,994,42,434,36,77
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”LIVIU REBREANU” MIERCUREA-CIUC",9,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:45:37",1498,1481,9,6,2,657,649,0,6,2,619,38,1600,943,34,449,37,99
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”NAGY IMRE”",6,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:47",1582,1561,8,13,0,717,703,1,13,0,702,15,1600,883,50,503,42,107
21,HARGHITA,"ŞCOALA GIMNAZIALĂ „NAGY IMRE” MIERCUREA-CIUC",5,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:53",1501,1487,1,12,1,710,697,0,12,1,690,20,1600,890,62,500,36,92
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”NAGY IMRE” MIERCUREA-CIUC",4,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:23:32",1510,1481,20,8,1,703,694,0,8,1,685,18,1600,897,47,486,44,108
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”PETŐFI SÁNDOR” MIERCUREA-CIUC",8,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:12",1342,1322,4,13,3,485,470,0,13,2,469,16,1600,1115,47,342,24,56
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”PETŐFI SÁNDOR” MIERCUREA-CIUC",7,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:24:03",1431,1377,17,11,26,612,574,1,11,26,570,31,1600,999,32,408,42,88
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”XÁNTUS JÁNOS” HARGHITA-BĂI MIERCUREA-CIUC",24,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:02",192,173,3,16,0,93,77,0,16,0,91,2,400,307,2,80,1,8
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”XANTUS JANOS” MIERCUREA-CIUC",20,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:11:23",1227,1213,7,7,0,593,586,0,7,0,564,25,1300,707,7,380,14,163
21,HARGHITA,"ȘCOALA PRIMARĂ DIN SUBPĂDURE",23,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:16",479,467,4,7,1,223,215,0,7,1,221,2,500,277,14,163,8,36
21,HARGHITA,"SEDIUL ASOCIAȚIEI ”CSÍKSOMLYÓ” MIERCUREA-CIUC",21,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:25",1849,1838,0,11,0,967,956,0,11,0,933,34,1900,933,11,773,22,127
21,HARGHITA,"TEATRUL MUNICIPAL ”CSIKI JÁTÉKSZÍN” MIERCUREA-CIUC",1,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:04",1778,1712,51,15,0,691,676,0,15,0,652,39,2000,1309,51,445,56,100
