precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi"
26,MARAMUREŞ,"ŞCOALA NR. 9",135,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:21:04",1097,1085,2,8,2,427,417,0,8,2,417,10,1200,773,185,8,70,63,21,14,18,18,6,4,5,5
26,MARAMUREŞ,"ŞCOALA NR. 9 CORP B",138,"ORAŞ BORŞA",106746,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:11",1069,1025,1,9,34,414,373,0,9,32,394,20,1100,686,141,11,94,42,20,8,29,12,3,5,9,20
26,MARAMUREŞ,"ŞCOALA NR. 9 CORP B",136,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:27:18",1190,1174,3,10,3,517,504,0,10,3,505,12,1300,783,210,3,130,66,17,18,16,21,8,2,6,8
26,MARAMUREŞ,"ŞCOALA NR. 9 CORP B",137,"ORAŞ BORŞA",106746,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:52",798,789,1,8,0,315,307,0,8,0,301,14,900,585,111,3,54,53,17,11,24,3,3,3,10,9
26,MARAMUREŞ,"ŞCOALA POIANA",143,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:05:56",1023,1015,1,5,2,399,392,0,5,2,389,10,1100,701,135,3,101,66,15,20,14,11,2,1,15,6
26,MARAMUREŞ,"ŞCOALA POIANA",142,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:10:46",985,968,5,6,6,432,417,3,6,6,423,9,1100,668,168,3,106,73,16,23,4,13,2,2,6,7
26,MARAMUREŞ,"ŞCOALA REPEDEA",141,"ORAŞ BORŞA",106746,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:08",1049,1042,1,5,1,418,412,0,5,1,402,16,1100,682,158,4,135,33,12,10,11,19,0,0,16,4
26,MARAMUREŞ,"ŞCOALA REPEDEA",140,"ORAŞ BORŞA",106746,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:57:08",810,798,1,5,6,346,335,0,5,6,323,23,900,554,119,2,138,28,5,10,7,2,2,3,5,2
26,MARAMUREŞ,"ŞCOALA ROTUNDU",146,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:26:10",1152,1144,1,3,4,493,486,0,3,4,470,23,1300,807,166,3,71,128,4,13,5,10,6,0,59,5
26,MARAMUREŞ,"ŞCOALA ROTUNDU",147,"ORAŞ BORŞA",106746,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:33",1238,1230,1,7,0,535,528,0,7,0,517,18,1300,765,184,2,88,109,19,5,11,19,2,1,70,7
