precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
36,TELEORMAN,"LICEUL TEHNOLOGIC ”EMIL RACOVIŢĂ”",50,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:51",1262,1235,2,7,18,492,467,0,7,18,470,22,1360,868,49,210,61,150
36,TELEORMAN,"LICEUL TEHNOLOGIC ”VIRGIL MADGEARU”",54,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:24:25",1096,1085,2,7,2,432,424,0,6,2,414,18,1200,768,41,192,56,125
36,TELEORMAN,"MUZEUL DE ISTORIE",43,"MUNICIPIUL ROŞIORI DE VEDE",151870,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:20:43",989,980,0,7,2,415,406,0,7,2,408,7,1090,675,38,179,56,135
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",47,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:13:24",1021,1009,0,7,5,449,437,0,7,5,422,27,1120,671,50,161,44,167
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",46,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:51:23",1274,1267,0,3,4,393,386,0,3,4,377,16,1420,1027,27,190,46,114
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",45,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:21:51",1215,1196,0,2,17,495,476,0,2,17,453,42,1360,865,36,271,37,109
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”DAN BERINDEI”",37,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:53",1123,1100,1,6,16,474,452,0,6,16,446,21,1220,753,34,237,36,139
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",41,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:51:33",1030,1025,0,2,3,375,370,0,2,3,350,25,1130,755,34,154,60,102
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",42,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:41:18",1092,1082,0,3,7,327,317,0,3,7,300,27,1200,873,21,170,35,74
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ZAHARIA STANCU”",36,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:39",1055,1051,2,2,0,410,408,0,2,0,399,11,1165,755,28,197,56,118
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ZAHARIA STANCU”",35,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:23:27",1126,1124,0,1,1,484,482,0,1,1,472,12,1246,762,38,234,48,152
