precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROMAN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","MŰLLER VASILE-DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MUREŞAN CLAUDIU-MARINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DORDEA FLAVIUS-IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SCHNEIDER PETRU-PAUL-PARTIDUL ECOLOGIST ROMÂN-voturi","POTRA HORAŢIU-PARTIDUL PATRIOȚILOR-voturi","DINCĂ TUDOR-voturi"
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",141,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:37:46",1161,1155,0,5,1,438,432,0,5,1,433,5,1350,912,198,8,34,22,2,156,13
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",143,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:22",1287,1281,2,3,1,482,478,0,3,1,476,6,1515,1033,198,15,62,13,6,169,13
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",146,"MUNICIPIUL MEDIAŞ",143619,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:37:53",1037,1032,0,5,0,444,439,0,5,0,431,13,1200,756,180,8,45,13,5,158,22
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",145,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:15",1260,1254,1,5,0,505,500,0,5,0,496,9,1400,895,220,6,49,18,5,190,8
34,SIBIU,"ŞCOALA GIMNAZIALĂ GEORGE POPA",133,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:48:44",1377,1368,2,7,0,633,626,0,7,0,610,23,1450,817,287,12,40,32,2,222,15
34,SIBIU,"ŞCOALA GIMNAZIALĂ GEORGE POPA",132,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:36:24",937,932,1,4,0,428,424,0,4,0,416,12,1000,572,140,6,51,28,9,147,35
34,SIBIU,"ŞCOALA GIMNAZIALĂ GEORGE POPA",131,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:47:57",1257,1247,6,2,2,604,602,0,2,0,588,16,1350,746,199,15,67,29,3,255,20
34,SIBIU,"ŞCOALA GIMNAZIALĂ MIHAI EMINESCU",110,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:01",1243,1227,2,10,4,513,498,1,10,4,492,21,1300,787,177,13,64,30,11,181,16
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",128,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:13",1027,1011,7,8,1,460,450,1,8,1,455,5,1100,640,159,3,85,28,4,156,20
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",127,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:01:00",1006,994,1,7,4,479,468,0,7,4,474,5,1050,571,175,8,73,33,2,167,16
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7",118,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:32",900,890,0,8,2,346,336,0,8,2,336,10,1000,654,142,4,28,10,6,132,14
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7",117,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:14",1236,1225,1,6,4,541,531,0,6,4,535,6,1366,825,267,11,46,14,5,180,12
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7",119,"MUNICIPIUL MEDIAŞ",143619,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:09:01",1073,1065,3,2,3,476,472,0,2,2,476,0,1216,740,191,9,50,19,5,184,18
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7",120,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:41",925,913,2,6,4,339,329,0,6,4,337,2,1000,661,125,5,48,7,1,148,3
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7 CORP A",122,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:37",918,901,1,7,9,411,396,0,7,8,402,9,1000,589,177,7,35,15,13,148,7
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7 CORP A",123,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:12",1067,1060,0,5,2,365,358,0,5,2,355,10,1150,785,83,9,28,14,6,203,12
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7 CORP A",124,"MUNICIPIUL MEDIAŞ",143619,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:43:46",1047,1046,0,0,1,391,390,0,0,1,376,15,1150,759,142,5,37,12,5,162,13
34,SIBIU,"STADIONUL MUNICIPAL GAZ METAN",113,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:49",849,837,2,9,1,421,411,0,9,1,411,10,950,529,143,11,41,17,3,182,14
34,SIBIU,"UNIVERSITATEA LUCIAN BLAGA",148,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:09",1351,1345,1,5,0,570,564,1,5,0,559,11,1440,870,223,7,51,29,3,229,17
34,SIBIU,"UNIVERSITATEA LUCIAN BLAGA",147,"MUNICIPIUL MEDIAŞ",143619,3,PART,PRCNCT,P,P_SV,"2024-06-10 19:08:43",1083,1077,1,3,2,462,457,0,3,2,452,10,1200,738,189,6,51,14,7,173,12
34,SIBIU,"VESTIAR SPARTA",112,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:31",743,714,22,6,1,347,340,0,6,1,341,6,916,569,105,9,37,18,3,161,8
