precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PROGRESIST-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LEHĂDUŞ ALIN-ŞTEFAN-voturi","LUCA-MOISE FLORENTINA-voturi","ACATRINEI DIANA-NICOLETA-voturi"
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",31,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:10:41",1596,1592,1,3,0,606,603,0,3,0,586,20,1700,1094,66,196,139,10,1,44,3,22,46,18,23,18
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",33,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:10:22",966,964,0,2,0,308,306,0,2,0,294,12,1100,794,32,77,54,6,0,17,2,66,9,8,10,13
29,NEAMŢ,"COLEGIUL NAȚIONAL ”GH. ASACHI”",23,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:39:18",895,885,1,9,0,279,270,0,9,0,273,6,1000,721,42,90,57,1,0,18,5,21,15,4,6,14
29,NEAMŢ,"COLEGIUL NAȚIONAL ”GH. ASACHI”",24,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:28:01",1079,1070,0,9,0,325,316,0,9,0,301,24,1200,875,34,98,81,3,2,26,5,19,19,6,4,4
29,NEAMŢ,"COLEGIUL NAȚIONAL ”PETRU RAREȘ”",5,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:09:33",1574,1561,5,8,0,502,494,0,8,0,474,28,1700,1158,32,144,137,4,3,40,6,19,51,15,10,13
29,NEAMŢ,"COLEGIUL TEHNIC DE TRANSPORTURI",55,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:06:07",1109,1096,5,8,0,422,414,0,8,0,394,11,1200,795,45,114,96,4,3,30,2,31,40,6,9,14
29,NEAMŢ,"COLEGIUL TEHNIC FORESTIER",56,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:39:01",1216,1210,0,6,0,483,477,0,6,0,457,26,1300,817,64,144,109,0,5,20,7,10,44,21,21,12
29,NEAMŢ,"COLEGIUL TEHNIC FORESTIER",57,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:09",1322,1309,3,10,0,570,560,0,10,0,538,32,1400,830,66,129,143,8,5,47,4,20,53,33,18,12
29,NEAMŢ,"COMPLEXUL EXPOZIȚIONAL MUNICIPAL",45,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:52",1254,1244,2,7,1,569,561,0,7,1,549,20,1400,831,51,169,133,2,3,38,8,21,68,16,19,21
29,NEAMŢ,"DIRECȚIA AGRICOLĂ",43,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:25",1217,1210,0,7,0,543,536,0,7,0,518,25,1300,757,54,162,133,3,7,31,4,18,53,16,19,18
29,NEAMŢ,"GRĂDINIȚA CUPLATĂ CU CREŞĂ NR.5",18,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:27",991,985,0,6,0,401,395,0,6,0,381,20,1100,699,37,107,100,7,0,29,5,22,33,6,21,14
29,NEAMŢ,"GRĂDINIȚA CUPLATĂ CU CREŞĂ NR.5",17,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:32:51",1364,1357,1,6,0,532,526,0,6,0,507,25,1500,968,60,153,144,4,7,28,7,19,30,12,24,19
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",75,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:55:04",1450,1437,0,13,0,643,630,0,13,0,618,25,1600,957,61,246,120,2,4,36,9,22,49,19,24,26
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM NORMAL OCOL",20,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:35:34",1922,1864,4,29,25,853,799,0,29,25,820,33,2000,1146,130,257,184,13,3,49,6,45,77,21,15,20
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”FLOARE DE COLŢ”",73,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:40",1444,1434,4,6,0,549,543,0,6,0,527,22,1600,1051,60,181,124,3,5,38,3,22,46,15,19,11
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”FLOARE DE COLŢ”",74,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:39:40",1189,1188,0,1,0,504,503,0,1,0,478,25,1300,797,34,191,93,5,8,41,6,26,33,17,15,9
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",27,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:15",1233,1225,0,8,0,506,498,0,8,0,484,22,1400,894,79,147,84,8,13,35,8,34,38,6,15,17
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",25,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:00:34",1286,1274,2,9,1,493,483,0,9,1,480,13,1400,907,60,160,85,8,4,47,5,31,31,11,21,17
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",26,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:18",1181,1171,1,9,0,451,442,0,9,0,443,8,1300,849,50,153,99,5,0,34,5,16,29,6,27,19
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.3 CORP B",10,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:25",945,937,0,7,1,397,389,0,7,1,381,16,1000,603,39,144,84,3,2,24,9,21,23,11,11,10
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.8",19,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:12:04",827,818,0,9,0,320,311,0,9,0,309,11,900,580,47,87,73,2,1,22,6,27,20,8,9,7
29,NEAMŢ,"LICEUL CU PROGRAM SPORTIV",11,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:24",1242,1238,0,4,0,516,512,0,4,0,497,19,1400,884,65,159,131,5,7,22,8,23,32,20,13,12
29,NEAMŢ,"LICEUL CU PROGRAM SPORTIV",12,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:58",1067,1061,2,4,0,482,478,0,4,0,473,9,1200,718,46,168,128,4,2,35,5,14,38,9,12,12
29,NEAMŢ,"LICEUL DE ARTE ”VICTOR BRAUNER” - CORPUL B",6,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:01",1160,1156,1,3,0,478,475,0,3,0,465,10,1300,822,47,151,97,3,4,37,9,24,37,12,22,22
29,NEAMŢ,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”",71,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:51:08",1221,1217,1,3,0,612,612,0,0,0,560,52,1300,688,82,195,105,5,2,32,3,84,18,7,14,13
29,NEAMŢ,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”",70,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:20",1327,1320,2,5,0,541,536,0,5,0,513,28,1500,959,78,144,120,12,0,40,9,36,37,3,17,17
29,NEAMŢ,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”, CORP A",69,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:17",983,972,3,8,0,403,395,0,8,0,381,21,1100,698,48,130,86,7,0,25,2,8,41,17,8,9
29,NEAMŢ,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA” CORP B",72,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:12:03",1007,1003,0,4,0,459,455,0,4,0,430,26,1100,644,55,86,159,5,0,11,4,36,46,7,11,10
29,NEAMŢ,"LICEUL TEHNOLOGIC ECONOMIC ADMINISTRATIV",58,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:09:42",1283,1268,6,8,1,600,591,0,8,1,563,37,1400,800,54,171,140,6,2,38,6,17,63,17,36,13
29,NEAMŢ,"LICEUL TEHNOLOGIC ”SPIRU HARET”",8,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:56:46",1181,1174,0,7,0,505,498,0,7,0,481,22,1301,796,44,180,101,2,2,38,11,17,39,13,20,14
29,NEAMŢ,"LICEUL TEHOLOGIC ”SPIRU HARET”",9,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:07:51",1061,1052,2,7,0,476,469,0,7,0,455,21,1200,724,48,146,111,7,6,39,3,15,46,16,11,7
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",65,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:03",1167,1160,0,7,0,460,453,0,7,0,446,14,1300,840,44,140,140,5,2,36,3,13,28,14,11,10
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",62,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:15",1210,1203,1,6,0,410,404,0,6,0,389,21,1300,890,52,148,68,2,2,32,1,40,14,9,10,11
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",67,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:40",1615,1610,1,4,0,514,510,0,4,0,487,27,1800,1286,49,143,109,8,3,27,4,43,50,13,21,17
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",64,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:41",921,914,1,6,0,371,365,0,6,0,350,21,1000,629,43,106,80,5,0,21,9,18,34,10,15,9
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",63,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:40:40",1618,1611,1,6,0,540,534,0,6,0,511,29,1800,1260,53,149,118,8,0,26,3,37,41,14,20,42
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",66,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:32",871,857,3,10,1,328,317,0,10,1,315,13,1000,672,36,94,76,5,3,16,3,17,28,9,13,15
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A (CORP DE GRĂDINIȚĂ)",61,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:32:44",1242,1232,1,7,2,567,558,0,7,2,547,20,1400,833,47,149,151,2,4,43,3,27,57,31,13,20
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A (CORP DE GRĂDINIȚĂ)",60,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:29",886,876,0,9,1,353,343,0,9,1,344,9,1000,647,32,96,93,2,3,26,2,10,44,13,6,17
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A (CORP DE GRĂDINIȚĂ)",59,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:05:00",1259,1252,3,4,0,552,548,0,4,0,539,13,1400,448,64,136,148,10,6,36,3,15,68,26,14,13
29,NEAMŢ,"S.C. APA SERV S.A.",44,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:40:32",1058,1052,2,4,0,462,458,0,4,0,447,14,1100,638,37,150,107,2,4,22,4,15,59,16,16,15
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”ELENA CUZA”",47,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:38",1304,1301,0,3,0,569,566,0,3,0,547,22,1400,831,59,178,129,2,6,35,3,20,59,20,14,22
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”ELENA CUZA”",46,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:01:15",1339,1325,5,9,0,579,565,5,9,0,550,9,1500,926,42,165,135,3,4,40,9,15,65,13,38,21
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",51,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:06",1312,1305,0,7,0,528,521,0,7,0,513,15,1400,872,63,151,137,7,2,32,1,21,46,14,24,15
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",48,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:32",1111,1099,2,10,0,434,424,0,10,0,415,19,1200,766,48,131,106,6,3,39,4,11,40,10,8,9
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",53,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:36:14",1294,1287,0,7,0,537,530,0,7,0,505,32,1400,863,66,135,137,3,4,51,5,27,41,13,13,10
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",50,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:24:51",1102,1096,0,6,0,408,402,0,6,0,385,23,1200,792,39,122,75,3,2,25,3,20,30,22,36,8
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",52,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:14",1294,1287,1,6,0,504,498,0,6,0,492,12,1400,896,45,143,129,4,5,38,6,22,50,14,19,17
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",49,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:42",1288,1276,2,8,2,538,528,0,8,2,517,21,1400,862,43,140,152,3,3,41,6,14,60,19,15,21
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.1",68,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:07:07",1851,1840,4,7,0,815,808,0,7,0,779,36,2000,1185,83,238,189,5,13,50,7,30,69,28,33,34
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.11",22,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:56:23",1374,1363,1,10,0,528,518,0,10,0,511,16,1500,973,50,165,117,6,3,43,6,33,26,18,23,21
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.2",41,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:05",1067,1060,0,7,0,445,438,0,7,0,426,19,1200,755,56,121,104,6,0,26,4,21,46,9,17,16
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.2",42,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:51",1279,1269,3,7,0,495,487,1,7,0,483,12,1400,905,39,140,108,3,2,43,6,30,53,15,21,23
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.2",39,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:58",854,833,14,7,0,366,359,0,7,0,348,18,1000,634,43,105,86,5,3,20,8,13,32,7,14,12
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.2",40,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:31:05",842,830,3,9,0,410,401,0,9,0,409,1,900,490,41,161,88,4,1,18,7,13,26,12,18,20
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.2",38,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:26:27",987,978,0,9,0,420,411,0,9,0,408,12,1100,676,33,124,111,3,8,32,2,14,43,11,9,18
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.3",1,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:34:38",1085,1075,0,10,0,377,367,0,10,0,355,22,1100,723,45,103,87,1,7,23,9,15,33,20,6,6
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.3",2,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:14:08",871,854,2,15,0,369,354,0,15,0,357,12,900,531,39,105,96,4,6,32,5,10,29,8,16,7
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.3",4,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:03:04",1074,1059,7,8,0,422,414,0,8,0,402,20,1100,678,24,136,112,2,1,13,3,9,50,22,16,14
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.3",3,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:40:17",888,880,2,6,0,369,363,0,6,0,356,13,1000,631,38,133,65,3,3,24,5,13,44,7,10,11
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.5",15,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:15",1393,1386,0,6,1,480,473,0,6,1,458,22,1500,1020,48,173,91,5,2,24,11,23,31,14,25,11
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.5",16,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:23",1266,1258,3,5,0,535,530,0,5,0,510,23,1400,867,58,154,121,9,3,50,9,21,48,11,15,11
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.5",13,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:49:07",1233,1221,2,10,0,458,448,0,10,0,451,7,1300,829,45,157,118,5,0,35,6,15,29,10,17,14
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.5",14,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:04",1357,1352,0,5,0,550,545,0,5,0,524,26,1500,950,60,198,117,11,1,37,5,24,32,10,17,12
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.7",35,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:11:36",1527,1519,3,5,0,606,601,0,5,0,567,39,1600,994,95,158,120,8,3,16,5,104,16,12,17,13
