precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANDREICA DORIN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TICĂ DAN-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","STAN DANIEL-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BLAGA DANIEL-CODRUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”ALEXANDRINA SIMIONESCU-GHICA”",59,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:38",418,412,0,6,0,232,226,0,6,0,229,3,450,218,11,20,178,20
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",18,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:48",1170,1164,1,5,0,503,498,0,5,0,493,10,1270,767,20,38,389,46
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",17,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:06",1399,1394,0,5,0,545,540,0,5,0,537,8,1550,1005,25,38,453,21
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2",3,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:49",1479,1471,2,6,0,630,624,0,6,0,617,13,1630,1000,37,50,492,38
16,DÂMBOVIŢA,"LICEUL DE ARTE ”BĂLAȘA DOAMNA”",11,"MUNICIPIUL TÂRGOVIŞTE",65342,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:55",978,973,0,5,0,401,396,0,5,0,386,15,1070,669,15,26,318,27
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",23,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:04",677,668,1,8,0,236,228,0,8,0,232,4,740,504,7,31,181,13
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",21,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:11:28",1312,1307,0,5,0,515,510,0,5,0,497,18,1450,935,25,52,401,19
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",19,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:30",768,758,0,10,0,302,292,0,10,0,297,5,840,538,13,24,251,9
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",22,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:52",777,773,0,4,0,284,280,0,4,0,277,7,860,576,22,16,234,5
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",20,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:33",858,852,1,5,0,284,279,0,5,0,277,7,940,656,15,35,216,11
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",41,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:46",1701,1692,0,9,0,475,466,0,9,0,467,8,1900,1425,27,28,379,33
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",42,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:36",1272,1262,3,7,0,546,538,1,7,0,539,7,1390,844,31,40,427,41
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",44,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:11",1222,1218,0,4,0,492,488,0,4,0,484,8,1340,848,11,15,441,17
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",43,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:08",1273,1268,1,4,0,564,560,0,4,0,550,14,1400,836,28,26,464,32
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",40,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:25",1446,1442,0,4,0,570,566,0,4,0,560,10,1600,1030,33,34,451,42
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",49,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:32",1522,1511,2,9,0,445,436,0,9,0,420,25,1660,1215,28,24,340,28
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",50,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:03",1114,1107,2,4,1,423,418,0,4,1,415,8,1220,797,32,23,330,30
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",46,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:44",1105,1090,7,8,0,543,535,0,8,0,538,5,1200,657,20,35,424,59
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",48,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:23",736,726,1,8,1,292,283,0,8,1,289,3,800,508,13,16,236,24
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",47,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:47",765,758,2,5,0,294,289,0,5,0,287,7,840,546,13,10,242,22
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",45,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:45:07",1220,1213,0,7,0,408,401,0,7,0,402,6,1350,942,21,14,348,19
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”SPIRU HARET”",8,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:42",1103,1097,0,6,0,464,458,0,6,0,458,6,1210,746,13,35,380,30
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”SPIRU HARET”",9,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:17",926,919,2,5,0,372,367,0,5,0,361,11,1040,668,17,34,277,33
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”SPIRU HARET”",10,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:32",1183,1175,0,8,0,513,505,0,8,0,504,9,1300,787,33,42,389,40
16,DÂMBOVIŢA,"LICEUL TEORETIC ”ION HELIADE RĂDULESCU”",28,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:17",1031,1025,2,3,1,433,429,0,3,1,425,8,1150,717,19,34,344,28
16,DÂMBOVIŢA,"LICEUL TEORETIC ”ION HELIADE RĂDULESCU”",27,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:49",834,827,0,6,1,356,349,0,6,1,345,11,920,564,22,28,270,25
16,DÂMBOVIŢA,"LICEUL TEORETIC ”PETRU CERCEL”",12,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:05",1871,1830,28,10,3,839,825,1,10,3,812,27,2030,1191,67,75,609,61
16,DÂMBOVIŢA,"LICEUL ”VOIEVODUL MIRCEA”",38,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:14",1448,1429,4,10,5,544,529,0,10,5,523,21,1580,1036,26,43,396,58
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”CORESI”",39,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:56:55",1061,1053,0,8,0,482,474,0,8,0,470,12,1170,688,46,39,368,17
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",55,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:22",1306,1299,0,6,1,487,480,0,6,1,473,14,1450,963,22,30,401,20
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",57,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:10",748,738,1,7,2,323,314,0,7,2,319,4,830,507,13,20,267,19
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",56,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:19",1223,1212,1,10,0,480,470,0,10,0,465,15,1340,860,22,25,396,22
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",58,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:49",721,717,0,4,0,294,290,0,4,0,282,12,790,496,14,14,249,5
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",37,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:12:41",843,836,0,7,0,251,244,0,7,0,238,13,930,679,21,11,193,13
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",35,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:38",1038,1030,4,4,0,443,439,0,4,0,427,16,1140,697,22,33,342,30
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",36,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:21",833,824,3,6,0,377,371,0,6,0,367,10,910,533,22,28,273,44
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MATEI BASARAB”",16,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:33:30",1390,1380,0,10,0,649,639,0,10,0,637,12,1540,891,21,75,502,39
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MATEI BASARAB”",14,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:50:05",901,891,2,8,0,423,415,0,8,0,415,8,980,557,13,37,338,27
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MATEI BASARAB”",15,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:02",867,862,0,5,0,412,407,0,5,0,403,9,950,538,13,36,326,28
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”PROF. PAUL BANICĂ”",26,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:10",1014,991,1,6,16,387,365,0,6,16,379,8,1090,703,10,38,312,19
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”PROF. PAUL BANICĂ”",25,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:08",1079,1063,0,6,10,444,428,0,6,10,437,7,1170,726,21,34,356,26
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",5,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:13:15",1201,1193,0,7,1,495,487,0,7,1,488,7,1340,845,28,49,383,28
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",4,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:32",1066,1060,0,6,0,441,435,0,6,0,425,10,1190,755,18,86,308,13
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",6,"MUNICIPIUL TÂRGOVIŞTE",65342,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:26",1248,1235,3,10,0,512,502,0,10,0,504,8,1370,858,19,57,410,18
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",7,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:19",1253,1244,0,9,0,549,540,0,9,0,538,11,1390,841,24,36,438,40
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”SMARANDA GHEORGHIU”",62,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:41",1464,1457,0,7,0,629,622,0,7,0,611,18,1640,1011,28,29,528,26
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”SMARANDA GHEORGHIU”",63,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:05",1664,1656,0,6,2,682,674,0,6,2,654,28,1840,1158,57,32,528,37
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”SMARANDA GHEORGHIU”",60,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:56",1463,1450,3,10,0,626,616,0,10,0,616,10,1600,974,26,35,505,50
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”SMARANDA GHEORGHIU”",61,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:56",1246,1239,3,4,0,545,541,0,4,0,530,15,1370,825,27,38,439,26
