precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","ȘCOALA GENERALĂ AGRIȘ",124,AGRIŞ,179873,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:31:03",273,267,0,6,0,122,116,0,6,0,111,11,300,178,26,21,17,14,7,2,13,11
32,"SATU MARE","SCOALA GENERALA BERVENI",143,BERVENI,137032,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:12:10",1671,1620,7,8,36,988,944,2,8,34,924,64,1770,782,27,41,7,833,4,2,10,0
32,"SATU MARE","SCOALA GENERALA BIXAD",146,BIXAD,137069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:47:14",1146,1122,0,10,14,640,616,0,10,14,569,71,1237,597,111,352,37,3,3,44,12,7
32,"SATU MARE","SCOALA GENERALA BIXAD",145,BIXAD,137069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:08:33",1233,1192,1,24,16,661,620,1,24,16,590,71,1304,643,75,381,67,10,8,35,6,8
32,"SATU MARE","ŞCOALA GENERALĂ BOGHIŞ",194,DOBA,137611,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:59:27",692,673,6,3,10,300,286,1,3,10,278,22,743,443,10,33,87,129,1,15,3,0
32,"SATU MARE","SCOALA GENERALA CAMARZANA",162,CĂMĂRZANA,137274,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:27",920,877,0,6,37,390,347,0,6,37,358,32,956,566,24,41,237,2,6,5,0,43
32,"SATU MARE","SCOALA GENERALA CL I-VIIII",238,MOFTIN,138208,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:57:17",897,877,1,4,15,575,556,0,4,15,531,40,896,325,15,299,72,129,3,1,12,0
32,"SATU MARE","SCOALA GENERALA LUCACENI",144,BERVENI,137032,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:13:31",1255,1220,0,3,32,746,713,0,3,30,684,62,1370,624,114,202,113,188,8,20,16,23
32,"SATU MARE","SCOALA GENERALĂ MĂDĂRAS",92,"ORAŞ ARDUD",136848,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:57",1035,1017,1,12,5,521,504,0,12,5,505,16,1117,596,83,124,174,44,8,34,15,23
32,"SATU MARE","ŞCOALA GENERALĂ MIHAIENI",121,ACÂŞ,136713,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:28",373,371,0,0,2,186,184,0,0,2,172,14,400,214,6,16,36,111,0,0,3,0
