precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DULCE MARIUS-GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","GIURCAN AMELIA-ELENA-UNIUNEA SALVAȚI ROMÂNIA-voturi","DRĂGULIN ALIN-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","COMAN DRAGOŞ-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRU COSMIN-PARTIDUL PRO ROMÂNIA-voturi","DUMITRU THEODOR-CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CONSTANTIN NICHI-LAURENŢIU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COMAN LIVIU-ALIANȚA PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",10,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:05:30",1077,1064,0,13,0,478,465,0,13,0,440,38,1168,690,214,31,81,80,1,13,1,19
12,CĂLĂRAŞI,"LICEUL AGRICOL ”SANDU ALDEA” CĂLĂRAŞI",11,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:02",916,906,0,9,1,460,451,0,8,1,447,12,1008,549,235,23,87,71,4,0,9,18
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",25,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:41:57",1434,1426,3,5,0,599,594,0,5,0,574,25,1569,970,281,38,105,107,5,21,8,9
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",26,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:58:08",1927,1918,1,8,0,759,751,0,8,0,703,56,2110,1351,242,40,125,237,9,37,2,11
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",24,"MUNICIPIUL CĂLĂRAŞI",92569,3,PART,PRCNCT,P,P_SV,"2024-06-10 18:01:11",1432,1425,1,6,0,593,587,0,6,0,572,21,1603,1010,231,42,107,134,8,25,13,12
12,CĂLĂRAŞI,"LICEUL ”DANUBIUS” CĂLĂRAŞI",27,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:45",1469,1462,0,7,0,558,551,0,7,0,498,60,1608,1050,218,18,39,182,1,29,9,2
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC TRANSPORTURI AUTO CĂLĂRAŞI",44,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:26:42",1209,1192,1,8,8,573,557,0,8,8,551,22,1310,735,286,27,95,107,5,20,5,6
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",15,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:23:45",1214,1196,3,15,0,532,517,0,15,0,510,22,1316,784,256,33,87,96,1,18,2,17
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",14,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:54:38",1325,1318,2,5,0,574,569,0,5,0,558,16,1450,875,301,26,109,81,2,18,5,16
12,CĂLĂRAŞI,"LIC. TEORETIC ”MIHAI EMINESCU”",13,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:18:43",983,975,3,5,0,480,475,0,5,0,467,13,1072,585,223,34,80,87,3,20,5,15
12,CĂLĂRAŞI,"SALA DE SPORT A SCOLII GIMNAZIALE NICOLAE TITULESCU",21,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:31:16",1403,1392,1,9,1,536,526,0,9,1,524,12,1532,996,250,31,83,102,12,25,4,17
12,CĂLĂRAŞI,"SALA DE SPORT A SCOLII GIMNAZIALE NICOLAE TITULESCU",20,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:22:05",708,699,0,7,2,334,325,0,7,2,329,5,772,438,158,21,73,50,2,11,6,8
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA CAROL I CALARASI",2,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:15",612,603,0,8,1,317,308,0,8,1,310,7,683,366,148,30,43,44,9,9,8,19
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA CAROL I CALARASI",1,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:53",1336,1324,1,11,0,634,623,0,11,0,615,19,1431,797,258,61,131,101,5,13,3,43
12,CĂLĂRAŞI,"SCOALA GIMNAZIALĂ ” CAROL I” CĂLĂRAŞI",7,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:56",1368,1359,5,4,0,497,493,0,4,0,495,2,1495,998,234,26,76,108,2,21,11,17
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",45,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:39:49",1248,1240,2,6,0,588,582,0,6,0,553,35,1364,776,260,23,102,127,2,17,12,10
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",46,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:56:09",1056,1038,5,8,5,441,428,0,8,5,432,9,1147,706,217,27,80,70,5,15,8,10
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",47,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:58:12",1162,1154,3,4,1,542,537,0,4,1,517,25,1270,728,249,26,77,112,5,26,5,17
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",17,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:15:41",1115,1105,1,9,0,459,450,0,9,0,436,23,1216,756,225,35,73,69,4,14,7,9
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",19,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:51",681,673,0,8,0,282,274,0,8,0,274,8,741,459,147,17,56,38,1,8,2,5
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",16,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:08:16",1274,1267,0,6,1,600,593,0,6,1,582,17,1395,796,282,39,123,88,8,22,6,14
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",18,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:54",1258,1252,2,3,1,525,521,0,3,1,512,13,1407,882,275,35,89,74,4,7,10,18
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",39,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:12",1038,1031,0,7,0,498,491,0,7,0,479,19,1134,636,243,26,82,93,4,15,2,14
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",36,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:02:53",1184,1179,1,4,0,580,576,0,4,0,564,16,1320,740,279,50,93,102,4,19,4,13
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",38,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:02:33",1464,1452,4,8,0,704,696,0,8,0,694,10,1642,938,368,53,99,113,9,22,11,19
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",37,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:49:25",1135,1122,0,13,0,577,564,0,13,0,559,18,1234,657,305,38,51,122,7,25,5,6
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ SPECIALĂ NR. 1",5,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:43",1109,1086,12,11,0,521,510,0,11,0,509,12,1190,669,239,50,104,64,6,11,5,30
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ SPECIALĂ NR. 1",6,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:16",973,962,2,9,0,412,403,0,9,0,386,26,1058,646,201,16,49,85,5,17,4,9
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",33,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:03",1301,1297,0,4,0,585,581,0,4,0,570,15,1427,842,309,29,104,83,5,12,8,20
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",30,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:57:41",1373,1368,0,5,0,700,695,0,5,0,691,9,1505,805,324,60,119,127,9,21,14,17
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",32,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:06",1154,1150,0,4,0,591,587,0,4,0,576,15,1286,695,313,45,105,77,9,7,2,18
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",31,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:39:04",1234,1230,0,4,0,588,584,0,4,0,581,7,1352,764,304,54,100,84,4,15,8,12
12,CĂLĂRAŞI,"ŞCOALA PRIMARA NR.6",48,"MUNICIPIUL CĂLĂRAŞI",92569,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:11",963,951,1,9,2,472,461,0,9,2,459,11,1048,571,272,21,55,73,1,15,9,13
12,CĂLĂRAŞI,"ŞCOALA PRIMARA NR.6",49,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:58",957,948,0,9,0,437,428,0,9,0,428,9,1055,618,205,22,73,104,2,14,1,7
