precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP DARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRIŞ DUMITRU-CRISTIAN-FORȚA DREPTEI-voturi","POP NADIA-MARIA-PARTIDUL VERTICALA NOUĂ-voturi","CÎMPEAN CORNELIA-PARTIDUL PATRIOȚILOR-voturi","ROPAN MIHAI-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PONDE ELENA-SIMONA-PARTIDUL ECOLOGIST ROMÂN-voturi","IVAN DAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FILIP MARIANA-FLORENTINA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","IVAŞCO ALINA-PARTIDUL S.O.S. ROMÂNIA-voturi","PINTÉR ZSOLT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞTEŢCO GABRIEL-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ZETEA GABRIEL-VALER-PARTIDUL SOCIAL DEMOCRAT-voturi","MORARIU CĂLIN-TEODOR-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",55,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 22:34:44",1553,1544,1,8,0,639,631,0,8,0,609,30,1700,1061,77,26,68,2,13,3,62,11,17,65,79,182,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",19,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:01:56",1044,1030,2,12,0,466,454,0,12,0,455,11,1100,634,24,17,47,3,5,13,71,9,6,56,96,104,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",18,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:08:00",797,786,0,11,0,369,358,0,11,0,362,7,900,531,17,11,23,2,2,13,61,8,4,59,60,101,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 13",59,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:47:33",1416,1394,7,14,1,677,662,0,14,1,636,41,1500,823,44,18,48,6,1,5,36,10,10,14,110,328,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",26,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:09:15",1376,1363,0,13,0,586,573,0,13,0,571,15,1600,1014,51,22,70,2,3,12,84,1,19,49,95,158,5
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",27,"MUNICIPIUL BAIA MARE",106318,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 11:45:29",1380,1374,1,5,0,538,533,0,5,0,519,19,1500,962,52,28,66,6,4,11,60,3,12,32,70,170,5
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ NR.1, CORP B",334,LEORDINA,108240,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:34:52",1441,1397,0,9,35,871,827,0,9,35,829,42,1600,729,100,7,1,43,2,2,69,2,18,5,215,365,0
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ NR. 4",363,"POIENILE DE SUB MUNTE",108473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:32:40",1089,1083,0,6,0,568,562,0,6,0,526,42,1200,632,77,3,6,3,3,0,12,1,76,5,156,184,0
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ NR. 4, HORB",361,"POIENILE DE SUB MUNTE",108473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:21:50",1142,1140,0,2,0,547,545,0,2,0,503,44,1300,753,89,1,4,1,16,0,9,1,30,4,135,213,0
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ NR. 4, STRUCTURA LUHEI",362,"POIENILE DE SUB MUNTE",108473,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:20:27",912,904,0,7,1,513,505,0,7,1,471,42,1000,487,100,2,1,1,8,0,10,1,16,2,130,199,1
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 7",221,"ORAŞ VIŞEU DE SUS",106979,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 23:38:57",1674,1661,2,6,5,721,710,0,6,5,691,24,1800,1079,31,6,1,1,1,4,8,9,15,2,245,366,2
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 7",222,"ORAŞ VIŞEU DE SUS",106979,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:53:49",1482,1470,4,8,0,577,567,2,8,0,566,11,1600,1023,30,2,4,3,0,13,4,5,6,25,199,275,0
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „OCTAVIAN GOGA”",61,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:51:26",1197,1177,10,8,2,546,535,1,8,2,529,17,1400,854,20,21,54,2,6,13,65,0,4,166,72,99,7
