precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMION DRAGOŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","FURDUI LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIE ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOTOC OCTAVIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANTON CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","SCARLAT VALENTIN-GEORGEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
38,TULCEA,"ȘCOALA GIMNAZIALĂ „ELENA DOAMNA”",7,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:45",1234,1227,6,1,0,472,471,0,1,0,460,12,1416,944,151,53,180,42,22,12
38,TULCEA,"ȘCOALA GIMNAZIALĂ „ELENA DOAMNA”",9,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:10",1219,1190,19,10,0,559,548,1,10,0,548,11,1347,788,178,57,230,63,8,12
38,TULCEA,"ȘCOALA GIMNAZIALĂ „ELENA DOAMNA”",10,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:55",891,880,0,5,6,400,389,0,5,6,380,20,973,573,129,33,168,30,13,7
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”GRIGORE ANTIPA”",21,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:02",995,985,4,6,0,459,453,0,6,0,453,6,1105,646,167,33,189,41,13,10
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”GRIGORE ANTIPA”",20,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:08:50",1136,1133,0,3,0,472,469,0,3,0,458,3,1261,792,184,61,157,39,10,7
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”IOAN NENIŢESCU”",52,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:26:19",1224,1218,0,6,0,532,526,0,6,0,525,7,1348,816,192,50,215,22,34,12
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”IOAN NENIŢESCU”",53,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:00",1475,1465,3,6,1,643,633,3,6,1,634,9,1622,979,231,52,272,48,17,14
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”NIFON BĂLĂŞESCU”",47,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:31",1325,1322,0,3,0,497,494,0,3,0,480,17,1472,975,163,65,175,43,22,12
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”NIFON BĂLĂŞESCU”",45,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:15:07",1022,1013,4,5,0,389,384,0,5,0,382,5,1144,757,110,58,140,34,20,20
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”NIFON BĂLĂŞESCU”",46,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:11",1465,1451,0,7,7,628,621,0,0,7,610,18,1616,988,187,68,262,42,30,21
