precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PATRIOȚILOR-voturi","FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERTICALA NOUĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",14,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 23:33:30",1330,1310,10,9,1,610,599,1,9,1,595,15,1979,1369,102,1,29,22,102,1,3,1,12,64,102,23,11,122
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",15,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:42:43",863,838,16,8,1,437,428,0,8,1,428,9,1000,563,76,4,24,11,88,3,3,2,6,42,61,13,7,88
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA TEHNICĂ”",7,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:49",1250,1234,1,15,0,478,463,0,15,0,469,9,485,7,61,2,22,21,71,6,4,1,9,60,51,22,16,123
26,MARAMUREŞ,"CLĂDIREA ADMINISTRATIVĂ BISERICA ”DUMINICA MIRONOSIȚELOR”",370,RECEA,106407,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:32:24",686,673,0,8,5,444,431,0,8,5,430,14,800,356,38,4,13,31,174,2,3,0,9,37,9,11,11,88
26,MARAMUREŞ,"CLĂDIRE ADMINISTRATIVĂ",278,CICÂRLĂU,107662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:39:42",271,257,1,8,5,163,150,0,8,5,153,10,300,137,7,0,13,13,31,2,0,1,0,0,2,2,1,81
26,MARAMUREŞ,"CLĂDIRE POST POLIȚIE, CLĂDIRE ARHIVĂ, CLĂDIRE BIROURI",251,"BOCICOIU MARE",107350,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:51:38",512,503,1,3,5,288,279,1,3,5,271,17,600,312,8,0,1,81,22,2,0,34,1,0,39,6,6,71
26,MARAMUREŞ,"CLUBUL TINERETULUI",389,RUSCOVA,108696,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 19:05:44",1612,1591,0,2,19,614,593,0,2,19,569,45,1750,1135,10,5,4,14,342,2,0,67,0,0,3,4,12,106
26,MARAMUREŞ,"CLUBUL TINERETULUI",386,"RONA DE SUS",108632,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:41",630,609,1,5,15,377,357,0,5,15,360,17,700,323,14,0,1,8,83,0,0,20,0,0,83,4,10,137
26,MARAMUREŞ,"COLEGIUL ECONOMIC „PINTEA VITEAZUL”",150,"ORAŞ CAVNIC",106782,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:02:41",1679,1611,2,9,57,914,848,0,9,57,892,22,1800,886,126,3,9,65,350,0,2,2,20,20,15,51,30,199
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",96,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:19:10",808,803,2,3,0,338,335,0,3,0,324,14,1000,662,11,0,8,28,88,2,1,3,4,4,35,7,4,129
