precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRUYNSEELS RAMONA-IOANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUŢĂ GEORGE-CRISTIAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","HATMANU IULIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","GHIDĂNAC FLORIN-BLOCUL SUVERANIST ROMÂN-voturi","ARMAND CLOTILDE-MARIE-BRIGITTE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NEGOIŢĂ GHEORGHE-LIVIU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PODARU DAN-NICULAE-PARTIDUL ECOLOGIST ROMÂN-voturi","ANDREI FLORIN-MIRCEA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","TUDORACHE DANIEL-voturi"
44,"Sector 1","LICEUL GRECO-CATOLIC ”TIMOTEI CIPARIU”",7,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:51:05",1313,1291,12,10,0,678,668,0,10,0,667,11,1430,752,47,251,32,3,223,43,8,8,52
44,"Sector 1","LICEUL GRECO-CATOLIC ”TIMOTEI CIPARIU”",6,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:28:58",990,981,6,2,1,504,501,0,2,1,498,6,1110,606,23,240,13,0,168,16,5,4,29
44,"Sector 1","LICEUL GRECO-CATOLIC ”TIMOTEI CIPARIU”",5,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 17:13:13",1804,1752,39,13,0,845,832,0,13,0,836,9,1960,1114,53,317,25,1,326,53,6,5,50
44,"Sector 1","LICEUL TEORETIC ”ALEXANDRU VLAHUŢĂ”",97,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:16:15",1468,1424,38,6,0,720,713,1,6,0,708,12,1608,888,60,244,18,1,267,63,12,14,29
44,"Sector 1","LICEUL TEORETIC ”ALEXANDRU VLAHUŢĂ”",98,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:42:55",1191,1140,35,7,9,512,496,0,7,9,500,12,1300,788,24,174,21,0,190,51,7,10,23
44,"Sector 1","LICEUL TEORETIC ”ALEXANDRU VLAHUŢĂ”",96,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:17:21",1140,1090,44,6,0,547,540,1,6,0,530,17,1297,750,26,203,13,2,212,42,11,7,14
44,"Sector 1","LICEUL TEORETIC BILINGV ”MIGUEL DE CERVANTES”",104,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:42:25",932,905,15,12,0,413,400,1,12,0,401,12,1030,617,34,103,12,1,177,39,9,6,20
44,"Sector 1","LICEUL TEORETIC BILINGV ”MIGUEL DE CERVANTES”",103,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:10:18",906,875,16,11,4,420,404,1,11,4,412,8,1000,580,31,117,20,1,163,39,8,4,29
44,"Sector 1","LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”",18,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:17:31",1006,988,8,10,0,526,516,0,10,0,518,8,1110,584,45,185,13,2,178,31,6,3,55
44,"Sector 1","LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”",17,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:40:15",860,851,1,8,0,390,382,0,8,0,385,5,950,550,26,153,9,1,108,21,8,4,55
