precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","ZAINEA SERGIU-FLORIAN-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",58,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:07",1187,1181,0,6,0,535,529,0,6,0,524,11,1300,765,212,93,0,29,1,4,2,0,1,2,5,99,6,48,5,17
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAIL SADOVEANU”",57,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:05",1250,1243,1,6,0,592,586,0,6,0,570,22,1400,808,251,104,4,25,3,2,4,0,1,8,2,77,5,57,2,25
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",8,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-11 17:47:35",1564,1550,9,5,0,761,756,0,5,0,752,9,1800,1039,145,109,7,68,14,86,4,0,2,10,4,144,8,134,3,14
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICHITA STĂNESCU”",9,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,P,P_SV,"2024-06-11 23:51:03",1492,1420,2,40,30,646,609,0,11,26,631,15,1600,954,142,85,7,59,9,54,3,6,0,2,0,115,6,117,2,24
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",56,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:25",1319,1303,9,7,0,565,558,0,7,0,521,44,1500,935,199,80,1,11,2,37,4,1,1,1,11,73,8,50,6,36
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE BĂLCESCU”",55,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:24:39",1553,1544,1,8,0,639,631,0,8,0,609,30,1700,1061,194,91,1,37,1,53,9,1,1,10,12,58,10,81,8,42
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",19,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:56",1044,1030,2,12,0,466,454,0,12,0,456,10,1100,634,86,67,6,41,3,47,8,4,0,7,2,77,8,84,7,9
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „NICOLAE IORGA”",18,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:00",797,786,0,11,0,369,358,0,11,0,365,4,900,531,84,37,3,32,1,44,5,0,4,4,1,59,3,76,2,10
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 13",59,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:47:33",1416,1394,7,14,1,677,662,0,14,1,652,25,1500,823,317,56,3,36,8,16,4,3,2,2,2,112,5,48,7,31
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",26,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:08:52",1376,1363,0,13,0,586,573,0,13,0,572,14,1600,1014,126,95,4,39,5,37,7,7,2,12,2,93,11,95,4,33
