precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
25,ILFOV,"GRĂDINIȚA NR. 2 FUNDENI",214,DOBROEŞTI,179310,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:01:08",1189,1168,4,15,2,613,596,0,15,2,594,19,1293,680,43,325,16,5,52,43,8,15,87
25,ILFOV,"GRĂDINIŢA NR. 2 GAGU",205,DASCĂLU,102473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:27:12",698,682,0,16,0,487,471,0,16,0,453,31,711,224,44,319,28,2,3,5,3,5,44
25,ILFOV,"GRADINITA NR 2 MAGURELE",43,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:19:26",1380,1366,4,6,4,804,795,0,6,3,770,34,1600,796,81,530,24,2,13,16,5,11,88
25,ILFOV,"GRADINITA NR.3",181,CIOLPANI,101902,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:22",683,664,0,17,2,358,339,0,17,2,344,14,700,342,50,239,6,0,2,0,3,7,37
25,ILFOV,"GRĂDINIŢA NR.3 DUMBRĂVENI",141,BALOTEŞTI,100969,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 22:41:25",1071,1055,3,13,0,647,634,0,13,0,632,15,1200,553,51,334,20,2,10,6,9,6,194
25,ILFOV,"GRADINITA NR 3 VARTEJU",50,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:09:43",1646,1621,8,12,5,859,841,1,12,5,829,30,1737,878,109,474,47,5,18,21,7,11,137
25,ILFOV,"GRADINITA NR.4",180,CIOLPANI,101902,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:25:24",1162,1123,4,12,23,669,634,0,12,23,644,25,1300,631,136,435,17,5,3,8,4,7,29
25,ILFOV,"GRĂDINIȚA NR.4",103,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:50:36",1219,1179,17,23,0,581,558,0,23,0,569,12,1300,719,58,203,10,2,9,1,3,4,279
25,ILFOV,"GRĂDINIȚA NR.4",104,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:31:53",1027,993,4,30,0,582,552,0,30,0,544,11,1105,523,127,192,9,7,14,9,3,5,178
25,ILFOV,"GRĂDINIŢA NR.5",159,CERNICA,101742,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:43",1017,988,3,22,4,656,630,0,22,4,639,17,1100,444,56,508,11,2,4,5,3,7,43
