precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CSOMA BOTOND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CORDOŞ ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞIPOŞ EUGEN-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TIŞE ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","NICULA FLORIAN-ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi","OROS NECHITA-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"ŞCOALA ” LIVIU REBREANU”( FOSTA CONSTANTIN BRÂNCOVEANU),ALEEA RETEZAT NR.4",83,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:15:31",1387,1375,1,11,0,615,604,0,11,0,602,13,1550,935,52,70,62,292,24,102
13,CLUJ,"SCOALA LUNA DE SUS",472,FLOREŞTI,57706,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:53:20",1050,1030,2,10,8,607,589,0,10,8,595,12,1136,529,324,21,11,197,15,27
13,CLUJ,"SCOALA LUNA DE SUS",471,FLOREŞTI,57706,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:16",872,846,2,16,8,515,491,0,16,8,498,17,949,434,231,36,24,163,13,31
13,CLUJ,"ŞCOALA LUNCA VIŞAGULUI",592,POIENI,59041,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:54:39",174,168,1,5,0,99,94,0,5,0,99,0,186,87,0,40,9,46,3,1
13,CLUJ,"ȘCOALA MERA",328,BACIU,55838,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:45:08",1357,1321,1,8,27,834,799,0,8,27,763,71,1453,619,514,114,22,72,19,22
13,CLUJ,"SCOALA MIHAI EMINESCU DEJ",206,"MUNICIPIUL DEJ",55008,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:55:51",807,779,0,3,25,296,268,0,3,25,281,15,859,563,19,77,49,78,9,49
13,CLUJ,"SCOALA MIHAI EMINESCU DEJ",207,"MUNICIPIUL DEJ",55008,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:45",885,875,0,8,2,422,412,0,8,2,405,17,1001,579,38,84,48,146,17,72
13,CLUJ,"SCOALA MIHAI EMINESCU DEJ",208,"MUNICIPIUL DEJ",55008,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:56:18",1552,1538,0,12,2,764,750,0,12,2,734,30,1696,932,68,163,76,264,12,151
13,CLUJ,"ŞCOALA ”NICOLAE IORGA”",173,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:07:54",1971,1960,0,9,2,891,880,0,9,2,850,41,2155,1264,95,84,127,358,47,139
13,CLUJ,"ŞCOALA ”NICOLAE IORGA”",175,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:13:25",1881,1857,13,10,1,873,862,0,10,1,855,18,2105,1232,88,66,61,363,39,238
13,CLUJ,"ŞCOALA ”NICOLAE IORGA”",172,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:33:54",1957,1937,11,7,2,814,805,0,7,2,792,22,2132,1318,158,83,73,288,26,164
13,CLUJ,"ŞCOALA ”NICOLAE IORGA”",174,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:00:41",1879,1871,5,2,1,882,879,0,2,1,863,19,2092,1210,230,61,85,292,36,159
13,CLUJ,"SCOALA NOUA CU 16 SALI DE CLASA",284,"ORAŞ HUEDIN",55446,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:18",1004,989,1,10,4,580,566,0,10,4,559,21,1130,550,130,86,66,198,10,69
