precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MICEŞTII DE CÎMPIE",188,"MICEŞTII DE CÂMPIE",33845,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:32:26",260,217,0,26,17,196,153,0,26,17,177,19,250,54,9,13,72,36,1,7,33,0,6
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MIREŞ",119,CHIUZA,33122,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:27",117,111,0,6,0,85,79,0,6,0,81,4,120,35,4,17,27,31,0,2,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MOCOD",203,NIMIGEA,33989,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:00",486,464,1,6,15,306,285,0,6,15,282,24,500,194,9,23,148,75,2,23,0,0,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MONOR",194,MONOR,33952,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:43",685,649,0,11,25,492,456,0,11,25,449,43,700,208,21,94,194,45,5,80,10,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL OCNIŢA",288,TEACA,34985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:51",764,753,0,7,4,440,429,0,7,4,393,47,800,360,7,24,176,151,0,30,2,0,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ORHEIU BISTRIŢEI",106,CETATE,32884,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:48:14",722,718,0,3,1,452,448,0,3,1,413,39,802,350,11,75,138,162,4,19,3,1,0
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL OROSFAIA",193,MILAŞ,33881,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:05",228,207,0,17,4,228,207,0,17,4,212,16,290,62,5,23,51,122,0,9,2,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL PINTICU",289,TEACA,34985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:57:02",602,597,0,5,0,294,289,0,5,0,235,59,650,356,12,43,108,46,2,17,1,6,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL RUSU BÎRGĂULUI",151,"JOSENII BÂRGĂULUI",33382,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:25",771,764,1,5,1,417,411,0,5,1,396,21,850,433,6,110,148,69,15,40,3,1,4
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL RUSU DE SUS",211,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:41:11",227,215,1,5,6,169,158,0,5,6,165,4,240,71,2,16,100,27,4,10,1,3,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SĂLCUŢA",241,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:54:54",93,79,0,7,7,74,60,0,7,7,67,7,100,26,6,5,34,14,2,3,0,1,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SĂRĂŢEL",261,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:18:58",487,476,1,7,3,238,228,0,7,3,216,19,499,263,8,30,66,94,6,10,0,0,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SĂSARM",121,CHIUZA,33122,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:29",569,546,1,13,9,375,353,0,13,9,337,16,575,216,11,56,120,119,5,21,4,1,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞIEU-MĂGHERUŞ",257,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:02:47",995,987,0,6,2,524,516,0,6,2,487,34,1094,573,14,73,109,261,0,19,3,2,6
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞIEU-SFÂNTU",278,ŞINTEREAG,34903,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:35:50",406,388,1,6,11,275,257,1,6,11,270,5,400,125,33,10,146,41,6,33,1,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SÎNGEORZU- NOU",156,LECHINŢA,33435,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:43:44",821,804,3,6,8,415,401,0,6,8,398,17,900,485,7,36,245,85,1,19,0,0,5
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SÎNIACOB",157,LECHINŢA,33435,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:04",197,182,0,10,5,135,120,0,10,5,133,2,200,65,2,8,107,12,0,2,0,0,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SÎNMIHAIU DE CÎMPIE",239,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:33",578,537,0,25,16,433,392,0,25,16,387,22,542,133,18,36,224,95,2,7,3,0,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞOIMUŞ",256,ŞIEU,34645,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:51:35",115,109,0,6,0,86,80,0,6,0,82,4,139,53,2,11,66,3,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞOPTERIU",309,URMENIŞ,35312,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:00:17",285,277,0,8,0,177,169,0,8,0,156,21,300,123,6,15,62,58,0,11,1,2,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŢĂGŞORU",100,BUDEŞTI,32768,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:20:07",205,189,0,12,4,136,120,0,12,4,119,17,200,64,3,15,56,42,1,1,0,1,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL TÂRLIȘUA",279,TÂRLIŞUA,35152,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:40:12",1038,988,0,4,46,667,617,0,4,46,632,35,1080,413,20,38,389,156,6,7,4,11,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL TEACA",284,TEACA,34985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:36",865,860,2,0,3,421,416,2,0,3,385,36,950,529,50,45,149,96,2,33,4,4,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL TONCIU",143,"GALAŢII BISTRIŢEI",33275,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:07",204,192,0,8,4,117,105,0,8,4,111,6,215,98,89,0,13,6,0,1,0,1,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VERMEŞ",159,LECHINŢA,33435,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:36",737,721,0,6,10,370,354,0,6,10,337,33,800,430,9,30,259,25,1,11,0,0,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VIILE TECII",290,TEACA,34985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:31:53",877,860,1,7,9,424,408,0,7,9,380,44,950,526,27,100,144,61,2,37,3,4,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VISUIA",190,"MICEŞTII DE CÂMPIE",33845,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:37",306,287,0,14,5,234,215,0,14,5,205,29,318,84,17,20,65,62,0,19,15,1,6
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ZORENI",243,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:39:36",231,215,0,11,5,175,159,0,11,5,154,17,240,69,12,22,88,28,1,2,0,0,1
6,BISTRIŢA-NĂSĂUD,"CASA DE CULTURĂ ”LIVIU REBREANU”",70,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:35",1370,1359,0,10,1,721,710,0,10,1,689,32,1550,829,13,67,187,361,16,34,2,2,7
6,BISTRIŢA-NĂSĂUD,"CASA DE CULTURĂ SIGMIR",53,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:21:43",961,951,3,7,0,482,475,0,7,0,461,18,1050,571,24,55,184,143,6,27,2,4,16
6,BISTRIŢA-NĂSĂUD,"CASA DE LOCUIT",283,TÂRLIŞUA,35152,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:14",173,163,0,7,3,137,127,0,7,3,129,8,200,63,4,10,72,36,1,3,1,1,1
6,BISTRIŢA-NĂSĂUD,"CENTRU CULTURAL MIJLOCENII BÂRGĂULUI",150,"JOSENII BÂRGĂULUI",33382,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:49:05",1360,1351,2,1,6,727,720,0,1,6,689,38,1500,773,12,158,245,96,67,103,3,2,3
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL CATEHETIC SF. ARHIDIACON STEFAN",173,MAIERU,33621,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:11:25",1546,1540,0,0,6,960,954,0,0,6,888,71,1693,734,50,212,395,185,6,24,4,0,12
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL MUNICIPAL GEORGE COȘBUC",1,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:34:04",1332,1301,4,21,6,641,614,0,21,6,617,24,1650,1009,44,46,271,156,10,53,4,7,26
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL PRUNDU BÂRGĂULUI",221,"PRUNDU BÂRGĂULUI",34235,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:36:54",1552,1543,0,6,3,866,857,0,6,3,816,41,1700,843,17,88,562,93,8,31,4,5,8
6,BISTRIŢA-NĂSĂUD,"CENTRUL DE INFORMARE TURISTICA",214,PARVA,34155,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:31:58",965,945,0,0,20,616,596,0,0,20,548,68,1050,434,32,146,304,40,0,21,2,0,3
6,BISTRIŢA-NĂSĂUD,"CENTRUL DE INFORMARE TURISTICĂ",292,TELCIU,35054,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:34:40",1002,992,1,3,6,593,584,0,3,6,536,57,1100,507,26,101,111,159,6,119,10,3,1
6,BISTRIŢA-NĂSĂUD,"CENTRUL LOCAL DE INFORMARE TURISTICĂ",94,"BUDACU DE JOS",32704,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:54:24",837,824,2,3,8,571,560,0,3,8,535,36,900,329,14,111,334,53,3,12,4,1,3
6,BISTRIŢA-NĂSĂUD,"CENTRUL MISIONAR DE TINERET ”IOAN BUNEA” SÂNGEORZ-BĂI",83,"ORAŞ SÂNGEORZ-BĂI",32599,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:06",1490,1479,1,7,3,730,720,0,7,3,687,43,1600,870,11,53,208,358,4,44,4,4,1
6,BISTRIŢA-NĂSĂUD,"CLUBUL COPIILOR BECLEAN",62,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:24:48",778,764,1,11,2,363,350,0,11,2,349,14,850,487,38,33,137,100,9,26,1,2,3
6,BISTRIŢA-NĂSĂUD,"CLUBUL COPIILOR BECLEAN",61,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:07:54",727,715,1,10,1,362,351,0,10,1,351,11,800,438,39,31,136,91,5,39,0,6,4
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAŢIONAL ”ANDREI MUREŞANU”",23,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:58:39",1304,1281,0,21,2,596,575,0,21,0,575,9,1400,815,25,45,241,156,20,50,6,4,28
