precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",351,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 03:59:48",886,869,10,7,0,321,314,0,7,0,316,5,1200,879,57,53,26,5,17,18,97,12,31
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",352,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 07:24:51",1327,1310,9,8,0,646,637,1,8,0,641,5,1500,854,128,86,48,12,28,41,219,15,64
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",353,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 08:00:14",1419,1398,17,4,0,619,615,0,4,0,603,15,1500,881,161,64,66,8,32,33,198,6,35
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",372,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-12 17:35:12",1198,1172,19,7,0,329,322,0,7,0,311,16,1296,967,79,45,25,5,18,23,85,2,29
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",370,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 04:23:13",727,680,41,5,1,175,168,1,5,1,162,6,751,583,40,16,18,2,8,18,44,7,9
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",371,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:18:20",844,709,118,1,16,262,245,0,1,16,257,5,783,521,76,40,30,3,11,22,56,11,8
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",369,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 21:46:02",1457,1372,80,5,0,272,266,1,5,0,254,18,1513,1241,69,32,28,3,11,15,72,5,19
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",374,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 06:28:25",1368,1338,21,9,0,554,545,0,9,0,543,11,1458,904,127,85,37,7,30,31,169,11,46
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",373,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 04:32:09",981,944,31,6,0,319,313,0,6,0,306,13,1053,719,97,33,33,5,12,25,69,12,20
44,"Sector 1","COLEGIUL ECONOMIC ”V. MADGEARU”",66,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 09:33:09",1030,988,33,9,0,457,445,3,9,0,450,7,1120,663,92,71,28,12,13,23,161,9,41
44,"Sector 1","COLEGIUL ECONOMIC ”V. MADGEARU”",67,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 09:56:45",1061,990,54,14,3,453,432,4,14,3,441,12,1130,677,100,75,33,8,10,20,155,5,35
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",101,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 04:05:56",750,722,22,6,0,341,335,0,6,0,334,7,840,499,86,58,23,8,4,11,117,8,19
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",100,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:05:44",915,865,41,8,1,434,425,0,8,1,419,15,1000,566,92,63,23,17,12,11,158,14,29
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",102,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 08:17:42",882,858,20,4,0,421,416,1,4,0,407,14,980,559,97,68,30,10,8,24,139,14,17
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",133,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 07:25:08",850,842,3,4,1,420,415,0,4,1,408,12,940,520,85,70,40,9,12,17,128,10,37
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",132,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 07:59:56",1193,1179,7,7,0,647,640,0,7,0,632,15,1310,663,146,76,52,19,13,23,242,16,45
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",131,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 12:20:16",1693,1655,25,11,2,916,901,2,11,2,903,11,1850,933,149,143,53,23,7,27,408,18,75
45,"Sector 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",354,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 06:01:48",1341,1316,16,9,0,620,611,0,9,0,615,5,1500,880,124,82,43,17,17,35,234,12,51
45,"Sector 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",355,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:50:16",1590,1575,0,15,0,697,682,0,15,0,680,17,1700,1003,177,82,55,11,21,14,249,10,61
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",333,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 06:34:32",936,898,17,14,7,428,405,2,14,7,418,10,1100,672,81,58,28,8,9,11,182,5,36
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",336,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 22:59:08",1452,1414,35,3,0,651,645,3,3,0,629,17,1600,954,169,67,50,22,18,24,223,13,43
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",335,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 07:48:10",1129,1101,19,8,1,481,470,2,8,1,464,17,1203,722,113,79,33,11,29,28,127,10,34
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",334,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 08:13:31",1160,1147,1,12,0,598,585,1,12,0,583,15,1300,702,93,89,52,21,17,30,220,11,50
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",666,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 06:38:36",1117,1089,19,9,0,451,441,1,9,0,444,7,1200,749,94,63,42,18,18,32,126,13,38
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",667,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-12 04:06:47",1329,1282,33,14,0,560,545,1,14,0,549,11,1400,840,91,79,43,7,30,46,178,9,66
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",57,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 11:07:38",1190,1100,73,13,4,583,565,1,13,4,574,9,1280,697,108,107,39,14,12,12,218,10,54
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",59,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 09:17:17",1087,1071,0,13,3,533,517,0,13,3,516,17,1230,684,108,103,25,12,7,27,188,8,38
