precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
5,BIHOR,"CREŞA NR.2 ”PICIORUŞE VESELE”",9,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:16",1096,1084,4,8,0,401,393,0,8,0,394,7,1238,837,70,36,10,28,241,5,3,1
5,BIHOR,"CREȘA NR. 2 ” PICIORUȘE VESELE ”",7,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:24",723,713,3,7,0,247,240,0,7,0,238,9,811,564,30,31,12,9,148,1,4,3
5,BIHOR,"CREȘA ORADEA",37,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:33:02",1748,1738,3,7,0,755,748,0,7,0,741,14,1894,1139,48,89,26,51,520,2,3,2
5,BIHOR,"FUNDAŢIA DE SCLEROZĂ MULTIPLĂ",94,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:28",1182,1175,0,7,0,457,450,0,7,0,453,4,1334,877,79,52,12,25,273,2,9,1
5,BIHOR,"FUNDAŢIA DE SCLEROZĂ MULTIPLĂ",93,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:48:40",1042,1031,6,5,0,432,427,0,5,0,418,14,1131,699,47,61,16,18,261,2,12,1
5,BIHOR,"GRĂDINIŢA CU PROGRAM NORMAL NR. 15",81,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:44",1999,1987,9,3,0,832,820,9,3,0,816,16,2181,1349,404,54,23,31,255,6,39,4
5,BIHOR,"GRĂDINIŢA CU PROGRAM NORMAL NR.17",56,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:53",1478,1453,18,7,0,610,603,0,7,0,596,14,1653,1043,104,78,28,24,338,2,13,9
5,BIHOR,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",33,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:40",1595,1564,3,28,0,718,690,0,28,0,710,8,1715,997,90,81,24,46,456,5,6,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.20",57,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:53:45",1293,1279,0,14,0,464,450,0,14,0,449,15,1400,936,77,41,13,18,288,5,6,1
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.22",6,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:20",1330,1310,7,13,0,567,554,0,13,0,555,12,1529,962,44,68,35,21,372,2,10,3
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.22",5,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:36",1273,1264,0,9,0,415,406,0,9,0,414,1,1389,974,67,33,8,28,268,4,4,2
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 22",8,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:38",1126,1119,0,7,0,391,384,0,7,0,388,3,1224,833,55,52,13,21,234,4,7,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.24",22,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:08",1310,1288,5,14,3,564,546,1,14,3,563,1,1411,847,84,66,35,37,323,6,8,4
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.25",15,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:42",773,757,10,6,0,258,252,0,6,0,257,1,847,589,48,52,20,19,112,0,5,1
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.25",16,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:57",956,945,1,10,0,327,317,0,10,0,321,6,1061,734,57,28,5,15,208,4,4,0
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 28",35,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:53:28",1476,1455,1,20,0,630,610,0,20,0,620,10,1595,965,46,84,24,28,421,1,13,3
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 28",34,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:32:22",1283,1272,0,11,0,551,540,0,11,0,540,11,1462,911,55,74,18,28,346,7,8,4
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 28",36,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:48:39",1296,1284,5,7,0,543,536,0,7,0,536,7,1461,918,60,87,13,26,337,2,9,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 35",96,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:26:42",935,928,0,7,0,406,399,0,7,0,399,7,1014,608,81,45,9,17,234,4,7,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 35",95,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:20",1051,1043,4,4,0,406,402,0,4,0,393,13,1177,771,81,40,8,26,221,2,13,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 41",108,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:55",1588,1571,8,7,2,651,642,0,7,2,643,8,1729,1078,129,69,23,30,374,3,6,9
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 41",109,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:27",1571,1560,6,5,0,650,645,0,5,0,646,4,1751,1101,106,71,19,32,394,3,14,7
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.42",84,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:56",1467,1455,0,11,1,634,622,0,11,1,626,8,1624,990,101,79,20,28,382,1,13,2
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.42",86,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:25",1439,1416,17,6,0,654,648,0,6,0,642,12,1563,909,98,66,22,20,427,2,7,0
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.42",85,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:36:10",798,790,1,7,0,330,323,0,7,0,326,4,896,566,66,45,8,28,170,3,5,1
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 44",142,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:43:01",2030,1919,91,20,0,909,889,0,20,0,901,8,2092,1183,40,94,35,35,679,3,13,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 44",143,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:49",1780,1749,21,10,0,895,885,0,10,0,882,13,1927,1032,81,144,55,47,525,10,11,9
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 45",71,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:36:52",1316,1304,3,8,1,562,553,0,8,1,553,9,1468,906,87,79,27,32,317,3,3,5
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 45",70,"MUNICIPIUL ORADEA",26564,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:17",1273,1269,1,3,0,600,597,0,3,0,595,5,1395,795,102,70,25,21,360,3,10,4
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 45",69,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:09:20",971,963,1,7,0,435,428,0,7,0,432,3,1054,619,82,67,16,17,241,2,2,5
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 45",72,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:56",1083,1077,2,4,0,506,502,0,4,0,499,7,1214,708,83,73,22,20,284,4,5,8
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.46",38,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:40",681,671,2,8,0,279,271,0,8,0,276,3,749,470,43,30,13,14,165,4,2,5
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.46",39,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:55",1037,1008,8,18,3,340,319,0,18,3,332,8,1104,764,45,52,16,16,193,1,4,5
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",114,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:39:46",1642,1621,8,6,7,724,710,1,6,7,711,13,1879,1155,162,65,41,34,379,4,23,3
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",113,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:39",1241,1222,5,13,1,605,591,0,13,1,597,8,1393,788,144,63,24,32,299,5,27,3
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.52",46,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:46",1250,1238,3,9,0,487,478,0,9,0,485,2,1393,906,116,58,19,27,249,3,12,1
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.52",45,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:27",810,797,4,9,0,272,263,0,9,0,266,4,876,604,47,29,5,26,147,2,8,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.52",47,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:55:39",980,972,0,6,2,317,309,0,6,2,314,3,1069,752,79,34,12,17,161,0,9,2
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.53",43,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:24:17",837,824,3,10,0,323,312,1,10,0,318,5,904,581,83,36,9,15,155,3,13,4
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.53",44,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:01",827,814,7,6,0,354,348,0,6,0,351,3,893,539,74,53,8,16,194,1,5,0
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 54",65,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:39:21",947,934,3,9,1,426,416,0,9,1,419,7,1027,601,61,46,17,27,251,4,10,3
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 54",64,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:27",959,954,1,4,0,436,431,1,4,0,431,5,1048,612,54,67,26,20,256,2,5,1
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 55",92,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:31:19",1131,1128,1,0,2,535,532,1,0,2,529,6,1234,699,58,66,20,31,343,5,3,3
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",31,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:09",1683,1666,6,11,0,699,688,0,11,0,695,4,1825,1126,61,84,30,46,458,4,9,3
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",29,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:14",2020,1990,16,13,1,966,952,0,13,1,958,8,2179,1213,55,141,40,74,629,8,6,5
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",30,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:01",1796,1758,34,3,1,791,787,0,3,1,785,6,1939,1148,55,122,46,47,498,8,7,2
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",28,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:58:06",1885,1869,0,16,0,970,954,0,16,0,966,4,2048,1078,44,93,52,51,710,5,2,9
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 56",32,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:55",1943,1915,20,8,0,818,810,0,8,0,801,17,2104,1286,63,83,27,43,571,5,7,2
5,BIHOR,"LICEUL DE ARTE",75,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:47",1507,1491,8,8,0,682,674,0,8,0,673,9,1633,951,95,100,31,27,390,4,25,1
5,BIHOR,"LICEUL DE ARTE",77,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:11",1235,1217,9,8,1,522,513,0,8,1,512,10,1260,738,124,63,23,18,257,6,16,5
5,BIHOR,"LICEUL DE ARTE",73,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:34",1510,1489,15,6,0,657,651,0,6,0,649,8,1679,1022,111,68,34,40,374,3,11,8
5,BIHOR,"LICEUL DE ARTE",79,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:58:38",1005,979,12,4,10,422,407,1,4,10,416,5,1123,702,126,44,29,26,169,2,19,1
5,BIHOR,"LICEUL DE ARTE",78,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:53",1433,1413,12,7,1,599,591,0,7,1,586,13,1552,953,92,62,18,18,383,2,9,2
5,BIHOR,"LICEUL DE ARTE",76,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:47:33",1224,1209,5,10,0,507,497,0,10,0,501,6,1357,850,93,64,22,27,277,4,10,4
5,BIHOR,"LICEUL DE ARTE",74,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:02",1397,1374,12,11,0,646,635,0,11,0,630,16,1548,902,65,72,40,32,408,4,7,2
5,BIHOR,"LICEUL GRECO-CATOLIC ”IULIU MANIU”",128,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:42",1026,1011,7,8,0,353,345,0,8,0,344,9,1119,766,95,31,22,19,151,3,15,8
5,BIHOR,"LICEUL GRECO-CATOLIC ”IULIU MANIU”",129,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:14:11",1034,1025,2,6,1,336,329,0,6,1,324,12,1163,827,71,40,17,28,159,1,6,2
5,BIHOR,"LICEUL ORTODOX ” EPISCOP ROMAN CIOROGARIU ”",116,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:08",2007,1880,78,9,40,950,899,2,9,40,945,5,2466,1516,170,103,66,43,507,12,37,7
5,BIHOR,"LICEUL ORTODOX ” EPISCOP ROMAN CIOROGARIU ”",115,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:37:25",1145,1084,35,6,20,475,451,0,6,18,467,8,1440,965,97,42,28,25,244,6,23,2
5,BIHOR,"LICEUL ORTODOX ”EPISCOP ROMAN CIOROGARIU”",62,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:51:08",1380,1366,6,8,0,605,597,0,8,0,601,3,1538,934,127,50,15,33,349,2,21,4
5,BIHOR,"LICEUL ORTODOX ”EPISCOP ROMAN CIOROGARIU”",60,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:37",805,795,2,8,0,319,311,0,8,0,312,7,903,584,51,29,24,21,169,1,9,8
5,BIHOR,"LICEUL ORTODOX ”EPISCOP ROMAN CIOROGARIU”",59,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:31:19",787,778,0,9,0,361,352,0,9,0,359,2,851,490,76,48,12,19,182,3,15,4
5,BIHOR,"LICEUL ORTODOX ”EPISCOP ROMAN CIOROGARIU”",58,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:01",763,751,4,7,1,283,275,0,7,1,282,1,817,534,58,40,11,14,147,1,11,0
5,BIHOR,"LICEUL ORTODOX ”EPISCOP ROMAN CIOROGARIU”",61,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:59",1141,1128,6,7,0,477,470,0,7,0,473,4,1282,805,87,45,13,19,292,6,6,5
5,BIHOR,"LICEUL ORTODOX ”EPISCOP ROMAN CIOROGARIU”",63,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:24",1230,1212,6,8,4,516,504,0,8,4,508,6,1338,824,125,52,28,15,255,8,22,3
5,BIHOR,"LICEUL REFORMAT ”LORANTFFY ZSUZSANNA”",124,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:29",1388,1320,31,9,28,533,496,0,9,28,531,2,1772,1239,106,67,39,27,255,6,29,2
5,BIHOR,"LICEUL SANITAR ”VASILE VOICULESCU”",4,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:59",1257,1239,6,11,1,458,446,0,11,1,453,5,1390,932,94,34,13,28,259,3,21,1
5,BIHOR,"LICEUL SANITAR ”VASILE VOICULESCU”",3,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:16",1192,1183,2,7,0,429,422,0,7,0,420,9,1351,922,73,56,13,25,241,2,9,1
5,BIHOR,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCUȘI”",90,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:17:05",1474,1465,1,8,0,569,561,0,8,0,560,9,1621,1052,83,82,21,35,324,9,4,2
5,BIHOR,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCUȘI”",91,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:03",1432,1422,2,7,1,577,569,0,7,1,560,17,1617,1040,72,77,20,59,305,9,10,8
5,BIHOR,"LICEUL TEOLOGIC BAPTIST „EMANUEL” - SALA DE SPORT",144,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:34",1226,1163,53,10,0,563,552,1,10,0,560,3,1277,714,43,75,33,23,367,6,10,3
5,BIHOR,"LICEUL TEORETIC ”ADY ENDRE”",123,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:35",1318,1180,96,12,30,524,482,0,12,30,514,10,1430,906,116,77,39,12,243,4,20,3
5,BIHOR,"LICEUL TEORETIC ”AUREL LAZĂR”",127,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:10",1410,1375,27,7,1,373,365,0,7,1,365,8,1538,1165,58,67,20,22,176,13,6,3
5,BIHOR,"LICEUL TEORETIC GERMAN ”FRIEDRICH SCHILLER”",137,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:48",1458,1427,23,7,1,559,551,0,7,1,547,12,1566,1007,136,48,23,29,279,3,28,1
