precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXANDRESCU DORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","IGNĂTESCU CIPRIAN-GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRIU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MIHALACHE EMANUEL-PARTIDUL OAMENILOR TINERI-voturi","LUNGU IOAN-VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PRISECARU SAMUEL-PARTIDUL S.O.S. ROMÂNIA-voturi"
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA ”DOROHOI",103,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:57",802,779,4,7,12,337,318,0,7,12,332,5,900,563,227,6,85,4,6,4
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” DOROHOI",96,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:43:40",1333,1332,0,1,0,506,505,0,1,0,493,13,1489,983,298,15,137,13,8,22
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” DOROHOI",95,"MUNICIPIUL DOROHOI",36006,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:45:00",1046,1041,1,4,0,373,369,0,4,0,366,7,1102,729,266,16,69,5,2,8
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ” DIMITRIE ROMANESCU” DOROHOI",104,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:27",911,906,1,4,0,413,409,0,4,0,401,12,994,581,241,14,126,3,5,12
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE ROMANESCU” DOROHOI",105,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:59",1120,1111,0,5,4,448,439,0,5,4,432,16,1200,752,279,18,110,3,7,15
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” DOROHOI",100,"MUNICIPIUL DOROHOI",36006,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:03:22",1144,1137,0,7,0,433,426,0,7,0,428,5,1295,862,314,13,79,6,5,11
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” DOROHOI",99,"MUNICIPIUL DOROHOI",36006,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:33",1256,1250,0,6,0,475,469,0,6,0,465,10,1395,920,287,19,137,5,6,11
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ NR.1 DOROHOI",91,"MUNICIPIUL DOROHOI",36006,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:20",1169,1161,1,7,0,497,490,0,7,0,481,16,1300,803,314,21,126,8,7,5
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”SPIRU HARET” DOROHOI",89,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:15",1312,1301,4,7,0,533,526,0,7,0,515,18,1383,850,331,21,134,6,17,6
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ”SPIRU HARET” DOROHOI",90,"MUNICIPIUL DOROHOI",36006,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:59",910,902,1,6,1,412,405,0,6,1,395,17,998,586,246,16,104,10,13,6
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ” ȘTEFAN CEL MARE” DOROHOI",94,"MUNICIPIUL DOROHOI",36006,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:41:04",971,971,0,0,0,435,435,0,0,0,422,13,1100,665,257,17,130,0,4,14
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”ȘTEFAN CEL MARE” DOROHOI",93,"MUNICIPIUL DOROHOI",36006,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:26:01",1036,1024,4,5,3,387,379,0,5,3,374,13,1098,711,254,6,92,6,11,5
