precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHĂESCU MUGUR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRESCU MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","OPROIU IONEL-EMANUEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢIU MIHAI-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","DOAGĂ MARIAN-EMANUEL-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
30,OLT,"LICEUL TEHNOLOGIC CRÎMPOIA",165,CRÂMPOIA,126406,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:29:06",1103,1086,0,1,16,628,611,0,1,16,606,22,1210,582,78,394,104,13,17
30,OLT,"LICEUL TEHNOLOGIC ION POPESCU CILIENI",154,CILIENI,126148,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:41:49",1288,1262,0,0,26,741,715,0,0,26,711,30,1417,676,141,453,59,27,31
30,OLT,"LICEUL TEHNOLOGIC ION POPESCU CILIENI",153,CILIENI,126148,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:45:58",1252,1240,0,1,11,688,677,0,1,10,653,35,1375,687,129,404,76,23,21
30,OLT,"LICEUL TEHNOLOGIC IZVOARELE",236,IZVOARELE,127386,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:37:53",893,866,2,12,13,541,516,0,12,13,498,43,950,409,124,145,191,15,23
30,OLT,"LICEUL TEHNOLOGIC MATEI BASARAB",54,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:28",1640,1603,1,33,3,727,691,0,33,3,705,22,1771,1044,115,416,101,32,41
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",36,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:48:29",761,752,2,5,2,449,442,0,5,2,432,17,860,411,42,175,157,18,40
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",35,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:27",1555,1544,0,11,0,656,645,0,11,0,656,0,1691,1035,98,249,217,40,52
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",34,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:03:11",1537,1527,0,10,0,680,670,0,10,0,657,23,1676,996,115,258,197,31,56
30,OLT,"LICEUL TEHNOLOGIC P.S. AURELIAN",26,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:21:44",1656,1646,3,7,0,745,738,0,7,0,714,24,1816,1071,97,284,253,44,36
30,OLT,"LICEUL TEHNOLOGIC P.S. AURELIAN",25,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:03:39",1161,1150,2,9,0,594,585,0,9,0,563,31,1257,663,66,233,180,30,54
30,OLT,"LICEUL TEHNOLOGIC TUFENI",344,TUFENI,129585,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:17:49",1139,1068,0,57,14,681,648,0,19,14,654,27,1247,566,129,422,62,34,7
30,OLT,"LICEUL TEHNOLOGIC VITOMIRESTI",366,VITOMIREŞTI,129914,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:46:38",376,363,0,7,6,258,245,0,7,6,235,23,408,150,22,104,90,15,4
