precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA PENTRU MEDGIDIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi"
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”DRAGOMIR HURMUZESCU”",246,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:59",1272,1266,0,6,0,496,490,0,6,0,460,36,1400,904,53,84,228,28,49,7,3,8
14,CONSTANŢA,"LICEUL TEORETIC ”NICOLAE BĂLCESCU”",250,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:41:59",783,776,1,6,0,316,310,0,6,0,301,15,904,588,22,67,142,15,35,6,9,5
14,CONSTANŢA,"LICEUL TEORETIC ”NICOLAE BĂLCESCU”",252,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:43",847,840,0,7,0,339,332,0,7,0,325,14,900,561,30,74,168,21,16,7,5,4
14,CONSTANŢA,"LICEUL TEORETIC ”NICOLAE BĂLCESCU”",251,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:40",694,685,1,8,0,285,277,0,8,0,280,5,806,521,19,75,141,14,18,5,6,2
14,CONSTANŢA,"S.C. ”MAXICOMP” SRL",274,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:35:44",300,288,0,11,1,147,135,0,11,1,141,6,300,153,6,36,85,3,7,2,2,0
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN BRÂNCUŞI”",248,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:37:08",940,933,0,7,0,367,360,0,7,0,357,10,1000,633,28,92,178,24,17,6,5,7
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN BRÂNCUŞI”",247,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:04",945,938,0,7,0,391,384,0,7,0,368,23,1000,609,26,103,156,17,38,5,19,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN BRÂNCUŞI”",249,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:14",735,725,1,9,0,317,308,0,9,0,306,11,800,483,37,66,143,13,31,8,3,5
14,CONSTANŢA,"SCOALA GIMNAZIALĂ ”I.L.CARAGIALE”",267,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:19:00",1022,1011,3,8,0,468,460,0,8,0,440,28,1100,632,51,103,223,36,15,6,3,3
14,CONSTANŢA,"SCOALA GIMNAZIALĂ ”I.L.CARAGIALE”",266,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:18",968,961,0,7,0,396,389,0,7,0,379,17,1100,704,36,65,207,36,16,6,5,8
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”I.L.CARAGIALE”",265,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:32",970,960,4,6,0,487,481,0,6,0,474,13,1100,613,40,121,237,25,25,16,3,7
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”I.L.CARAGIALE” MEDGIDIA",264,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:06",645,642,0,3,0,258,255,0,3,0,246,12,700,442,35,49,122,20,12,3,2,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”LUCIAN GRIGORESCU”",263,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:40",590,582,0,8,0,290,282,0,8,0,278,12,600,310,29,71,114,13,27,16,4,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”LUCIAN GRIGORESCU”",262,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:50:08",983,976,0,7,0,422,415,0,7,0,405,17,1083,661,35,88,213,25,21,11,10,2
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",244,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:04",1113,1103,0,8,2,376,366,0,8,2,307,69,1200,824,24,72,93,39,72,3,3,1
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",243,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:47",1386,1379,0,7,0,440,433,0,7,0,330,110,1499,1059,24,65,75,25,120,5,8,8
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",242,"MUNICIPIUL MEDGIDIA",60847,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:20:07",865,857,0,8,0,293,285,0,8,0,276,17,900,607,26,57,118,18,36,2,16,3
14,CONSTANŢA,"SCOALA GIMNAZIALĂ ”MIRCEA DRAGOMIRESCU”",253,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:26",902,894,0,8,0,359,351,0,8,0,342,17,1100,741,23,78,184,22,22,10,2,1
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIRCEA DRAGOMIRESCU”",254,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:32:00",736,726,1,6,3,309,300,0,6,3,297,12,900,591,33,69,145,15,22,8,2,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIRCEA DRAGOMIRESCU”",255,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:20",1140,1134,0,6,0,505,499,0,6,0,485,20,1300,795,21,86,270,37,33,22,9,7
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”SPIRU HARET”",271,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:40",1144,1135,2,7,0,456,449,0,7,0,432,24,1304,848,47,58,278,21,12,5,7,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”SPIRU HARET”",272,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:06:21",1125,1119,0,6,0,476,470,0,6,0,448,28,1200,724,54,81,259,29,19,4,1,1
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”SPIRU HARET”",270,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:42",982,977,0,5,0,411,406,0,5,0,386,25,1100,689,35,76,216,27,15,5,9,3
